Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8621,8,0.0050,27752.00,10.7762
8655,16,0.0100,44462.00,15.2515
8688,24,0.0150,49986.00,16.8799
8722,32,0.0200,53225.00,17.6091
8755,40,0.0250,54889.00,18.2346
8789,48,0.0300,56881.00,18.9799
8822,56,0.0350,58841.00,19.6201
8856,64,0.0400,60843.00,20.2262
8889,72,0.0450,62759.00,20.9177
8923,80,0.0500,64845.00,21.5993
8956,88,0.0550,67486.00,22.5189
8990,96,0.0600,71708.00,24.0934
9023,104,0.0650,79161.00,26.7644
9057,112,0.0700,89134.00,30.0393
9090,120,0.0750,99071.00,33.0168
9124,128,0.0800,105464.00,34.8903
9157,136,0.0850,108797.00,35.9759
9191,144,0.0900,111362.00,36.8518
9224,152,0.0950,115038.00,37.8412
9258,160,0.1000,118362.00,38.9806
9291,168,0.1050,120913.00,39.9438
9325,176,0.1100,124166.00,40.9221
9358,184,0.1150,127257.00,41.9375
9392,192,0.1200,129704.00,42.8268
9425,200,0.1250,132564.00,43.7917
9459,208,0.1300,135251.00,44.6620
9492,216,0.1350,138429.00,45.6576
9526,224,0.1400,141483.00,46.5992
9559,232,0.1450,144356.00,47.5873
9593,240,0.1500,147092.00,48.3250
9626,248,0.1550,149810.00,49.3814
9660,256,0.1600,152564.00,50.3210
9693,264,0.1650,155242.00,51.1430
9727,272,0.1700,157882.00,52.0426
9760,280,0.1750,160753.00,52.8870
9794,288,0.1800,163411.00,53.7625
9827,296,0.1850,165844.00,54.6246
9861,304,0.1900,168431.00,55.4844
9894,312,0.1950,171069.00,56.2924
9928,320,0.2000,173464.00,57.1082
9961,328,0.2050,175845.00,57.8732
9995,336,0.2100,178253.00,58.6861
10028,344,0.2150,180630.00,59.5082
10062,352,0.2200,183035.00,60.3312
10095,360,0.2250,185454.00,60.9649
10129,368,0.2300,187646.00,61.7880
10162,376,0.2350,190111.00,62.6002
10196,384,0.2400,192144.00,63.2684
10229,392,0.2450,194410.00,63.9641
10263,400,0.2500,196466.00,64.7094
10296,408,0.2550,198532.00,65.3411
10330,416,0.2600,200713.00,66.0854
10363,424,0.2650,203105.00,66.7759
10397,432,0.2700,205062.00,67.5458
10430,440,0.2750,207090.00,68.1361
10464,448,0.2800,209271.00,68.8306
10497,456,0.2850,211378.00,69.5634
10531,464,0.2900,213534.00,70.2256
10564,472,0.2950,215359.00,70.7901
10598,480,0.3000,217561.00,71.5091
10631,488,0.3050,219438.00,72.1428
10665,496,0.3100,221272.00,72.7194
10698,504,0.3150,223028.00,73.3649
10732,512,0.3200,225135.00,73.9796
10765,520,0.3250,226702.00,74.5404
10799,528,0.3300,228510.00,75.1462
10832,536,0.3350,230493.00,75.7520
10866,544,0.3400,232075.00,76.3555
10899,552,0.3450,233919.00,76.9049
10933,560,0.3500,235566.00,77.4697
10966,568,0.3550,237523.00,78.0657
11000,576,0.3600,238992.00,78.4985
