Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8273,8,0.0050,14752.00,5.7883
8307,16,0.0100,33974.00,12.5785
8341,24,0.0150,44597.00,15.2623
8374,32,0.0200,49731.00,16.8960
8408,40,0.0250,56406.00,18.9008
8441,48,0.0300,60638.00,20.2729
8475,56,0.0350,63609.00,21.0736
8508,64,0.0400,66192.00,21.9357
8542,72,0.0450,68651.00,22.7880
8575,80,0.0500,71633.00,23.7669
8609,88,0.0550,74912.00,24.8804
8642,96,0.0600,79195.00,26.7277
8676,104,0.0650,87681.00,29.5523
8709,112,0.0700,97301.00,32.4756
8743,120,0.0750,102542.00,33.9652
8777,128,0.0800,105635.00,35.0203
8810,136,0.0850,108603.00,35.8587
8844,144,0.0900,111585.00,36.9122
8877,152,0.0950,114943.00,37.9584
8911,160,0.1000,117603.00,38.8723
8944,168,0.1050,120472.00,39.8575
8978,176,0.1100,123495.00,40.7685
9011,184,0.1150,126532.00,41.8111
9045,192,0.1200,130110.00,42.8820
9079,200,0.1250,132597.00,43.7063
9112,208,0.1300,135290.00,44.5809
9146,216,0.1350,137969.00,45.4991
9179,224,0.1400,140897.00,46.4265
9213,232,0.1450,143460.00,47.3110
9246,240,0.1500,146032.00,48.0431
9280,248,0.1550,149255.00,49.0355
9313,256,0.1600,151469.00,49.9521
9347,264,0.1650,154201.00,50.7305
9380,272,0.1700,156652.00,51.7416
9414,280,0.1750,159469.00,52.4859
9447,288,0.1800,161938.00,53.3254
9481,296,0.1850,164128.00,54.0953
9515,304,0.1900,166665.00,54.9787
9548,312,0.1950,169219.00,55.6223
9582,320,0.2000,171805.00,56.6363
9615,328,0.2050,174260.00,57.3704
9649,336,0.2100,176575.00,58.2070
9682,344,0.2150,178861.00,58.9506
9716,352,0.2200,181309.00,59.6965
9749,360,0.2250,183734.00,60.4556
9783,368,0.2300,186127.00,61.3164
9816,376,0.2350,188448.00,62.0374
9850,384,0.2400,190701.00,62.7741
9884,392,0.2450,193025.00,63.5315
9917,400,0.2500,195120.00,64.2742
9951,408,0.2550,197136.00,64.9719
9984,416,0.2600,199472.00,65.6033
10018,424,0.2650,201606.00,66.2701
10051,432,0.2700,203323.00,67.0102
10085,440,0.2750,205529.00,67.6951
10118,448,0.2800,207712.00,68.4111
10152,456,0.2850,209996.00,69.1026
10185,464,0.2900,212075.00,69.7064
10219,472,0.2950,214109.00,70.3277
10253,480,0.3000,215805.00,71.0857
10286,488,0.3050,218004.00,71.7349
10320,496,0.3100,219983.00,72.3561
10353,504,0.3150,221876.00,72.8917
10387,512,0.3200,223457.00,73.4791
10420,520,0.3250,225190.00,74.1007
10454,528,0.3300,226758.00,74.6179
10487,536,0.3350,228886.00,75.2503
10521,544,0.3400,230485.00,75.7031
10554,552,0.3450,232215.00,76.4074
10588,560,0.3500,233731.00,76.9367
10621,568,0.3550,235814.00,77.5055
10655,576,0.3600,237125.00,77.9449
10689,584,0.3650,239082.00,78.4634
10722,592,0.3700,240404.00,79.0544
