Millis,Steps,Travel (mm),Scale raw,Scale (grams)
249258,8,0.0050,29200.00,10.7906
249291,16,0.0100,44357.00,15.1327
249325,24,0.0150,48324.00,16.4050
249359,32,0.0200,52344.00,17.6494
249392,40,0.0250,55630.00,18.8322
249426,48,0.0300,62186.00,21.0657
249460,56,0.0350,68741.00,22.8129
249494,64,0.0400,72924.00,24.2999
249527,72,0.0450,75371.00,24.9490
249561,80,0.0500,78098.00,25.8173
249595,88,0.0550,80160.00,26.6696
249628,96,0.0600,82346.00,27.3240
249662,104,0.0650,83711.00,27.9521
249696,112,0.0700,89358.00,29.8850
249730,120,0.0750,94214.00,31.3835
249763,128,0.0800,103410.00,34.8253
249797,136,0.0850,113907.00,38.3679
249831,144,0.0900,123583.00,41.0888
249865,152,0.0950,127967.00,42.2351
249898,160,0.1000,130696.00,43.2459
249932,168,0.1050,133733.00,44.1284
249966,176,0.1100,136473.00,45.0400
249999,184,0.1150,139162.00,45.9589
250033,192,0.1200,141940.00,46.8551
250067,200,0.1250,144728.00,47.7363
250101,208,0.1300,147296.00,48.5879
250134,216,0.1350,149858.00,49.3663
250168,224,0.1400,151846.00,50.1408
250202,232,0.1450,154137.00,50.7768
250235,240,0.1500,156899.00,51.8135
250269,248,0.1550,159410.00,52.5355
250303,256,0.1600,161634.00,53.2942
250337,264,0.1650,164072.00,54.1402
250370,272,0.1700,166429.00,54.8077
250404,280,0.1750,168323.00,55.5271
250438,288,0.1800,170522.00,56.1145
250471,296,0.1850,172721.00,56.9730
250505,304,0.1900,175015.00,57.7580
250539,312,0.1950,177508.00,58.4587
250572,320,0.2000,179451.00,59.1527
250606,328,0.2050,181521.00,59.9003
250640,336,0.2100,183679.00,60.4641
250674,344,0.2150,185848.00,61.2268
250707,352,0.2200,187603.00,61.8037
250741,360,0.2250,189572.00,62.4962
250775,368,0.2300,191768.00,63.1919
250808,376,0.2350,193705.00,63.7970
250842,384,0.2400,195215.00,64.4544
250876,392,0.2450,197407.00,65.0697
250910,400,0.2500,198944.00,65.5695
250943,408,0.2550,200907.00,66.1920
250977,416,0.2600,202529.00,66.6892
251011,424,0.2650,204226.00,67.3252
251044,432,0.2700,206146.00,67.9438
251078,440,0.2750,207680.00,68.4216
251112,448,0.2800,209551.00,68.8749
251146,456,0.2850,211081.00,69.5240
251179,464,0.2900,212726.00,70.0510
251213,472,0.2950,214436.00,70.6191
251247,480,0.3000,215960.00,71.0792
251280,488,0.3050,217463.00,71.6433
251314,496,0.3100,218971.00,72.1274
251348,504,0.3150,220985.00,72.7217
251382,512,0.3200,221993.00,73.0613
251415,520,0.3250,223585.00,73.3921
251449,528,0.3300,225287.00,74.1742
251483,536,0.3350,226790.00,74.6054
251516,544,0.3400,227664.00,74.9014
251550,552,0.3450,228889.00,75.3625
251584,560,0.3500,230307.00,75.7822
251618,568,0.3550,232330.00,76.3299
251651,576,0.3600,233176.00,76.7159
251685,584,0.3650,234300.00,77.0683
251719,592,0.3700,235830.00,77.5383
251752,600,0.3750,236871.00,77.8796
251786,608,0.3800,238198.00,78.3981
251820,616,0.3850,239330.00,78.8214
251854,624,0.3900,240613.00,79.1867
251887,632,0.3950,241875.00,79.5949
251921,640,0.4000,243072.00,79.9907
251955,648,0.4050,244049.00,80.3622
251988,656,0.4100,245274.00,80.6621
252022,664,0.4150,246279.00,81.0350
252056,672,0.4200,247385.00,81.1327
252090,680,0.4250,248776.00,81.7769
252123,688,0.4300,249745.00,82.1521
252157,696,0.4350,250561.00,82.4871
252191,704,0.4400,251690.00,82.7877
252224,712,0.4450,252775.00,83.1500
252258,720,0.4500,253607.00,83.4749
252292,728,0.4550,254736.00,83.7900
252326,736,0.4600,255416.00,84.0023
252359,744,0.4650,256231.00,84.3045
252393,752,0.4700,256878.00,84.3347
252427,760,0.4750,257895.00,84.7059
252460,768,0.4800,258277.00,84.9418
252494,776,0.4850,259109.00,85.1660
252528,784,0.4900,259543.00,85.2831
252562,792,0.4950,260047.00,85.4239
252595,800,0.5000,260123.00,85.5027
252629,808,0.5050,260510.00,85.5604
252663,816,0.5100,259855.00,85.3265
252696,824,0.5150,259123.00,85.0249
252730,832,0.5200,258253.00,84.8237
252764,840,0.5250,257617.00,84.5539
252798,848,0.5300,257141.00,84.4470
252831,856,0.5350,256822.00,84.2701
252865,864,0.5400,257353.00,84.6793
252899,872,0.5450,259574.00,85.3931
252932,880,0.5500,261542.00,86.0383
252966,888,0.5550,263182.00,86.5410
253000,896,0.5600,264399.00,86.9135
253033,904,0.5650,265421.00,87.2138
253067,912,0.5700,266614.00,87.5741
