Millis,Steps,Travel (mm),Scale raw,Scale (grams)
16578,8,0.0050,24070.00,8.7186
16611,16,0.0100,36379.00,11.5930
16645,24,0.0150,36221.00,11.9727
16678,32,0.0200,37361.00,12.4141
16712,40,0.0250,41500.00,14.0441
16745,48,0.0300,42636.00,14.1367
16779,56,0.0350,42872.00,14.3162
16812,64,0.0400,43426.00,14.4927
16846,72,0.0450,44007.00,14.5709
16879,80,0.0500,44238.00,14.8344
16913,88,0.0550,45979.00,15.4120
16947,96,0.0600,47190.00,15.7959
16980,104,0.0650,48616.00,16.2550
17014,112,0.0700,50022.00,16.6695
17047,120,0.0750,51120.00,16.8838
17081,128,0.0800,52147.00,17.4371
17114,136,0.0850,53343.00,17.7689
17148,144,0.0900,54782.00,18.1407
17181,152,0.0950,55050.00,18.2572
17215,160,0.1000,56365.00,18.7147
17248,168,0.1050,57788.00,19.1951
17282,176,0.1100,59967.00,19.8190
17315,184,0.1150,61418.00,20.2423
17349,192,0.1200,62167.00,20.4937
17383,200,0.1250,62576.00,20.6105
17416,208,0.1300,63166.00,20.7769
17450,216,0.1350,63651.00,21.0007
17483,224,0.1400,64406.00,21.1914
17517,232,0.1450,64700.00,21.3296
17550,240,0.1500,65330.00,21.4530
17584,248,0.1550,65934.00,21.7454
17617,256,0.1600,66510.00,21.9429
17651,264,0.1650,67099.00,22.1434
17684,272,0.1700,67721.00,22.3151
17718,280,0.1750,68147.00,22.4559
17752,288,0.1800,68516.00,22.6285
17785,296,0.1850,69313.00,22.7811
17819,304,0.1900,69596.00,22.9872
17852,312,0.1950,70396.00,23.2339
17886,320,0.2000,70974.00,23.3199
17919,328,0.2050,71325.00,23.4909
17953,336,0.2100,71598.00,23.6970
17986,344,0.2150,72320.00,23.8811
18020,352,0.2200,73030.00,24.0153
18054,360,0.2250,73601.00,24.2129
18087,368,0.2300,74074.00,24.3373
18120,376,0.2350,74672.00,24.5640
18154,384,0.2400,75244.00,24.7757
18188,392,0.2450,75720.00,24.8817
18221,400,0.2500,76024.00,25.0944
18255,408,0.2550,76565.00,25.1859
18288,416,0.2600,76981.00,25.3316
18322,424,0.2650,77548.00,25.5417
18355,432,0.2700,77944.00,25.6473
18389,440,0.2750,78758.00,25.9420
18422,448,0.2800,79154.00,26.0011
18456,456,0.2850,79583.00,26.1560
18489,464,0.2900,80005.00,26.3237
18523,472,0.2950,80405.00,26.4596
18557,480,0.3000,80832.00,26.5980
18590,488,0.3050,81151.00,26.7296
18624,496,0.3100,81694.00,26.9827
18657,504,0.3150,82358.00,27.0791
18691,512,0.3200,82553.00,27.1730
18724,520,0.3250,82806.00,27.3164
18758,528,0.3300,83384.00,27.4470
18791,536,0.3350,84072.00,27.6446
18825,544,0.3400,84608.00,27.8001
18858,552,0.3450,84839.00,27.9127
18892,560,0.3500,84942.00,27.9842
18925,568,0.3550,85616.00,28.0725
18959,576,0.3600,85833.00,28.2661
18992,584,0.3650,86158.00,28.4030
19026,592,0.3700,86677.00,28.4788
19060,600,0.3750,87088.00,28.6737
19093,608,0.3800,87398.00,28.7781
19127,616,0.3850,87889.00,28.8998
19160,624,0.3900,88295.00,29.0695
19194,632,0.3950,88698.00,29.2018
19227,640,0.4000,88911.00,29.2789
19261,648,0.4050,89366.00,29.4659
19294,656,0.4100,89675.00,29.5017
19328,664,0.4150,89946.00,29.6071
19361,672,0.4200,90233.00,29.6986
19395,680,0.4250,90675.00,29.8962
19429,688,0.4300,90920.00,29.9424
19462,696,0.4350,91385.00,30.0724
19496,704,0.4400,91572.00,30.1653
19529,712,0.4450,91751.00,30.2696
19563,720,0.4500,92143.00,30.3484
19596,728,0.4550,92209.00,30.4160
19630,736,0.4600,92887.00,30.5821
19663,744,0.4650,93082.00,30.5381
19697,752,0.4700,93461.00,30.7156
19730,760,0.4750,93538.00,30.7370
19764,768,0.4800,93891.00,30.9391
19798,776,0.4850,94330.00,31.0205
19831,784,0.4900,94575.00,31.0648
19865,792,0.4950,94674.00,31.1462
19898,800,0.5000,94906.00,31.3175
19932,808,0.5050,95243.00,31.4025
19965,816,0.5100,95311.00,31.3703
19999,824,0.5150,95564.00,31.4730
20032,832,0.5200,96401.00,31.6480
20066,840,0.5250,96418.00,31.7051
20099,848,0.5300,96623.00,31.7589
20133,856,0.5350,96912.00,31.8764
20167,864,0.5400,97022.00,31.9807
20200,872,0.5450,97514.00,31.9994
20234,880,0.5500,97593.00,32.1123
