Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6298,8,0.0050,28088.00,9.2873
6332,16,0.0100,30047.00,10.0946
6365,24,0.0150,31882.00,10.5672
6399,32,0.0200,32372.00,10.7670
6432,40,0.0250,33155.00,11.0276
6466,48,0.0300,33875.00,11.2753
6499,56,0.0350,34922.00,11.5986
6533,64,0.0400,35919.00,12.0114
6566,72,0.0450,37289.00,12.3990
6600,80,0.0500,38551.00,12.8870
6633,88,0.0550,40061.00,13.2555
6667,96,0.0600,41067.00,13.6218
6700,104,0.0650,42078.00,13.9696
6734,112,0.0700,42880.00,14.1715
6767,120,0.0750,44078.00,14.5794
6801,128,0.0800,45044.00,14.8934
6834,136,0.0850,45893.00,15.3066
6868,144,0.0900,48972.00,16.5356
6901,152,0.0950,53295.00,17.8559
6935,160,0.1000,57228.00,19.0330
6968,168,0.1050,59450.00,19.7248
7002,176,0.1100,60701.00,20.0681
7035,184,0.1150,62141.00,20.6427
7069,192,0.1200,63786.00,21.1734
7103,200,0.1250,66071.00,21.8924
7136,208,0.1300,67996.00,22.5156
7170,216,0.1350,69581.00,23.2727
7203,224,0.1400,75147.00,25.0898
7237,232,0.1450,78821.00,25.9824
7270,240,0.1500,80158.00,26.4208
7304,248,0.1550,81793.00,26.8632
7337,256,0.1600,83362.00,27.4365
7371,264,0.1650,84972.00,28.0148
7404,272,0.1700,86738.00,28.5743
7438,280,0.1750,87877.00,28.8605
7471,288,0.1800,88996.00,29.2644
7505,296,0.1850,90607.00,29.7839
7538,304,0.1900,91659.00,30.1876
7572,312,0.1950,93204.00,30.6250
7605,320,0.2000,94381.00,31.1088
7639,328,0.2050,95751.00,31.4990
7672,336,0.2100,97203.00,31.9594
7706,344,0.2150,98264.00,32.3417
7739,352,0.2200,99690.00,32.7920
7773,360,0.2250,100996.00,33.2173
7806,368,0.2300,102161.00,33.5143
7840,376,0.2350,103408.00,34.0512
7873,384,0.2400,104689.00,34.5444
7907,392,0.2450,106082.00,34.8923
7940,400,0.2500,107639.00,35.3484
7974,408,0.2550,108522.00,35.6582
8007,416,0.2600,109668.00,36.0901
8041,424,0.2650,111059.00,36.5850
8074,432,0.2700,112212.00,36.8482
8108,440,0.2750,113271.00,37.2824
8141,448,0.2800,114700.00,37.6627
8175,456,0.2850,115653.00,38.0696
8208,464,0.2900,116942.00,38.4999
8242,472,0.2950,118028.00,38.8317
8275,480,0.3000,119158.00,39.1132
8309,488,0.3050,120317.00,39.5894
8342,496,0.3100,121552.00,39.9261
8376,504,0.3150,122431.00,40.2924
8409,512,0.3200,123561.00,40.5953
8443,520,0.3250,124685.00,40.9339
8477,528,0.3300,125603.00,41.3405
8510,536,0.3350,126915.00,41.6831
8544,544,0.3400,127682.00,42.0038
8577,552,0.3450,128813.00,42.2939
8611,560,0.3500,129844.00,42.7215
8644,568,0.3550,130810.00,43.0411
8678,576,0.3600,131864.00,43.2935
8711,584,0.3650,133064.00,43.7155
8745,592,0.3700,133708.00,43.9954
8778,600,0.3750,134609.00,44.2780
8812,608,0.3800,135665.00,44.5953
8845,616,0.3850,136819.00,44.9160
8879,624,0.3900,137551.00,45.2432
8912,632,0.3950,138563.00,45.5871
8946,640,0.4000,139464.00,45.8250
8979,648,0.4050,140303.00,46.1525
9013,656,0.4100,141125.00,46.4108
9046,664,0.4150,142023.00,46.7229
9080,672,0.4200,142875.00,46.9027
9113,680,0.4250,143828.00,47.3225
9147,688,0.4300,144756.00,47.5650
9180,696,0.4350,145417.00,47.7993
9214,704,0.4400,146226.00,48.0901
9247,712,0.4450,147275.00,48.4241
9281,720,0.4500,147874.00,48.5708
9314,728,0.4550,148811.00,48.9079
9348,736,0.4600,149605.00,49.1277
9381,744,0.4650,150225.00,49.3752
9415,752,0.4700,150972.00,49.6249
9448,760,0.4750,151662.00,49.8747
9482,768,0.4800,152396.00,50.1385
9515,776,0.4850,153165.00,50.3243
9549,784,0.4900,153872.00,50.5753
9582,792,0.4950,154573.00,50.8021
9616,800,0.5000,155404.00,51.0751
9650,808,0.5050,155718.00,51.1952
9683,816,0.5100,156768.00,51.4578
9716,824,0.5150,157221.00,51.6642
9750,832,0.5200,158113.00,51.8660
9784,840,0.5250,158396.00,52.1197
9817,848,0.5300,159401.00,52.3750
9851,856,0.5350,160017.00,52.5059
9884,864,0.5400,160656.00,52.7934
9918,872,0.5450,161030.00,52.8686
9951,880,0.5500,161629.00,53.1229
9985,888,0.5550,162402.00,53.2827
10018,896,0.5600,163046.00,53.5065
10052,904,0.5650,163218.00,53.6552
10085,912,0.5700,164138.00,53.8603
10119,920,0.5750,164744.00,54.1238
10152,928,0.5800,165356.00,54.3178
10186,936,0.5850,165750.00,54.4907
10219,944,0.5900,166391.00,54.7162
10253,952,0.5950,167092.00,54.8317
10286,960,0.6000,167497.00,55.0056
10320,968,0.6050,167893.00,55.1615
10353,976,0.6100,168423.00,55.3075
10387,984,0.6150,168845.00,55.4805
10420,992,0.6200,169584.00,55.6236
10454,1000,0.6250,169965.00,55.7795
10487,1008,0.6300,170626.00,56.0141
10521,1016,0.6350,171036.00,56.2064
10554,1024,0.6400,171740.00,56.3498
10588,1032,0.6450,172036.00,56.4617
10621,1040,0.6500,172463.00,56.7069
10655,1048,0.6550,173016.00,56.8201
10688,1056,0.6600,173548.00,57.0429
10722,1064,0.6650,174082.00,57.1187
10756,1072,0.6700,174648.00,57.2940
10789,1080,0.6750,174789.00,57.4479
10822,1088,0.6800,175493.00,57.5910
10856,1096,0.6850,175607.00,57.6789
10890,1104,0.6900,176219.00,57.8535
10923,1112,0.6950,176819.00,58.0816
10957,1120,0.7000,177004.00,58.1167
10990,1128,0.7050,177617.00,58.2929
11024,1136,0.7100,177886.00,58.3376
11057,1144,0.7150,178240.00,58.4813
11091,1152,0.7200,178617.00,58.6835
11124,1160,0.7250,179110.00,58.7904
11158,1168,0.7300,179614.00,58.9155
11191,1176,0.7350,179919.00,59.0546
11225,1184,0.7400,180205.00,59.2351
11258,1192,0.7450,180878.00,59.3241
11292,1200,0.7500,181035.00,59.4694
11325,1208,0.7550,181424.00,59.5387
11359,1216,0.7600,181783.00,59.6893
11392,1224,0.7650,182013.00,59.7796
11426,1232,0.7700,182370.00,59.8826
11459,1240,0.7750,182618.00,60.0191
11493,1248,0.7800,183192.00,60.0424
11526,1256,0.7850,183537.00,60.2649
11560,1264,0.7900,183608.00,60.2984
11593,1272,0.7950,183901.00,60.4116
11627,1280,0.8000,184427.00,60.5714
11660,1288,0.8050,184778.00,60.6787
11694,1296,0.8100,184769.00,60.6413
11727,1304,0.8150,185200.00,60.8005
11761,1312,0.8200,185211.00,60.8353
11794,1320,0.8250,186040.00,61.0575
11828,1328,0.8300,185889.00,61.0059
11862,1336,0.8350,186246.00,61.1805
11895,1344,0.8400,186339.00,61.1690
11929,1352,0.8450,186699.00,61.2524
11962,1360,0.8500,186963.00,61.4165
11996,1368,0.8550,187247.00,61.4303
12029,1376,0.8600,187595.00,61.5838
12063,1384,0.8650,187609.00,61.5612
12096,1392,0.8700,187901.00,61.5960
12130,1400,0.8750,188160.00,61.8100
12163,1408,0.8800,188540.00,61.9481
12197,1416,0.8850,188327.00,61.8848
12230,1424,0.8900,188758.00,61.9639
12264,1432,0.8950,188782.00,61.9905
12297,1440,0.9000,189136.00,62.1191
12331,1448,0.9050,189258.00,62.1952
12364,1456,0.9100,189418.00,62.1398
12398,1464,0.9150,189646.00,62.2418
12431,1472,0.9200,189780.00,62.3426
12465,1480,0.9250,190132.00,62.4099
12498,1488,0.9300,190077.00,62.4138
12532,1496,0.9350,190237.00,62.4420
12565,1504,0.9400,190679.00,62.6255
12599,1512,0.9450,190406.00,62.5283
12632,1520,0.9500,190690.00,62.6330
12666,1528,0.9550,190804.00,62.6287
12699,1536,0.9600,191255.00,62.7393
12733,1544,0.9650,191161.00,62.7538
12766,1552,0.9700,191222.00,62.7607
12800,1560,0.9750,191350.00,62.8001
12834,1568,0.9800,191388.00,62.8302
12867,1576,0.9850,191388.00,62.8713
12901,1584,0.9900,191620.00,62.8880
12934,1592,0.9950,191804.00,62.9848
12968,1600,1.0000,191944.00,63.0009
13001,1608,1.0050,191834.00,62.9576
13035,1616,1.0100,192071.00,63.0137
13068,1624,1.0150,192276.00,63.1049
13102,1632,1.0200,192131.00,63.1033
13135,1640,1.0250,192477.00,63.0829
13169,1648,1.0300,192437.00,63.1384
13202,1656,1.0350,192387.00,63.1735
13236,1664,1.0400,192503.00,63.1322
13269,1672,1.0450,192694.00,63.1857
13303,1680,1.0500,192549.00,63.2181
13336,1688,1.0550,192610.00,63.1561
13370,1696,1.0600,192682.00,63.2654
13403,1704,1.0650,192574.00,63.1673
13437,1712,1.0700,192617.00,63.2401
13470,1720,1.0750,192635.00,63.1814
13504,1728,1.0800,192501.00,63.1820
13537,1736,1.0850,192664.00,63.2155
13571,1744,1.0900,192649.00,63.2316
13604,1752,1.0950,192675.00,63.2204
13638,1760,1.1000,192651.00,63.1863
13672,1768,1.1050,192849.00,63.2654
13705,1776,1.1100,192569.00,63.2014
13739,1784,1.1150,192690.00,63.1748
13772,1792,1.1200,192494.00,63.1640
13806,1800,1.1250,192582.00,63.1893
13839,1808,1.1300,192587.00,63.2037
13873,1816,1.1350,192498.00,63.1118
13906,1824,1.1400,192481.00,63.0613
13940,1832,1.1450,192327.00,63.1131
13973,1840,1.1500,192312.00,63.0925
14007,1848,1.1550,192246.00,63.0006
14040,1856,1.1600,192179.00,63.0212
14074,1864,1.1650,191901.00,62.9333
14107,1872,1.1700,192042.00,62.9694
14141,1880,1.1750,191812.00,62.9284
14174,1888,1.1800,191776.00,62.9559
14208,1896,1.1850,191813.00,62.9038
14241,1904,1.1900,191533.00,62.8037
14275,1912,1.1950,191575.00,62.8398
14308,1920,1.2000,191401.00,62.7807
14342,1928,1.2050,191018.00,62.7265
14375,1936,1.2100,190973.00,62.6527
14409,1944,1.2150,191140.00,62.6829
14442,1952,1.2200,191000.00,62.6829
14476,1960,1.2250,190576.00,62.4866
14510,1968,1.2300,190647.00,62.5415
14543,1976,1.2350,190707.00,62.5050
14577,1984,1.2400,190265.00,62.4223
14610,1992,1.2450,190284.00,62.4105
14644,2000,1.2500,190210.00,62.4355
14677,2008,1.2550,189925.00,62.3232
14711,2016,1.2600,189799.00,62.2888
14744,2024,1.2650,189459.00,62.2336
14778,2032,1.2700,189363.00,62.1086
14811,2040,1.2750,189166.00,62.0715
14845,2048,1.2800,189067.00,62.0646
14878,2056,1.2850,188963.00,61.9589
14912,2064,1.2900,188659.00,61.8382
14945,2072,1.2950,188342.00,61.8041
14979,2080,1.3000,188118.00,61.6449
15012,2088,1.3050,188142.00,61.6695
15046,2096,1.3100,188024.00,61.7151
15079,2104,1.3150,187715.00,61.5304
15113,2112,1.3200,187313.00,61.4874
15146,2120,1.3250,187125.00,61.3748
15180,2128,1.3300,187012.00,61.3308
15213,2136,1.3350,186580.00,61.2878
15247,2144,1.3400,186450.00,61.1736
15281,2152,1.3450,186197.00,61.0644
15314,2160,1.3500,185936.00,61.0489
15348,2168,1.3550,185582.00,60.9259
15381,2176,1.3600,185740.00,60.9318
15415,2184,1.3650,185235.00,60.7227
15448,2192,1.3700,184995.00,60.7047
15482,2200,1.3750,184682.00,60.5521
15515,2208,1.3800,184378.00,60.5196
15549,2216,1.3850,184268.00,60.4592
15582,2224,1.3900,183983.00,60.3509
15616,2232,1.3950,183686.00,60.2206
15649,2240,1.4000,183243.00,60.1231
15683,2248,1.4050,183157.00,60.0916
15716,2256,1.4100,182911.00,60.0598
15750,2264,1.4150,182646.00,59.8672
15783,2272,1.4200,182191.00,59.7924
15817,2280,1.4250,181864.00,59.6808
15850,2288,1.4300,181747.00,59.5469
15884,2296,1.4350,181441.00,59.4819
15917,2304,1.4400,181006.00,59.4287
15951,2312,1.4450,180768.00,59.2578
15984,2320,1.4500,180545.00,59.1928
16018,2328,1.4550,180300.00,59.1518
16052,2336,1.4600,179887.00,59.0389
16085,2344,1.4650,179533.00,58.9348
16119,2352,1.4700,179370.00,58.8344
16152,2360,1.4750,179044.00,58.7448
16186,2368,1.4800,178664.00,58.5732
16219,2376,1.4850,178279.00,58.4606
16253,2384,1.4900,178015.00,58.4245
16286,2392,1.4950,177360.00,58.2371
16320,2400,1.5000,177205.00,58.0931
16353,2408,1.5050,176900.00,58.0005
16387,2416,1.5100,176664.00,57.9369
16420,2424,1.5150,176289.00,57.8112
16454,2432,1.5200,175991.00,57.7288
16487,2440,1.5250,175460.00,57.5526
16521,2448,1.5300,175118.00,57.4702
16554,2456,1.5350,174768.00,57.2585
16588,2464,1.5400,174368.00,57.1424
16621,2472,1.5450,174087.00,57.0649
