Millis,Steps,Travel (mm),Scale raw,Scale (grams)
606301,8,0.0050,30819.00,10.5878
606335,16,0.0100,55806.00,21.8763
606369,24,0.0150,85679.00,30.9401
606402,32,0.0200,117638.00,41.6484
606436,40,0.0250,149666.00,51.6927
606470,48,0.0300,176652.00,59.9056
606503,56,0.0350,197478.00,66.3561
606537,64,0.0400,215498.00,72.2127
606571,72,0.0450,232860.00,77.7769
606604,80,0.0500,246967.00,82.0598
606638,88,0.0550,251296.00,83.2376
606672,96,0.0600,253912.00,84.1539
606705,104,0.0650,256658.00,84.9540
606739,112,0.0700,258704.00,85.4768
606773,120,0.0750,261447.00,86.4029
606806,128,0.0800,263362.00,87.1081
606840,136,0.0850,265325.00,87.7382
606874,144,0.0900,267773.00,88.4766
606907,152,0.0950,269525.00,89.0407
606941,160,0.1000,271628.00,89.5743
606975,168,0.1050,272913.00,90.0206
607009,176,0.1100,274351.00,90.3754
607042,184,0.1150,274635.00,90.4236
607076,192,0.1200,274382.00,90.2408
607110,200,0.1250,273002.00,89.7053
607143,208,0.1300,272319.00,89.3748
607177,216,0.1350,271695.00,89.1615
607211,224,0.1400,271157.00,89.0089
607244,232,0.1450,270850.00,88.7857
607278,240,0.1500,270334.00,88.6669
607312,248,0.1550,269726.00,88.5698
607345,256,0.1600,268528.00,88.2895
607379,264,0.1650,267889.00,88.7096
607413,272,0.1700,272878.00,90.5319
607446,280,0.1750,275405.00,91.3136
607480,288,0.1800,278884.00,91.9201
607514,296,0.1850,279947.00,92.4173
607547,304,0.1900,283082.00,93.3877
607581,312,0.1950,286503.00,94.3978
607615,320,0.2000,288949.00,95.2625
607648,328,0.2050,290740.00,95.8962
607682,336,0.2100,292917.00,96.4646
607716,344,0.2150,295096.00,97.1974
607749,352,0.2200,296442.00,97.7320
607783,360,0.2250,298617.00,98.3805
607817,368,0.2300,300521.00,99.0139
607850,376,0.2350,302313.00,99.6092
607884,384,0.2400,304230.00,100.2032
607918,392,0.2450,305804.00,100.6669
607951,400,0.2500,307461.00,101.2143
607985,408,0.2550,308801.00,101.7837
608019,416,0.2600,311119.00,102.4216
608053,424,0.2650,312256.00,102.9221
608086,432,0.2700,313927.00,103.3992
608120,440,0.2750,315933.00,103.9657
608154,448,0.2800,317159.00,104.4005
608187,456,0.2850,319270.00,105.1034
608221,464,0.2900,321002.00,105.6843
608255,472,0.2950,322515.00,106.1894
608288,480,0.3000,324143.00,106.7515
608322,488,0.3050,325648.00,107.2074
608356,496,0.3100,327228.00,107.6740
608389,504,0.3150,328204.00,108.0019
608423,512,0.3200,329588.00,108.4669
608457,520,0.3250,330921.00,108.9227
608490,528,0.3300,332709.00,109.5055
608524,536,0.3350,334067.00,109.9489
608558,544,0.3400,335551.00,110.4156
608591,552,0.3450,336964.00,110.8041
608625,560,0.3500,338762.00,111.4047
608659,568,0.3550,339892.00,111.8110
608692,576,0.3600,341154.00,112.1979
608726,584,0.3650,342375.00,112.6944
608760,592,0.3700,343772.00,113.1253
608793,600,0.3750,344950.00,113.5388
608827,608,0.3800,346298.00,113.9943
608861,616,0.3850,347918.00,114.4166
608895,624,0.3900,348900.00,114.8344
608928,632,0.3950,350189.00,115.2354
608962,640,0.4000,351568.00,115.6867
608996,648,0.4050,352748.00,116.0861
609029,656,0.4100,354058.00,116.4723
609063,664,0.4150,355129.00,116.7099
609097,672,0.4200,356675.00,117.2754
609130,680,0.4250,357262.00,117.5428
609164,688,0.4300,358352.00,117.9058
609198,696,0.4350,359480.00,118.2123
609231,704,0.4400,360412.00,118.5867
609265,712,0.4450,361402.00,118.8099
609299,720,0.4500,362023.00,119.0153
