Millis,Steps,Travel (mm),Scale raw,Scale (grams)
164470,8,0.0050,42450.00,14.5101
164504,16,0.0100,68523.00,25.0048
164538,24,0.0150,95202.00,31.9413
164571,32,0.0200,100125.00,33.0798
164605,40,0.0250,103989.00,34.5536
164639,48,0.0300,109619.00,36.4012
164672,56,0.0350,114774.00,38.0454
164706,64,0.0400,120243.00,39.8779
164740,72,0.0450,125832.00,41.4711
164773,80,0.0500,131434.00,43.4618
164807,88,0.0550,135630.00,44.7808
164841,96,0.0600,139715.00,46.2234
164874,104,0.0650,144220.00,47.6506
164908,112,0.0700,147371.00,48.4442
164942,120,0.0750,150368.00,49.5311
164975,128,0.0800,152800.00,50.2081
165009,136,0.0850,154423.00,50.7899
165043,144,0.0900,155645.00,51.1430
165076,152,0.0950,156617.00,51.6146
165110,160,0.1000,158160.00,51.9969
165143,168,0.1050,159096.00,52.3228
165177,176,0.1100,160321.00,52.7429
165211,184,0.1150,161274.00,53.0215
165244,192,0.1200,162485.00,53.4097
165278,200,0.1250,163496.00,53.7497
165312,208,0.1300,164795.00,54.1944
165345,216,0.1350,165825.00,54.5436
165379,224,0.1400,166959.00,54.8629
165413,232,0.1450,168157.00,55.2639
165446,240,0.1500,169108.00,55.6948
165480,248,0.1550,170325.00,55.9639
165514,256,0.1600,171045.00,56.2809
165547,264,0.1650,172174.00,56.6025
165581,272,0.1700,173304.00,56.9645
165615,280,0.1750,174100.00,57.2582
165648,288,0.1800,175099.00,57.5956
165682,296,0.1850,175692.00,57.8683
165716,304,0.1900,176696.00,58.0842
165749,312,0.1950,177815.00,58.4997
165783,320,0.2000,178838.00,58.8997
165817,328,0.2050,179886.00,59.1938
165850,336,0.2100,180629.00,59.3559
165884,344,0.2150,181582.00,59.7267
165918,352,0.2200,182371.00,60.0066
165951,360,0.2250,183172.00,60.2607
165985,368,0.2300,184127.00,60.5810
166019,376,0.2350,185117.00,60.8494
166052,384,0.2400,185548.00,61.1041
166086,392,0.2450,186618.00,61.4358
166120,400,0.2500,187248.00,61.6508
166153,408,0.2550,188039.00,61.9025
166187,416,0.2600,188815.00,62.1444
166221,424,0.2650,189597.00,62.4158
166254,432,0.2700,190598.00,62.6724
166288,440,0.2750,191104.00,62.8171
166321,448,0.2800,192049.00,63.1269
166355,456,0.2850,192768.00,63.3734
166389,464,0.2900,193480.00,63.6789
166422,472,0.2950,194257.00,63.8751
166456,480,0.3000,194968.00,64.0698
166490,488,0.3050,195404.00,64.3690
166523,496,0.3100,196239.00,64.5515
166557,504,0.3150,196568.00,64.7225
166591,512,0.3200,197387.00,64.9456
166624,520,0.3250,198087.00,65.1911
166658,528,0.3300,198712.00,65.3736
