Millis,Steps,Travel (mm),Scale raw,Scale (grams)
190854,8,0.0050,37305.00,13.4557
190888,16,0.0100,58730.00,20.8708
190922,24,0.0150,70687.00,23.9264
190955,32,0.0200,79025.00,26.8501
190989,40,0.0250,83134.00,27.7696
191023,48,0.0300,84942.00,28.3246
191056,56,0.0350,86213.00,28.8122
191090,64,0.0400,88251.00,29.6251
191124,72,0.0450,90857.00,30.4160
191157,80,0.0500,94000.00,31.3976
191191,88,0.0550,97632.00,32.6344
191225,96,0.0600,102415.00,34.2599
191258,104,0.0650,107036.00,35.5788
191292,112,0.0700,109146.00,36.2709
191325,120,0.0750,111995.00,37.4130
191359,128,0.0800,123567.00,41.6927
191393,136,0.0850,136407.00,45.8526
191426,144,0.0900,149606.00,49.8684
191460,152,0.0950,154749.00,50.8890
191494,160,0.1000,155395.00,51.1404
191527,168,0.1050,155940.00,51.2812
191561,176,0.1100,156671.00,51.5090
191595,184,0.1150,157290.00,51.7075
191628,192,0.1200,158023.00,51.9986
191662,200,0.1250,158998.00,52.2313
191696,208,0.1300,159402.00,52.3766
191729,216,0.1350,160074.00,52.6106
191763,224,0.1400,160500.00,52.6576
191797,232,0.1450,161268.00,52.9601
191830,240,0.1500,161716.00,53.1780
191864,248,0.1550,162356.00,53.3490
191898,256,0.1600,163012.00,53.6319
191931,264,0.1650,163370.00,53.6946
191965,272,0.1700,163994.00,53.8964
191999,280,0.1750,164617.00,54.1530
192032,288,0.1800,165210.00,54.3289
192066,296,0.1850,165720.00,54.5258
192100,304,0.1900,166390.00,54.6312
192133,312,0.1950,166785.00,54.7693
192167,320,0.2000,167242.00,54.9918
192201,328,0.2050,167798.00,55.0873
192234,336,0.2100,168438.00,55.3522
192268,344,0.2150,168739.00,55.3676
192302,352,0.2200,169197.00,55.6111
192335,360,0.2250,169787.00,55.7965
192369,368,0.2300,170059.00,55.8930
192403,376,0.2350,170806.00,56.1086
192436,384,0.2400,171182.00,56.2172
192470,392,0.2450,171604.00,56.3879
192504,400,0.2500,172068.00,56.4952
192537,408,0.2550,172487.00,56.6294
192571,416,0.2600,173056.00,56.8372
192604,424,0.2650,173589.00,57.0111
192638,432,0.2700,173927.00,57.0935
192672,440,0.2750,174181.00,57.2228
192705,448,0.2800,174700.00,57.3888
192739,456,0.2850,175032.00,57.5060
192773,464,0.2900,175496.00,57.6694
192806,472,0.2950,176063.00,57.8063
192840,480,0.3000,176702.00,57.9520
192874,488,0.3050,176672.00,58.0169
192907,496,0.3100,177112.00,58.1955
192941,504,0.3150,177477.00,58.3038
192975,512,0.3200,177975.00,58.4196
193008,520,0.3250,178203.00,58.5305
193042,528,0.3300,178669.00,58.6769
193076,536,0.3350,178745.00,58.7264
193109,544,0.3400,179195.00,58.8515
193143,552,0.3450,179659.00,59.0018
193177,560,0.3500,179874.00,59.0760
193210,568,0.3550,180265.00,59.2837
193244,576,0.3600,180942.00,59.4117
193278,584,0.3650,180745.00,59.3969
193311,592,0.3700,181294.00,59.5528
193345,600,0.3750,181651.00,59.6844
193379,608,0.3800,182026.00,59.8104
193412,616,0.3850,182253.00,59.8196
193446,624,0.3900,182475.00,59.9338
193480,632,0.3950,182774.00,59.9840
193513,640,0.4000,183046.00,60.1008
193547,648,0.4050,183293.00,60.2790
193581,656,0.4100,183613.00,60.3059
193614,664,0.4150,183886.00,60.3660
193648,672,0.4200,184080.00,60.3909
193682,680,0.4250,184316.00,60.5678
193715,688,0.4300,184575.00,60.6374
193749,696,0.4350,185028.00,60.6771
193783,704,0.4400,185079.00,60.7916
193816,712,0.4450,185460.00,60.8589
193850,720,0.4500,185542.00,60.9649
193884,728,0.4550,185785.00,61.0063
193917,736,0.4600,185981.00,61.0424
193951,744,0.4650,186195.00,61.1237
193985,752,0.4700,186356.00,61.2169
194018,760,0.4750,186628.00,61.2970
194052,768,0.4800,186723.00,61.3193
194086,776,0.4850,187077.00,61.3446
194119,784,0.4900,187006.00,61.4155
194153,792,0.4950,187393.00,61.4496
194187,800,0.5000,187566.00,61.5740
194220,808,0.5050,187754.00,61.6108
194254,816,0.5100,187634.00,61.6242
194288,824,0.5150,187920.00,61.6885
194321,832,0.5200,188164.00,61.8237
194355,840,0.5250,188291.00,61.8067
194389,848,0.5300,188626.00,61.9251
194422,856,0.5350,189042.00,62.0121
194456,864,0.5400,188789.00,61.9248
194489,872,0.5450,189006.00,62.0226
194523,880,0.5500,189352.00,62.1493
194557,888,0.5550,189375.00,62.1270
194590,896,0.5600,189592.00,62.1926
194624,904,0.5650,189582.00,62.2028
194658,912,0.5700,189624.00,62.2205
194691,920,0.5750,189878.00,62.3130
194725,928,0.5800,189892.00,62.3186
194759,936,0.5850,190304.00,62.4423
194792,944,0.5900,190137.00,62.4138
194826,952,0.5950,190491.00,62.4985
194860,960,0.6000,190487.00,62.5546
194893,968,0.6050,190415.00,62.5008
194927,976,0.6100,190712.00,62.6038
194961,984,0.6150,190684.00,62.6087
194994,992,0.6200,190741.00,62.6340
195028,1000,0.6250,190940.00,62.6688
195062,1008,0.6300,191074.00,62.6878
195095,1016,0.6350,191158.00,62.6786
195129,1024,0.6400,191241.00,62.7531
195163,1032,0.6450,191275.00,62.7489
195196,1040,0.6500,191444.00,62.8165
195230,1048,0.6550,191550.00,62.8952
195264,1056,0.6600,191272.00,62.7784
195297,1064,0.6650,191423.00,62.8700
195331,1072,0.6700,191574.00,62.8824
195365,1080,0.6750,191407.00,62.9083
195398,1088,0.6800,191661.00,62.9379
195432,1096,0.6850,191919.00,62.8942
195466,1104,0.6900,191582.00,62.9625
195499,1112,0.6950,191958.00,62.9937
195533,1120,0.7000,191955.00,62.9333
195567,1128,0.7050,192040.00,62.9645
195600,1136,0.7100,192003.00,62.9294
195634,1144,0.7150,191836.00,62.9953
195668,1152,0.7200,191984.00,63.0212
195701,1160,0.7250,191813.00,63.0098
195735,1168,0.7300,192170.00,63.0504
195769,1176,0.7350,192149.00,63.0636
195802,1184,0.7400,192050.00,62.9907
195836,1192,0.7450,192076.00,63.0590
195870,1200,0.7500,192064.00,63.0728
195903,1208,0.7550,192185.00,63.0354
195937,1216,0.7600,192050.00,63.0426
195970,1224,0.7650,192300.00,63.1282
196004,1232,0.7700,192150.00,63.0570
196038,1240,0.7750,192122.00,63.0764
196071,1248,0.7800,192133.00,63.0928
196105,1256,0.7850,192207.00,63.0767
196139,1264,0.7900,192139.00,63.1036
196172,1272,0.7950,192215.00,63.0888
196206,1280,0.8000,192059.00,62.9858
196240,1288,0.8050,192008.00,63.0022
196273,1296,0.8100,192178.00,63.0002
196307,1304,0.8150,192255.00,63.0583
196341,1312,0.8200,192029.00,63.0632
196374,1320,0.8250,191996.00,62.9694
196408,1328,0.8300,191977.00,63.0229
196442,1336,0.8350,192021.00,62.9874
196475,1344,0.8400,191733.00,62.9822
196509,1352,0.8450,191824.00,62.9044
196543,1360,0.8500,191732.00,62.9231
196576,1368,0.8550,191908.00,62.9559
196610,1376,0.8600,191675.00,63.0045
196644,1384,0.8650,191761.00,62.9024
196677,1392,0.8700,191568.00,62.8831
196711,1400,0.8750,191520.00,62.8969
196745,1408,0.8800,191407.00,62.9054
196778,1416,0.8850,191518.00,62.8470
196812,1424,0.8900,191264.00,62.8591
196846,1432,0.8950,191265.00,62.8148
196879,1440,0.9000,191260.00,62.8417
196913,1448,0.9050,191006.00,62.8096
196947,1456,0.9100,191211.00,62.8358
196980,1464,0.9150,190797.00,62.6665
197014,1472,0.9200,190756.00,62.6146
197048,1480,0.9250,190679.00,62.6438
197081,1488,0.9300,190654.00,62.6524
