Millis,Steps,Travel (mm),Scale raw,Scale (grams)
222337,8,0.0050,35030.00,12.9356
222371,16,0.0100,58546.00,20.1751
222405,24,0.0150,66378.00,22.1070
222438,32,0.0200,67787.00,22.4536
222472,40,0.0250,68387.00,22.6649
222506,48,0.0300,68623.00,22.6826
222539,56,0.0350,68941.00,22.9222
222573,64,0.0400,69124.00,23.0495
222607,72,0.0450,69878.00,23.2763
222640,80,0.0500,70522.00,23.4617
222674,88,0.0550,71782.00,23.8634
222708,96,0.0600,73912.00,24.6336
222741,104,0.0650,75287.00,25.0366
222775,112,0.0700,76258.00,25.2781
222809,120,0.0750,76100.00,25.2220
222842,128,0.0800,78205.00,26.0096
222876,136,0.0850,80681.00,26.6535
222910,144,0.0900,83850.00,27.9212
222943,152,0.0950,86570.00,28.9419
222977,160,0.1000,89235.00,29.6674
223011,168,0.1050,89947.00,29.9356
223044,176,0.1100,90740.00,30.2293
223078,184,0.1150,91635.00,30.4019
223112,192,0.1200,92601.00,30.8384
223145,200,0.1250,95650.00,32.1622
223179,208,0.1300,104274.00,35.0728
223213,216,0.1350,111245.00,36.6467
223246,224,0.1400,112122.00,36.9430
223280,232,0.1450,112941.00,37.2039
223314,240,0.1500,113686.00,37.4950
223347,248,0.1550,114419.00,37.8186
223381,256,0.1600,115135.00,38.0263
223415,264,0.1650,115812.00,38.1349
223448,272,0.1700,116862.00,38.4966
223482,280,0.1750,117329.00,38.6919
223516,288,0.1800,117770.00,38.8756
223549,296,0.1850,118276.00,39.0689
223583,304,0.1900,119271.00,39.3833
223617,312,0.1950,120115.00,39.5507
223650,320,0.2000,120653.00,39.7646
223684,328,0.2050,121383.00,40.0603
223718,336,0.2100,121911.00,40.2116
223751,344,0.2150,122336.00,40.2999
223785,352,0.2200,123291.00,40.5900
223819,360,0.2250,123893.00,40.7419
223852,368,0.2300,124493.00,41.0307
223886,376,0.2350,125010.00,41.2047
223920,384,0.2400,125726.00,41.4774
223953,392,0.2450,126492.00,41.7130
223987,400,0.2500,126883.00,41.8213
224021,408,0.2550,127416.00,41.9900
224054,416,0.2600,128335.00,42.2141
224088,424,0.2650,128527.00,42.4389
224122,432,0.2700,129302.00,42.6762
224155,440,0.2750,129942.00,42.8967
224189,448,0.2800,130269.00,42.8488
224223,456,0.2850,130922.00,43.0579
224256,464,0.2900,131477.00,43.3302
224290,472,0.2950,132117.00,43.5685
224324,480,0.3000,132745.00,43.8143
224357,488,0.3050,133117.00,43.8369
224391,496,0.3100,133573.00,44.0762
224425,504,0.3150,134101.00,44.2668
224459,512,0.3200,134804.00,44.5281
224492,520,0.3250,135323.00,44.6656
224526,528,0.3300,135736.00,44.7686
224560,536,0.3350,136106.00,44.8776
224593,544,0.3400,136698.00,45.0630
224627,552,0.3450,137285.00,45.2989
224661,560,0.3500,137847.00,45.4565
224694,568,0.3550,138224.00,45.5805
224728,576,0.3600,138472.00,45.6888
224762,584,0.3650,139151.00,45.8040
224795,592,0.3700,139408.00,45.9714
224829,600,0.3750,139753.00,45.9802
224863,608,0.3800,140592.00,46.3114
224896,616,0.3850,140941.00,46.4200
224930,624,0.3900,141268.00,46.5663
224964,632,0.3950,141601.00,46.5362
224997,640,0.4000,141688.00,46.6756
225031,648,0.4050,142317.00,46.8354
225065,656,0.4100,142729.00,47.0520
225098,664,0.4150,143122.00,47.1784
225132,672,0.4200,143591.00,47.2325
225166,680,0.4250,144026.00,47.4183
225199,688,0.4300,144293.00,47.5259
225233,696,0.4350,144502.00,47.6040
225267,704,0.4400,144859.00,47.6739
225300,712,0.4450,145307.00,47.8826
225334,720,0.4500,145463.00,47.8502
225368,728,0.4550,145861.00,48.0648
225401,736,0.4600,146370.00,48.1262
225435,744,0.4650,146173.00,48.1376
225469,752,0.4700,146640.00,48.3168
225502,760,0.4750,147129.00,48.4507
225536,768,0.4800,147299.00,48.5068
225570,776,0.4850,147750.00,48.6460
225603,784,0.4900,147785.00,48.6709
225637,792,0.4950,148153.00,48.8045
225671,800,0.5000,148180.00,48.8101
225704,808,0.5050,148477.00,48.8944
225738,816,0.5100,148914.00,49.0995
225772,824,0.5150,149099.00,49.1382
225805,832,0.5200,149498.00,49.1596
225839,840,0.5250,149810.00,49.3214
225873,848,0.5300,149877.00,49.3853
225906,856,0.5350,150328.00,49.4946
225940,864,0.5400,150635.00,49.6236
225974,872,0.5450,150878.00,49.6830
226007,880,0.5500,150896.00,49.7897
226041,888,0.5550,151214.00,49.8386
226075,896,0.5600,151502.00,49.8349
226108,904,0.5650,151771.00,49.8747
226142,912,0.5700,151747.00,50.0312
226176,920,0.5750,151967.00,50.0420
226209,928,0.5800,152286.00,50.0538
226243,936,0.5850,152359.00,50.1421
226277,944,0.5900,152466.00,50.2133
