Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7942,8,0.0050,10718.00,3.7385
7976,16,0.0100,15161.00,5.2455
8009,24,0.0150,18704.00,6.3452
8043,32,0.0200,21567.00,7.3619
8076,40,0.0250,24740.00,8.3858
8110,48,0.0300,27562.00,9.3319
8143,56,0.0350,30158.00,10.0916
8177,64,0.0400,32064.00,10.7972
8210,72,0.0450,34475.00,11.5484
8244,80,0.0500,36796.00,12.4056
8277,88,0.0550,43620.00,14.9712
8311,96,0.0600,50568.00,16.7453
8344,104,0.0650,53395.00,17.6511
8378,112,0.0700,56056.00,18.5522
8411,120,0.0750,58503.00,19.4127
8445,128,0.0800,60931.00,20.0700
8478,136,0.0850,63303.00,20.8599
8512,144,0.0900,65240.00,21.5537
8545,152,0.0950,67597.00,22.2868
8579,160,0.1000,69770.00,22.9734
8612,168,0.1050,71550.00,23.5795
8646,176,0.1100,73811.00,24.4154
8679,184,0.1150,76173.00,25.0474
8713,192,0.1200,77872.00,25.7074
8746,200,0.1250,79874.00,26.3017
8780,208,0.1300,81840.00,26.9400
8813,216,0.1350,83899.00,27.6039
8846,224,0.1400,85612.00,28.1608
8880,232,0.1450,87584.00,28.7528
8913,240,0.1500,89640.00,29.4128
8947,248,0.1550,91707.00,30.0780
8980,256,0.1600,93087.00,30.6802
9014,264,0.1650,95128.00,31.2860
9047,272,0.1700,96741.00,31.7625
9081,280,0.1750,98860.00,32.4914
9114,288,0.1800,100560.00,33.0407
9148,296,0.1850,102165.00,33.5596
9181,304,0.1900,103866.00,34.1414
9215,312,0.1950,105566.00,34.6399
9248,320,0.2000,106910.00,35.1341
9282,328,0.2050,108443.00,35.6234
9315,336,0.2100,110102.00,36.0957
9349,344,0.2150,111451.00,36.6306
9382,352,0.2200,113083.00,37.0907
9416,360,0.2250,114393.00,37.5921
9449,368,0.2300,115921.00,38.1057
9483,376,0.2350,117066.00,38.5061
9516,384,0.2400,118440.00,38.9626
9550,392,0.2450,119800.00,39.3370
9583,400,0.2500,121341.00,39.8145
9617,408,0.2550,122462.00,40.1617
9650,416,0.2600,123690.00,40.6074
9684,424,0.2650,124916.00,40.9927
9717,432,0.2700,125924.00,41.3947
9751,440,0.2750,126934.00,41.6359
9784,448,0.2800,128085.00,42.0386
9818,456,0.2850,129530.00,42.5131
9851,464,0.2900,130242.00,42.7303
9885,472,0.2950,131284.00,43.1258
9918,480,0.3000,132690.00,43.4700
9952,488,0.3050,133582.00,43.9045
9985,496,0.3100,134800.00,44.2199
10019,504,0.3150,135931.00,44.6377
10052,512,0.3200,137074.00,44.9665
10086,520,0.3250,137980.00,45.2366
10119,528,0.3300,139224.00,45.7033
10152,536,0.3350,140024.00,45.9957
10186,544,0.3400,140953.00,46.2598
10219,552,0.3450,141586.00,46.5929
10253,560,0.3500,142919.00,46.9017
10286,568,0.3550,144112.00,47.2883
10320,576,0.3600,144882.00,47.4980
10353,584,0.3650,145748.00,47.7980
10387,592,0.3700,146851.00,48.1642
10420,600,0.3750,147706.00,48.4642
10454,608,0.3800,148453.00,48.7749
10487,616,0.3850,149472.00,49.0391
10521,624,0.3900,150143.00,49.2994
10554,632,0.3950,151411.00,49.7106
10588,640,0.4000,151960.00,49.9062
10621,648,0.4050,152592.00,50.1428
10655,656,0.4100,153693.00,50.4473
10688,664,0.4150,154378.00,50.6836
10722,672,0.4200,155110.00,50.8897
10755,680,0.4250,156061.00,51.2507
10789,688,0.4300,156731.00,51.4496
10822,696,0.4350,157233.00,51.6012
10856,704,0.4400,158129.00,51.8923
10889,712,0.4450,159109.00,52.1755
10923,720,0.4500,159702.00,52.4213
10956,728,0.4550,160327.00,52.6497
10990,736,0.4600,161084.00,52.8541
11023,744,0.4650,161615.00,53.1049
11057,752,0.4700,162468.00,53.3073
11090,760,0.4750,163063.00,53.5019
11124,768,0.4800,163672.00,53.7002
11157,776,0.4850,164458.00,53.9771
11191,784,0.4900,164925.00,54.1337
11224,792,0.4950,165759.00,54.3270
11258,800,0.5000,166317.00,54.5452
11291,808,0.5050,167018.00,54.8120
11325,816,0.5100,167533.00,54.9991
11358,824,0.5150,168031.00,55.0972
11392,832,0.5200,168477.00,55.3125
11425,840,0.5250,169001.00,55.4877
11459,848,0.5300,169911.00,55.7260
11492,856,0.5350,170201.00,55.8126
11526,864,0.5400,170635.00,56.0574
