Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1206688,8,0.0050,15889.00,5.4168
1206722,16,0.0100,18130.00,6.0594
1206755,24,0.0150,19281.00,6.4995
1206789,32,0.0200,20532.00,6.8903
1206823,40,0.0250,22089.00,7.3370
1206857,48,0.0300,22930.00,7.7088
1206890,56,0.0350,24073.00,8.0409
1206924,64,0.0400,25197.00,8.3638
1206958,72,0.0450,26296.00,8.7553
1206991,80,0.0500,28265.00,9.4576
1207025,88,0.0550,29953.00,9.9604
1207059,96,0.0600,31145.00,10.3594
1207093,104,0.0650,32376.00,10.8051
1207126,112,0.0700,33835.00,11.3754
1207160,120,0.0750,37293.00,12.3058
1207194,128,0.0800,38839.00,12.9077
1207228,136,0.0850,40161.00,13.2841
1207261,144,0.0900,41310.00,13.6989
1207295,152,0.0950,42631.00,14.0786
1207329,160,0.1000,44003.00,14.5423
1207362,168,0.1050,45113.00,14.9368
1207396,176,0.1100,46511.00,15.3614
1207430,184,0.1150,47745.00,15.7496
1207464,192,0.1200,48903.00,16.1809
1207497,200,0.1250,50027.00,16.5163
1207531,208,0.1300,51184.00,16.9147
1207565,216,0.1350,52381.00,17.2487
1207599,224,0.1400,53369.00,17.5815
1207632,232,0.1450,54390.00,17.9274
1207666,240,0.1500,55332.00,18.2920
1207700,248,0.1550,56746.00,18.7114
1207734,256,0.1600,57524.00,18.9080
1207767,264,0.1650,58470.00,19.2657
1207801,272,0.1700,59553.00,19.6464
1207835,280,0.1750,60587.00,19.8892
1207868,288,0.1800,61308.00,20.2154
1207902,296,0.1850,62222.00,20.5639
1207936,304,0.1900,63406.00,20.8409
1207970,312,0.1950,64009.00,21.1537
1208003,320,0.2000,64945.00,21.4471
1208037,328,0.2050,66033.00,21.7332
1208071,336,0.2100,66742.00,21.9846
1208105,344,0.2150,67792.00,22.3390
1208138,352,0.2200,68585.00,22.5671
1208172,360,0.2250,69511.00,22.9064
1208206,368,0.2300,70308.00,23.1220
1208240,376,0.2350,71057.00,23.3373
1208273,384,0.2400,71766.00,23.6110
1208307,392,0.2450,72733.00,23.8309
1208341,400,0.2500,73283.00,24.0675
1208375,408,0.2550,74314.00,24.3766
1208408,416,0.2600,74939.00,24.6618
1208442,424,0.2650,75698.00,24.8686
1208476,432,0.2700,76559.00,25.1718
1208509,440,0.2750,76832.00,25.2525
1208543,448,0.2800,77718.00,25.4951
1208577,456,0.2850,78433.00,25.7861
1208611,464,0.2900,79197.00,26.0418
1208644,472,0.2950,80042.00,26.3621
1208678,480,0.3000,80522.00,26.4664
1208712,488,0.3050,81249.00,26.6640
1208746,496,0.3100,81769.00,26.9078
1208779,504,0.3150,82378.00,27.1494
1208813,512,0.3200,83042.00,27.2852
1208847,520,0.3250,83697.00,27.5169
1208881,528,0.3300,84469.00,27.7135
1208914,536,0.3350,85030.00,27.9396
1208948,544,0.3400,85102.00,27.9731
1208982,552,0.3450,85870.00,28.2635
1209016,560,0.3500,86384.00,28.3659
1209049,568,0.3550,87105.00,28.6773
1209083,576,0.3600,87633.00,28.7449
1209117,584,0.3650,88127.00,29.0272
1209151,592,0.3700,88483.00,29.0193
1209184,600,0.3750,89049.00,29.2894
1209218,608,0.3800,89610.00,29.4630
1209252,616,0.3850,90044.00,29.5660
1209285,624,0.3900,90572.00,29.7334
1209319,632,0.3950,91161.00,29.9405
1209353,640,0.4000,91507.00,30.0724
1209387,648,0.4050,92108.00,30.1938
1209420,656,0.4100,92456.00,30.3402
1209454,664,0.4150,92615.00,30.4153
1209488,672,0.4200,93398.00,30.6815
1209522,680,0.4250,93788.00,30.7507
1209555,688,0.4300,94157.00,30.9240
1209589,696,0.4350,94624.00,31.0047
1209623,704,0.4400,95151.00,31.2469
1209657,712,0.4450,95709.00,31.3628
1209690,720,0.4500,95823.00,31.4734
1209724,728,0.4550,96393.00,31.5744
1209758,736,0.4600,96592.00,31.7267
1209792,744,0.4650,97194.00,31.9505
1209825,752,0.4700,97473.00,31.9771
1209859,760,0.4750,97813.00,32.0667
