Millis,Steps,Travel (mm),Scale raw,Scale (grams)
756628,8,0.0050,10139.00,3.8308
756662,16,0.0100,14843.00,5.2609
756695,24,0.0150,17588.00,5.9652
756729,32,0.0200,19279.00,6.5287
756763,40,0.0250,21338.00,7.2418
756797,48,0.0300,23242.00,7.8945
756830,56,0.0350,25275.00,8.4609
756864,64,0.0400,27124.00,9.0874
756898,72,0.0450,28460.00,9.5259
756931,80,0.0500,30034.00,10.0995
756965,88,0.0550,31590.00,10.5544
756999,96,0.0600,33140.00,11.2045
757033,104,0.0650,35219.00,11.8687
757066,112,0.0700,37140.00,12.4387
757100,120,0.0750,39131.00,12.9792
757134,128,0.0800,40712.00,13.6549
757168,136,0.0850,43455.00,14.6942
757201,144,0.0900,47305.00,16.0860
757235,152,0.0950,53634.00,17.9372
757269,160,0.1000,56883.00,18.8752
757303,168,0.1050,58924.00,19.5318
757336,176,0.1100,60937.00,20.1547
757370,184,0.1150,62779.00,20.7254
757404,192,0.1200,64721.00,21.3860
757437,200,0.1250,66587.00,21.9613
757471,208,0.1300,68271.00,22.5235
757505,216,0.1350,70196.00,23.1352
757539,224,0.1400,72144.00,23.8204
757572,232,0.1450,73937.00,24.3589
757606,240,0.1500,75493.00,24.9483
757640,248,0.1550,77120.00,25.4934
757674,256,0.1600,78357.00,25.8987
757707,264,0.1650,79962.00,26.4523
757741,272,0.1700,82057.00,27.0444
757775,280,0.1750,83300.00,27.4772
757809,288,0.1800,84710.00,27.9659
757842,296,0.1850,86529.00,28.5963
757876,304,0.1900,88099.00,29.0324
757910,312,0.1950,89689.00,29.5798
757943,320,0.2000,91249.00,30.0468
757977,328,0.2050,92421.00,30.5318
758011,336,0.2100,93873.00,30.9106
758045,344,0.2150,95381.00,31.3392
758078,352,0.2200,96606.00,31.8977
758112,360,0.2250,98211.00,32.4018
758146,368,0.2300,99679.00,32.8648
758180,376,0.2350,101035.00,33.2209
758213,384,0.2400,101998.00,33.5966
758247,392,0.2450,103311.00,34.0466
758281,400,0.2500,104531.00,34.4026
758315,408,0.2550,105638.00,34.8696
758348,416,0.2600,107098.00,35.2552
758382,424,0.2650,108069.00,35.5821
758416,432,0.2700,109653.00,36.0780
758449,440,0.2750,110822.00,36.4317
758483,448,0.2800,111750.00,36.8849
758517,456,0.2850,113103.00,37.2033
758551,464,0.2900,114333.00,37.5869
758584,472,0.2950,115048.00,37.8652
758618,480,0.3000,116330.00,38.3407
758652,488,0.3050,117262.00,38.5862
758686,496,0.3100,118558.00,38.9606
758719,504,0.3150,119610.00,39.3062
758753,512,0.3200,120492.00,39.5907
758787,520,0.3250,121618.00,40.0479
758821,528,0.3300,122512.00,40.3097
758854,536,0.3350,123547.00,40.6914
758888,544,0.3400,124417.00,40.9096
758922,552,0.3450,125378.00,41.2460
758956,560,0.3500,126169.00,41.4951
758989,568,0.3550,127186.00,41.7905
759023,576,0.3600,128480.00,42.2003
759057,584,0.3650,129015.00,42.4455
759090,592,0.3700,129825.00,42.7064
759124,600,0.3750,130810.00,43.0254
759158,608,0.3800,131571.00,43.2039
759192,616,0.3850,132446.00,43.5111
759225,624,0.3900,133255.00,43.8638
759259,632,0.3950,134099.00,44.0893
759293,640,0.4000,135151.00,44.3788
759327,648,0.4050,135613.00,44.6334
759360,656,0.4100,136445.00,44.8477
759394,664,0.4150,137091.00,45.0686
759428,672,0.4200,138008.00,45.3574
759461,680,0.4250,138650.00,45.5379
759495,688,0.4300,139450.00,45.8890
759529,696,0.4350,140124.00,46.0646
759563,704,0.4400,140795.00,46.2421
759596,712,0.4450,141355.00,46.4620
759630,720,0.4500,142052.00,46.7107
759664,728,0.4550,142929.00,46.9546
759698,736,0.4600,143317.00,47.1640
759731,744,0.4650,143920.00,47.3661
759765,752,0.4700,144604.00,47.5148
759799,760,0.4750,145147.00,47.6716
759833,768,0.4800,145996.00,47.9758
759866,776,0.4850,146638.00,48.1504
759900,784,0.4900,147185.00,48.3871
759934,792,0.4950,147668.00,48.5311
759967,800,0.5000,148387.00,48.7599
