Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6352,8,0.0050,21495.00,7.5585
6385,16,0.0100,40970.00,14.1797
6419,24,0.0150,43135.00,14.3388
6452,32,0.0200,44974.00,14.9926
6486,40,0.0250,47079.00,15.6440
6519,48,0.0300,49074.00,16.2390
6553,56,0.0350,50774.00,16.7972
6586,64,0.0400,52456.00,17.3449
6620,72,0.0450,54017.00,17.7348
6654,80,0.0500,53608.00,17.7046
6687,88,0.0550,54048.00,17.8345
6721,96,0.0600,54729.00,17.9671
6754,104,0.0650,56117.00,18.5457
6788,112,0.0700,57550.00,19.0881
6821,120,0.0750,59541.00,19.6316
6855,128,0.0800,60344.00,19.9857
6889,136,0.0850,61500.00,20.3483
6922,144,0.0900,62645.00,20.6745
6956,152,0.0950,64045.00,21.1517
6989,160,0.1000,65161.00,21.4513
7023,168,0.1050,66353.00,21.9124
7056,176,0.1100,67123.00,22.0552
7090,184,0.1150,68355.00,22.4125
7123,192,0.1200,68717.00,22.6511
7157,200,0.1250,69297.00,22.8401
7191,208,0.1300,70314.00,23.1621
7224,216,0.1350,70589.00,23.1089
7258,224,0.1400,70459.00,23.1069
7291,232,0.1450,69527.00,22.8549
7325,240,0.1500,70625.00,23.6911
7358,248,0.1550,77459.00,25.9387
7392,256,0.1600,86276.00,28.4703
7426,264,0.1650,87291.00,28.7348
7459,272,0.1700,88474.00,29.0915
7493,280,0.1750,89377.00,29.4157
7526,288,0.1800,90242.00,29.7111
7560,296,0.1850,91149.00,30.0327
7593,304,0.1900,92590.00,30.4157
7627,312,0.1950,93345.00,30.6753
7660,320,0.2000,94268.00,30.9860
7694,328,0.2050,95481.00,31.3552
7728,336,0.2100,96272.00,31.6870
7761,344,0.2150,97284.00,32.0175
7795,352,0.2200,98130.00,32.2610
7828,360,0.2250,98988.00,32.5531
7862,368,0.2300,99677.00,32.7490
7895,376,0.2350,100969.00,33.1864
7929,384,0.2400,102020.00,33.5343
7962,392,0.2450,102494.00,33.6921
7996,400,0.2500,103578.00,34.0942
8030,408,0.2550,104406.00,34.2162
8063,416,0.2600,105335.00,34.5388
8097,424,0.2650,106163.00,34.8880
8130,432,0.2700,107033.00,35.2181
8164,440,0.2750,107850.00,35.4692
8197,448,0.2800,108693.00,35.7334
8231,456,0.2850,109421.00,35.9743
8265,464,0.2900,110225.00,36.1941
8298,472,0.2950,111446.00,36.5961
8332,480,0.3000,111791.00,36.6723
8365,488,0.3050,112509.00,36.9893
8399,496,0.3100,113171.00,37.1957
8432,504,0.3150,114182.00,37.5009
8466,512,0.3200,114802.00,37.7382
8499,520,0.3250,115753.00,38.0358
8533,528,0.3300,116439.00,38.2682
8567,536,0.3350,117019.00,38.4405
8600,544,0.3400,117681.00,38.7782
8634,552,0.3450,118759.00,39.0053
8667,560,0.3500,119518.00,39.3505
8701,568,0.3550,120073.00,39.5024
8734,576,0.3600,121012.00,39.7637
8768,584,0.3650,121341.00,39.9724
8802,592,0.3700,122052.00,40.1319
8835,600,0.3750,122712.00,40.3737
8869,608,0.3800,123721.00,40.5352
8902,616,0.3850,124248.00,40.8437
8936,624,0.3900,124763.00,41.0321
8969,632,0.3950,125327.00,41.2647
9003,640,0.4000,126262.00,41.4163
9036,648,0.4050,126889.00,41.7327
9070,656,0.4100,127399.00,41.8810
9104,664,0.4150,128036.00,42.0635
9137,672,0.4200,128659.00,42.2945
9171,680,0.4250,129310.00,42.5023
9204,688,0.4300,129827.00,42.6726
9238,696,0.4350,130420.00,42.8347
9271,704,0.4400,130957.00,42.9725
9305,712,0.4450,131451.00,43.1501
9338,720,0.4500,132166.00,43.3575
9372,728,0.4550,132538.00,43.4983
9406,736,0.4600,133087.00,43.7785
9439,744,0.4650,133736.00,43.9754
9473,752,0.4700,134025.00,44.0906
9506,760,0.4750,134801.00,44.1956
9540,768,0.4800,135283.00,44.4723
9573,776,0.4850,135701.00,44.5737
9607,784,0.4900,136058.00,44.6856
9641,792,0.4950,136577.00,44.8664
9674,800,0.5000,137077.00,45.0367
9708,808,0.5050,137675.00,45.2087
9741,816,0.5100,138112.00,45.3272
9775,824,0.5150,138520.00,45.5067
9808,832,0.5200,139208.00,45.6977
9842,840,0.5250,139192.00,45.7915
9876,848,0.5300,140028.00,45.9202
9909,856,0.5350,140506.00,46.1341
9943,864,0.5400,140895.00,46.1860
9976,872,0.5450,141337.00,46.3156
10010,880,0.5500,141719.00,46.5056
10043,888,0.5550,142248.00,46.6750
10077,896,0.5600,142646.00,46.8335
10110,904,0.5650,142876.00,46.9060
10144,912,0.5700,143316.00,47.0596
10178,920,0.5750,143636.00,47.2253
10211,928,0.5800,144233.00,47.3126
10245,936,0.5850,144518.00,47.4714
10278,944,0.5900,144873.00,47.5469
10312,952,0.5950,145323.00,47.6697
10345,960,0.6000,145408.00,47.7415
10379,968,0.6050,146031.00,47.9181
10413,976,0.6100,146236.00,48.0126
10446,984,0.6150,146924.00,48.2029
10480,992,0.6200,147205.00,48.3047
10513,1000,0.6250,147641.00,48.4123
10547,1008,0.6300,147839.00,48.4999
10580,1016,0.6350,148016.00,48.6266
10614,1024,0.6400,148699.00,48.8068
10648,1032,0.6450,149103.00,48.9065
10681,1040,0.6500,149234.00,49.0549
10715,1048,0.6550,149610.00,49.1264
10748,1056,0.6600,150083.00,49.2478
10782,1064,0.6650,150468.00,49.3775
10815,1072,0.6700,150736.00,49.4772
