Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6817,8,0.0050,10614.00,3.8255
6850,16,0.0100,13467.00,5.0621
6884,24,0.0150,20474.00,7.3547
6917,32,0.0200,25528.00,8.7573
6951,40,0.0250,27281.00,9.1806
6984,48,0.0300,27498.00,9.2167
7018,56,0.0350,28399.00,9.4149
7052,64,0.0400,29146.00,9.7425
7085,72,0.0450,29937.00,10.0500
7119,80,0.0500,31407.00,10.5475
7152,88,0.0550,33583.00,11.1877
7186,96,0.0600,34578.00,11.5330
7220,104,0.0650,35555.00,11.8162
7253,112,0.0700,36555.00,12.1588
7287,120,0.0750,38021.00,12.5933
7320,128,0.0800,40164.00,13.4892
7354,136,0.0850,46972.00,15.8320
7387,144,0.0900,49229.00,16.2330
7421,152,0.0950,49820.00,16.4175
7455,160,0.1000,50505.00,16.6101
7488,168,0.1050,50909.00,16.7545
7522,176,0.1100,51225.00,16.8405
7555,184,0.1150,52233.00,17.1552
7589,192,0.1200,52264.00,17.2133
7623,200,0.1250,52822.00,17.3895
7656,208,0.1300,53487.00,17.5713
7690,216,0.1350,53720.00,17.6983
7723,224,0.1400,54210.00,17.8565
7757,232,0.1450,54741.00,18.0150
7790,240,0.1500,55311.00,18.2149
7824,248,0.1550,55653.00,18.2943
7858,256,0.1600,55868.00,18.4256
7891,264,0.1650,56437.00,18.5792
7925,272,0.1700,57103.00,18.7721
7958,280,0.1750,57523.00,18.9247
7992,288,0.1800,57691.00,18.9421
8025,296,0.1850,58367.00,19.1994
8059,304,0.1900,58652.00,19.3451
8093,312,0.1950,59229.00,19.5272
8126,320,0.2000,59779.00,19.6050
8160,328,0.2050,59941.00,19.7691
8193,336,0.2100,60350.00,19.8393
8227,344,0.2150,61011.00,20.0845
8261,352,0.2200,61420.00,20.1537
8294,360,0.2250,61622.00,20.3378
8328,368,0.2300,62173.00,20.4012
8361,376,0.2350,62444.00,20.5721
8395,384,0.2400,62962.00,20.7267
8428,392,0.2450,63056.00,20.7461
8462,400,0.2500,63593.00,20.9065
8496,408,0.2550,63907.00,21.0096
8529,416,0.2600,64837.00,21.2600
8563,424,0.2650,64746.00,21.2403
8596,432,0.2700,65168.00,21.4411
8630,440,0.2750,65593.00,21.6492
8664,448,0.2800,66067.00,21.6955
8697,456,0.2850,66176.00,21.7821
8731,464,0.2900,66666.00,21.9439
8764,472,0.2950,66886.00,21.9941
8798,480,0.3000,67193.00,22.1106
8831,488,0.3050,67800.00,22.3226
8865,496,0.3100,67906.00,22.4198
8899,504,0.3150,68342.00,22.5208
8932,512,0.3200,68474.00,22.5924
8966,520,0.3250,68932.00,22.7010
8999,528,0.3300,69241.00,22.8165
9033,536,0.3350,69631.00,22.8700
9066,544,0.3400,69882.00,23.0971
9100,552,0.3450,70003.00,23.0794
9134,560,0.3500,70717.00,23.2389
9167,568,0.3550,70586.00,23.2113
9201,576,0.3600,71370.00,23.4597
9234,584,0.3650,71435.00,23.4985
9268,592,0.3700,71488.00,23.5772
9301,600,0.3750,72041.00,23.7003
9335,608,0.3800,72416.00,23.7308
9369,616,0.3850,72482.00,23.9198
9402,624,0.3900,72809.00,23.9586
9436,632,0.3950,73136.00,23.9933
9469,640,0.4000,73152.00,24.0590
9503,648,0.4050,73478.00,24.1843
9537,656,0.4100,73631.00,24.2772
9570,664,0.4150,74305.00,24.3839
9604,672,0.4200,74343.00,24.4738
9637,680,0.4250,74647.00,24.4889
9671,688,0.4300,75114.00,24.6992
