Millis,Steps,Travel (mm),Scale raw,Scale (grams)
499920,8,0.0050,43720.00,15.0753
499954,16,0.0100,50933.00,17.0440
499988,24,0.0150,54809.00,18.3271
500021,32,0.0200,58331.00,19.3372
500055,40,0.0250,59572.00,19.7816
500089,48,0.0300,60461.00,20.0159
500122,56,0.0350,61513.00,20.4107
500156,64,0.0400,62509.00,20.6811
500190,72,0.0450,63144.00,20.9164
500223,80,0.0500,64076.00,21.1136
500257,88,0.0550,64441.00,21.3325
500291,96,0.0600,65489.00,21.6577
500325,104,0.0650,66629.00,22.0076
500358,112,0.0700,68102.00,22.5638
500392,120,0.0750,69776.00,23.0118
500426,128,0.0800,70972.00,23.4358
500459,136,0.0850,72238.00,23.7794
500493,144,0.0900,73626.00,24.5775
500527,152,0.0950,77809.00,26.0113
500561,160,0.1000,82321.00,27.4536
500594,168,0.1050,86643.00,28.7440
500628,176,0.1100,89673.00,29.9336
500662,184,0.1150,97243.00,32.6748
500695,192,0.1200,106202.00,35.0081
500729,200,0.1250,108419.00,35.7475
500763,208,0.1300,110492.00,36.3740
500796,216,0.1350,112291.00,36.9617
500830,224,0.1400,114384.00,37.6867
500864,232,0.1450,115953.00,38.1438
500898,240,0.1500,117889.00,38.9209
500931,248,0.1550,119902.00,39.4634
500965,256,0.1600,121141.00,39.9074
500999,264,0.1650,123070.00,40.5923
501032,272,0.1700,124763.00,41.0665
501066,280,0.1750,126418.00,41.5657
501100,288,0.1800,127776.00,41.9900
501133,296,0.1850,129890.00,42.7024
501167,304,0.1900,131377.00,43.2013
501201,312,0.1950,132710.00,43.7047
501235,320,0.2000,134343.00,44.2386
501268,328,0.2050,135875.00,44.7033
501302,336,0.2100,137509.00,45.2743
501336,344,0.2150,138639.00,45.5388
501369,352,0.2200,140171.00,46.1414
501403,360,0.2250,141676.00,46.6336
501437,368,0.2300,143129.00,47.0497
501471,376,0.2350,144617.00,47.5578
501504,384,0.2400,145821.00,48.0786
501538,392,0.2450,147658.00,48.6020
501572,400,0.2500,149071.00,49.0263
501605,408,0.2550,149960.00,49.2708
501639,416,0.2600,151441.00,49.8041
501673,424,0.2650,152560.00,50.2209
501706,432,0.2700,153755.00,50.5379
501740,440,0.2750,155046.00,51.0098
501774,448,0.2800,156545.00,51.3091
501808,456,0.2850,157677.00,51.8890
501841,464,0.2900,158802.00,52.2427
501875,472,0.2950,159894.00,52.5548
501909,480,0.3000,161270.00,53.0215
501943,488,0.3050,162517.00,53.4882
501976,496,0.3100,163739.00,53.7930
502010,504,0.3150,164474.00,54.0854
502044,512,0.3200,165880.00,54.5094
502077,520,0.3250,166833.00,54.8409
502111,528,0.3300,168221.00,55.3020
502145,536,0.3350,169041.00,55.5678
502178,544,0.3400,170145.00,55.9705
502212,552,0.3450,171072.00,56.3419
502246,560,0.3500,172206.00,56.6350
502280,568,0.3550,173422.00,56.9543
502313,576,0.3600,174252.00,57.2553
502347,584,0.3650,175127.00,57.5874
502381,592,0.3700,176099.00,57.8867
502414,600,0.3750,176980.00,58.1518
502448,608,0.3800,177792.00,58.4295
502482,616,0.3850,178914.00,58.8367
502515,624,0.3900,179604.00,59.1166
502549,632,0.3950,180585.00,59.3680
502583,640,0.4000,181239.00,59.6483
502617,648,0.4050,182241.00,59.8813
502650,656,0.4100,183065.00,60.1927
502684,664,0.4150,183725.00,60.3722
502718,672,0.4200,184726.00,60.6594
502751,680,0.4250,185720.00,61.0345
502785,688,0.4300,186253.00,61.1910
502819,696,0.4350,186897.00,61.3850
502853,704,0.4400,187524.00,61.6652
502886,712,0.4450,188693.00,62.0341
502920,720,0.4500,189506.00,62.3052
502954,728,0.4550,189940.00,62.4427
502987,736,0.4600,190951.00,62.6753
503021,744,0.4650,191539.00,62.9618
503055,752,0.4700,192256.00,63.1538
503088,760,0.4750,192860.00,63.4521
503122,768,0.4800,193675.00,63.6763
503156,776,0.4850,194393.00,63.8397
503189,784,0.4900,195108.00,64.0783
503223,792,0.4950,195632.00,64.3139
503257,800,0.5000,196329.00,64.4823
503291,808,0.5050,197146.00,64.8301
503324,816,0.5100,197402.00,64.8426
503358,824,0.5150,198030.00,65.0625
503392,832,0.5200,198724.00,65.2669
503425,840,0.5250,199474.00,65.5157
503459,848,0.5300,200099.00,65.7795
503493,856,0.5350,200726.00,65.8534
503527,864,0.5400,201264.00,66.1303
503560,872,0.5450,202162.00,66.4254
503594,880,0.5500,202366.00,66.4848
503628,888,0.5550,202831.00,66.6256
503661,896,0.5600,203378.00,66.8162
503695,904,0.5650,204080.00,67.0765
503729,912,0.5700,204772.00,67.2832
503762,920,0.5750,205402.00,67.4526
503796,928,0.5800,205487.00,67.5700
503830,936,0.5850,206272.00,67.7994
503864,944,0.5900,206761.00,67.9317
503897,952,0.5950,207234.00,68.0088
503931,960,0.6000,207579.00,68.2316
503965,968,0.6050,208358.00,68.4482
503998,976,0.6100,208981.00,68.6346
504032,984,0.6150,209284.00,68.7951
504066,992,0.6200,209692.00,68.9851
504100,1000,0.6250,210373.00,69.0813
504133,1008,0.6300,210736.00,69.2217
504167,1016,0.6350,211073.00,69.3763
504201,1024,0.6400,211718.00,69.5013
504234,1032,0.6450,212349.00,69.7800
504268,1040,0.6500,212663.00,69.8997
504302,1048,0.6550,213276.00,70.0336
504335,1056,0.6600,213544.00,70.1836
504369,1064,0.6650,214022.00,70.2266
504403,1072,0.6700,214509.00,70.4212
504437,1080,0.6750,214981.00,70.5725
504470,1088,0.6800,215027.00,70.6204
504504,1096,0.6850,215721.00,70.8636
504538,1104,0.6900,216053.00,70.9394
504571,1112,0.6950,216632.00,71.1182
504605,1120,0.7000,216866.00,71.2492
504639,1128,0.7050,217368.00,71.3827
504673,1136,0.7100,217596.00,71.4960
504706,1144,0.7150,218107.00,71.6492
504740,1152,0.7200,218581.00,71.7736
504774,1160,0.7250,218830.00,71.8783
504807,1168,0.7300,218993.00,71.9771
504841,1176,0.7350,219472.00,72.1267
504875,1184,0.7400,219847.00,72.2426
504909,1192,0.7450,220166.00,72.2570
504942,1200,0.7500,220697.00,72.4811
504976,1208,0.7550,220683.00,72.5376
505010,1216,0.7600,221182.00,72.6449
505043,1224,0.7650,221440.00,72.7437
505077,1232,0.7700,221511.00,72.7099
505111,1240,0.7750,221829.00,72.8329
505144,1248,0.7800,222056.00,72.8956
505178,1256,0.7850,221987.00,72.8585
505212,1264,0.7900,222527.00,73.1112
505246,1272,0.7950,222537.00,72.9901
505279,1280,0.8000,222777.00,73.2244
505313,1288,0.8050,223117.00,73.3035
505347,1296,0.8100,223599.00,73.3659
505380,1304,0.8150,223893.00,73.5658
505414,1312,0.8200,224101.00,73.5447
505448,1320,0.8250,224275.00,73.6711
505481,1328,0.8300,224589.00,73.7016
505515,1336,0.8350,225055.00,73.9067
505549,1344,0.8400,225178.00,73.9346
505583,1352,0.8450,225298.00,73.9773
505616,1360,0.8500,225577.00,74.1095
505650,1368,0.8550,225762.00,74.1240
505684,1376,0.8600,226067.00,74.2529
505717,1384,0.8650,226129.00,74.2841
505751,1392,0.8700,226662.00,74.4502
505785,1400,0.8750,226783.00,74.4413
505819,1408,0.8800,226775.00,74.4820
505852,1416,0.8850,227152.00,74.7038
505886,1424,0.8900,227378.00,74.6576
505920,1432,0.8950,227832.00,74.7993
505953,1440,0.9000,227581.00,74.6789
505987,1448,0.9050,228036.00,74.8430
506021,1456,0.9100,228150.00,74.8748
506054,1464,0.9150,228029.00,74.9214
506088,1472,0.9200,228369.00,74.9867
506122,1480,0.9250,228501.00,75.0031
506156,1488,0.9300,228768.00,75.0918
506189,1496,0.9350,229025.00,75.1594
506223,1504,0.9400,229084.00,75.2398
506257,1512,0.9450,229514.00,75.2801
506290,1520,0.9500,229418.00,75.2896
506324,1528,0.9550,229294.00,75.2112
