Millis,Steps,Travel (mm),Scale raw,Scale (grams)
171833,8,0.0050,28823.00,9.7274
171867,16,0.0100,32170.00,10.7775
171900,24,0.0150,34108.00,11.4978
171934,32,0.0200,36035.00,12.1089
171968,40,0.0250,37773.00,12.5779
172001,48,0.0300,39962.00,13.3274
172035,56,0.0350,41439.00,13.9135
172069,64,0.0400,43163.00,14.4675
172102,72,0.0450,44886.00,15.0106
172136,80,0.0500,46653.00,15.9338
172170,88,0.0550,59613.00,21.6203
172203,96,0.0600,78398.00,26.0884
172237,104,0.0650,81620.00,26.9892
172271,112,0.0700,83434.00,27.5458
172304,120,0.0750,85301.00,28.1070
172338,128,0.0800,87118.00,28.6980
172372,136,0.0850,88516.00,29.1847
172405,144,0.0900,90113.00,29.7265
172439,152,0.0950,91625.00,30.1915
172473,160,0.1000,93329.00,30.8065
172506,168,0.1050,94868.00,31.2555
172540,176,0.1100,95989.00,31.6148
172574,184,0.1150,97158.00,32.0332
172607,192,0.1200,98401.00,32.4723
172641,200,0.1250,99919.00,32.8776
172675,208,0.1300,101369.00,33.3902
172708,216,0.1350,102500.00,33.7647
172742,224,0.1400,103809.00,34.2146
172776,232,0.1450,105058.00,34.5365
172810,240,0.1500,106333.00,35.0134
172843,248,0.1550,107567.00,35.3753
172877,256,0.1600,108682.00,35.7442
172911,264,0.1650,110182.00,36.1872
172944,272,0.1700,111013.00,36.4524
172978,280,0.1750,112168.00,36.9230
173012,288,0.1800,113300.00,37.2869
173045,296,0.1850,114430.00,37.5902
173079,304,0.1900,115470.00,37.9426
173113,312,0.1950,116512.00,38.3269
173146,320,0.2000,117648.00,38.7322
173180,328,0.2050,118843.00,39.0637
173214,336,0.2100,119980.00,39.3912
173247,344,0.2150,120966.00,39.7171
173281,352,0.2200,122065.00,40.1791
173315,360,0.2250,123016.00,40.4046
173348,368,0.2300,123968.00,40.7469
173382,376,0.2350,125420.00,41.2053
173416,384,0.2400,125843.00,41.2660
173449,392,0.2450,126555.00,41.7642
173483,400,0.2500,128123.00,42.0254
173517,408,0.2550,128674.00,42.3490
173550,416,0.2600,129557.00,42.6755
173584,424,0.2650,130546.00,42.9522
173618,432,0.2700,131305.00,43.2265
173651,440,0.2750,132563.00,43.5652
173685,448,0.2800,133132.00,43.7716
173719,456,0.2850,134050.00,44.0627
173752,464,0.2900,134800.00,44.3118
173786,472,0.2950,135702.00,44.6318
173820,480,0.3000,136357.00,44.8392
173853,488,0.3050,137302.00,45.1729
173887,496,0.3100,137640.00,45.3429
173921,504,0.3150,138860.00,45.6124
173954,512,0.3200,139704.00,45.9120
173988,520,0.3250,140302.00,46.1072
174022,528,0.3300,141268.00,46.4462
174055,536,0.3350,141888.00,46.6684
174089,544,0.3400,142806.00,46.9753
174123,552,0.3450,143413.00,47.1741
174156,560,0.3500,143784.00,47.2568
174190,568,0.3550,144592.00,47.5906
174224,576,0.3600,145418.00,47.8242
174257,584,0.3650,145950.00,48.0582
174291,592,0.3700,146618.00,48.2328
174325,600,0.3750,147180.00,48.4435
174358,608,0.3800,148191.00,48.8022
174392,616,0.3850,148591.00,48.8734
174426,624,0.3900,149403.00,49.1222
174459,632,0.3950,149994.00,49.3325
174493,640,0.4000,150641.00,49.5005
174527,648,0.4050,151264.00,49.7184
174560,656,0.4100,151952.00,49.9984
174594,664,0.4150,152605.00,50.0394
174628,672,0.4200,152917.00,50.2632
174661,680,0.4250,153765.00,50.5576
174695,688,0.4300,154548.00,50.7679
174729,696,0.4350,154783.00,50.8451
174762,704,0.4400,155316.00,51.1171
174796,712,0.4450,155966.00,51.2625
174830,720,0.4500,156561.00,51.5034
174863,728,0.4550,157027.00,51.6084
174897,736,0.4600,157907.00,51.7853
174931,744,0.4650,158373.00,52.0271
174964,752,0.4700,158915.00,52.2693
174998,760,0.4750,159162.00,52.3317
175032,768,0.4800,159992.00,52.5788
175065,776,0.4850,160699.00,52.8174
175099,784,0.4900,161018.00,52.8617
175133,792,0.4950,161742.00,53.1255
175166,800,0.5000,162067.00,53.2696
175200,808,0.5050,162586.00,53.5653
175234,816,0.5100,162935.00,53.5499
175267,824,0.5150,163687.00,53.7556
175301,832,0.5200,164128.00,53.9450
175335,840,0.5250,164647.00,54.1048
175368,848,0.5300,165116.00,54.2919
175402,856,0.5350,165753.00,54.4733
175436,864,0.5400,165967.00,54.5675
175469,872,0.5450,167025.00,54.8301
175503,880,0.5500,167217.00,54.9193
175537,888,0.5550,167657.00,55.0896
175570,896,0.5600,168063.00,55.1848
175604,904,0.5650,168473.00,55.3643
175638,912,0.5700,169150.00,55.6196
175671,920,0.5750,169544.00,55.7909
175705,928,0.5800,170138.00,55.9084
175739,936,0.5850,170319.00,55.9816
175773,944,0.5900,170787.00,56.0709
175806,952,0.5950,171479.00,56.3662
175840,960,0.6000,171688.00,56.4808
175874,968,0.6050,171931.00,56.4991
175907,976,0.6100,172630.00,56.7328
175941,984,0.6150,172929.00,56.8217
175975,992,0.6200,173100.00,56.8926
176008,1000,0.6250,173948.00,57.1010
176042,1008,0.6300,173967.00,57.1325
176076,1016,0.6350,174390.00,57.2641
176109,1024,0.6400,174722.00,57.3809
176143,1032,0.6450,174967.00,57.5050
176177,1040,0.6500,175508.00,57.6169
176210,1048,0.6550,175743.00,57.7295
176244,1056,0.6600,176132.00,57.8899
176278,1064,0.6650,176563.00,58.0320
176311,1072,0.6700,176832.00,58.0921
176345,1080,0.6750,177222.00,58.2559
176379,1088,0.6800,177542.00,58.3097
176412,1096,0.6850,178087.00,58.4649
176446,1104,0.6900,178406.00,58.5945
176480,1112,0.6950,178504.00,58.6487
176513,1120,0.7000,178742.00,58.7245
176547,1128,0.7050,178945.00,58.7658
176581,1136,0.7100,179357.00,58.8869
176614,1144,0.7150,179570.00,58.9926
176648,1152,0.7200,180070.00,59.1948
176682,1160,0.7250,180211.00,59.2328
176715,1168,0.7300,180739.00,59.2925
176749,1176,0.7350,180932.00,59.4937
176783,1184,0.7400,181311.00,59.5374
176816,1192,0.7450,181568.00,59.7067
176850,1200,0.7500,181857.00,59.7231
176884,1208,0.7550,182274.00,59.8593
176917,1216,0.7600,182457.00,59.9811
176951,1224,0.7650,182505.00,59.8938
176985,1232,0.7700,182976.00,60.1113
177018,1240,0.7750,183260.00,60.2347
177052,1248,0.7800,183236.00,60.2239
177086,1256,0.7850,183492.00,60.3237
177120,1264,0.7900,183821.00,60.4402
177153,1272,0.7950,184193.00,60.5150
177187,1280,0.8000,184438.00,60.5970
177221,1288,0.8050,184607.00,60.7014
177254,1296,0.8100,184841.00,60.7624
177288,1304,0.8150,185028.00,60.8313
177322,1312,0.8200,185202.00,60.8842
177355,1320,0.8250,185296.00,60.9203
177389,1328,0.8300,185841.00,61.0519
177423,1336,0.8350,186009.00,61.1490
177456,1344,0.8400,186301.00,61.3315
177490,1352,0.8450,186409.00,61.2337
177524,1360,0.8500,186428.00,61.2442
177557,1368,0.8550,186855.00,61.3866
177591,1376,0.8600,186887.00,61.4227
177625,1384,0.8650,187329.00,61.6104
177658,1392,0.8700,187409.00,61.6111
177692,1400,0.8750,187452.00,61.5651
177726,1408,0.8800,187822.00,61.7338
177759,1416,0.8850,188169.00,61.7456
177793,1424,0.8900,188413.00,61.8874
177827,1432,0.8950,188352.00,61.9123
177860,1440,0.9000,188793.00,61.9859
177894,1448,0.9050,188934.00,62.0856
177928,1456,0.9100,189043.00,62.1562
177961,1464,0.9150,189153.00,62.2008
177995,1472,0.9200,189208.00,62.2198
178029,1480,0.9250,189502.00,62.2750
178062,1488,0.9300,189562.00,62.2924
178096,1496,0.9350,189828.00,62.4023
178130,1504,0.9400,189868.00,62.3626
178163,1512,0.9450,190058.00,62.4834
178197,1520,0.9500,190366.00,62.5933
178231,1528,0.9550,190458.00,62.5644
178264,1536,0.9600,190587.00,62.6343
178298,1544,0.9650,190681.00,62.6284
178332,1552,0.9700,190825.00,62.6816
178365,1560,0.9750,191037.00,62.7505
178399,1568,0.9800,191164.00,62.8092
178433,1576,0.9850,191080.00,62.8299
178466,1584,0.9900,191190.00,62.7462
178500,1592,0.9950,191411.00,62.8939
178534,1600,1.0000,191586.00,62.8791
178567,1608,1.0050,191689.00,62.9133
178601,1616,1.0100,191761.00,62.9402
178635,1624,1.0150,191797.00,63.0439
178668,1632,1.0200,191710.00,63.0147
178702,1640,1.0250,191765.00,63.0567
178736,1648,1.0300,191962.00,63.0974
178769,1656,1.0350,191976.00,63.0564
178803,1664,1.0400,192397.00,63.1420
178837,1672,1.0450,192238.00,63.1748
178871,1680,1.0500,192235.00,63.2359
178904,1688,1.0550,192315.00,63.1876
178938,1696,1.0600,192465.00,63.2707
178972,1704,1.0650,192594.00,63.2949
179005,1712,1.0700,192470.00,63.2917
179039,1720,1.0750,192522.00,63.2162
179073,1728,1.0800,192621.00,63.3232
179106,1736,1.0850,192669.00,63.2825
179140,1744,1.0900,192693.00,63.3005
179174,1752,1.0950,192804.00,63.3497
179207,1760,1.1000,192921.00,63.3786
179241,1768,1.1050,192942.00,63.4269
179275,1776,1.1100,192731.00,63.3763
179308,1784,1.1150,192843.00,63.4518
179342,1792,1.1200,192901.00,63.4183
179376,1800,1.1250,192850.00,63.3793
179409,1808,1.1300,192882.00,63.3845
179443,1816,1.1350,192848.00,63.3596
179477,1824,1.1400,193122.00,63.4613
179510,1832,1.1450,192829.00,63.3606
179544,1840,1.1500,193072.00,63.4761
179578,1848,1.1550,192888.00,63.4735
179611,1856,1.1600,193067.00,63.4918
179645,1864,1.1650,192837.00,63.3990
179679,1872,1.1700,193069.00,63.4085
179712,1880,1.1750,192915.00,63.3616
179746,1888,1.1800,192771.00,63.3218
179780,1896,1.1850,192919.00,63.3530
179813,1904,1.1900,192846.00,63.3822
179847,1912,1.1950,192771.00,63.3448
179881,1920,1.2000,192812.00,63.4009
179914,1928,1.2050,192884.00,63.4236
179948,1936,1.2100,192727.00,63.3616
179982,1944,1.2150,192814.00,63.4387
180015,1952,1.2200,192603.00,63.2910
180049,1960,1.2250,192638.00,63.2703
180083,1968,1.2300,192681.00,63.2949
180116,1976,1.2350,192514.00,63.2382
