Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7006,8,0.0050,29393.00,10.5603
7039,16,0.0100,47724.00,16.0749
7073,24,0.0150,48271.00,16.0654
7107,32,0.0200,48687.00,16.2255
7140,40,0.0250,49232.00,16.2993
7174,48,0.0300,48556.00,16.0686
7207,56,0.0350,48649.00,16.1894
7241,64,0.0400,49643.00,16.5908
7274,72,0.0450,51536.00,17.2579
7308,80,0.0500,53546.00,17.8122
7341,88,0.0550,54067.00,18.0183
7375,96,0.0600,54028.00,17.8542
7409,104,0.0650,56052.00,18.9441
7442,112,0.0700,60569.00,20.4671
7476,120,0.0750,65253.00,21.5836
7509,128,0.0800,67417.00,22.2553
7543,136,0.0850,67539.00,22.3860
7576,144,0.0900,68362.00,22.7309
7610,152,0.0950,69867.00,23.1969
7643,160,0.1000,70463.00,23.5391
7677,168,0.1050,73761.00,24.4442
7834,176,0.1100,74241.00,24.5434
7867,184,0.1150,75784.00,25.0061
7901,192,0.1200,76388.00,25.2516
7934,200,0.1250,77163.00,25.4675
7968,208,0.1300,78170.00,25.7861
8001,216,0.1350,78747.00,26.0438
8035,224,0.1400,79483.00,26.2259
8069,232,0.1450,80306.00,26.5478
8102,240,0.1500,80965.00,26.7375
8136,248,0.1550,81678.00,26.9420
8169,256,0.1600,82596.00,27.2350
8203,264,0.1650,83254.00,27.4497
8236,272,0.1700,83974.00,27.7571
8270,280,0.1750,84734.00,27.9186
8303,288,0.1800,85578.00,28.2711
8337,296,0.1850,86284.00,28.4151
8371,304,0.1900,87072.00,28.6586
8404,312,0.1950,87618.00,28.8372
8438,320,0.2000,88215.00,29.0741
8471,328,0.2050,88762.00,29.2474
8505,336,0.2100,89481.00,29.4239
8538,344,0.2150,90261.00,29.7206
8572,352,0.2200,90900.00,29.9569
8605,360,0.2250,91309.00,30.0849
8639,368,0.2300,91839.00,30.2516
8673,376,0.2350,92796.00,30.5791
8706,384,0.2400,93039.00,30.6611
8740,392,0.2450,93934.00,30.9506
8773,400,0.2500,94520.00,31.1928
8807,408,0.2550,95375.00,31.3670
8840,416,0.2600,95921.00,31.6083
8874,424,0.2650,96472.00,31.8052
8907,432,0.2700,97184.00,31.9916
8941,440,0.2750,97875.00,32.2049
8975,448,0.2800,98395.00,32.3932
9008,456,0.2850,98886.00,32.5622
9042,464,0.2900,99411.00,32.6696
9075,472,0.2950,99812.00,32.9278
9109,480,0.3000,100850.00,33.1792
9142,488,0.3050,101315.00,33.2954
9176,496,0.3100,101797.00,33.4811
9210,504,0.3150,102191.00,33.6777
9243,512,0.3200,102920.00,33.8556
9277,520,0.3250,103405.00,34.0535
9310,528,0.3300,103743.00,34.1834
9344,536,0.3350,104627.00,34.4158
9377,544,0.3400,105041.00,34.6320
9411,552,0.3450,105613.00,34.6347
9444,560,0.3500,105809.00,34.8723
9478,568,0.3550,106486.00,35.0534
9512,576,0.3600,107224.00,35.2506
9545,584,0.3650,107719.00,35.4278
9579,592,0.3700,108309.00,35.6510
9612,600,0.3750,108591.00,35.7616
9646,608,0.3800,109300.00,35.8935
9679,616,0.3850,109518.00,36.0222
9713,624,0.3900,109898.00,36.1525
9747,632,0.3950,110603.00,36.3277
9780,640,0.4000,110971.00,36.4701
9814,648,0.4050,111338.00,36.6395
9847,656,0.4100,112016.00,36.8328
9881,664,0.4150,112220.00,36.9676
9914,672,0.4200,112778.00,37.0175
9948,680,0.4250,113086.00,37.2794
9981,688,0.4300,113703.00,37.3854
10015,696,0.4350,114058.00,37.5272
10049,704,0.4400,114254.00,37.6463
10082,712,0.4450,114616.00,37.7234
10116,720,0.4500,115091.00,37.8032
10149,728,0.4550,115647.00,38.0293
10183,736,0.4600,116241.00,38.1898
10216,744,0.4650,116357.00,38.3246
10250,752,0.4700,116716.00,38.3739
10283,760,0.4750,117404.00,38.5596
10317,768,0.4800,117724.00,38.6581
10351,776,0.4850,117655.00,38.7296
10384,784,0.4900,118119.00,38.8622
10418,792,0.4950,118640.00,38.9567
10451,800,0.5000,118682.00,39.0798
10485,808,0.5050,119288.00,39.2051
10518,816,0.5100,119490.00,39.3689
10552,824,0.5150,119947.00,39.4624
10586,832,0.5200,120213.00,39.5257
10619,840,0.5250,120488.00,39.6353
10653,848,0.5300,120833.00,39.6977
10686,856,0.5350,121003.00,39.8480
10720,864,0.5400,121441.00,39.9294
10753,872,0.5450,121565.00,40.0049
10787,880,0.5500,122100.00,40.1296
10820,888,0.5550,122490.00,40.2576
10854,896,0.5600,122537.00,40.2864
10888,904,0.5650,122551.00,40.4039
10921,912,0.5700,123209.00,40.5421
10955,920,0.5750,123565.00,40.6799
10988,928,0.5800,123542.00,40.6819
11022,936,0.5850,123826.00,40.7780
11055,944,0.5900,124260.00,40.8440
11089,952,0.5950,124476.00,40.9169
11123,960,0.6000,124523.00,40.9320
11156,968,0.6050,125083.00,41.1190
11190,976,0.6100,125111.00,41.1118
11223,984,0.6150,125347.00,41.2483
11257,992,0.6200,125697.00,41.3589
11290,1000,0.6250,125975.00,41.4334
11324,1008,0.6300,126423.00,41.5305
11358,1016,0.6350,126425.00,41.6175
11391,1024,0.6400,126744.00,41.6533
11425,1032,0.6450,127019.00,41.8154
11458,1040,0.6500,127205.00,41.8462
11492,1048,0.6550,127589.00,41.8840
11525,1056,0.6600,127701.00,41.9900
11559,1064,0.6650,128148.00,42.1121
11592,1072,0.6700,128202.00,42.2519
11626,1080,0.6750,128428.00,42.2335
11660,1088,0.6800,128766.00,42.3503
11693,1096,0.6850,128975.00,42.3710
11727,1104,0.6900,129231.00,42.4855
11760,1112,0.6950,129302.00,42.5453
11794,1120,0.7000,129532.00,42.6293
11827,1128,0.7050,129752.00,42.6916
11861,1136,0.7100,129894.00,42.6936
11894,1144,0.7150,130219.00,42.7691
11928,1152,0.7200,130196.00,42.8249
11962,1160,0.7250,130575.00,42.9722
11995,1168,0.7300,130611.00,42.9039
12029,1176,0.7350,130920.00,43.0424
12062,1184,0.7400,131063.00,43.1602
12096,1192,0.7450,131144.00,43.1619
12129,1200,0.7500,131542.00,43.2351
12163,1208,0.7550,131892.00,43.2813
12197,1216,0.7600,131852.00,43.3286
12230,1224,0.7650,132033.00,43.4323
12264,1232,0.7700,132069.00,43.4523
12297,1240,0.7750,132260.00,43.5176
12331,1248,0.7800,132542.00,43.6046
12364,1256,0.7850,132711.00,43.6515
12398,1264,0.7900,133032.00,43.7398
12431,1272,0.7950,132958.00,43.7290
12465,1280,0.8000,133307.00,43.8031
12499,1288,0.8050,133304.00,43.8616
12532,1296,0.8100,133590.00,43.9423
12566,1304,0.8150,133797.00,43.9462
12599,1312,0.8200,133799.00,44.0447
12633,1320,0.8250,134096.00,44.0480
12666,1328,0.8300,133986.00,44.1274
12700,1336,0.8350,134248.00,44.1792
12734,1344,0.8400,134320.00,44.1211
12767,1352,0.8450,134313.00,44.1759
12801,1360,0.8500,134690.00,44.2908
12834,1368,0.8550,134846.00,44.2406
12868,1376,0.8600,135131.00,44.3689
12901,1384,0.8650,135247.00,44.4664
12935,1392,0.8700,135141.00,44.3837
12968,1400,0.8750,135292.00,44.4615
13002,1408,0.8800,135317.00,44.5435
13036,1416,0.8850,135494.00,44.5908
13069,1424,0.8900,135649.00,44.5799
13103,1432,0.8950,135772.00,44.6360
13136,1440,0.9000,135545.00,44.5868
13170,1448,0.9050,135791.00,44.6354
13203,1456,0.9100,135999.00,44.7010
13237,1464,0.9150,136032.00,44.7627
13271,1472,0.9200,136072.00,44.7315
13304,1480,0.9250,136174.00,44.7847
13338,1488,0.9300,136137.00,44.7588
13371,1496,0.9350,136229.00,44.7860
13405,1504,0.9400,136391.00,44.8602
13438,1512,0.9450,136550.00,44.9045
13472,1520,0.9500,136298.00,44.8448
13506,1528,0.9550,136618.00,44.9727
13539,1536,0.9600,136637.00,44.9042
13573,1544,0.9650,136707.00,45.0023
13606,1552,0.9700,136832.00,45.0082
13640,1560,0.9750,136693.00,45.0056
13673,1568,0.9800,136958.00,45.0059
13707,1576,0.9850,136946.00,45.0742
13740,1584,0.9900,137060.00,45.0397
13774,1592,0.9950,136955.00,45.1112
13808,1600,1.0000,137206.00,45.1178
13841,1608,1.0050,137145.00,45.1329
13875,1616,1.0100,137154.00,45.1162
13908,1624,1.0150,137385.00,45.2327
13942,1632,1.0200,137335.00,45.1788
13975,1640,1.0250,137129.00,45.1782
14009,1648,1.0300,137207.00,45.1716
14042,1656,1.0350,137271.00,45.1605
14076,1664,1.0400,137397.00,45.1805
14110,1672,1.0450,137513.00,45.2140
14143,1680,1.0500,137500.00,45.2366
14177,1688,1.0550,137574.00,45.2999
14210,1696,1.0600,137747.00,45.3111
14244,1704,1.0650,137601.00,45.2517
14277,1712,1.0700,137588.00,45.2435
14311,1720,1.0750,137816.00,45.2379
14345,1728,1.0800,137858.00,45.3807
14378,1736,1.0850,137776.00,45.2861
14412,1744,1.0900,137963.00,45.4072
14445,1752,1.0950,137960.00,45.3764
14479,1760,1.1000,137887.00,45.3495
14512,1768,1.1050,137987.00,45.3505
14546,1776,1.1100,138070.00,45.4086
14580,1784,1.1150,138041.00,45.3944
14613,1792,1.1200,137977.00,45.4443
14647,1800,1.1250,137996.00,45.3708
14680,1808,1.1300,138093.00,45.4266
14714,1816,1.1350,138162.00,45.3948
14747,1824,1.1400,137882.00,45.3433
14781,1832,1.1450,137880.00,45.3931
14814,1840,1.1500,138016.00,45.3649
14848,1848,1.1550,138227.00,45.4742
14882,1856,1.1600,138127.00,45.4102
14915,1864,1.1650,138102.00,45.4164
14949,1872,1.1700,137993.00,45.3826
14982,1880,1.1750,138069.00,45.4181
15016,1888,1.1800,137948.00,45.4004
15050,1896,1.1850,138144.00,45.4601
15083,1904,1.1900,138018.00,45.4036
15117,1912,1.1950,138077.00,45.3682
15150,1920,1.2000,138055.00,45.4913
15184,1928,1.2050,137939.00,45.3633
15217,1936,1.2100,137974.00,45.3177
15251,1944,1.2150,137777.00,45.3515
15284,1952,1.2200,138136.00,45.3866
15318,1960,1.2250,138075.00,45.4509
15352,1968,1.2300,137972.00,45.3242
15385,1976,1.2350,137965.00,45.3085
15419,1984,1.2400,137835.00,45.3177
15452,1992,1.2450,137814.00,45.3081
15486,2000,1.2500,137710.00,45.2816
15519,2008,1.2550,137888.00,45.3433
15553,2016,1.2600,137843.00,45.2694
15587,2024,1.2650,137641.00,45.2937
15620,2032,1.2700,137590.00,45.2222
15654,2040,1.2750,137517.00,45.2126
15687,2048,1.2800,137846.00,45.2839
15721,2056,1.2850,137558.00,45.1388
15754,2064,1.2900,137584.00,45.1365
15788,2072,1.2950,137366.00,45.1375
15821,2080,1.3000,137451.00,45.1667
15855,2088,1.3050,137119.00,45.1306
15889,2096,1.3100,137391.00,45.1175
15922,2104,1.3150,137021.00,45.0558
15956,2112,1.3200,137094.00,45.1076
15989,2120,1.3250,137202.00,45.0781
16023,2128,1.3300,136866.00,44.9619
16057,2136,1.3350,136889.00,44.9271
16090,2144,1.3400,136626.00,44.9665
16123,2152,1.3450,136500.00,44.9524
16157,2160,1.3500,136317.00,44.9061
16191,2168,1.3550,136465.00,44.8352
16224,2176,1.3600,136250.00,44.7000
16258,2184,1.3650,136230.00,44.8005
