Millis,Steps,Travel (mm),Scale raw,Scale (grams)
344911,8,0.0050,14067.00,5.7145
344945,16,0.0100,27286.00,9.3631
344978,24,0.0150,30188.00,10.0614
345012,32,0.0200,31498.00,10.5356
345046,40,0.0250,32642.00,10.8290
345080,48,0.0300,33706.00,11.2452
345113,56,0.0350,34906.00,11.5786
345147,64,0.0400,36084.00,12.0843
345181,72,0.0450,37650.00,12.6172
345215,80,0.0500,39697.00,13.1082
345248,88,0.0550,40499.00,13.4495
345282,96,0.0600,41138.00,13.6920
345316,104,0.0650,42305.00,14.0668
345350,112,0.0700,43553.00,14.5095
345383,120,0.0750,43741.00,14.4130
345417,128,0.0800,45018.00,14.9217
345451,136,0.0850,49662.00,17.1506
345485,144,0.0900,59100.00,19.7084
345518,152,0.0950,61794.00,20.3969
345552,160,0.1000,62881.00,20.7425
345586,168,0.1050,63925.00,21.0401
345620,176,0.1100,65363.00,21.4704
345653,184,0.1150,66171.00,21.7542
345687,192,0.1200,67510.00,22.1871
345721,200,0.1250,68435.00,22.5871
345755,208,0.1300,69111.00,22.7446
345788,216,0.1350,70366.00,23.1306
345822,224,0.1400,71023.00,23.4551
345856,232,0.1450,72359.00,23.8030
345890,240,0.1500,73212.00,24.0613
345923,248,0.1550,73919.00,24.3222
345957,256,0.1600,74837.00,24.6073
345991,264,0.1650,75658.00,24.9283
346025,272,0.1700,76770.00,25.3280
346058,280,0.1750,77575.00,25.5456
346092,288,0.1800,78544.00,25.7628
346126,296,0.1850,79359.00,26.1189
346160,304,0.1900,80036.00,26.3414
346193,312,0.1950,81223.00,26.7198
346227,320,0.2000,82051.00,26.9754
346261,328,0.2050,82558.00,27.2616
346295,336,0.2100,83830.00,27.5465
346328,344,0.2150,84791.00,27.8638
346362,352,0.2200,85440.00,28.1365
346396,360,0.2250,86211.00,28.3393
346430,368,0.2300,86842.00,28.6944
346463,376,0.2350,87852.00,28.8569
346497,384,0.2400,88439.00,29.1450
346531,392,0.2450,89507.00,29.4039
346565,400,0.2500,89997.00,29.6323
346598,408,0.2550,90947.00,29.9454
346632,416,0.2600,91838.00,30.1387
346666,424,0.2650,92675.00,30.4196
346700,432,0.2700,93223.00,30.6287
346756,440,0.2750,93743.00,30.7018
346790,448,0.2800,94314.00,31.0638
346823,456,0.2850,95187.00,31.2624
346857,464,0.2900,96199.00,31.5922
346891,472,0.2950,96519.00,31.7569
346925,480,0.3000,97252.00,31.9830
346958,488,0.3050,97922.00,32.1776
346992,496,0.3100,98566.00,32.3827
347026,504,0.3150,99273.00,32.6761
347060,512,0.3200,99973.00,32.8281
347093,520,0.3250,100709.00,33.0840
347127,528,0.3300,100920.00,33.2855
347161,536,0.3350,101842.00,33.4847
347194,544,0.3400,102415.00,33.6538
347228,552,0.3450,103106.00,33.9091
347262,560,0.3500,103653.00,34.0902
347296,568,0.3550,104153.00,34.1864
347329,576,0.3600,104611.00,34.4128
347363,584,0.3650,105361.00,34.5726
