Millis,Steps,Travel (mm),Scale raw,Scale (grams)
5627,8,0.0050,28490.00,9.5524
5661,16,0.0100,36428.00,11.9750
5694,24,0.0150,35719.00,11.9619
5728,32,0.0200,37129.00,12.3872
5761,40,0.0250,38351.00,12.7495
5795,48,0.0300,38906.00,12.9103
5829,56,0.0350,39303.00,13.0668
5862,64,0.0400,40110.00,13.2664
5896,72,0.0450,41008.00,13.5742
5929,80,0.0500,41900.00,13.8410
5963,88,0.0550,42490.00,14.1245
5996,96,0.0600,43511.00,14.3470
6030,104,0.0650,44260.00,14.9115
6064,112,0.0700,46916.00,15.6374
6097,120,0.0750,48313.00,15.9836
6131,128,0.0800,48893.00,16.1169
6164,136,0.0850,48485.00,16.0411
6198,144,0.0900,49083.00,16.4920
6231,152,0.0950,54492.00,18.6107
6265,160,0.1000,61739.00,20.6368
6299,168,0.1050,63954.00,21.1520
6332,176,0.1100,64967.00,21.4684
6366,184,0.1150,66029.00,21.8192
6399,192,0.1200,66741.00,22.0555
6433,200,0.1250,67300.00,22.2123
6466,208,0.1300,67491.00,22.3374
6500,216,0.1350,68592.00,22.5884
6533,224,0.1400,69238.00,22.8352
6567,232,0.1450,69880.00,23.0019
6601,240,0.1500,70507.00,23.2819
6634,248,0.1550,70733.00,23.3688
6668,256,0.1600,71131.00,23.5424
6701,264,0.1650,71666.00,23.5631
6735,272,0.1700,72692.00,23.8988
6768,280,0.1750,73137.00,24.0590
6802,288,0.1800,73869.00,24.2454
6836,296,0.1850,74152.00,24.4764
6869,304,0.1900,74902.00,24.7170
6903,312,0.1950,75513.00,24.9503
6936,320,0.2000,76246.00,25.1209
6970,328,0.2050,76680.00,25.3080
7003,336,0.2100,77640.00,25.6391
7037,344,0.2150,78108.00,25.8052
7071,352,0.2200,79483.00,26.1616
7104,360,0.2250,79841.00,26.2515
7138,368,0.2300,80167.00,26.2686
7171,376,0.2350,81057.00,26.6062
7205,384,0.2400,81315.00,26.8127
7238,392,0.2450,81844.00,27.0089
7272,400,0.2500,82533.00,27.1589
7306,408,0.2550,82544.00,27.2301
7339,416,0.2600,82877.00,27.2820
7373,424,0.2650,83484.00,27.6580
7406,432,0.2700,84480.00,27.8346
7440,440,0.2750,85404.00,28.2304
7473,448,0.2800,85700.00,28.3111
7507,456,0.2850,86257.00,28.4686
7541,464,0.2900,86789.00,28.6472
7574,472,0.2950,87050.00,28.6859
7608,480,0.3000,87585.00,28.9094
7641,488,0.3050,88488.00,29.1230
7675,496,0.3100,89048.00,29.2933
7708,504,0.3150,88953.00,29.2953
7742,512,0.3200,89456.00,29.4535
7775,520,0.3250,90165.00,29.5657
7809,528,0.3300,90777.00,29.8417
7843,536,0.3350,90932.00,29.9789
7876,544,0.3400,91369.00,30.1610
7910,552,0.3450,91372.00,30.0504
7943,560,0.3500,92260.00,29.8729
7977,568,0.3550,92610.00,30.2736
8010,576,0.3600,93700.00,30.4964
8044,584,0.3650,93770.00,30.7773
8078,592,0.3700,94342.00,30.9178
8111,600,0.3750,94167.00,30.9529
8145,608,0.3800,94865.00,31.0756
8178,616,0.3850,95278.00,31.3142
8212,624,0.3900,95295.00,31.3539
8245,632,0.3950,95550.00,31.4406
8279,640,0.4000,95675.00,31.6263
