Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7203,8,0.0050,8342.00,2.7967
7237,16,0.0100,10393.00,3.5997
7270,24,0.0150,12072.00,4.1415
7304,32,0.0200,13257.00,4.5025
7337,40,0.0250,14121.00,4.7585
7371,48,0.0300,15491.00,5.2068
7404,56,0.0350,16567.00,5.5681
7438,64,0.0400,17959.00,6.1034
7471,72,0.0450,19181.00,6.3685
7505,80,0.0500,20073.00,6.7554
7538,88,0.0550,22279.00,7.5302
7572,96,0.0600,23765.00,7.9329
7606,104,0.0650,25084.00,8.3763
7639,112,0.0700,26799.00,8.8705
7673,120,0.0750,27999.00,9.3339
7706,128,0.0800,28850.00,9.6483
7740,136,0.0850,30377.00,10.1491
7773,144,0.0900,31599.00,10.4858
7807,152,0.0950,32975.00,10.9491
7840,160,0.1000,34478.00,11.3810
7874,168,0.1050,35412.00,11.6806
7908,176,0.1100,36730.00,12.1142
7941,184,0.1150,37535.00,12.4282
7975,192,0.1200,38374.00,12.6931
8008,200,0.1250,39514.00,13.1141
8042,208,0.1300,40848.00,13.4846
8075,216,0.1350,41732.00,13.8266
8109,224,0.1400,42883.00,14.1574
8142,232,0.1450,44044.00,14.5180
8176,240,0.1500,45210.00,14.9253
8209,248,0.1550,46191.00,15.2512
8243,256,0.1600,47432.00,15.7181
8277,264,0.1650,48696.00,16.0759
8310,272,0.1700,49723.00,16.4362
8344,280,0.1750,51078.00,16.8231
8377,288,0.1800,52116.00,17.1631
8411,296,0.1850,53081.00,17.4860
8444,304,0.1900,53963.00,17.8162
8478,312,0.1950,55248.00,18.2608
8511,320,0.2000,56425.00,18.6326
8545,328,0.2050,57444.00,18.9667
8579,336,0.2100,58326.00,19.2434
8612,344,0.2150,59353.00,19.6034
8646,352,0.2200,60567.00,19.9860
8679,360,0.2250,61568.00,20.3444
8713,368,0.2300,62578.00,20.6109
8746,376,0.2350,63720.00,21.0811
8780,384,0.2400,65106.00,21.4749
8813,392,0.2450,66124.00,21.7936
8847,400,0.2500,66962.00,22.1188
8880,408,0.2550,67844.00,22.3581
8914,416,0.2600,68978.00,22.8017
8948,424,0.2650,69773.00,23.0377
8981,432,0.2700,70908.00,23.4230
9015,440,0.2750,72007.00,23.7495
9048,448,0.2800,72932.00,24.0153
9082,456,0.2850,73889.00,24.3750
9115,464,0.2900,74855.00,24.6779
9149,472,0.2950,75732.00,24.9972
9182,480,0.3000,76726.00,25.2834
9216,488,0.3050,77444.00,25.4928
9250,496,0.3100,78385.00,25.8784
9283,504,0.3150,79431.00,26.1320
9317,512,0.3200,80033.00,26.3755
9350,520,0.3250,81342.00,26.7369
9384,528,0.3300,82051.00,26.9909
9417,536,0.3350,82728.00,27.2524
9451,544,0.3400,83545.00,27.5576
9484,552,0.3450,84438.00,27.7699
9518,560,0.3500,85072.00,28.1155
9552,568,0.3550,85992.00,28.2783
9585,576,0.3600,87066.00,28.6147
9619,584,0.3650,87868.00,28.8962
9652,592,0.3700,88260.00,29.0305
9686,600,0.3750,89143.00,29.3380
9719,608,0.3800,89982.00,29.5519
9753,616,0.3850,90739.00,29.9014
9786,624,0.3900,91281.00,30.0389
9820,632,0.3950,92074.00,30.2920
9854,640,0.4000,92917.00,30.5033
9887,648,0.4050,93485.00,30.7156
9921,656,0.4100,93883.00,30.9191
9954,664,0.4150,94665.00,31.1206
9988,672,0.4200,95611.00,31.4182
10021,680,0.4250,96071.00,31.6030
10055,688,0.4300,96874.00,31.7989
10088,696,0.4350,97367.00,32.0109
10122,704,0.4400,98286.00,32.2630
10155,712,0.4450,98772.00,32.4346
10189,720,0.4500,99236.00,32.5701
10223,728,0.4550,99874.00,32.7808
10256,736,0.4600,100502.00,32.9984
10290,744,0.4650,100817.00,33.1766
10323,752,0.4700,101443.00,33.3551
10357,760,0.4750,102150.00,33.4989
10390,768,0.4800,102765.00,33.7319
10424,776,0.4850,103035.00,33.8119
10457,784,0.4900,103643.00,34.0633
10491,792,0.4950,104277.00,34.2993
10525,800,0.5000,104746.00,34.4292
10558,808,0.5050,105200.00,34.5628
10592,816,0.5100,105783.00,34.7128
10625,824,0.5150,106284.00,34.9077
10659,832,0.5200,106820.00,35.0810
10692,840,0.5250,107294.00,35.2237
10726,848,0.5300,107751.00,35.4301
10759,856,0.5350,108231.00,35.5693
10793,864,0.5400,108669.00,35.7564
