Millis,Steps,Travel (mm),Scale raw,Scale (grams)
5452,8,0.0050,11589.00,3.9955
5485,16,0.0100,13203.00,4.4074
5519,24,0.0150,14859.00,5.0118
5552,32,0.0200,16035.00,5.3709
5586,40,0.0250,17208.00,5.7545
5619,48,0.0300,18353.00,6.1286
5653,56,0.0350,19403.00,6.5513
5687,64,0.0400,20485.00,6.8821
5720,72,0.0450,21941.00,7.2608
5754,80,0.0500,22806.00,7.6658
5787,88,0.0550,23732.00,7.9962
5821,96,0.0600,26161.00,8.8531
5854,104,0.0650,28252.00,9.4497
5888,112,0.0700,30015.00,10.0618
5921,120,0.0750,31237.00,10.4185
5955,128,0.0800,33609.00,11.3771
5989,136,0.0850,39896.00,13.2605
6022,144,0.0900,41955.00,13.9030
6056,152,0.0950,43853.00,14.4160
6089,160,0.1000,45527.00,15.0667
6123,168,0.1050,47750.00,15.7487
6156,176,0.1100,49268.00,16.2836
6190,184,0.1150,50867.00,16.8569
6223,192,0.1200,52680.00,17.4460
6257,200,0.1250,54232.00,17.9071
6291,208,0.1300,56054.00,18.5788
6324,216,0.1350,57736.00,19.0291
6358,224,0.1400,59164.00,19.4931
6391,232,0.1450,61042.00,20.1104
6425,240,0.1500,62696.00,20.7146
6458,248,0.1550,63959.00,21.1743
6492,256,0.1600,65629.00,21.7053
6525,264,0.1650,67273.00,22.2212
6559,272,0.1700,69054.00,22.7309
6593,280,0.1750,70440.00,23.2061
6626,288,0.1800,71822.00,23.7036
6660,296,0.1850,73383.00,24.1295
6693,304,0.1900,75183.00,24.7701
6727,312,0.1950,76487.00,25.2542
6760,320,0.2000,77977.00,25.6683
6794,328,0.2050,79307.00,26.1258
6827,336,0.2100,80648.00,26.5839
6861,344,0.2150,82040.00,26.9797
6895,352,0.2200,83308.00,27.4090
6928,360,0.2250,84827.00,27.9787
6962,368,0.2300,86138.00,28.4089
6995,376,0.2350,87537.00,28.8037
7029,384,0.2400,88885.00,29.1831
7062,392,0.2450,90379.00,29.7429
7096,400,0.2500,91929.00,30.2736
7130,408,0.2550,92921.00,30.5978
7163,416,0.2600,94013.00,30.8938
7197,424,0.2650,95268.00,31.4737
7230,432,0.2700,96705.00,31.7700
7264,440,0.2750,97414.00,32.1008
7297,448,0.2800,99028.00,32.5222
7331,456,0.2850,100030.00,32.9485
7364,464,0.2900,101451.00,33.3138
7398,472,0.2950,102697.00,33.7981
7432,480,0.3000,103802.00,34.1572
7465,488,0.3050,104710.00,34.3547
7499,496,0.3100,106082.00,34.8342
7532,504,0.3150,107088.00,35.2060
7566,512,0.3200,108290.00,35.5562
7599,520,0.3250,109461.00,35.9802
7633,528,0.3300,110202.00,36.2942
7666,536,0.3350,111429.00,36.6572
7700,544,0.3400,112637.00,36.9223
7734,552,0.3450,113275.00,37.1872
7767,560,0.3500,114396.00,37.6246
7801,568,0.3550,115566.00,37.9932
7834,576,0.3600,116521.00,38.3407
7868,584,0.3650,117705.00,38.6124
7901,592,0.3700,118315.00,38.9029
7935,600,0.3750,119342.00,39.2159
7969,608,0.3800,120652.00,39.5763
8002,616,0.3850,121392.00,39.8067
8036,624,0.3900,122117.00,40.1614
8069,632,0.3950,123117.00,40.5263
8103,640,0.4000,124007.00,40.7298
8136,648,0.4050,125043.00,41.0557
8170,656,0.4100,125965.00,41.4094
8203,664,0.4150,126722.00,41.6047
8237,672,0.4200,127770.00,41.9710
8271,680,0.4250,128571.00,42.2397
8304,688,0.4300,129390.00,42.5485
8338,696,0.4350,130186.00,42.8180
8371,704,0.4400,130901.00,43.0191
8405,712,0.4450,131602.00,43.2797
8438,720,0.4500,132247.00,43.4484
8472,728,0.4550,133218.00,43.7838
8506,736,0.4600,134083.00,44.0260
8539,744,0.4650,135005.00,44.3187
8573,752,0.4700,135710.00,44.5491
8606,760,0.4750,136599.00,44.8776
8640,768,0.4800,137218.00,45.0827
8673,776,0.4850,137862.00,45.3383
8707,784,0.4900,138553.00,45.5306
8740,792,0.4950,139537.00,45.8503
8774,800,0.5000,140382.00,46.1263
8808,808,0.5050,141057.00,46.2999
8841,816,0.5100,141784.00,46.6287
8875,824,0.5150,142232.00,46.7606
8908,832,0.5200,143147.00,47.0284
8942,840,0.5250,143789.00,47.2627
8975,848,0.5300,144503.00,47.4331
9009,856,0.5350,145411.00,47.7084
9043,864,0.5400,146005.00,47.9279
9076,872,0.5450,146666.00,48.2390
9110,880,0.5500,147250.00,48.3933
9143,888,0.5550,148080.00,48.6096
9177,896,0.5600,148745.00,48.9049
9210,904,0.5650,149035.00,49.0523
9244,912,0.5700,149925.00,49.3187
9277,920,0.5750,150697.00,49.5229
9311,928,0.5800,151359.00,49.6869
9345,936,0.5850,152156.00,49.9475
9378,944,0.5900,152887.00,50.1897
9412,952,0.5950,153148.00,50.2212
9445,960,0.6000,153836.00,50.4746
9479,968,0.6050,154844.00,50.8165
9512,976,0.6100,155200.00,51.0206
9546,984,0.6150,155846.00,51.1368
9580,992,0.6200,156461.00,51.3603
9613,1000,0.6250,157065.00,51.5720
9647,1008,0.6300,157649.00,51.7475
9680,1016,0.6350,158166.00,51.9815
9714,1024,0.6400,158930.00,52.1722
9747,1032,0.6450,159382.00,52.4036
9781,1040,0.6500,159685.00,52.4941
9815,1048,0.6550,160515.00,52.7255
9848,1056,0.6600,160884.00,52.8298
9882,1064,0.6650,161771.00,53.1242
9915,1072,0.6700,162121.00,53.2335
9949,1080,0.6750,162589.00,53.3149
9982,1088,0.6800,163119.00,53.5666
10016,1096,0.6850,163395.00,53.7281
10050,1104,0.6900,163939.00,53.9079
10083,1112,0.6950,164798.00,54.1540
10117,1120,0.7000,165115.00,54.2049
10150,1128,0.7050,165360.00,54.2699
10184,1136,0.7100,166078.00,54.4717
10217,1144,0.7150,166505.00,54.6633
10251,1152,0.7200,166979.00,54.7884
10284,1160,0.7250,167087.00,54.7303
10318,1168,0.7300,167689.00,55.1028
10352,1176,0.7350,168176.00,55.2770
10385,1184,0.7400,168424.00,55.3719
10419,1192,0.7450,169105.00,55.5940
10452,1200,0.7500,169519.00,55.7539
10486,1208,0.7550,169613.00,55.7545
10519,1216,0.7600,170828.00,55.8116
10553,1224,0.7650,170762.00,56.0591
10587,1232,0.7700,170956.00,56.0870
10620,1240,0.7750,171356.00,56.2806
10654,1248,0.7800,171716.00,56.4174
10687,1256,0.7850,172026.00,56.5572
10721,1264,0.7900,172517.00,56.6691
10754,1272,0.7950,172576.00,56.8240
10788,1280,0.8000,173127.00,56.9169
10822,1288,0.8050,173585.00,57.0068
10855,1296,0.8100,174068.00,57.1834
10889,1304,0.8150,174282.00,57.2799
10922,1312,0.8200,174607.00,57.2507
10956,1320,0.8250,174978.00,57.5053
10989,1328,0.8300,175280.00,57.5864
11023,1336,0.8350,175667.00,57.7216
11057,1344,0.8400,175836.00,57.8302
11090,1352,0.8450,176183.00,57.8903
11124,1360,0.8500,176719.00,58.0875
11157,1368,0.8550,176855.00,58.1666
11191,1376,0.8600,177149.00,58.2171
11224,1384,0.8650,177457.00,58.3740
11258,1392,0.8700,177816.00,58.3264
11291,1400,0.8750,177917.00,58.4498
11325,1408,0.8800,178269.00,58.5355
11359,1416,0.8850,178478.00,58.6651
11392,1424,0.8900,178553.00,58.6670
11426,1432,0.8950,178652.00,58.7484
11459,1440,0.9000,179139.00,58.9155
11493,1448,0.9050,179524.00,58.9322
11526,1456,0.9100,179505.00,58.9801
11560,1464,0.9150,179867.00,59.1331
11594,1472,0.9200,180102.00,59.1550
11627,1480,0.9250,180282.00,59.2532
11661,1488,0.9300,180626.00,59.3306
11694,1496,0.9350,180766.00,59.3894
11728,1504,0.9400,180834.00,59.4225
11761,1512,0.9450,181192.00,59.5925
11795,1520,0.9500,181388.00,59.5718
11828,1528,0.9550,181433.00,59.6227
11862,1536,0.9600,181568.00,59.6509
11896,1544,0.9650,181753.00,59.6877
11929,1552,0.9700,181788.00,59.7612
11963,1560,0.9750,182005.00,59.7878
11996,1568,0.9800,182452.00,59.9394
12030,1576,0.9850,182688.00,60.0457
12063,1584,0.9900,182685.00,60.0542
12097,1592,0.9950,182936.00,60.1415
12131,1600,1.0000,183050.00,60.1241
12164,1608,1.0050,183112.00,60.1885
12198,1616,1.0100,183262.00,60.2931
12231,1624,1.0150,183477.00,60.1622
12265,1632,1.0200,183796.00,60.3627
12298,1640,1.0250,183753.00,60.3916
12332,1648,1.0300,183791.00,60.4175
12366,1656,1.0350,183953.00,60.3926
12399,1664,1.0400,184186.00,60.4398
12433,1672,1.0450,184015.00,60.4730
12466,1680,1.0500,184237.00,60.5311
12500,1688,1.0550,184513.00,60.6417
12533,1696,1.0600,184343.00,60.5905
12567,1704,1.0650,184767.00,60.6525
12601,1712,1.0700,184505.00,60.6131
12634,1720,1.0750,184713.00,60.6755
12668,1728,1.0800,184845.00,60.7388
12701,1736,1.0850,184738.00,60.5882
12735,1744,1.0900,185056.00,60.8074
12768,1752,1.0950,184915.00,60.6856
12802,1760,1.1000,184909.00,60.6719
12835,1768,1.1050,185051.00,60.8195
12869,1776,1.1100,184976.00,60.7437
12903,1784,1.1150,185302.00,60.7670
12936,1792,1.1200,185110.00,60.7913
12970,1800,1.1250,185198.00,60.8514
13003,1808,1.1300,185200.00,60.8038
13037,1816,1.1350,185270.00,60.7135
13070,1824,1.1400,185246.00,60.8832
13104,1832,1.1450,185287.00,60.8441
13138,1840,1.1500,185128.00,60.8625
13171,1848,1.1550,185060.00,60.7378
13205,1856,1.1600,185280.00,60.8947
13238,1864,1.1650,185203.00,60.7920
13272,1872,1.1700,185011.00,60.8146
13305,1880,1.1750,185312.00,60.7956
13339,1888,1.1800,185131.00,60.8615
13372,1896,1.1850,184828.00,60.7854
13406,1904,1.1900,185023.00,60.7513
13440,1912,1.1950,184938.00,60.7765
13473,1920,1.2000,185067.00,60.7234
13507,1928,1.2050,184928.00,60.7427
13540,1936,1.2100,184930.00,60.7523
13574,1944,1.2150,184957.00,60.7214
13607,1952,1.2200,184751.00,60.7519
13641,1960,1.2250,184728.00,60.6561
13675,1968,1.2300,184849.00,60.7083
13708,1976,1.2350,184649.00,60.6732
13742,1984,1.2400,184739.00,60.6791
13775,1992,1.2450,184466.00,60.6000
13809,2000,1.2500,184432.00,60.6092
13842,2008,1.2550,184200.00,60.5163
13876,2016,1.2600,184182.00,60.4585
13910,2024,1.2650,184289.00,60.5137
13943,2032,1.2700,184084.00,60.4838
13977,2040,1.2750,183998.00,60.4041
14010,2048,1.2800,183949.00,60.3768
