Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6381,8,0.0050,13484.00,4.6568
6414,16,0.0100,18262.00,6.1454
6448,24,0.0150,19522.00,6.6271
6481,32,0.0200,20929.00,7.0400
6515,40,0.0250,22292.00,7.4886
6549,48,0.0300,23716.00,7.8758
6582,56,0.0350,25169.00,8.4298
6616,64,0.0400,26523.00,8.8666
6649,72,0.0450,27631.00,9.2883
6683,80,0.0500,28942.00,9.6922
6716,88,0.0550,30225.00,10.0500
6750,96,0.0600,31556.00,10.5186
6784,104,0.0650,32629.00,10.9498
6817,112,0.0700,35429.00,11.8142
6851,120,0.0750,37809.00,12.6363
6884,128,0.0800,40204.00,13.2125
6918,136,0.0850,42562.00,14.1682
6952,144,0.0900,44691.00,14.8511
6985,152,0.0950,46745.00,15.5058
7019,160,0.1000,49092.00,16.3354
7052,168,0.1050,51184.00,16.9386
7086,176,0.1100,53676.00,17.7571
7119,184,0.1150,55686.00,18.3796
7153,192,0.1200,57664.00,19.1223
7186,200,0.1250,59879.00,19.8285
7220,208,0.1300,62117.00,20.5488
7254,216,0.1350,64443.00,21.2830
7287,224,0.1400,66364.00,21.9918
7321,232,0.1450,68111.00,22.6564
7354,240,0.1500,70135.00,23.2353
7388,248,0.1550,72443.00,23.8598
7421,256,0.1600,74587.00,24.6201
7455,264,0.1650,76412.00,25.3126
7489,272,0.1700,78593.00,25.9844
7522,280,0.1750,80887.00,26.6437
7556,288,0.1800,82768.00,27.4267
7589,296,0.1850,84717.00,28.0220
7623,304,0.1900,86569.00,28.5848
7657,312,0.1950,88352.00,29.2448
7690,320,0.2000,90387.00,29.9067
7724,328,0.2050,92700.00,30.6625
7757,336,0.2100,94691.00,31.2715
7791,344,0.2150,96445.00,31.8872
7824,352,0.2200,98613.00,32.5271
7858,360,0.2250,100242.00,32.9712
7892,368,0.2300,102152.00,33.6728
7925,376,0.2350,104064.00,34.3872
7959,384,0.2400,105701.00,34.9047
7992,392,0.2450,107644.00,35.5106
8026,400,0.2500,109375.00,36.1088
8059,408,0.2550,111245.00,36.7264
8093,416,0.2600,113022.00,37.3375
8127,424,0.2650,114709.00,37.8662
8160,432,0.2700,116838.00,38.5294
8194,440,0.2750,118732.00,39.1956
8227,448,0.2800,120513.00,39.7614
8261,456,0.2850,121915.00,40.1893
8294,464,0.2900,123621.00,40.6799
8328,472,0.2950,125394.00,41.1965
8362,480,0.3000,126507.00,41.6959
8395,488,0.3050,128243.00,42.3602
8429,496,0.3100,129922.00,42.8678
8462,504,0.3150,131713.00,43.4060
8496,512,0.3200,133165.00,43.8937
8529,520,0.3250,134669.00,44.3774
8563,528,0.3300,136786.00,44.9764
8597,536,0.3350,137992.00,45.4358
8630,544,0.3400,139339.00,45.9681
8664,552,0.3450,141059.00,46.4239
8697,560,0.3500,142572.00,46.9382
8731,568,0.3550,143999.00,47.3143
8764,576,0.3600,145262.00,47.8288
8798,584,0.3650,146688.00,48.2738
8832,592,0.3700,148182.00,48.8114
8865,600,0.3750,149522.00,49.1222
8899,608,0.3800,150584.00,49.5803
8932,616,0.3850,151869.00,50.0338
8966,624,0.3900,153336.00,50.4716
9000,632,0.3950,154747.00,50.9750
9033,640,0.4000,156035.00,51.3590
