Millis,Steps,Travel (mm),Scale raw,Scale (grams)
5102,8,0.0050,22559.00,7.8167
5135,16,0.0100,31641.00,10.5845
5169,24,0.0150,33386.00,11.2143
5202,32,0.0200,35040.00,11.6432
5236,40,0.0250,36342.00,12.0699
5269,48,0.0300,37843.00,12.5746
5303,56,0.0350,38992.00,12.9333
5337,64,0.0400,39641.00,13.0810
5370,72,0.0450,40660.00,13.5253
5404,80,0.0500,42044.00,14.0514
5437,88,0.0550,44744.00,14.8941
5471,96,0.0600,47201.00,15.7959
5504,104,0.0650,49802.00,16.5638
5538,112,0.0700,52005.00,17.2346
5572,120,0.0750,54922.00,18.1962
5605,128,0.0800,58057.00,19.2585
5639,136,0.0850,59740.00,19.7074
5672,144,0.0900,60957.00,20.0930
5706,152,0.0950,62060.00,20.4652
5739,160,0.1000,63540.00,20.9912
5773,168,0.1050,64889.00,21.4132
5807,176,0.1100,66327.00,21.7821
5840,184,0.1150,67682.00,22.3288
5874,192,0.1200,68675.00,22.6724
5907,200,0.1250,69910.00,22.9875
5941,208,0.1300,71236.00,23.4732
5975,216,0.1350,72670.00,23.8936
6008,224,0.1400,73456.00,24.2900
6042,232,0.1450,75121.00,24.6999
6075,240,0.1500,76196.00,25.0825
6109,248,0.1550,77134.00,25.2932
6142,256,0.1600,78337.00,25.7199
6176,264,0.1650,79494.00,26.1334
6210,272,0.1700,80457.00,26.5255
6243,280,0.1750,81811.00,26.8980
6277,288,0.1800,82606.00,27.2229
6310,296,0.1850,83864.00,27.5763
6344,304,0.1900,84926.00,27.9347
6377,312,0.1950,86137.00,28.3781
6411,320,0.2000,87123.00,28.6898
6445,328,0.2050,88254.00,29.0465
6478,336,0.2100,89109.00,29.3261
6512,344,0.2150,90223.00,29.6894
6545,352,0.2200,91074.00,29.9093
6579,360,0.2250,92085.00,30.3008
6612,368,0.2300,93347.00,30.6533
6646,376,0.2350,94420.00,31.0559
6680,384,0.2400,95240.00,31.3001
6713,392,0.2450,96179.00,31.6444
6747,400,0.2500,97131.00,31.9410
6780,408,0.2550,98214.00,32.2488
6814,416,0.2600,99166.00,32.5478
6848,424,0.2650,99974.00,32.8845
6881,432,0.2700,101164.00,33.1671
6915,440,0.2750,101795.00,33.4995
6948,448,0.2800,102683.00,33.7305
6982,456,0.2850,103375.00,33.9770
7015,464,0.2900,104251.00,34.3121
7049,472,0.2950,105425.00,34.6763
7083,480,0.3000,106281.00,34.9107
7116,488,0.3050,107253.00,35.2441
7150,496,0.3100,107810.00,35.4147
7183,504,0.3150,108787.00,35.7216
7217,512,0.3200,109396.00,35.9319
7251,520,0.3250,110430.00,36.3126
7284,528,0.3300,111232.00,36.5177
7318,536,0.3350,112279.00,36.9033
7351,544,0.3400,112780.00,37.1114
7385,552,0.3450,113454.00,37.3217
7418,560,0.3500,114354.00,37.5820
7452,568,0.3550,115097.00,37.8468
7486,576,0.3600,115840.00,38.0214
7519,584,0.3650,116631.00,38.3876
7553,592,0.3700,117298.00,38.5402
7586,600,0.3750,118539.00,38.8710
7620,608,0.3800,118594.00,38.9642
7653,616,0.3850,119422.00,39.1963
7687,624,0.3900,120238.00,39.4759
7721,632,0.3950,120752.00,39.6869
7754,640,0.4000,121443.00,39.8969
7788,648,0.4050,122146.00,40.1420
7821,656,0.4100,122936.00,40.3839
7855,664,0.4150,123572.00,40.5769
7888,672,0.4200,124008.00,40.7209
7922,680,0.4250,124712.00,40.9346
7956,688,0.4300,125238.00,41.1528
7989,696,0.4350,125787.00,41.3914
8023,704,0.4400,126247.00,41.5043
8056,712,0.4450,127048.00,41.7524
8090,720,0.4500,127504.00,41.7563
8123,728,0.4550,128226.00,42.0399
8157,736,0.4600,128736.00,42.1977
8191,744,0.4650,128693.00,42.1921
8224,752,0.4700,129116.00,42.4032
8258,760,0.4750,129655.00,42.5154
8291,768,0.4800,130489.00,42.8147
8325,776,0.4850,130746.00,42.9469
8359,784,0.4900,131233.00,43.0730
8392,792,0.4950,131640.00,43.2301
8426,800,0.5000,132345.00,43.4267
8459,808,0.5050,132849.00,43.6230
8493,816,0.5100,133355.00,43.7411
8526,824,0.5150,133678.00,43.8438
8560,832,0.5200,134279.00,44.0171
8594,840,0.5250,134533.00,44.2216
8627,848,0.5300,135059.00,44.3338
8661,856,0.5350,135473.00,44.5110
8694,864,0.5400,136007.00,44.5891
8728,872,0.5450,136447.00,44.8208
8762,880,0.5500,137013.00,44.9340
8795,888,0.5550,137333.00,45.1139
8829,896,0.5600,137877.00,45.3170
8862,904,0.5650,138433.00,45.4023
8896,912,0.5700,138790.00,45.4821
8929,920,0.5750,139105.00,45.6567
8963,928,0.5800,139535.00,45.7567
8997,936,0.5850,139842.00,45.8998
9030,944,0.5900,140296.00,46.1118
9064,952,0.5950,140664.00,46.2149
9097,960,0.6000,141245.00,46.3806
9131,968,0.6050,141572.00,46.4731
9165,976,0.6100,141782.00,46.4728
9198,984,0.6150,142276.00,46.7370
9232,992,0.6200,142600.00,46.8578
9265,1000,0.6250,142873.00,46.9792
9299,1008,0.6300,143318.00,47.0445
9332,1016,0.6350,144190.00,47.2463
9366,1024,0.6400,144264.00,47.2696
9400,1032,0.6450,144480.00,47.3494
9433,1040,0.6500,144731.00,47.5335
9467,1048,0.6550,145389.00,47.7202
9500,1056,0.6600,145364.00,47.7225
9534,1064,0.6650,146043.00,47.8725
9568,1072,0.6700,146188.00,48.0480
9601,1080,0.6750,146412.00,48.1255
9635,1088,0.6800,146780.00,48.2059
9668,1096,0.6850,147176.00,48.3779
9702,1104,0.6900,147480.00,48.3959
9735,1112,0.6950,147745.00,48.5265
9769,1120,0.7000,148105.00,48.6397
9803,1128,0.7050,148508.00,48.6978
9836,1136,0.7100,148925.00,48.9020
