Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8343,8,0.0050,18356.00,6.8824
8377,16,0.0100,32933.00,11.0374
8411,24,0.0150,34946.00,11.7200
8445,32,0.0200,36378.00,12.0416
8478,40,0.0250,38761.00,12.9100
8512,48,0.0300,40757.00,13.5817
8546,56,0.0350,41849.00,14.0359
8579,64,0.0400,43795.00,14.5361
8613,72,0.0450,45671.00,15.1698
8647,80,0.0500,47570.00,15.7428
8681,88,0.0550,48662.00,16.1356
8714,96,0.0600,50343.00,16.6065
8748,104,0.0650,51785.00,17.1736
8782,112,0.0700,52962.00,17.4181
8815,120,0.0750,54315.00,18.0026
8849,128,0.0800,55756.00,18.4653
8883,136,0.0850,57020.00,18.8243
8917,144,0.0900,58270.00,19.2516
8950,152,0.0950,59653.00,19.6109
8984,160,0.1000,60516.00,20.0129
9018,168,0.1050,61942.00,20.4287
9052,176,0.1100,63048.00,20.7569
9085,184,0.1150,64011.00,21.0759
9119,192,0.1200,65277.00,21.4841
9153,200,0.1250,66539.00,21.9633
9186,208,0.1300,67528.00,22.2950
9220,216,0.1350,68794.00,22.6347
9254,224,0.1400,69884.00,22.9760
9288,232,0.1450,70749.00,23.2796
9321,240,0.1500,71972.00,23.6402
9355,248,0.1550,72809.00,23.8598
9389,256,0.1600,73758.00,24.2270
9423,264,0.1650,75005.00,24.6293
9456,272,0.1700,76017.00,25.0143
9490,280,0.1750,77156.00,25.3211
9524,288,0.1800,77924.00,25.6112
9558,296,0.1850,79023.00,26.0080
9591,304,0.1900,80063.00,26.3339
9625,312,0.1950,80966.00,26.6341
9659,320,0.2000,81990.00,26.9364
9692,328,0.2050,82869.00,27.2429
9726,336,0.2100,83848.00,27.5547
9760,344,0.2150,84864.00,27.8609
9794,352,0.2200,85640.00,28.1674
9827,360,0.2250,86587.00,28.4870
9861,368,0.2300,87533.00,28.7062
9895,376,0.2350,88295.00,29.0672
9928,384,0.2400,89246.00,29.3586
9962,392,0.2450,89871.00,29.6166
9996,400,0.2500,91022.00,29.9858
10030,408,0.2550,91892.00,30.1915
10063,416,0.2600,92614.00,30.4442
10097,424,0.2650,93417.00,30.6995
10131,432,0.2700,94428.00,30.9864
10165,440,0.2750,94892.00,31.2197
10198,448,0.2800,95846.00,31.5200
10232,456,0.2850,96525.00,31.7743
10266,464,0.2900,97652.00,32.1058
10300,472,0.2950,98482.00,32.3086
10333,480,0.3000,98737.00,32.4871
10367,488,0.3050,99700.00,32.7608
10401,496,0.3100,100558.00,33.0785
10434,504,0.3150,101330.00,33.2626
10468,512,0.3200,102233.00,33.5720
10502,520,0.3250,102556.00,33.7115
10536,528,0.3300,103316.00,33.9393
10569,536,0.3350,104124.00,34.1910
10603,544,0.3400,104879.00,34.4762
10637,552,0.3450,105490.00,34.6242
10670,560,0.3500,106188.00,34.8903
10704,568,0.3550,106882.00,35.1555
10738,576,0.3600,107419.00,35.3366
10772,584,0.3650,108034.00,35.5283
10805,592,0.3700,108727.00,35.7340
10839,600,0.3750,109373.00,35.9067
10873,608,0.3800,109932.00,36.1167
10907,616,0.3850,110616.00,36.3251
10940,624,0.3900,111182.00,36.5742
10974,632,0.3950,111572.00,36.7110
11008,640,0.4000,112276.00,36.9089
11041,648,0.4050,112954.00,37.1094
11075,656,0.4100,113498.00,37.2079
11109,664,0.4150,114036.00,37.4691
11143,672,0.4200,114865.00,37.6535
11176,680,0.4250,115079.00,37.8048
11210,688,0.4300,115583.00,37.9554
11244,696,0.4350,116334.00,38.1340
11278,704,0.4400,116672.00,38.2941
11311,712,0.4450,117117.00,38.5265
11345,720,0.4500,118064.00,38.6718
