Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6267,8,0.0050,15817.00,5.3144
6301,16,0.0100,16668.00,5.6068
6334,24,0.0150,17272.00,5.8060
6368,32,0.0200,17980.00,6.0430
6401,40,0.0250,18877.00,6.3170
6435,48,0.0300,19360.00,6.4489
6468,56,0.0350,20295.00,6.7695
6502,64,0.0400,20927.00,6.9438
6535,72,0.0450,21376.00,7.0685
6569,80,0.0500,21945.00,7.2644
6602,88,0.0550,22200.00,7.4321
6636,96,0.0600,22787.00,7.6668
6669,104,0.0650,23186.00,7.7869
6702,112,0.0700,23336.00,7.7291
6736,120,0.0750,23736.00,7.9270
6769,128,0.0800,23627.00,7.9316
6803,136,0.0850,23980.00,7.9697
6836,144,0.0900,24025.00,8.0780
6870,152,0.0950,25760.00,8.7891
6903,160,0.1000,27179.00,9.1216
6937,168,0.1050,27615.00,9.2200
6970,176,0.1100,28036.00,9.3792
7004,184,0.1150,28674.00,9.5754
7037,192,0.1200,29490.00,10.0582
7071,200,0.1250,33770.00,11.4933
7104,208,0.1300,36861.00,12.1447
7138,216,0.1350,37379.00,12.3173
7171,224,0.1400,38005.00,12.5657
7204,232,0.1450,38760.00,12.8640
7238,240,0.1500,39669.00,13.0921
7271,248,0.1550,40166.00,13.2211
7305,256,0.1600,40583.00,13.4764
7338,264,0.1650,41463.00,13.6510
7372,272,0.1700,41968.00,13.9283
7405,280,0.1750,42810.00,14.1826
7439,288,0.1800,43516.00,14.3920
7472,296,0.1850,44271.00,14.6785
7506,304,0.1900,44860.00,14.8327
7539,312,0.1950,45724.00,15.1012
7573,320,0.2000,46093.00,15.2754
7606,328,0.2050,46921.00,15.5035
7639,336,0.2100,47326.00,15.6190
7673,344,0.2150,47957.00,15.7713
7706,352,0.2200,48862.00,16.1579
7740,360,0.2250,49401.00,16.3095
7773,368,0.2300,50131.00,16.5468
7807,376,0.2350,50788.00,16.7506
7840,384,0.2400,51404.00,16.9832
7874,392,0.2450,51811.00,17.0870
7907,400,0.2500,52602.00,17.3528
7941,408,0.2550,53013.00,17.4594
7974,416,0.2600,53654.00,17.6747
8008,424,0.2650,54044.00,17.8752
8041,432,0.2700,54703.00,18.0807
8075,440,0.2750,55153.00,18.2612
8108,448,0.2800,55887.00,18.4006
8141,456,0.2850,56413.00,18.6881
8175,464,0.2900,57036.00,18.8217
8208,472,0.2950,57643.00,18.9825
8242,480,0.3000,58036.00,19.1636
8275,488,0.3050,58794.00,19.3737
8309,496,0.3100,59037.00,19.4675
8342,504,0.3150,59542.00,19.6362
8376,512,0.3200,60299.00,19.9256
8409,520,0.3250,60584.00,19.9955
8443,528,0.3300,60908.00,20.1455
8476,536,0.3350,61412.00,20.2623
8510,544,0.3400,61917.00,20.4146
8543,552,0.3450,62796.00,20.6401
8577,560,0.3500,63086.00,20.7989
8610,568,0.3550,63620.00,20.9407
8643,576,0.3600,63874.00,21.0165
8677,584,0.3650,64434.00,21.3043
8710,592,0.3700,64887.00,21.3095
8744,600,0.3750,65133.00,21.5258
8777,608,0.3800,65730.00,21.5878
8811,616,0.3850,66004.00,21.7391
8844,624,0.3900,66399.00,21.8399
8878,632,0.3950,67198.00,22.1201
8911,640,0.4000,67483.00,22.2294
8945,648,0.4050,67815.00,22.3279
8978,656,0.4100,68356.00,22.4555
9012,664,0.4150,68426.00,22.5724
9045,672,0.4200,68866.00,22.6603
9079,680,0.4250,69370.00,22.8155
9112,688,0.4300,69427.00,22.9343
9145,696,0.4350,70051.00,23.0236
9179,704,0.4400,70469.00,23.1683
9212,712,0.4450,70656.00,23.3104
9246,720,0.4500,71244.00,23.4847
9279,728,0.4550,71509.00,23.5313
9313,736,0.4600,72004.00,23.6520
9346,744,0.4650,72309.00,23.7830
9380,752,0.4700,72618.00,23.8804
9413,760,0.4750,72850.00,23.9353
9447,768,0.4800,73393.00,24.1538
9480,776,0.4850,73555.00,24.2208
9514,784,0.4900,73716.00,24.2910
9547,792,0.4950,74339.00,24.4137
9581,800,0.5000,74509.00,24.5742
9614,808,0.5050,74739.00,24.6021
9647,816,0.5100,75611.00,24.8426
9681,824,0.5150,75699.00,24.9066
9714,832,0.5200,75846.00,24.9447
9748,840,0.5250,76277.00,25.1344
9781,848,0.5300,76355.00,25.1547
9815,856,0.5350,76857.00,25.3343
9848,864,0.5400,76847.00,25.3044
9882,872,0.5450,77299.00,25.4652
9915,880,0.5500,77795.00,25.5686
9949,888,0.5550,77898.00,25.6188
9982,896,0.5600,78235.00,25.7231
10016,904,0.5650,78573.00,25.8675
10049,912,0.5700,78784.00,25.9476
10083,920,0.5750,78891.00,25.9962
10116,928,0.5800,79402.00,26.1612
10149,936,0.5850,79541.00,26.1465
10183,944,0.5900,79844.00,26.3506
10216,952,0.5950,80221.00,26.3837
10250,960,0.6000,80369.00,26.4707
10283,968,0.6050,80611.00,26.4468
10317,976,0.6100,81090.00,26.6351
10350,984,0.6150,81363.00,26.8310
10384,992,0.6200,81609.00,26.8527
10417,1000,0.6250,81823.00,26.9413
10451,1008,0.6300,81883.00,26.9679
10484,1016,0.6350,82149.00,27.1248
10518,1024,0.6400,82344.00,27.1566
10551,1032,0.6450,82511.00,27.1756
10585,1040,0.6500,82966.00,27.3499
10618,1048,0.6550,83227.00,27.3263
10652,1056,0.6600,83459.00,27.5218
10685,1064,0.6650,83356.00,27.4319
10718,1072,0.6700,83946.00,27.6597
10752,1080,0.6750,84047.00,27.6249
10785,1088,0.6800,84437.00,27.6662
10819,1096,0.6850,84494.00,27.8828
10852,1104,0.6900,84894.00,27.9029
10886,1112,0.6950,85044.00,27.9652
10919,1120,0.7000,85116.00,27.9905
10953,1128,0.7050,85301.00,28.0673
10986,1136,0.7100,85333.00,28.1769
11020,1144,0.7150,85890.00,28.2432
11053,1152,0.7200,85875.00,28.3134
11086,1160,0.7250,86186.00,28.3196
11120,1168,0.7300,86467.00,28.4493
11154,1176,0.7350,86649.00,28.5028
11187,1184,0.7400,86877.00,28.5946
11220,1192,0.7450,86924.00,28.6294
11254,1200,0.7500,87235.00,28.6915
11287,1208,0.7550,87158.00,28.7591
11321,1216,0.7600,87598.00,28.8736
11354,1224,0.7650,87523.00,28.8165
11388,1232,0.7700,88105.00,29.0088
11421,1240,0.7750,88013.00,29.0003
11455,1248,0.7800,88245.00,29.0521
11488,1256,0.7850,88383.00,29.1371
11522,1264,0.7900,88590.00,29.1870
11555,1272,0.7950,88669.00,29.1840
11588,1280,0.8000,89131.00,29.2920
11622,1288,0.8050,89071.00,29.3997
11655,1296,0.8100,89289.00,29.4075
11689,1304,0.8150,89390.00,29.4144
11722,1312,0.8200,89678.00,29.4010
11756,1320,0.8250,89924.00,29.5765
11789,1328,0.8300,90006.00,29.6648
11823,1336,0.8350,90227.00,29.7035
11856,1344,0.8400,90179.00,29.6944
11890,1352,0.8450,90351.00,29.6704
11923,1360,0.8500,90428.00,29.7616
11957,1368,0.8550,90593.00,29.8476
11990,1376,0.8600,90918.00,29.9152
12024,1384,0.8650,91209.00,29.9841
12057,1392,0.8700,90981.00,29.9566
12090,1400,0.8750,91182.00,29.8804
12124,1408,0.8800,91446.00,30.1430
12157,1416,0.8850,91462.00,30.1423
12191,1424,0.8900,91420.00,30.0790
12224,1432,0.8950,92080.00,30.2296
12258,1440,0.9000,91886.00,30.2565
12291,1448,0.9050,91956.00,30.2644
12325,1456,0.9100,92069.00,30.3038
12358,1464,0.9150,92332.00,30.3569
