Millis,Steps,Travel (mm),Scale raw,Scale (grams)
5995,8,0.0050,12416.00,4.1041
6029,16,0.0100,13631.00,4.6072
6062,24,0.0150,14606.00,4.9269
6096,32,0.0200,15965.00,5.3978
6129,40,0.0250,17565.00,5.8753
6163,48,0.0300,18687.00,6.1565
6196,56,0.0350,19180.00,6.3830
6230,64,0.0400,19708.00,6.5713
6263,72,0.0450,20188.00,6.6356
6297,80,0.0500,20752.00,6.8877
6330,88,0.0550,21239.00,7.0626
6364,96,0.0600,21819.00,7.2296
6397,104,0.0650,23507.00,7.9070
6431,112,0.0700,25347.00,8.3759
6464,120,0.0750,25288.00,8.3477
6498,128,0.0800,25550.00,8.5056
6532,136,0.0850,26382.00,8.7422
6565,144,0.0900,26716.00,8.7773
6599,152,0.0950,27050.00,8.9351
6632,160,0.1000,27260.00,9.1288
6666,168,0.1050,30737.00,10.4077
6699,176,0.1100,33130.00,10.9505
6733,184,0.1150,34110.00,11.2324
6766,192,0.1200,34900.00,11.5379
6800,200,0.1250,36070.00,11.9150
6833,208,0.1300,36995.00,12.2169
6867,216,0.1350,37791.00,12.4512
6900,224,0.1400,38487.00,12.7298
6934,232,0.1450,39583.00,13.0819
6967,240,0.1500,40682.00,13.4163
7001,248,0.1550,41442.00,13.6034
7034,256,0.1600,42040.00,13.8394
7068,264,0.1650,43356.00,14.2177
7101,272,0.1700,44087.00,14.4813
7135,280,0.1750,44779.00,14.7438
7168,288,0.1800,45784.00,15.0093
7202,296,0.1850,46604.00,15.3115
7235,304,0.1900,47369.00,15.4727
7269,312,0.1950,47984.00,15.8599
7302,320,0.2000,48917.00,16.0027
7336,328,0.2050,49669.00,16.3771
7369,336,0.2100,50467.00,16.6262
7403,344,0.2150,51379.00,16.9557
7436,352,0.2200,52372.00,17.2002
7470,360,0.2250,52811.00,17.3360
7503,368,0.2300,53591.00,17.6304
7537,376,0.2350,54452.00,17.8532
7570,384,0.2400,54966.00,18.0255
7604,392,0.2450,55836.00,18.3750
7637,400,0.2500,56612.00,18.5276
7671,408,0.2550,57292.00,18.8594
7704,416,0.2600,57865.00,19.0235
7738,424,0.2650,58553.00,19.3133
7771,432,0.2700,59430.00,19.5098
7805,440,0.2750,60098.00,19.7222
7839,448,0.2800,60579.00,19.9358
7872,456,0.2850,61480.00,20.2210
7906,464,0.2900,61992.00,20.4593
7939,472,0.2950,62881.00,20.6542
7973,480,0.3000,63298.00,20.8117
8006,488,0.3050,64029.00,21.0644
8040,496,0.3100,64706.00,21.2981
8073,504,0.3150,65336.00,21.5104
8107,512,0.3200,65769.00,21.6203
8140,520,0.3250,66571.00,21.8441
8174,528,0.3300,67250.00,22.0870
8207,536,0.3350,67943.00,22.3282
8241,544,0.3400,68439.00,22.5057
8274,552,0.3450,69130.00,22.7345
8308,560,0.3500,69780.00,22.9107
8341,568,0.3550,70209.00,23.0692
8375,576,0.3600,70717.00,23.2441
8408,584,0.3650,71369.00,23.4758
8442,592,0.3700,71814.00,23.6727
8475,600,0.3750,72395.00,23.8148
8509,608,0.3800,72894.00,24.0035
8542,616,0.3850,73506.00,24.2073
8576,624,0.3900,74030.00,24.4072
8609,632,0.3950,74638.00,24.5686
8643,640,0.4000,75120.00,24.6667
