Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1611252,8,0.0050,28077.00,9.6086
1611286,16,0.0100,32146.00,10.4638
1611320,24,0.0150,29822.00,10.3830
1611354,32,0.0200,30579.00,10.6915
1611387,40,0.0250,31657.00,11.0295
1611421,48,0.0300,33576.00,11.8624
1611455,56,0.0350,41680.00,15.5403
1611489,64,0.0400,49114.00,16.3341
1611522,72,0.0450,47999.00,16.1441
1611556,80,0.0500,47893.00,16.1559
1611590,88,0.0550,48494.00,16.4277
1611624,96,0.0600,49117.00,16.6167
1611657,104,0.0650,49625.00,16.7739
1611691,112,0.0700,49766.00,16.7735
1611725,120,0.0750,50714.00,17.1063
1611758,128,0.0800,50603.00,17.1759
1611792,136,0.0850,51528.00,17.3104
1611826,144,0.0900,51717.00,17.3728
1611860,152,0.0950,52680.00,17.5989
1611893,160,0.1000,53158.00,17.8345
1611927,168,0.1050,53295.00,17.9254
1611961,176,0.1100,53676.00,18.0679
1611994,184,0.1150,53990.00,18.1102
1612028,192,0.1200,54182.00,18.2385
1612062,200,0.1250,54361.00,18.4092
1612096,208,0.1300,55050.00,18.5959
1612129,216,0.1350,55436.00,18.7209
1612163,224,0.1400,55922.00,18.7902
1612197,232,0.1450,57009.00,19.0425
1612231,240,0.1500,57232.00,19.2421
1612264,248,0.1550,57827.00,19.3776
1612298,256,0.1600,58026.00,19.4222
1612332,264,0.1650,58350.00,19.5794
1612365,272,0.1700,58798.00,19.8124
1612399,280,0.1750,59228.00,19.8193
1612433,288,0.1800,59759.00,19.9867
1612467,296,0.1850,60174.00,20.1265
1612500,304,0.1900,60397.00,20.2423
1612534,312,0.1950,60863.00,20.3631
1612568,320,0.2000,61256.00,20.5147
1612602,328,0.2050,61629.00,20.6424
1612635,336,0.2100,61752.00,20.6660
1612669,344,0.2150,62497.00,20.9039
1612703,352,0.2200,62739.00,20.9794
1612736,360,0.2250,62584.00,20.9476
1612770,368,0.2300,63057.00,21.1461
1612804,376,0.2350,63802.00,21.3305
1612838,384,0.2400,63814.00,21.3686
1612871,392,0.2450,64113.00,21.5189
1612905,400,0.2500,64488.00,21.6446
1612939,408,0.2550,65018.00,21.7621
1612973,416,0.2600,65245.00,21.8688
1613006,424,0.2650,65801.00,22.0578
1613040,432,0.2700,65963.00,22.0919
1613074,440,0.2750,66109.00,22.1608
1613107,448,0.2800,66525.00,22.2603
1613141,456,0.2850,66926.00,22.4591
1613175,464,0.2900,67473.00,22.5937
1613209,472,0.2950,67531.00,22.6912
1613242,480,0.3000,68171.00,22.8044
1613276,488,0.3050,68294.00,22.8145
1613310,496,0.3100,68530.00,22.9475
1613343,504,0.3150,69141.00,23.1155
1613377,512,0.3200,69279.00,23.1434
1613411,520,0.3250,69265.00,23.1808
1613445,528,0.3300,69596.00,23.3039
1613478,536,0.3350,70056.00,23.5096
1613512,544,0.3400,70213.00,23.4610
1613546,552,0.3450,70453.00,23.5933
1613580,560,0.3500,70923.00,23.5624
1613613,568,0.3550,70999.00,23.6868
1613647,576,0.3600,71114.00,23.7928
1613681,584,0.3650,71348.00,23.9113
1613714,592,0.3700,71684.00,23.9382
1613748,600,0.3750,71836.00,23.8312
1613782,608,0.3800,72822.00,24.0695
1613816,616,0.3850,72463.00,24.2457
1613849,624,0.3900,72939.00,24.3205
1613883,632,0.3950,73431.00,24.5660
1613917,640,0.4000,73417.00,24.4764
1613951,648,0.4050,73920.00,24.6802
1613984,656,0.4100,74177.00,24.6920
1614018,664,0.4150,74405.00,24.8853
1614052,672,0.4200,74552.00,24.8187
1614085,680,0.4250,74928.00,24.9454
1614119,688,0.4300,75033.00,25.0291
1614153,696,0.4350,75342.00,25.0389
1614187,704,0.4400,75604.00,25.1508
1614220,712,0.4450,76057.00,25.3438
1614254,720,0.4500,76368.00,25.3917
1614288,728,0.4550,76120.00,25.3503
1614321,736,0.4600,76583.00,25.5233
1614468,744,0.4650,77107.00,25.5541
1614501,752,0.4700,77254.00,25.6122
1614535,760,0.4750,77118.00,25.7267
1614569,768,0.4800,77434.00,25.8367
1614603,776,0.4850,77493.00,25.7609
1614636,784,0.4900,77856.00,25.9407
1614670,792,0.4950,78011.00,25.9916
1614704,800,0.5000,78083.00,26.0191
1614737,808,0.5050,78436.00,26.1416
1614771,816,0.5100,78967.00,26.2394
1614805,824,0.5150,79474.00,26.3627
1614839,832,0.5200,79704.00,26.4920
1614872,840,0.5250,79973.00,26.5111
1614906,848,0.5300,79763.00,26.5134
1614940,856,0.5350,80154.00,26.6328
1614974,864,0.5400,80375.00,26.6827
1615007,872,0.5450,80676.00,26.7828
1615041,880,0.5500,81011.00,26.8045
1615075,888,0.5550,80775.00,26.8583
1615108,896,0.5600,81383.00,27.0001
1615142,904,0.5650,81238.00,27.0083
