Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1203992,8,0.0050,25897.00,8.7287
1204026,16,0.0100,27731.00,9.1773
1204060,24,0.0150,26631.00,9.0943
1204094,32,0.0200,27479.00,9.3125
1204127,40,0.0250,27808.00,9.5577
1204161,48,0.0300,28577.00,9.7956
1204195,56,0.0350,28658.00,9.7431
1204229,64,0.0400,28508.00,9.7352
1204262,72,0.0450,28845.00,9.8642
1204296,80,0.0500,29544.00,10.0572
1204330,88,0.0550,30228.00,10.2039
1204364,96,0.0600,30824.00,10.4126
1204397,104,0.0650,31364.00,10.6403
1204431,112,0.0700,32362.00,10.9340
1204465,120,0.0750,32955.00,10.9711
1204499,128,0.0800,33852.00,11.3505
1204532,136,0.0850,34493.00,11.6764
1204566,144,0.0900,35354.00,11.9737
1204600,152,0.0950,35963.00,12.1496
1204634,160,0.1000,36609.00,12.3403
1204667,168,0.1050,37452.00,12.8197
1204701,176,0.1100,42219.00,14.5968
1204735,184,0.1150,48413.00,16.1474
1204769,192,0.1200,49252.00,16.4506
1204802,200,0.1250,49834.00,16.5179
1204836,208,0.1300,50527.00,16.7722
1204870,216,0.1350,50976.00,16.9721
1204904,224,0.1400,51767.00,17.1578
1204937,232,0.1450,52656.00,17.3721
1204971,240,0.1500,53150.00,17.6691
1205005,248,0.1550,53788.00,17.8657
1205039,256,0.1600,54711.00,18.1909
1205072,264,0.1650,55222.00,18.3068
1205106,272,0.1700,55886.00,18.5467
1205140,280,0.1750,56591.00,18.8440
1205174,288,0.1800,56964.00,18.9480
1205207,296,0.1850,57659.00,19.1508
1205241,304,0.1900,58219.00,19.2998
1205275,312,0.1950,58703.00,19.5010
1205309,320,0.2000,59406.00,19.6802
1205342,328,0.2050,59952.00,19.9516
1205376,336,0.2100,60467.00,20.0763
1205410,344,0.2150,61019.00,20.2495
1205444,352,0.2200,61375.00,20.3231
1205477,360,0.2250,62060.00,20.6082
1205511,368,0.2300,62987.00,20.8596
1205545,376,0.2350,63429.00,21.0106
1205579,384,0.2400,64099.00,21.2508
1205612,392,0.2450,64219.00,21.3430
1205646,400,0.2500,65106.00,21.5537
1205680,408,0.2550,65624.00,21.7280
1205714,416,0.2600,65983.00,21.8471
1205747,424,0.2650,66726.00,22.0827
1205781,432,0.2700,67100.00,22.2064
1205815,440,0.2750,67836.00,22.3413
1205984,448,0.2800,68188.00,22.5395
1206017,456,0.2850,68352.00,22.6121
1206051,464,0.2900,68887.00,22.7827
1206085,472,0.2950,69417.00,22.9803
1206119,480,0.3000,69845.00,23.0479
1206152,488,0.3050,70487.00,23.2225
1206186,496,0.3100,70961.00,23.4827
1206220,504,0.3150,71385.00,23.5621
1206254,512,0.3200,71660.00,23.7098
1206287,520,0.3250,72320.00,23.8969
1206321,528,0.3300,72737.00,24.0101
1206355,536,0.3350,73341.00,24.2595
1206389,544,0.3400,73612.00,24.3501
1206422,552,0.3450,74224.00,24.5125
1206456,560,0.3500,74499.00,24.6392
1206490,568,0.3550,75116.00,24.7485
1206524,576,0.3600,75532.00,24.9493
1206557,584,0.3650,75755.00,25.0504
1206591,592,0.3700,76427.00,25.2601
1206625,600,0.3750,76618.00,25.3372
1206659,608,0.3800,77039.00,25.5088
1206692,616,0.3850,77749.00,25.6874
1206726,624,0.3900,77819.00,25.7550
1206760,632,0.3950,78181.00,25.8528
1206794,640,0.4000,78810.00,26.0244
1206827,648,0.4050,79028.00,26.1101
1206861,656,0.4100,79521.00,26.2308
1206895,664,0.4150,79760.00,26.3742
1206929,672,0.4200,80185.00,26.4504
1206962,680,0.4250,80589.00,26.5255
1206996,688,0.4300,80865.00,26.7119
1207030,696,0.4350,81406.00,26.9213
1207064,704,0.4400,81788.00,26.9932
1207097,712,0.4450,82106.00,27.1339
