Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1003710,8,0.0050,8516.00,6.4552
1003744,16,0.0100,35568.00,11.5910
1003778,24,0.0150,31828.00,11.1976
1003812,32,0.0200,34219.00,11.9366
1003845,40,0.0250,36169.00,12.6442
1003879,48,0.0300,40550.00,14.4967
1003913,56,0.0350,49410.00,16.5625
1003946,64,0.0400,49107.00,16.4359
1003980,72,0.0450,48981.00,16.5064
1004014,80,0.0500,49720.00,16.8100
1004048,88,0.0550,49859.00,16.8503
1004081,96,0.0600,50190.00,16.9242
1004115,104,0.0650,50534.00,17.0469
1004149,112,0.0700,50758.00,17.0571
1004183,120,0.0750,52059.00,17.4719
1004216,128,0.0800,52116.00,17.5854
1004250,136,0.0850,52796.00,17.7971
1004284,144,0.0900,53176.00,17.9248
1004317,152,0.0950,53561.00,18.0577
1004351,160,0.1000,54094.00,18.1627
1004385,168,0.1050,54446.00,18.3009
1004419,176,0.1100,54823.00,18.3960
1004452,184,0.1150,55050.00,18.5152
1004486,192,0.1200,55469.00,18.6579
1004520,200,0.1250,55716.00,18.7679
1004553,208,0.1300,56293.00,18.8581
1004587,216,0.1350,56621.00,19.0143
1004621,224,0.1400,57205.00,19.2056
1004655,232,0.1450,57960.00,19.3215
1004688,240,0.1500,57939.00,19.4268
1004722,248,0.1550,58500.00,19.5624
1004756,256,0.1600,58847.00,19.6641
1004790,264,0.1650,59151.00,19.8026
1004823,272,0.1700,59562.00,19.8653
1004857,280,0.1750,59807.00,20.0362
1004891,288,0.1800,60490.00,20.1547
1004924,296,0.1850,60612.00,20.1918
1004958,304,0.1900,60845.00,20.4451
1004992,312,0.1950,61961.00,20.7136
1005026,320,0.2000,62417.00,20.8501
1005059,328,0.2050,62253.00,20.8419
1005093,336,0.2100,62978.00,20.9430
1005127,344,0.2150,63275.00,21.0811
1005161,352,0.2200,63575.00,21.2209
1005194,360,0.2250,64105.00,21.4520
1005228,368,0.2300,64343.00,21.5570
1005262,376,0.2350,64796.00,21.6095
1005295,384,0.2400,65319.00,21.7910
1005329,392,0.2450,65720.00,21.9570
1005363,400,0.2500,65654.00,21.9101
1005397,408,0.2550,66022.00,22.0460
1005430,416,0.2600,66362.00,22.1585
1005464,424,0.2650,66639.00,22.2875
1005498,432,0.2700,66682.00,22.2891
1005531,440,0.2750,67159.00,22.3715
1005565,448,0.2800,67426.00,22.5254
1005599,456,0.2850,68150.00,22.6439
1005633,464,0.2900,67900.00,22.6859
1005666,472,0.2950,68258.00,22.8671
1005700,480,0.3000,68895.00,22.9849
1005734,488,0.3050,69301.00,23.1801
1005768,496,0.3100,69270.00,23.2097
1005801,504,0.3150,69883.00,23.3367
1005835,512,0.3200,70160.00,23.4315
1005869,520,0.3250,70212.00,23.4558
1005902,528,0.3300,70548.00,23.5624
1005936,536,0.3350,70926.00,23.6698
1005970,544,0.3400,71055.00,23.6940
1006004,552,0.3450,71280.00,23.8151
1006037,560,0.3500,71549.00,23.7840
1006071,568,0.3550,71872.00,23.9300
1006105,576,0.3600,72134.00,24.1627
1006139,584,0.3650,72643.00,24.2303
1006172,592,0.3700,72496.00,24.2395
1006206,600,0.3750,72893.00,24.3743
1006240,608,0.3800,73643.00,24.5079
1006273,616,0.3850,73649.00,24.5141
1006307,624,0.3900,74131.00,24.7111
1006341,632,0.3950,74485.00,24.8367
1006375,640,0.4000,74436.00,24.8367
1006408,648,0.4050,74815.00,24.9260
1006442,656,0.4100,74800.00,24.9693
1006476,664,0.4150,75297.00,25.0819
1006509,672,0.4200,75315.00,25.0359
1006543,680,0.4250,75716.00,25.2509
1006577,688,0.4300,76170.00,25.4245
1006611,696,0.4350,76109.00,25.3782
1006644,704,0.4400,76598.00,25.4770
1006678,712,0.4450,76823.00,25.6651
1006712,720,0.4500,77129.00,25.6552
1006746,728,0.4550,77198.00,25.8035
1006779,736,0.4600,77390.00,25.8636
1006813,744,0.4650,77850.00,25.9319
1006847,752,0.4700,77945.00,26.0106
1006880,760,0.4750,78336.00,26.0805
1006914,768,0.4800,78490.00,26.1740
1006948,776,0.4850,78741.00,26.1704
1006982,784,0.4900,78652.00,26.1714
1007015,792,0.4950,79126.00,26.4169
1007049,800,0.5000,79543.00,26.5130
1007083,808,0.5050,79835.00,26.6013
1007116,816,0.5100,79878.00,26.5258
1007150,824,0.5150,80217.00,26.7483
1007184,832,0.5200,80740.00,26.8258
1007218,840,0.5250,80442.00,26.8196
1007251,848,0.5300,80765.00,26.9302
1007285,856,0.5350,81014.00,26.9279
1007319,864,0.5400,81270.00,27.0299
1007352,872,0.5450,81314.00,27.1267
1007386,880,0.5500,81843.00,27.2173
1007420,888,0.5550,81652.00,27.1904
1007454,896,0.5600,82443.00,27.3597
1007487,904,0.5650,82361.00,27.4034
1007521,912,0.5700,82723.00,27.5025
1007555,920,0.5750,82816.00,27.6272
1007588,928,0.5800,83074.00,27.6091
1007622,936,0.5850,82799.00,27.6052
1007656,944,0.5900,83416.00,27.7529
1007690,952,0.5950,83360.00,27.8129
1007723,960,0.6000,83582.00,27.8182
1007757,968,0.6050,83771.00,27.9097
1007791,976,0.6100,84127.00,27.9964
1007825,984,0.6150,84333.00,28.0781
1007858,992,0.6200,84487.00,28.1181
1007892,1000,0.6250,84605.00,28.0669
1007926,1008,0.6300,85042.00,28.2054
1007959,1016,0.6350,85146.00,28.2501
1007993,1024,0.6400,85359.00,28.3964
1008027,1032,0.6450,85476.00,28.4040
1008061,1040,0.6500,85350.00,28.4568
1008094,1048,0.6550,85725.00,28.4850
1008128,1056,0.6600,85842.00,28.5119
1008162,1064,0.6650,85828.00,28.5825
1008195,1072,0.6700,86082.00,28.6928
1008229,1080,0.6750,86261.00,28.7279
1008263,1088,0.6800,86448.00,28.7180
1008297,1096,0.6850,86660.00,28.7820
1008330,1104,0.6900,86452.00,28.8605
1008364,1112,0.6950,86850.00,28.8126
1008398,1120,0.7000,87176.00,28.9592
1008431,1128,0.7050,87325.00,28.9829
1008465,1136,0.7100,87171.00,29.1161
1008499,1144,0.7150,87618.00,29.0633
1008533,1152,0.7200,87540.00,29.1670
1008566,1160,0.7250,87806.00,29.2162
1008600,1168,0.7300,88338.00,29.2648
1008634,1176,0.7350,88246.00,29.2963
1008668,1184,0.7400,88148.00,29.2861
1008701,1192,0.7450,88510.00,29.4111
1008735,1200,0.7500,88442.00,29.3501
1008769,1208,0.7550,88683.00,29.4623
1008802,1216,0.7600,88871.00,29.4239
1008836,1224,0.7650,88979.00,29.4994
1008870,1232,0.7700,89443.00,29.6770
1008904,1240,0.7750,89168.00,29.6159
1008937,1248,0.7800,89140.00,29.5998
1008971,1256,0.7850,89416.00,29.7708
1009005,1264,0.7900,89569.00,29.7396
1009039,1272,0.7950,89520.00,29.6999
1009072,1280,0.8000,89666.00,29.7403
1009106,1288,0.8050,89741.00,29.8486
1009140,1296,0.8100,89843.00,29.9500
1009173,1304,0.8150,90303.00,29.9927
1009207,1312,0.8200,90688.00,30.0928
1009241,1320,0.8250,90688.00,30.0304
1009274,1328,0.8300,90645.00,30.0527
1009308,1336,0.8350,91047.00,30.1522
1009342,1344,0.8400,90971.00,30.1705
1009376,1352,0.8450,91178.00,30.2181
1009409,1360,0.8500,91534.00,30.3143
1009443,1368,0.8550,91621.00,30.3389
1009477,1376,0.8600,91884.00,30.4275
1009510,1384,0.8650,92077.00,30.4367
1009544,1392,0.8700,91967.00,30.4140
1009578,1400,0.8750,92027.00,30.4665
1009612,1408,0.8800,92102.00,30.5122
1009645,1416,0.8850,92317.00,30.5131
1009679,1424,0.8900,92292.00,30.4616
1009713,1432,0.8950,92272.00,30.5670
1009747,1440,0.9000,92839.00,30.5745
1009780,1448,0.9050,92575.00,30.6953
1009814,1456,0.9100,92582.00,30.6395
1009848,1464,0.9150,92662.00,30.6999
1009881,1472,0.9200,92704.00,30.7429
1009915,1480,0.9250,92699.00,30.6979
1009949,1488,0.9300,92652.00,30.7366
1009983,1496,0.9350,93140.00,30.7527
1010016,1504,0.9400,92911.00,30.7612
1010050,1512,0.9450,93162.00,30.8151
1010084,1520,0.9500,93214.00,30.8114
1010117,1528,0.9550,93197.00,30.8653
1010151,1536,0.9600,93500.00,30.9033
1010185,1544,0.9650,93549.00,30.8892
1010219,1552,0.9700,93591.00,30.9109
1010252,1560,0.9750,93506.00,30.9650
1010286,1568,0.9800,93477.00,30.9644
1010320,1576,0.9850,93532.00,30.9952
1010353,1584,0.9900,93598.00,30.9719
1010387,1592,0.9950,93857.00,31.0185
1010421,1600,1.0000,93610.00,30.9916
1010455,1608,1.0050,93867.00,31.0369
1010488,1616,1.0100,94069.00,31.1061
1010522,1624,1.0150,93969.00,31.1183
1010556,1632,1.0200,94029.00,31.0861
1010589,1640,1.0250,94173.00,31.0917
1010623,1648,1.0300,93907.00,31.1176
1010657,1656,1.0350,94350.00,31.1436
1010691,1664,1.0400,94619.00,31.1951
1010724,1672,1.0450,94403.00,31.1895
1010758,1680,1.0500,94219.00,31.0976
1010792,1688,1.0550,94342.00,31.0848
1010825,1696,1.0600,94574.00,31.1760
1010859,1704,1.0650,94457.00,31.1869
1010893,1712,1.0700,94170.00,31.0838
1010927,1720,1.0750,94464.00,31.1373
1010960,1728,1.0800,94390.00,31.1285
1010994,1736,1.0850,94554.00,31.1344
1011028,1744,1.0900,94364.00,31.0911
1011062,1752,1.0950,94344.00,31.1393
1011095,1760,1.1000,94443.00,31.0753
1011129,1768,1.1050,94541.00,31.1662
1011163,1776,1.1100,94307.00,31.1314
1011196,1784,1.1150,94479.00,31.1810
1011230,1792,1.1200,94602.00,31.1573
1011264,1800,1.1250,94630.00,31.1623
1011298,1808,1.1300,94662.00,31.1531
1011331,1816,1.1350,94614.00,31.1652
1011365,1824,1.1400,94648.00,31.1183
1011399,1832,1.1450,94683.00,31.1898
1011432,1840,1.1500,94803.00,31.1977
1011466,1848,1.1550,94608.00,31.1367
1011500,1856,1.1600,94770.00,31.0973
1011534,1864,1.1650,94540.00,31.0838
1011567,1872,1.1700,94669.00,31.2607
1011601,1880,1.1750,94918.00,31.1610
1011635,1888,1.1800,94526.00,31.1098
1011668,1896,1.1850,94919.00,31.2309
1011702,1904,1.1900,94645.00,31.1281
1011736,1912,1.1950,94960.00,31.1501
1011770,1920,1.2000,94867.00,31.1764
1011803,1928,1.2050,94678.00,31.1344
1011837,1936,1.2100,94832.00,31.1393
1011871,1944,1.2150,94643.00,31.1445
1011904,1952,1.2200,94535.00,31.1393
1011938,1960,1.2250,94605.00,31.1291
1011972,1968,1.2300,94783.00,31.1084
1012006,1976,1.2350,94714.00,31.1419
1012039,1984,1.2400,94866.00,31.2141
1012073,1992,1.2450,94617.00,31.1006
1012107,2000,1.2500,94768.00,31.1662
1012140,2008,1.2550,94941.00,31.1482
1012174,2016,1.2600,94631.00,31.0746
1012208,2024,1.2650,94707.00,31.1255
