Millis,Steps,Travel (mm),Scale raw,Scale (grams)
10393,8,0.0050,24903.00,8.9066
10426,16,0.0100,33078.00,11.3715
10460,24,0.0150,38134.00,12.8604
10494,32,0.0200,40231.00,13.5046
10527,40,0.0250,42638.00,14.2850
10561,48,0.0300,44380.00,14.7815
10594,56,0.0350,45570.00,15.1251
10628,64,0.0400,46288.00,15.3700
10661,72,0.0450,46680.00,15.5790
10695,80,0.0500,47524.00,15.7789
10729,88,0.0550,48475.00,16.0831
10762,96,0.0600,49440.00,16.4227
10796,104,0.0650,50342.00,16.8018
10829,112,0.0700,51516.00,17.1293
10863,120,0.0750,52561.00,17.3725
10897,128,0.0800,53700.00,18.0774
10930,136,0.0850,59550.00,20.2712
10964,144,0.0900,65865.00,21.9045
10997,152,0.0950,68610.00,22.7181
11031,160,0.1000,70422.00,23.1857
11065,168,0.1050,71028.00,23.3823
11098,176,0.1100,71897.00,23.7265
11132,184,0.1150,73098.00,24.0563
11165,192,0.1200,73595.00,24.2365
11199,200,0.1250,74502.00,24.5489
11233,208,0.1300,75337.00,24.8466
11266,216,0.1350,76342.00,25.0980
11300,224,0.1400,77043.00,25.3897
11333,232,0.1450,77877.00,25.6578
11367,240,0.1500,78549.00,25.8656
11400,248,0.1550,79224.00,26.1018
11434,256,0.1600,80278.00,26.4359
11468,264,0.1650,80742.00,26.6026
11501,272,0.1700,81538.00,26.8586
11535,280,0.1750,82510.00,27.0877
11568,288,0.1800,83157.00,27.3489
11602,296,0.1850,83860.00,27.5491
11636,304,0.1900,84654.00,27.8641
11669,312,0.1950,85353.00,28.1342
11703,320,0.2000,86259.00,28.3718
11736,328,0.2050,86821.00,28.5914
11770,336,0.2100,87132.00,28.7315
11804,344,0.2150,88085.00,29.0613
11837,352,0.2200,88876.00,29.1522
11871,360,0.2250,89571.00,29.4052
11904,368,0.2300,90104.00,29.6002
11938,376,0.2350,90704.00,29.8985
11971,384,0.2400,91334.00,30.0737
12005,392,0.2450,92399.00,30.3412
12039,400,0.2500,92713.00,30.5092
12072,408,0.2550,93417.00,30.7389
12106,416,0.2600,93942.00,30.8810
12139,424,0.2650,94691.00,31.1373
12173,432,0.2700,95262.00,31.3096
12207,440,0.2750,95908.00,31.5384
12240,448,0.2800,96592.00,31.7543
12274,456,0.2850,96822.00,31.8682
12307,464,0.2900,97801.00,32.1428
12341,472,0.2950,98231.00,32.3440
12375,480,0.3000,99009.00,32.5242
12408,488,0.3050,99415.00,32.7244
12442,496,0.3100,99891.00,32.8990
12475,504,0.3150,100328.00,32.9935
12509,512,0.3200,101221.00,33.2901
12542,520,0.3250,101489.00,33.3650
12576,528,0.3300,102048.00,33.5071
12610,536,0.3350,102673.00,33.7427
12643,544,0.3400,103029.00,33.8319
12677,552,0.3450,103710.00,34.0879
12710,560,0.3500,103869.00,34.1444
12744,568,0.3550,104384.00,34.4328
12778,576,0.3600,105057.00,34.5808
12811,584,0.3650,105440.00,34.5936
12845,592,0.3700,106031.00,34.8723
12878,600,0.3750,106627.00,35.0327
12912,608,0.3800,107201.00,35.2352
12945,616,0.3850,107476.00,35.3858
12979,624,0.3900,107953.00,35.5601
13013,632,0.3950,108325.00,35.6284
13046,640,0.4000,108813.00,35.8075
13080,648,0.4050,109358.00,35.9116
13113,656,0.4100,109882.00,36.1574
13147,664,0.4150,110409.00,36.2598
13181,672,0.4200,110772.00,36.4383
13214,680,0.4250,111351.00,36.6450
13248,688,0.4300,111870.00,36.8521
13281,696,0.4350,112343.00,36.9525
13315,704,0.4400,112562.00,37.0825
13348,712,0.4450,113602.00,37.4074
13382,720,0.4500,113880.00,37.5252
13416,728,0.4550,114352.00,37.6604
13449,736,0.4600,114802.00,37.8455
13483,744,0.4650,115203.00,37.9866
13516,752,0.4700,115920.00,38.1523
13550,760,0.4750,116250.00,38.2600
13584,768,0.4800,116883.00,38.4483
13617,776,0.4850,117361.00,38.6446
13651,784,0.4900,117693.00,38.7247
13684,792,0.4950,118050.00,38.7726
13718,800,0.5000,118455.00,39.0309
13752,808,0.5050,119011.00,39.1785
13785,816,0.5100,119445.00,39.3416
13819,824,0.5150,120144.00,39.5592
13852,832,0.5200,120550.00,39.7541
13886,840,0.5250,120750.00,39.7689
13920,848,0.5300,121516.00,40.0561
13953,856,0.5350,121898.00,40.0715
13987,864,0.5400,122167.00,40.2179
14020,872,0.5450,122605.00,40.3639
14054,880,0.5500,122816.00,40.4180
14087,888,0.5550,122970.00,40.5037
14121,896,0.5600,123575.00,40.6691
14155,904,0.5650,123969.00,40.8466
14188,912,0.5700,124653.00,41.0652
14222,920,0.5750,124867.00,41.0701
14255,928,0.5800,125163.00,41.1390
14289,936,0.5850,125597.00,41.2916
14323,944,0.5900,125518.00,41.3720
14356,952,0.5950,126208.00,41.5230
14390,960,0.6000,126565.00,41.6470
14423,968,0.6050,126812.00,41.7373
14457,976,0.6100,127123.00,41.7839
