Millis,Steps,Travel (mm),Scale raw,Scale (grams)
636907,8,0.0050,16226.00,5.5875
636940,16,0.0100,31321.00,13.8922
636974,24,0.0150,59451.00,19.9443
637008,32,0.0200,61981.00,20.5403
637042,40,0.0250,63230.00,20.9200
637075,48,0.0300,64233.00,21.2695
637109,56,0.0350,65690.00,21.6764
637143,64,0.0400,66687.00,22.0788
637176,72,0.0450,67919.00,22.4729
637210,80,0.0500,69062.00,22.7561
637244,88,0.0550,70364.00,23.2763
637278,96,0.0600,71379.00,23.5779
637311,104,0.0650,72491.00,23.9815
637345,112,0.0700,73819.00,24.3688
637379,120,0.0750,74841.00,24.6933
637413,128,0.0800,75957.00,25.0642
637446,136,0.0850,77139.00,25.4645
637480,144,0.0900,78170.00,25.7740
637514,152,0.0950,79172.00,26.1320
637547,160,0.1000,79985.00,26.4395
637581,168,0.1050,81115.00,26.7300
637615,176,0.1100,82106.00,27.1061
637649,184,0.1150,83186.00,27.4654
637682,192,0.1200,84297.00,27.7640
637716,200,0.1250,85386.00,28.1250
637750,208,0.1300,85982.00,28.4128
637784,216,0.1350,87132.00,28.7010
637817,224,0.1400,88284.00,29.0941
637851,232,0.1450,89025.00,29.3081
637885,240,0.1500,89889.00,29.6625
637918,248,0.1550,91111.00,30.0829
637952,256,0.1600,92091.00,30.3074
637986,264,0.1650,92843.00,30.6273
638020,272,0.1700,93785.00,30.9119
638053,280,0.1750,94574.00,31.1770
638087,288,0.1800,95408.00,31.4435
638121,296,0.1850,96329.00,31.8048
638155,304,0.1900,97188.00,31.9906
638188,312,0.1950,98275.00,32.3653
638222,320,0.2000,99029.00,32.6016
638256,328,0.2050,99900.00,32.8862
638289,336,0.2100,100826.00,33.2068
638323,344,0.2150,101540.00,33.4214
638357,352,0.2200,102261.00,33.7187
638391,360,0.2250,103154.00,33.9366
638424,368,0.2300,103646.00,34.1467
638458,376,0.2350,104638.00,34.4273
638492,384,0.2400,105280.00,34.6760
638525,392,0.2450,106004.00,34.8641
638559,400,0.2500,106937.00,35.1761
638593,408,0.2550,107571.00,35.4452
638627,416,0.2600,108543.00,35.6865
638660,424,0.2650,109229.00,35.9201
638694,432,0.2700,109500.00,36.0573
638728,440,0.2750,110568.00,36.3507
638762,448,0.2800,111261.00,36.6030
638795,456,0.2850,111865.00,36.7635
638829,464,0.2900,112225.00,37.0041
638863,472,0.2950,112907.00,37.1284
638896,480,0.3000,113765.00,37.4642
638930,488,0.3050,114657.00,37.6598
638964,496,0.3100,115070.00,37.8868
638998,504,0.3150,115626.00,37.9978
639031,512,0.3200,116441.00,38.2321
639065,520,0.3250,117076.00,38.4769
639099,528,0.3300,117533.00,38.6784
639132,536,0.3350,118096.00,38.8769
639166,544,0.3400,118646.00,39.0778
639200,552,0.3450,119195.00,39.2041
639234,560,0.3500,119843.00,39.4017
639267,568,0.3550,120541.00,39.6685
639301,576,0.3600,121124.00,39.7834
639335,584,0.3650,121549.00,39.9707
639369,592,0.3700,122195.00,40.1614
639402,600,0.3750,122541.00,40.3347
639436,608,0.3800,123319.00,40.5595
639470,616,0.3850,123722.00,40.6858
639503,624,0.3900,124314.00,40.8982
639627,632,0.3950,124814.00,40.9336
639661,640,0.4000,125369.00,41.2073
639695,648,0.4050,125902.00,41.4216
639728,656,0.4100,126281.00,41.5118
639762,664,0.4150,127299.00,41.8459
639796,672,0.4200,127565.00,41.9746
639829,680,0.4250,128110.00,42.1623
639863,688,0.4300,128903.00,42.4035
639897,696,0.4350,129203.00,42.4658
639931,704,0.4400,129727.00,42.6155
639964,712,0.4450,129924.00,42.7904
639998,720,0.4500,130677.00,42.9755
640032,728,0.4550,131205.00,43.1501
640065,736,0.4600,131674.00,43.3578
640099,744,0.4650,132335.00,43.5081
640133,752,0.4700,132600.00,43.5682
640167,760,0.4750,133102.00,43.7805
640200,768,0.4800,133553.00,43.9121
640234,776,0.4850,134307.00,44.1221
640268,784,0.4900,135172.00,44.3902
640302,792,0.4950,134874.00,44.3709
