Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6967,8,0.0050,17377.00,6.1838
7000,16,0.0100,23036.00,8.5121
7034,24,0.0150,31251.00,11.0991
7067,32,0.0200,44282.00,16.7391
7101,40,0.0250,60674.00,20.5846
7135,48,0.0300,64312.00,21.3269
7168,56,0.0350,65950.00,21.8002
7202,64,0.0400,66958.00,22.0693
7235,72,0.0450,68126.00,22.5395
7269,80,0.0500,69081.00,22.8428
7302,88,0.0550,70606.00,23.3048
7336,96,0.0600,71636.00,23.6652
7369,104,0.0650,72881.00,24.1358
7403,112,0.0700,74085.00,24.4702
7436,120,0.0750,74978.00,24.7639
7470,128,0.0800,75908.00,25.1062
7504,136,0.0850,77044.00,25.5023
7537,144,0.0900,78515.00,25.9542
7571,152,0.0950,79461.00,26.3992
7604,160,0.1000,80917.00,26.8209
7638,168,0.1050,81659.00,27.0145
7671,176,0.1100,82714.00,27.4244
7705,184,0.1150,83522.00,27.7325
7738,192,0.1200,84790.00,28.0896
7772,200,0.1250,85970.00,28.4968
7806,208,0.1300,86859.00,28.7600
7839,216,0.1350,87820.00,29.0813
7873,224,0.1400,88800.00,29.4423
7906,232,0.1450,89787.00,29.7977
7940,240,0.1500,90839.00,30.0891
7973,248,0.1550,91773.00,30.3589
8007,256,0.1600,92908.00,30.7806
8040,264,0.1650,93509.00,30.9726
8074,272,0.1700,94584.00,31.2850
8108,280,0.1750,95529.00,31.5712
8141,288,0.1800,96218.00,31.9108
8175,296,0.1850,97024.00,32.1386
8208,304,0.1900,97962.00,32.4106
8242,312,0.1950,98974.00,32.7339
8275,320,0.2000,99817.00,32.9846
8309,328,0.2050,100569.00,33.1448
8342,336,0.2100,101197.00,33.5304
8376,344,0.2150,102101.00,33.7699
8410,352,0.2200,103159.00,34.0321
8443,360,0.2250,103954.00,34.2838
8477,368,0.2300,104588.00,34.4532
8510,376,0.2350,105310.00,34.7075
8544,384,0.2400,106214.00,35.0337
8577,392,0.2450,106771.00,35.1348
8611,400,0.2500,107441.00,35.3573
8644,408,0.2550,108228.00,35.6563
8678,416,0.2600,108777.00,35.8541
8712,424,0.2650,109501.00,36.1124
8745,432,0.2700,110309.00,36.2598
8779,440,0.2750,110894.00,36.5889
8812,448,0.2800,111849.00,36.8232
8846,456,0.2850,112490.00,36.9791
8879,464,0.2900,113090.00,37.2331
8913,472,0.2950,113704.00,37.4176
8946,480,0.3000,114317.00,37.6250
8980,488,0.3050,115114.00,37.8737
9014,496,0.3100,115620.00,38.0680
9047,504,0.3150,116173.00,38.1714
9081,512,0.3200,117036.00,38.4546
9114,520,0.3250,117540.00,38.7362
9148,528,0.3300,118264.00,38.8441
9181,536,0.3350,118881.00,39.0243
9215,544,0.3400,119302.00,39.2356
9248,552,0.3450,120135.00,39.5208
9282,560,0.3500,120814.00,39.6967
9316,568,0.3550,121251.00,39.8421
9349,576,0.3600,122076.00,40.1181
9383,584,0.3650,122432.00,40.2097
9416,592,0.3700,122951.00,40.4118
9450,600,0.3750,123543.00,40.5900
9483,608,0.3800,124240.00,40.7971
9517,616,0.3850,124997.00,41.0471
9551,624,0.3900,125341.00,41.1627
9584,632,0.3950,125656.00,41.3642
9618,640,0.4000,126241.00,41.5624
9651,648,0.4050,126941.00,41.7012
9685,656,0.4100,127358.00,41.8633
9718,664,0.4150,127718.00,42.0093
9752,672,0.4200,128449.00,42.2607
9785,680,0.4250,128900.00,42.3392
9819,688,0.4300,129292.00,42.4954
9853,696,0.4350,129936.00,42.7359
9886,704,0.4400,130606.00,42.8419
9920,712,0.4450,130857.00,42.9922
9953,720,0.4500,131416.00,43.1813
