Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1831317,8,0.0050,14513.00,5.0197
1831351,16,0.0100,26165.00,9.9308
1831385,24,0.0150,36397.00,12.6848
1831418,32,0.0200,44194.00,15.1790
1831452,40,0.0250,50748.00,17.0902
1831486,48,0.0300,54575.00,18.1414
1831520,56,0.0350,56600.00,18.7032
1831553,64,0.0400,58062.00,19.4084
1831587,72,0.0450,60771.00,20.2509
1831621,80,0.0500,63598.00,21.1537
1831654,88,0.0550,66309.00,22.0742
1831688,96,0.0600,68337.00,22.7978
1831722,104,0.0650,70599.00,23.4102
1831756,112,0.0700,72449.00,24.0038
1831789,120,0.0750,74089.00,24.5808
1831823,128,0.0800,75609.00,25.0901
1831857,136,0.0850,77282.00,25.6237
1831890,144,0.0900,78711.00,26.0720
1831924,152,0.0950,80190.00,26.4822
1831958,160,0.1000,81519.00,26.9541
1831991,168,0.1050,82828.00,27.4198
1832025,176,0.1100,84535.00,27.9409
1832059,184,0.1150,85857.00,28.3899
1832093,192,0.1200,86702.00,28.6836
1832126,200,0.1250,88020.00,29.1066
1832160,208,0.1300,89354.00,29.4446
1832194,216,0.1350,90780.00,29.9799
1832227,224,0.1400,92140.00,30.3701
1832261,232,0.1450,93689.00,30.9657
1832295,240,0.1500,94762.00,31.2706
1832329,248,0.1550,96072.00,31.7428
1832362,256,0.1600,97327.00,32.2505
1832396,264,0.1650,98709.00,32.5449
1832430,272,0.1700,99904.00,33.0440
1832463,280,0.1750,101159.00,33.4296
1832497,288,0.1800,102235.00,33.7755
1832531,296,0.1850,103521.00,34.2317
1832565,304,0.1900,104617.00,34.4968
1832598,312,0.1950,105601.00,34.8532
1832632,320,0.2000,106761.00,35.3150
1832666,328,0.2050,108005.00,35.7390
1832699,336,0.2100,109268.00,36.0747
1832733,344,0.2150,110060.00,36.2916
1832767,352,0.2200,110841.00,36.7169
1832800,360,0.2250,112274.00,37.1104
1832834,368,0.2300,113459.00,37.4474
1832868,376,0.2350,114440.00,37.8330
1832901,384,0.2400,115362.00,38.0864
1832935,392,0.2450,116559.00,38.4976
1832969,400,0.2500,117644.00,38.8280
1833003,408,0.2550,118501.00,39.1165
1833036,416,0.2600,119579.00,39.4847
1833070,424,0.2650,120565.00,39.8516
1833104,432,0.2700,121914.00,40.1512
1833137,440,0.2750,122573.00,40.4407
1833171,448,0.2800,123545.00,40.7764
1833205,456,0.2850,124492.00,41.1170
1833239,464,0.2900,125786.00,41.5151
1833272,472,0.2950,126592.00,41.7458
1833306,480,0.3000,127403.00,41.9811
1833340,488,0.3050,128160.00,42.2561
1833373,496,0.3100,129236.00,42.5026
1833407,504,0.3150,129992.00,42.8997
1833441,512,0.3200,130912.00,43.0749
1833474,520,0.3250,131716.00,43.4188
1833508,528,0.3300,132679.00,43.7260
1833542,536,0.3350,133342.00,43.8908
1833576,544,0.3400,134304.00,44.1920
1833609,552,0.3450,135082.00,44.4759
1833643,560,0.3500,135966.00,44.8014
1833677,568,0.3550,136645.00,44.9727
1833710,576,0.3600,137443.00,45.2494
1833744,584,0.3650,138386.00,45.5333
1833778,592,0.3700,139140.00,45.7741
1833811,600,0.3750,139699.00,46.0432
1833845,608,0.3800,140551.00,46.2667
1833879,616,0.3850,141290.00,46.4489
1833913,624,0.3900,141949.00,46.7626
1833946,632,0.3950,142825.00,46.9900
1833980,640,0.4000,143490.00,47.2647
1834014,648,0.4050,144205.00,47.5197
1834148,656,0.4100,144495.00,47.5174
1834182,664,0.4150,145022.00,47.7891
1834216,672,0.4200,145765.00,47.9663
1834250,680,0.4250,146613.00,48.1685
1834283,688,0.4300,147005.00,48.3382
1834317,696,0.4350,148120.00,48.7155
1834351,704,0.4400,148624.00,48.9026
1834384,712,0.4450,149233.00,49.0276
1834418,720,0.4500,149661.00,49.2741
1834452,728,0.4550,150607.00,49.4618
1834485,736,0.4600,151134.00,49.6732
1834519,744,0.4650,151744.00,49.8852
1834553,752,0.4700,152361.00,50.1109
1834587,760,0.4750,152937.00,50.2911
1834620,768,0.4800,153561.00,50.4240
1834654,776,0.4850,153905.00,50.5861
1834688,784,0.4900,154656.00,50.8575
1834721,792,0.4950,155261.00,51.0456
1834755,800,0.5000,155965.00,51.2602
1834789,808,0.5050,155999.00,51.3042
1834822,816,0.5100,156475.00,51.4876
1834856,824,0.5150,157231.00,51.7278
1834890,832,0.5200,157811.00,51.8378
1834924,840,0.5250,158267.00,52.0209
1834957,848,0.5300,158736.00,52.1548
1834991,856,0.5350,159221.00,52.3415
1835025,864,0.5400,159692.00,52.5243
1835058,872,0.5450,159975.00,52.5397
1835092,880,0.5500,160893.00,52.8305
1835126,888,0.5550,161154.00,52.9739
1835160,896,0.5600,161506.00,53.0891
1835193,904,0.5650,162033.00,53.1935
1835227,912,0.5700,162440.00,53.4140
1835261,920,0.5750,163080.00,53.5817
1835294,928,0.5800,163546.00,53.7054
1835328,936,0.5850,163748.00,53.8695
1835362,944,0.5900,164261.00,53.9752
1835395,952,0.5950,164658.00,54.0963
1835429,960,0.6000,165024.00,54.1071
1835463,968,0.6050,165345.00,54.3696
1835496,976,0.6100,165624.00,54.4556
1835530,984,0.6150,166103.00,54.5682
1835564,992,0.6200,166608.00,54.7539
1835598,1000,0.6250,167308.00,54.9242
1835631,1008,0.6300,167204.00,54.9620
1835665,1016,0.6350,167609.00,55.0437
1835699,1024,0.6400,167875.00,55.2481
