Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1975316,8,0.0050,39679.00,13.4308
1975350,16,0.0100,58491.00,20.7900
1975383,24,0.0150,69500.00,23.4847
1975417,32,0.0200,75530.00,25.4051
1975451,40,0.0250,80615.00,26.9318
1975485,48,0.0300,83795.00,27.9842
1975518,56,0.0350,87300.00,29.1870
1975552,64,0.0400,90948.00,30.3861
1975586,72,0.0450,94544.00,31.5859
1975619,80,0.0500,98849.00,32.9876
1975653,88,0.0550,102847.00,34.3741
1975687,96,0.0600,106827.00,35.5037
1975721,104,0.0650,109771.00,36.5968
1975754,112,0.0700,112609.00,37.3037
1975788,120,0.0750,115797.00,38.3588
1975822,128,0.0800,118254.00,39.2730
1975856,136,0.0850,121101.00,40.1932
1975889,144,0.0900,123632.00,40.8525
1975923,152,0.0950,125025.00,41.3300
1975957,160,0.1000,126212.00,41.7229
1975990,168,0.1050,127221.00,41.9467
1976024,176,0.1100,128427.00,42.3943
1976058,184,0.1150,129275.00,42.6486
1976091,192,0.1200,130015.00,42.9512
1976125,200,0.1250,131067.00,43.1986
1976159,208,0.1300,132071.00,43.5675
1976193,216,0.1350,133328.00,43.9436
1976226,224,0.1400,133930.00,44.1146
1976260,232,0.1450,134539.00,44.3971
1976294,240,0.1500,135749.00,44.8523
1976327,248,0.1550,136842.00,45.1549
1976361,256,0.1600,137427.00,45.3774
1976395,264,0.1650,138195.00,45.6058
1976429,272,0.1700,139239.00,45.8880
1976462,280,0.1750,139876.00,46.1374
1976496,288,0.1800,140440.00,46.3294
1976530,296,0.1850,141263.00,46.6044
1976564,304,0.1900,141846.00,46.8716
1976597,312,0.1950,142634.00,47.0455
1976631,320,0.2000,143228.00,47.3028
1976665,328,0.2050,143961.00,47.4052
1976698,336,0.2100,144905.00,47.8157
1976732,344,0.2150,145324.00,48.0008
1976766,352,0.2200,146242.00,48.3424
1976800,360,0.2250,147001.00,48.5321
1976833,368,0.2300,147617.00,48.7221
1976867,376,0.2350,148232.00,48.8895
1976901,384,0.2400,148677.00,49.0736
1976934,392,0.2450,149364.00,49.2839
1976968,400,0.2500,150135.00,49.4930
1977002,408,0.2550,150228.00,49.6069
1977036,416,0.2600,150790.00,49.7211
1977069,424,0.2650,151139.00,49.8300
1977103,432,0.2700,152059.00,50.0712
