Millis,Steps,Travel (mm),Scale raw,Scale (grams)
10815,8,0.0050,16934.00,5.9760
10849,16,0.0100,31887.00,11.9504
10883,24,0.0150,39488.00,13.1833
10916,32,0.0200,40243.00,13.4705
10950,40,0.0250,41212.00,13.6402
10983,48,0.0300,42052.00,13.9339
11017,56,0.0350,42522.00,14.1830
11050,64,0.0400,44572.00,15.3250
11084,72,0.0450,50360.00,16.9731
11117,80,0.0500,53051.00,17.7023
11151,88,0.0550,54824.00,18.1748
11184,96,0.0600,55975.00,18.5775
11218,104,0.0650,57618.00,19.1114
11251,112,0.0700,58736.00,19.4852
11285,120,0.0750,59536.00,19.5968
11318,128,0.0800,61129.00,20.2564
11352,136,0.0850,62495.00,20.7041
11386,144,0.0900,63095.00,21.0952
11419,152,0.0950,68817.00,23.3554
11453,160,0.1000,77790.00,25.6204
11486,168,0.1050,78721.00,25.8990
11520,176,0.1100,79167.00,25.9870
11553,184,0.1150,79768.00,26.2607
11587,192,0.1200,80297.00,26.3719
11620,200,0.1250,80874.00,26.5623
11654,208,0.1300,81544.00,26.7815
11687,216,0.1350,82046.00,26.9902
11721,224,0.1400,82629.00,27.1628
11754,232,0.1450,83010.00,27.3039
11788,240,0.1500,83629.00,27.5520
11821,248,0.1550,84199.00,27.6702
11855,256,0.1600,84773.00,27.8822
11888,264,0.1650,85229.00,28.0213
11922,272,0.1700,85921.00,28.2199
11956,280,0.1750,86168.00,28.3068
11989,288,0.1800,86622.00,28.5897
12023,296,0.1850,87265.00,28.6865
12056,304,0.1900,87633.00,28.7630
12090,312,0.1950,88179.00,28.9822
12123,320,0.2000,88826.00,29.2054
12157,328,0.2050,89315.00,29.3737
12190,336,0.2100,89533.00,29.5030
12224,344,0.2150,90175.00,29.6628
12257,352,0.2200,90442.00,29.7308
12291,360,0.2250,90932.00,29.8899
12324,368,0.2300,91475.00,30.1088
12358,376,0.2350,91812.00,30.2122
12391,384,0.2400,92246.00,30.3395
12425,392,0.2450,92797.00,30.5420
12458,400,0.2500,93304.00,30.6884
12492,408,0.2550,93686.00,30.8380
12525,416,0.2600,94171.00,30.9703
12559,424,0.2650,94478.00,31.0609
12593,432,0.2700,95012.00,31.2138
12626,440,0.2750,95231.00,31.3398
12660,448,0.2800,95633.00,31.5347
