Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6252,8,0.0050,5872.00,2.1764
6286,16,0.0100,13738.00,5.0171
6319,24,0.0150,18092.00,6.0571
6353,32,0.0200,19045.00,6.5477
6386,40,0.0250,23505.00,7.8578
6420,48,0.0300,24899.00,8.3608
6454,56,0.0350,26419.00,8.8095
6487,64,0.0400,27583.00,9.2505
6521,72,0.0450,29147.00,9.6584
6554,80,0.0500,30538.00,10.1573
6588,88,0.0550,31849.00,10.5855
6621,96,0.0600,33041.00,11.0358
6655,104,0.0650,34473.00,11.4279
6688,112,0.0700,35651.00,11.8723
6722,120,0.0750,37274.00,12.3258
6755,128,0.0800,38371.00,12.6629
6789,136,0.0850,39962.00,13.2562
6822,144,0.0900,41252.00,13.6894
6856,152,0.0950,43025.00,14.2571
6889,160,0.1000,44437.00,14.6283
6923,168,0.1050,45767.00,15.1813
6956,176,0.1100,47180.00,15.5669
6990,184,0.1150,48539.00,16.0073
7023,192,0.1200,50151.00,16.6134
7057,200,0.1250,51315.00,17.0161
7090,208,0.1300,53063.00,17.5034
7124,216,0.1350,54506.00,18.0049
7157,224,0.1400,56158.00,18.5283
7191,232,0.1450,57568.00,19.0146
7224,240,0.1500,58964.00,19.4541
7258,248,0.1550,60317.00,19.9023
7291,256,0.1600,61941.00,20.4428
7325,264,0.1650,63407.00,20.9692
7358,272,0.1700,65012.00,21.2954
7392,280,0.1750,66382.00,21.9157
7425,288,0.1800,67706.00,22.3216
7459,296,0.1850,69107.00,22.8008
7492,304,0.1900,70552.00,23.2618
7526,312,0.1950,72001.00,23.7042
7559,320,0.2000,73376.00,24.2168
7593,328,0.2050,74768.00,24.6280
7626,336,0.2100,76029.00,25.0212
7660,344,0.2150,77760.00,25.6513
7693,352,0.2200,79092.00,25.9988
7727,360,0.2250,80093.00,26.4340
7760,368,0.2300,81567.00,26.8826
7794,376,0.2350,82951.00,27.2859
7827,384,0.2400,83909.00,27.6630
7861,392,0.2450,85144.00,28.0499
7894,400,0.2500,86443.00,28.4959
7928,408,0.2550,87837.00,28.9205
7961,416,0.2600,89344.00,29.3567
7995,424,0.2650,90337.00,29.7459
8028,432,0.2700,91453.00,30.1088
8062,440,0.2750,92804.00,30.5771
8095,448,0.2800,94058.00,30.9289
8129,456,0.2850,95104.00,31.2857
8163,464,0.2900,96255.00,31.6644
8196,472,0.2950,97399.00,32.0812
8230,480,0.3000,98790.00,32.4346
8263,488,0.3050,99841.00,32.8550
8297,496,0.3100,100930.00,33.2445
8330,504,0.3150,102080.00,33.5533
8364,512,0.3200,102669.00,33.5005
8397,520,0.3250,102495.00,33.7204
8431,528,0.3300,103584.00,34.0535
8464,536,0.3350,104683.00,34.4627
8498,544,0.3400,105868.00,34.8362
8531,552,0.3450,106982.00,35.1926
8565,560,0.3500,108279.00,35.6211
8598,568,0.3550,109491.00,36.0031
8632,576,0.3600,110224.00,36.3097
8665,584,0.3650,111556.00,36.6723
8699,592,0.3700,112806.00,37.0871
8732,600,0.3750,113663.00,37.3631
8766,608,0.3800,114439.00,37.6401
8799,616,0.3850,115507.00,37.9709
8833,624,0.3900,116423.00,38.2213
8866,632,0.3950,117491.00,38.6170
8900,640,0.4000,118815.00,39.0381
8933,648,0.4050,119447.00,39.3564
8967,656,0.4100,120801.00,39.7400
9000,664,0.4150,121812.00,40.0278
9034,672,0.4200,122942.00,40.4351
9067,680,0.4250,124075.00,40.7482
9101,688,0.4300,124780.00,41.0120
9134,696,0.4350,125685.00,41.3605
9168,704,0.4400,126772.00,41.6641
9201,712,0.4450,127806.00,42.0881
9235,720,0.4500,128752.00,42.3520
9268,728,0.4550,129754.00,42.6329
9302,736,0.4600,130820.00,43.1232
9336,744,0.4650,131873.00,43.3614
9369,752,0.4700,132894.00,43.7037
9403,760,0.4750,133738.00,43.9804
9436,768,0.4800,134800.00,44.2931
9470,776,0.4850,135593.00,44.5730
