Millis,Steps,Travel (mm),Scale raw,Scale (grams)
491804,8,0.0050,5227.00,1.7882
491838,16,0.0100,6895.00,2.4662
491872,24,0.0150,8964.00,3.0044
491906,32,0.0200,10520.00,3.6102
491939,40,0.0250,12172.00,4.0631
491973,48,0.0300,13740.00,4.6715
492007,56,0.0350,15429.00,5.1146
492041,64,0.0400,17105.00,5.7115
492074,72,0.0450,18390.00,6.1966
492108,80,0.0500,20547.00,6.8050
492142,88,0.0550,22148.00,7.3855
492175,96,0.0600,23798.00,7.8161
492209,104,0.0650,25400.00,8.5059
492243,112,0.0700,27208.00,9.0654
492277,120,0.0750,28707.00,9.5521
492310,128,0.0800,30182.00,10.0391
492344,136,0.0850,32004.00,10.5655
492378,144,0.0900,33572.00,11.1565
492412,152,0.0950,35092.00,11.5871
492445,160,0.1000,36994.00,12.1361
492479,168,0.1050,38196.00,12.6176
492513,176,0.1100,39688.00,13.1906
492547,184,0.1150,41366.00,13.7183
492580,192,0.1200,42911.00,14.2227
492614,200,0.1250,44542.00,14.7458
492648,208,0.1300,45870.00,15.0234
492681,216,0.1350,39069.00,12.9740
492715,224,0.1400,41385.00,13.6684
492749,232,0.1450,43109.00,14.1629
492782,240,0.1500,45070.00,14.9089
492816,248,0.1550,46495.00,15.3371
492850,256,0.1600,48140.00,15.9600
492884,264,0.1650,49686.00,16.4434
492917,272,0.1700,51312.00,16.9678
492951,280,0.1750,52719.00,17.4893
492985,288,0.1800,54234.00,17.9907
493019,296,0.1850,55940.00,18.5142
493052,304,0.1900,57108.00,18.8453
493086,312,0.1950,58645.00,19.3205
493120,320,0.2000,60124.00,19.8498
493153,328,0.2050,61415.00,20.2446
493187,336,0.2100,62498.00,20.6230
493221,344,0.2150,64082.00,21.1185
493255,352,0.2200,65228.00,21.5235
493288,360,0.2250,66608.00,21.9488
493322,368,0.2300,68150.00,22.4539
493356,376,0.2350,69372.00,22.8342
493389,384,0.2400,70519.00,23.2195
493423,392,0.2450,71969.00,23.6652
493457,400,0.2500,73131.00,24.0150
493491,408,0.2550,74326.00,24.4213
493524,416,0.2600,75544.00,24.8338
493558,424,0.2650,76880.00,25.3224
493592,432,0.2700,77960.00,25.6444
493626,440,0.2750,79054.00,26.0608
493659,448,0.2800,80193.00,26.3956
493693,456,0.2850,81237.00,26.7421
493727,464,0.2900,82357.00,27.1694
493760,472,0.2950,83826.00,27.5586
493794,480,0.3000,84795.00,27.8307
493828,488,0.3050,85750.00,28.2688
493862,496,0.3100,86910.00,28.5727
493895,504,0.3150,88321.00,28.9878
493929,512,0.3200,89192.00,29.3288
493963,520,0.3250,90137.00,29.7049
493997,528,0.3300,91264.00,29.9917
494030,536,0.3350,92289.00,30.3894
494064,544,0.3400,93486.00,30.7353
494098,552,0.3450,94519.00,31.0612
494131,560,0.3500,95528.00,31.3044
494165,568,0.3550,96689.00,31.7586
494199,576,0.3600,97550.00,32.0585
494233,584,0.3650,98413.00,32.4343
494266,592,0.3700,99411.00,32.7509
494300,600,0.3750,100628.00,33.0584
494334,608,0.3800,101642.00,33.3079
494367,616,0.3850,102321.00,33.7109
494401,624,0.3900,103412.00,34.0042
494435,632,0.3950,104502.00,34.3426
494469,640,0.4000,105562.00,34.7505
494502,648,0.4050,106279.00,34.9392
494536,656,0.4100,107591.00,35.3058
494570,664,0.4150,108190.00,35.6129
494604,672,0.4200,109006.00,35.8748
494637,680,0.4250,110119.00,36.1767
494671,688,0.4300,111051.00,36.5052
494705,696,0.4350,111879.00,36.7983
494738,704,0.4400,112966.00,37.1153
494772,712,0.4450,113899.00,37.3637
494806,720,0.4500,114836.00,37.7270
494840,728,0.4550,115933.00,38.1018
494873,736,0.4600,116688.00,38.3968
494907,744,0.4650,117646.00,38.6623
494941,752,0.4700,118430.00,38.9705
494974,760,0.4750,119399.00,39.2517
495008,768,0.4800,120291.00,39.4877
495042,776,0.4850,121112.00,39.7948
495076,784,0.4900,122045.00,40.0931
495109,792,0.4950,122932.00,40.2937
495143,800,0.5000,123866.00,40.6740
495177,808,0.5050,124695.00,40.9411
495210,816,0.5100,125697.00,41.2687
495244,824,0.5150,126211.00,41.4767
495278,832,0.5200,127220.00,41.7645
495312,840,0.5250,127940.00,42.0054
495345,848,0.5300,128866.00,42.3802
495379,856,0.5350,129561.00,42.5869
495413,864,0.5400,130441.00,42.8022
495447,872,0.5450,131154.00,43.0762
495480,880,0.5500,132225.00,43.3900
495514,888,0.5550,132827.00,43.5836
495548,896,0.5600,133302.00,43.7907
495581,904,0.5650,134262.00,44.0578
495615,912,0.5700,135134.00,44.3459
495649,920,0.5750,135820.00,44.6354
495683,928,0.5800,136495.00,44.9478
495716,936,0.5850,137253.00,45.0426
495750,944,0.5900,137902.00,45.3472
495784,952,0.5950,138360.00,45.4607
495818,960,0.6000,139380.00,45.7830
495851,968,0.6050,139893.00,45.9917
495885,976,0.6100,140792.00,46.1768
495919,984,0.6150,140909.00,46.3281
495952,992,0.6200,142048.00,46.6536
495986,1000,0.6250,142454.00,46.8151
496020,1008,0.6300,143202.00,47.0409
496054,1016,0.6350,143926.00,47.2516
496087,1024,0.6400,144626.00,47.4163
496121,1032,0.6450,145046.00,47.6913
496155,1040,0.6500,145613.00,47.8446
496189,1048,0.6550,146185.00,48.0467
496222,1056,0.6600,147128.00,48.2870
496256,1064,0.6650,147518.00,48.4415
496290,1072,0.6700,148160.00,48.6870
496323,1080,0.6750,148936.00,48.8882
496357,1088,0.6800,149284.00,48.9509
496391,1096,0.6850,150136.00,49.2314
496425,1104,0.6900,150806.00,49.5032
496458,1112,0.6950,151155.00,49.6459
496492,1120,0.7000,151827.00,49.8169
496526,1128,0.7050,152307.00,49.9308
496559,1136,0.7100,153042.00,50.1782
496593,1144,0.7150,153610.00,50.4115
496627,1152,0.7200,154174.00,50.6347
496661,1160,0.7250,154730.00,50.8119
496694,1168,0.7300,155274.00,50.9944
496728,1176,0.7350,155648.00,51.0574
496762,1184,0.7400,156433.00,51.3777
496796,1192,0.7450,156792.00,51.5240
496829,1200,0.7500,157528.00,51.7042
496863,1208,0.7550,158082.00,51.8726
496897,1216,0.7600,158295.00,52.0015
496930,1224,0.7650,159111.00,52.2332
496964,1232,0.7700,159417.00,52.3556
496998,1240,0.7750,160166.00,52.5525
497032,1248,0.7800,160368.00,52.6608
497065,1256,0.7850,160992.00,52.8755
497099,1264,0.7900,161411.00,53.0399
497133,1272,0.7950,162131.00,53.2246
497167,1280,0.8000,162487.00,53.3310
497200,1288,0.8050,162772.00,53.4524
497234,1296,0.8100,163538.00,53.6486
497268,1304,0.8150,163822.00,53.7645
497301,1312,0.8200,164228.00,53.9194
497335,1320,0.8250,164860.00,54.1028
497369,1328,0.8300,165550.00,54.2603
497403,1336,0.8350,165973.00,54.5019
497436,1344,0.8400,166409.00,54.5908
497470,1352,0.8450,166666.00,54.7359
497504,1360,0.8500,167150.00,54.8406
497537,1368,0.8550,167613.00,55.0076
497571,1376,0.8600,167916.00,55.1120
497605,1384,0.8650,168661.00,55.3036
497639,1392,0.8700,169049.00,55.4779
497672,1400,0.8750,169344.00,55.6308
497706,1408,0.8800,169836.00,55.7053
497740,1416,0.8850,170414.00,55.8858
497774,1424,0.8900,170614.00,56.0459
497807,1432,0.8950,171013.00,56.1263
497841,1440,0.9000,171410.00,56.2839
497875,1448,0.9050,171813.00,56.3488
497908,1456,0.9100,172256.00,56.4818
497942,1464,0.9150,172464.00,56.6271
497976,1472,0.9200,173018.00,56.7636
498010,1480,0.9250,173289.00,56.8326
498043,1488,0.9300,173445.00,56.9674
498077,1496,0.9350,173816.00,57.0613
498246,1504,0.9400,173267.00,56.9606
498279,1512,0.9450,173858.00,57.1575
498313,1520,0.9500,174405.00,57.2894
498347,1528,0.9550,174692.00,57.4069
498381,1536,0.9600,175188.00,57.5204
498414,1544,0.9650,175716.00,57.7170
498448,1552,0.9700,176069.00,57.8384
498482,1560,0.9750,176388.00,57.9031
498515,1568,0.9800,177024.00,58.0064
498549,1576,0.9850,176884.00,58.0544
498583,1584,0.9900,177299.00,58.2060
498617,1592,0.9950,177414.00,58.2650
498650,1600,1.0000,177704.00,58.3865
498684,1608,1.0050,178395.00,58.5049
498718,1616,1.0100,178440.00,58.5975
498752,1624,1.0150,179025.00,58.7317
498785,1632,1.0200,178997.00,58.8032
498819,1640,1.0250,179209.00,58.8774
498853,1648,1.0300,179568.00,58.9962
498886,1656,1.0350,179826.00,59.0438
498920,1664,1.0400,180191.00,59.1134
498954,1672,1.0450,180794.00,59.2482
498988,1680,1.0500,180848.00,59.3953
499021,1688,1.0550,180752.00,59.4025
499055,1696,1.0600,181346.00,59.4819
499089,1704,1.0650,181470.00,59.5659
499122,1712,1.0700,181799.00,59.6174
499156,1720,1.0750,181955.00,59.6804
499190,1728,1.0800,182223.00,59.7861
499224,1736,1.0850,182403.00,59.8068
499257,1744,1.0900,182482.00,59.8806
499291,1752,1.0950,183072.00,59.9932
499325,1760,1.1000,183077.00,60.0864
499359,1768,1.1050,183175.00,60.1963
499392,1776,1.1100,183601.00,60.1950
499426,1784,1.1150,183922.00,60.3178
499460,1792,1.1200,183903.00,60.3082
499493,1800,1.1250,183918.00,60.3808
499527,1808,1.1300,184232.00,60.4044
499561,1816,1.1350,184406.00,60.4795
499595,1824,1.1400,184720.00,60.6154
499628,1832,1.1450,184708.00,60.6128
499662,1840,1.1500,184921.00,60.6719
