Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6318770,8,0.0050,13725.00,5.5212
6318804,16,0.0100,22195.00,7.6395
6318838,24,0.0150,28918.00,10.3620
6318871,32,0.0200,36704.00,12.2336
6318905,40,0.0250,38032.00,12.6717
6318939,48,0.0300,38987.00,13.0111
6318973,56,0.0350,39637.00,13.2424
6319006,64,0.0400,41485.00,13.8899
6319040,72,0.0450,46269.00,16.2134
6319074,80,0.0500,61834.00,20.9623
6319108,88,0.0550,70086.00,23.1079
6319141,96,0.0600,71747.00,23.6002
6319175,104,0.0650,72844.00,24.0068
6319209,112,0.0700,74319.00,24.3734
6319243,120,0.0750,75244.00,24.7727
6319277,128,0.0800,76472.00,25.1360
6319310,136,0.0850,77839.00,25.5699
6319344,144,0.0900,78720.00,25.8728
6319378,152,0.0950,80022.00,26.3362
6319412,160,0.1000,81120.00,26.7654
6319445,168,0.1050,82306.00,27.0913
6319479,176,0.1100,83510.00,27.4309
6319513,184,0.1150,84322.00,27.7594
6319547,192,0.1200,85546.00,28.0860
6319580,200,0.1250,86150.00,28.3301
6319614,208,0.1300,87272.00,28.7272
6319760,216,0.1350,87977.00,28.9714
6319794,224,0.1400,89134.00,29.2707
6319828,232,0.1450,90066.00,29.5736
6319862,240,0.1500,91079.00,29.9674
6319895,248,0.1550,92216.00,30.3458
6319929,256,0.1600,92936.00,30.6083
6319963,264,0.1650,94175.00,30.9181
6319997,272,0.1700,95196.00,31.2624
6320030,280,0.1750,95984.00,31.5761
6320064,288,0.1800,97013.00,31.9112
6320098,296,0.1850,97872.00,32.2298
6320132,304,0.1900,99156.00,32.5957
6320165,312,0.1950,99901.00,32.8871
6320199,320,0.2000,100593.00,33.0529
6320233,328,0.2050,101585.00,33.4513
6320267,336,0.2100,102599.00,33.6675
6320301,344,0.2150,103261.00,34.0275
6320334,352,0.2200,104221.00,34.2724
6320368,360,0.2250,105080.00,34.4456
6320402,368,0.2300,105687.00,34.7167
6320436,376,0.2350,106661.00,35.0557
6320469,384,0.2400,107502.00,35.3343
6320503,392,0.2450,108391.00,35.6225
6320537,400,0.2500,108830.00,35.8601
6320571,408,0.2550,109931.00,36.1131
6320604,416,0.2600,110726.00,36.3218
6320638,424,0.2650,111309.00,36.5797
6320672,432,0.2700,112177.00,36.8705
6320706,440,0.2750,112922.00,37.1104
6320739,448,0.2800,113503.00,37.3549
6320773,456,0.2850,114238.00,37.5577
6320807,464,0.2900,115294.00,37.8731
6320841,472,0.2950,116071.00,38.0857
6320874,480,0.3000,116509.00,38.3325
6320908,488,0.3050,117247.00,38.5816
6320942,496,0.3100,118106.00,38.8687
6320976,504,0.3150,118694.00,38.9715
6321010,512,0.3200,119477.00,39.2629
6321043,520,0.3250,120239.00,39.4197
6321077,528,0.3300,120407.00,39.5454
6321111,536,0.3350,121318.00,39.8231
6321145,544,0.3400,122001.00,40.0288
6321178,552,0.3450,122600.00,40.2366
6321212,560,0.3500,123213.00,40.5559
6321246,568,0.3550,123662.00,40.6258
6321280,576,0.3600,124303.00,40.8164
6321313,584,0.3650,124909.00,41.0373
6321347,592,0.3700,125705.00,41.2939
6321381,600,0.3750,126021.00,41.3802
6321415,608,0.3800,126635.00,41.6411
6321448,616,0.3850,127063.00,41.7701
6321482,624,0.3900,127926.00,41.9939
6321516,632,0.3950,128310.00,42.2295
6321550,640,0.4000,128956.00,42.4038
6321583,648,0.4050,129396.00,42.5252
6321617,656,0.4100,129967.00,42.6929
6321651,664,0.4150,130300.00,42.8075
6321685,672,0.4200,130716.00,43.0004
6321718,680,0.4250,131403.00,43.1914
6321752,688,0.4300,131932.00,43.3512
6321786,696,0.4350,132493.00,43.5157
6321820,704,0.4400,132728.00,43.6141
6321854,712,0.4450,133392.00,43.8117
6321887,720,0.4500,133802.00,43.9262
6321921,728,0.4550,134350.00,44.1572
6321955,736,0.4600,134699.00,44.2022
6321989,744,0.4650,135229.00,44.3922
6322022,752,0.4700,135597.00,44.4959
6322056,760,0.4750,136258.00,44.7053
6322090,768,0.4800,136379.00,44.7187
6322124,776,0.4850,136765.00,44.8996
6322157,784,0.4900,137158.00,45.0738
6322191,792,0.4950,137828.00,45.3039
6322225,800,0.5000,138180.00,45.3170
6322259,808,0.5050,138517.00,45.4161
6322292,816,0.5100,138873.00,45.5333
6322326,824,0.5150,139336.00,45.7108
6322360,832,0.5200,139793.00,45.8611
6322394,840,0.5250,139875.00,45.9809
6322427,848,0.5300,140405.00,46.1830
6322461,856,0.5350,140790.00,46.2260
6322495,864,0.5400,141303.00,46.3097
6322529,872,0.5450,141461.00,46.4531
6322563,880,0.5500,141901.00,46.5772
6322596,888,0.5550,142233.00,46.7281
6322630,896,0.5600,142762.00,46.8761
6322664,904,0.5650,143077.00,46.9821
6322698,912,0.5700,143478.00,47.0855
6322731,920,0.5750,143654.00,47.1196
6322765,928,0.5800,144193.00,47.3195
6322799,936,0.5850,144302.00,47.3448
6322833,944,0.5900,144739.00,47.5272
6322866,952,0.5950,145253.00,47.7323
6322900,960,0.6000,145656.00,47.7901
6322934,968,0.6050,145734.00,47.8603
6322968,976,0.6100,146001.00,47.8751
6323001,984,0.6150,146272.00,47.9443
6323035,992,0.6200,146728.00,48.1921
6323069,1000,0.6250,147052.00,48.2410
6323103,1008,0.6300,147474.00,48.3172
6323137,1016,0.6350,147588.00,48.4412
6323170,1024,0.6400,147829.00,48.5564
6323204,1032,0.6450,148271.00,48.6814
6323238,1040,0.6500,148467.00,48.8163
6323272,1048,0.6550,148648.00,48.8321
6323305,1056,0.6600,149045.00,48.9568
6323339,1064,0.6650,149024.00,48.9748
6323373,1072,0.6700,149889.00,49.1569
6323407,1080,0.6750,149733.00,49.2029
6323440,1088,0.6800,149958.00,49.3023
6323474,1096,0.6850,150542.00,49.4218
6323508,1104,0.6900,150847.00,49.4018
6323542,1112,0.6950,151042.00,49.5583
6323575,1120,0.7000,151138.00,49.6134
6323609,1128,0.7050,151262.00,49.6338
6323643,1136,0.7100,151792.00,49.8336
6323677,1144,0.7150,151947.00,49.8208
6323711,1152,0.7200,152096.00,49.9514
6323744,1160,0.7250,152415.00,50.0489
6323778,1168,0.7300,152362.00,50.1004
6323812,1176,0.7350,152891.00,50.1428
6323846,1184,0.7400,153045.00,50.1982
6323879,1192,0.7450,153305.00,50.3206
6323913,1200,0.7500,153548.00,50.3269
6323947,1208,0.7550,153549.00,50.4391
6323981,1216,0.7600,153631.00,50.4526
6324014,1224,0.7650,154004.00,50.4952
6324048,1232,0.7700,154208.00,50.5471
6324082,1240,0.7750,154497.00,50.6462
6324116,1248,0.7800,154399.00,50.7036
6324149,1256,0.7850,154721.00,50.7318
6324183,1264,0.7900,154909.00,50.8224
6324217,1272,0.7950,154922.00,50.9058
6324251,1280,0.8000,155115.00,50.9353
6324285,1288,0.8050,155332.00,50.9475
6324318,1296,0.8100,155481.00,51.0682
6324352,1304,0.8150,155740.00,51.0607
6324386,1312,0.8200,155850.00,51.1434
6324420,1320,0.8250,156025.00,51.1565
6324453,1328,0.8300,155988.00,51.2671
6324487,1336,0.8350,156326.00,51.2999
6324521,1344,0.8400,156271.00,51.2658
6324555,1352,0.8450,156230.00,51.3052
6324588,1360,0.8500,156424.00,51.4276
6324622,1368,0.8550,156501.00,51.3317
6324656,1376,0.8600,156733.00,51.4381
6324690,1384,0.8650,157184.00,51.5808
6324723,1392,0.8700,156886.00,51.4965
6324757,1400,0.8750,157135.00,51.4663
6324791,1408,0.8800,157083.00,51.5710
6324825,1416,0.8850,157367.00,51.6383
6324858,1424,0.8900,157501.00,51.6543
6324892,1432,0.8950,157515.00,51.7065
6324926,1440,0.9000,157544.00,51.7255
6324960,1448,0.9050,157668.00,51.6826
6324994,1456,0.9100,157780.00,51.7892
6325027,1464,0.9150,158033.00,51.8155
6325061,1472,0.9200,157870.00,51.8086
6325095,1480,0.9250,157762.00,51.6996
6325129,1488,0.9300,158051.00,51.9165
6325162,1496,0.9350,158137.00,51.8841
6325196,1504,0.9400,158112.00,51.8706
6325230,1512,0.9450,158263.00,51.9582
6325264,1520,0.9500,158238.00,51.9208
6325297,1528,0.9550,158283.00,51.9736
6325331,1536,0.9600,158362.00,52.0285
6325365,1544,0.9650,158527.00,51.9818
6325399,1552,0.9700,158442.00,52.0097
6325432,1560,0.9750,158478.00,51.9576
6325466,1568,0.9800,158507.00,51.9704
6325500,1576,0.9850,158489.00,52.0534
6325534,1584,0.9900,158561.00,52.0399
6325567,1592,0.9950,158489.00,51.9595
6325601,1600,1.0000,158726.00,52.0537
6325635,1608,1.0050,158675.00,52.0439
6325669,1616,1.0100,158534.00,52.0803
6325703,1624,1.0150,158862.00,52.1371
6325736,1632,1.0200,158581.00,52.0672
6325770,1640,1.0250,158929.00,52.0997
6325804,1648,1.0300,158593.00,52.0006
6325838,1656,1.0350,158868.00,52.1128
6325871,1664,1.0400,158646.00,52.0327
6325905,1672,1.0450,158680.00,52.0642
6325939,1680,1.0500,158744.00,52.1010
6325973,1688,1.0550,158821.00,52.0275
6326006,1696,1.0600,158560.00,51.9963
6326040,1704,1.0650,158490.00,52.0094
6326074,1712,1.0700,158653.00,52.0104
6326108,1720,1.0750,158568.00,51.9858
6326141,1728,1.0800,158470.00,52.0317
6326175,1736,1.0850,158457.00,51.9910
6326209,1744,1.0900,158411.00,51.9284
6326243,1752,1.0950,158350.00,51.9779
6326277,1760,1.1000,158289.00,51.9599
6326310,1768,1.1050,158141.00,51.8988
6326344,1776,1.1100,158005.00,51.8637
6326378,1784,1.1150,158125.00,51.8640
6326412,1792,1.1200,158328.00,51.9100
6326445,1800,1.1250,158137.00,51.8112
6326479,1808,1.1300,157976.00,51.7653
6326513,1816,1.1350,157867.00,51.7613
6326547,1824,1.1400,158027.00,51.8591
6326580,1832,1.1450,157782.00,51.6855
6326614,1840,1.1500,157535.00,51.7068
6326648,1848,1.1550,157680.00,51.6917
6326682,1856,1.1600,157421.00,51.6179
6326715,1864,1.1650,157381.00,51.6195
6326749,1872,1.1700,157200.00,51.6225
6326783,1880,1.1750,157328.00,51.5867
6326817,1888,1.1800,157091.00,51.5103
6326851,1896,1.1850,156705.00,51.4230
6326884,1904,1.1900,156862.00,51.4804
6326918,1912,1.1950,156880.00,51.4932
6326952,1920,1.2000,156674.00,51.4499
6326986,1928,1.2050,156454.00,51.3127
6327019,1936,1.2100,156448.00,51.3242
6327053,1944,1.2150,156422.00,51.2960
6327087,1952,1.2200,156374.00,51.3810
6327121,1960,1.2250,156241.00,51.2894
6327154,1968,1.2300,156063.00,51.1955
6327188,1976,1.2350,155809.00,51.1719
6327222,1984,1.2400,155606.00,51.0443
6327256,1992,1.2450,155536.00,51.0082
6327289,2000,1.2500,155388.00,51.0085
6327323,2008,1.2550,155266.00,50.9376
6327357,2016,1.2600,155151.00,50.9511
6327391,2024,1.2650,154822.00,50.8464
6327425,2032,1.2700,154828.00,50.8884
6327458,2040,1.2750,154607.00,50.7469
6327492,2048,1.2800,154640.00,50.7190
6327526,2056,1.2850,154290.00,50.5937
6327560,2064,1.2900,154070.00,50.6019
6327593,2072,1.2950,154172.00,50.5829
6327627,2080,1.3000,153886.00,50.4106
6327661,2088,1.3050,153714.00,50.4132
6327695,2096,1.3100,153584.00,50.3774
6327728,2104,1.3150,153442.00,50.3400
6327762,2112,1.3200,153168.00,50.2806
6327796,2120,1.3250,152960.00,50.2140
6327830,2128,1.3300,152771.00,50.1362
6327863,2136,1.3350,152464.00,50.0351
6327897,2144,1.3400,152498.00,49.9554
6327931,2152,1.3450,152351.00,49.9193
6327965,2160,1.3500,152117.00,49.8310
6327998,2168,1.3550,151985.00,49.8566
6328032,2176,1.3600,151854.00,49.7805
6328066,2184,1.3650,151545.00,49.7306
6328100,2192,1.3700,151288.00,49.6229
6328133,2200,1.3750,151161.00,49.5996
6328167,2208,1.3800,151032.00,49.5612
6328201,2216,1.3850,150746.00,49.4598
6328235,2224,1.3900,150646.00,49.3624
6328268,2232,1.3950,150299.00,49.2961
6328302,2240,1.4000,149932.00,49.1727
6328336,2248,1.4050,149895.00,49.2039
6328370,2256,1.4100,149563.00,49.0523
6328404,2264,1.4150,149397.00,49.0089
6328437,2272,1.4200,149185.00,48.9643
6328471,2280,1.4250,148807.00,48.8232
6328505,2288,1.4300,148754.00,48.8291
6328539,2296,1.4350,148457.00,48.7523
6328572,2304,1.4400,148172.00,48.6489
6328606,2312,1.4450,148067.00,48.5144
6328640,2320,1.4500,147889.00,48.5393
6328674,2328,1.4550,147920.00,48.4346
6328707,2336,1.4600,147598.00,48.4166
6328741,2344,1.4650,147398.00,48.3493
6328775,2352,1.4700,146867.00,48.2118
6328809,2360,1.4750,146884.00,48.1997
6328842,2368,1.4800,146581.00,48.0878
6328876,2376,1.4850,146248.00,48.0585
6328910,2384,1.4900,146169.00,47.9703
6328944,2392,1.4950,146012.00,47.8872
6328977,2400,1.5000,145838.00,47.8292
6329011,2408,1.5050,145448.00,47.7389
6329045,2416,1.5100,145402.00,47.6848
6329079,2424,1.5150,144880.00,47.5394
6329113,2432,1.5200,144766.00,47.5003
6329146,2440,1.5250,144402.00,47.3865
6329180,2448,1.5300,144400.00,47.3645
6329214,2456,1.5350,143999.00,47.2604
6329248,2464,1.5400,143844.00,47.1797
6329281,2472,1.5450,143703.00,47.0977
6329315,2480,1.5500,143394.00,47.0432
6329349,2488,1.5550,143171.00,46.9526
6329383,2496,1.5600,142740.00,46.9267
6329416,2504,1.5650,142722.00,46.8059
6329450,2512,1.5700,142422.00,46.7150
6329484,2520,1.5750,142066.00,46.6874
6329518,2528,1.5800,141792.00,46.5352
6329551,2536,1.5850,141429.00,46.3471
6329585,2544,1.5900,141345.00,46.3662
6329619,2552,1.5950,141079.00,46.2608
6329653,2560,1.6000,140903.00,46.2408
6329686,2568,1.6050,140499.00,46.1384
6329720,2576,1.6100,140171.00,45.9510
6329754,2584,1.6150,140004.00,45.8769
6329788,2592,1.6200,139772.00,45.8401
6329822,2600,1.6250,139322.00,45.7233
6329855,2608,1.6300,139009.00,45.5520
6329889,2616,1.6350,139004.00,45.5664
6329923,2624,1.6400,138525.00,45.4916
6329957,2632,1.6450,138401.00,45.4312
6329990,2640,1.6500,137915.00,45.2136
6330024,2648,1.6550,137790.00,45.2304
6330058,2656,1.6600,137480.00,45.0797
6330092,2664,1.6650,137111.00,44.9951
6330125,2672,1.6700,136815.00,44.9245
6330159,2680,1.6750,136469.00,44.7519
6330193,2688,1.6800,136118.00,44.6672
6330227,2696,1.6850,135972.00,44.7010
6330260,2704,1.6900,135740.00,44.5163
6330294,2712,1.6950,135171.00,44.3778
6330328,2720,1.7000,135058.00,44.2422
6330362,2728,1.7050,134847.00,44.2222
6330396,2736,1.7100,134337.00,44.1136
6330429,2744,1.7150,134216.00,43.9987
6330463,2752,1.7200,133872.00,43.8917
6330497,2760,1.7250,133502.00,43.7483
6330531,2768,1.7300,133139.00,43.6391
6330564,2776,1.7350,132926.00,43.6975
6330598,2784,1.7400,132679.00,43.5006
6330632,2792,1.7450,132172.00,43.3749
6330666,2800,1.7500,132072.00,43.3165
6330699,2808,1.7550,131801.00,43.2397
6330733,2816,1.7600,131158.00,43.0090
6330767,2824,1.7650,130839.00,42.9332
6330801,2832,1.7700,130756.00,42.8879
6330834,2840,1.7750,130544.00,42.7776
6330868,2848,1.7800,130273.00,42.7441
6330902,2856,1.7850,129820.00,42.5548
6330936,2864,1.7900,129499.00,42.4754
6330969,2872,1.7950,129245.00,42.4494
6331003,2880,1.8000,128868.00,42.3162
6331037,2888,1.8050,128603.00,42.1574
6331071,2896,1.8100,128161.00,42.0510
6331105,2904,1.8150,127905.00,41.9119
6331138,2912,1.8200,127529.00,41.8971
6331172,2920,1.8250,127228.00,41.6982
6331206,2928,1.8300,127006.00,41.6835
6331240,2936,1.8350,126674.00,41.5561
6331273,2944,1.8400,126130.00,41.3333
6331307,2952,1.8450,125930.00,41.3445
6331341,2960,1.8500,125626.00,41.2398
6331375,2968,1.8550,125296.00,41.0416
6331408,2976,1.8600,124862.00,40.9891
6331442,2984,1.8650,124645.00,40.8460
6331476,2992,1.8700,124090.00,40.7485
6331510,3000,1.8750,123674.00,40.5877
6331543,3008,1.8800,123699.00,40.5487
6331577,3016,1.8850,123270.00,40.4043
6331611,3024,1.8900,123174.00,40.4046
6331645,3032,1.8950,122593.00,40.2234
6331678,3040,1.9000,122302.00,40.0570
6331712,3048,1.9050,121938.00,39.9891
6331746,3056,1.9100,121569.00,39.9222
6331780,3064,1.9150,121217.00,39.7850
6331814,3072,1.9200,120873.00,39.6629
6331847,3080,1.9250,120777.00,39.6048
6331881,3088,1.9300,120139.00,39.4076
6331915,3096,1.9350,119835.00,39.2763
6331949,3104,1.9400,119627.00,39.2278
6331982,3112,1.9450,119018.00,39.0676
6332016,3120,1.9500,118667.00,38.9347
6332050,3128,1.9550,118379.00,38.8297
6332084,3136,1.9600,118221.00,38.7168
6332117,3144,1.9650,117876.00,38.6334
6332151,3152,1.9700,117332.00,38.4618
6332185,3160,1.9750,117069.00,38.3890
6332219,3168,1.9800,116528.00,38.2721
6332252,3176,1.9850,116122.00,38.1317
6332286,3184,1.9900,116020.00,38.0890
6332320,3192,1.9950,115663.00,37.9669
6332354,3200,2.0000,115324.00,37.7625
6332387,3208,2.0050,114839.00,37.6699
6332421,3216,2.0100,114566.00,37.6164
6332455,3224,2.0150,114019.00,37.4418
6332489,3232,2.0200,113882.00,37.3470
6332523,3240,2.0250,113484.00,37.1619
6332556,3248,2.0300,113231.00,37.0868
6332590,3256,2.0350,112860.00,36.9919
6332624,3264,2.0400,112563.00,36.8830
6332658,3272,2.0450,111921.00,36.6910
6332691,3280,2.0500,111532.00,36.5876
6332725,3288,2.0550,111273.00,36.5148
6332759,3296,2.0600,111053.00,36.4406
6332793,3304,2.0650,110439.00,36.2132
6332826,3312,2.0700,110177.00,36.1518
6332860,3320,2.0750,109984.00,36.0419
6332894,3328,2.0800,109628.00,35.9621
6332928,3336,2.0850,109035.00,35.7803
6332961,3344,2.0900,108836.00,35.6595
6332995,3352,2.0950,108643.00,35.5361
6333029,3360,2.1000,107819.00,35.4242
6333063,3368,2.1050,107882.00,35.2874
