Millis,Steps,Travel (mm),Scale raw,Scale (grams)
4124771,8,0.0050,27812.00,9.3007
4124805,16,0.0100,33283.00,11.4299
4124839,24,0.0150,36677.00,12.6281
4124873,32,0.0200,42959.00,14.8587
4124907,40,0.0250,52562.00,17.9395
4124940,48,0.0300,57482.00,18.8840
4124974,56,0.0350,59616.00,19.8029
4125008,64,0.0400,64574.00,21.7427
4125042,72,0.0450,67875.00,22.4440
4125076,80,0.0500,68468.00,22.8306
4125109,88,0.0550,70284.00,23.3291
4125143,96,0.0600,71693.00,23.6740
4125177,104,0.0650,72103.00,23.9740
4125211,112,0.0700,74450.00,24.8676
4125245,120,0.0750,78598.00,26.3070
4125278,128,0.0800,83260.00,28.3439
4125312,136,0.0850,93362.00,31.7956
4125346,144,0.0900,103497.00,34.2146
4125380,152,0.0950,105418.00,34.8040
4125413,160,0.1000,106612.00,35.2185
4125447,168,0.1050,108180.00,35.7455
4125481,176,0.1100,109659.00,36.1886
4125515,184,0.1150,110746.00,36.4403
4125549,192,0.1200,112453.00,37.1002
4125582,200,0.1250,114130.00,37.6384
4125616,208,0.1300,115057.00,38.0119
4125650,216,0.1350,116629.00,38.5107
4125684,224,0.1400,117942.00,38.8655
4125718,232,0.1450,119813.00,39.5461
4125751,240,0.1500,120852.00,39.8457
4125785,248,0.1550,122250.00,40.2812
4125819,256,0.1600,123665.00,40.8673
4125853,264,0.1650,125081.00,41.3110
4125887,272,0.1700,126397.00,41.6247
4125920,280,0.1750,127518.00,42.0244
4125954,288,0.1800,128708.00,42.4265
4125988,296,0.1850,130194.00,42.9958
4126022,304,0.1900,131738.00,43.4605
4126055,312,0.1950,132882.00,43.8744
4126089,320,0.2000,133939.00,44.1100
4126123,328,0.2050,135404.00,44.5885
4126157,336,0.2100,136562.00,45.0049
4126191,344,0.2150,137668.00,45.3623
4126224,352,0.2200,138827.00,45.7610
4126258,360,0.2250,139783.00,46.1230
4126292,368,0.2300,141319.00,46.6215
4126326,376,0.2350,142511.00,46.9670
4126360,384,0.2400,143602.00,47.3379
4126393,392,0.2450,144654.00,47.7228
4126427,400,0.2500,145829.00,48.0933
4126461,408,0.2550,147240.00,48.4560
4126495,416,0.2600,148184.00,48.8435
4126528,424,0.2650,149431.00,49.2623
4126562,432,0.2700,150667.00,49.5219
4126596,440,0.2750,151549.00,49.9075
4126664,448,0.2800,152129.00,50.3308
4126697,456,0.2850,153677.00,50.6544
