Millis,Steps,Travel (mm),Scale raw,Scale (grams)
2233830,8,0.0050,32500.00,11.0207
2233864,16,0.0100,35898.00,11.9225
2233897,24,0.0150,37799.00,12.6228
2233931,32,0.0200,39438.00,13.4705
2233965,40,0.0250,40894.00,13.8571
2233999,48,0.0300,43822.00,14.8340
2234032,56,0.0350,46193.00,15.8622
2234066,64,0.0400,48954.00,16.2642
2234100,72,0.0450,51524.00,17.1847
2234134,80,0.0500,51598.00,17.4926
2234168,88,0.0550,53057.00,17.9645
2234201,96,0.0600,55143.00,18.4502
2234235,104,0.0650,57536.00,19.2483
2234269,112,0.0700,58880.00,19.6519
2234303,120,0.0750,60724.00,20.2758
2234336,128,0.0800,62484.00,20.9312
2234370,136,0.0850,63973.00,21.4185
2234404,144,0.0900,65918.00,21.9997
2234438,152,0.0950,67622.00,22.5533
2234471,160,0.1000,69199.00,23.1102
2234505,168,0.1050,71017.00,23.5854
2234539,176,0.1100,72185.00,24.1003
2234573,184,0.1150,74057.00,24.5378
2234606,192,0.1200,75288.00,25.0701
2234640,200,0.1250,76889.00,25.2962
2234674,208,0.1300,78134.00,26.1104
2234708,216,0.1350,78786.00,26.3860
2234742,224,0.1400,81125.00,26.6722
2234775,232,0.1450,82621.00,27.4657
2234809,240,0.1500,83906.00,27.7699
2234843,248,0.1550,84608.00,28.2067
2234877,256,0.1600,86913.00,28.7331
2234910,264,0.1650,87806.00,29.2874
2234944,272,0.1700,88724.00,29.5201
2234978,280,0.1750,90939.00,30.1026
2235012,288,0.1800,90593.00,30.1991
2235045,296,0.1850,93216.00,30.7681
2235079,304,0.1900,95034.00,31.3329
2235113,312,0.1950,94817.00,31.5282
2235147,320,0.2000,96668.00,32.0418
2235180,328,0.2050,97862.00,32.3893
2235214,336,0.2100,98749.00,32.6971
2235248,344,0.2150,100274.00,33.2599
2235282,352,0.2200,101368.00,33.4752
2235316,360,0.2250,102326.00,33.8845
2235349,368,0.2300,103167.00,34.1529
2235383,376,0.2350,104437.00,34.5004
2235417,384,0.2400,105332.00,35.0314
2235451,392,0.2450,105692.00,35.2474
2235484,400,0.2500,106757.00,35.4446
2235518,408,0.2550,108759.00,35.8049
2235552,416,0.2600,108921.00,36.1593
2235586,424,0.2650,110444.00,36.5144
2235619,432,0.2700,111442.00,36.9030
2235653,440,0.2750,111819.00,37.0976
2235687,448,0.2800,113366.00,37.3116
2235721,456,0.2850,114613.00,37.8803
2235755,464,0.2900,115159.00,38.2846
2235788,472,0.2950,116066.00,38.4776
2235822,480,0.3000,117017.00,38.8786
2235856,488,0.3050,118041.00,39.2173
2235890,496,0.3100,118719.00,39.4211
2235923,504,0.3150,119974.00,39.8188
2235957,512,0.3200,121250.00,40.2648
2235991,520,0.3250,122318.00,40.5979
2236025,528,0.3300,123329.00,41.0448
2236059,536,0.3350,124404.00,41.4032
2236092,544,0.3400,125977.00,41.9109
2236126,552,0.3450,127098.00,42.1318
2236160,560,0.3500,128102.00,42.5663
2236193,568,0.3550,129003.00,42.8564
2236227,576,0.3600,129969.00,43.2233
2236261,584,0.3650,130352.00,43.3391
2236295,592,0.3700,131325.00,43.5573
2236329,600,0.3750,131736.00,43.7411
2236362,608,0.3800,132940.00,44.1858
2236396,616,0.3850,133474.00,44.2721
2236430,624,0.3900,133966.00,44.4519
2236464,632,0.3950,134976.00,44.7575
2236497,640,0.4000,135583.00,45.0026
2236531,648,0.4050,136569.00,45.2711
2236565,656,0.4100,136923.00,45.3236
2236599,664,0.4150,138607.00,45.7961
2236632,672,0.4200,137135.00,45.5631
2236666,680,0.4250,139973.00,46.2168
2236700,688,0.4300,140901.00,46.6369
2236734,696,0.4350,139753.00,46.7560
2236768,704,0.4400,142206.00,47.1105
2236801,712,0.4450,143102.00,47.3674
2236835,720,0.4500,143463.00,47.6884
2236869,728,0.4550,144827.00,48.0307
2236903,736,0.4600,145850.00,48.3631
2236936,744,0.4650,146312.00,48.5488
2236970,752,0.4700,146901.00,48.7047
2237004,760,0.4750,147992.00,49.0900
2237038,768,0.4800,148713.00,49.2380
2237071,776,0.4850,149960.00,49.6305
2237105,784,0.4900,150341.00,49.7864
2237139,792,0.4950,150693.00,49.9446
2237173,800,0.5000,151403.00,50.1493
2237206,808,0.5050,152644.00,50.2829
2237240,816,0.5100,148374.00,49.9980
2237274,824,0.5150,151339.00,50.2271
2237308,832,0.5200,155143.00,50.9248
2237342,840,0.5250,153759.00,51.2438
2237375,848,0.5300,156286.00,51.3288
2237409,856,0.5350,154998.00,51.6271
2237443,864,0.5400,154748.00,51.4591
2237477,872,0.5450,158076.00,51.9303
2237510,880,0.5500,157723.00,52.2555
2237544,888,0.5550,157070.00,51.9973
2237578,896,0.5600,157507.00,51.9307
2237612,904,0.5650,160064.00,52.6631
2237645,912,0.5700,158011.00,52.6316
2237679,920,0.5750,159372.00,52.5788
2237713,928,0.5800,161736.00,53.3523
2237747,936,0.5850,159879.00,53.2004
2237781,944,0.5900,161271.00,53.3149
2237814,952,0.5950,162301.00,53.7116
2237848,960,0.6000,162675.00,53.9256
2237882,968,0.6050,162604.00,53.6988
2237916,976,0.6100,164275.00,54.5121
2237949,984,0.6150,162789.00,54.0710
2237983,992,0.6200,164122.00,54.2108
2238017,1000,0.6250,166807.00,55.1467
2238051,1008,0.6300,165391.00,54.8642
2238084,1016,0.6350,166614.00,55.1842
2238118,1024,0.6400,167774.00,55.5629
2238152,1032,0.6450,167759.00,55.5058
2238186,1040,0.6500,168375.00,55.5337
2238219,1048,0.6550,169707.00,55.8671
2238253,1056,0.6600,169127.00,56.1290
2238287,1064,0.6650,167694.00,55.8129
2238321,1072,0.6700,169431.00,56.0827
2238355,1080,0.6750,169888.00,56.1450
2238388,1088,0.6800,170585.00,56.2829
2238422,1096,0.6850,171115.00,56.5211
2238456,1104,0.6900,170949.00,56.5828
2238490,1112,0.6950,171446.00,56.6409
2238523,1120,0.7000,170679.00,56.6419
2238557,1128,0.7050,172617.00,56.9970
2238591,1136,0.7100,172980.00,57.1680
2238625,1144,0.7150,171621.00,56.9809
2238658,1152,0.7200,175121.00,57.6487
2238692,1160,0.7250,172935.00,57.4679
2238726,1168,0.7300,171957.00,57.1499
2238760,1176,0.7350,174922.00,57.7131
2238793,1184,0.7400,174693.00,57.8319
2238827,1192,0.7450,174323.00,57.6330
2238861,1200,0.7500,175897.00,57.9342
2238895,1208,0.7550,174875.00,58.4429
2238929,1216,0.7600,173979.00,57.8732
2238962,1224,0.7650,176874.00,58.2506
2238996,1232,0.7700,176883.00,58.8597
