Millis,Steps,Travel (mm),Scale raw,Scale (grams)
122995,8,0.0050,22111.00,8.6119
123029,16,0.0100,37858.00,13.2742
123062,24,0.0150,40834.00,13.9198
123096,32,0.0200,42854.00,14.5745
123130,40,0.0250,44596.00,15.2367
123163,48,0.0300,45759.00,16.0611
123197,56,0.0350,53905.00,18.7062
123231,64,0.0400,60252.00,20.7244
123265,72,0.0450,64497.00,21.9304
123298,80,0.0500,67047.00,22.6134
123332,88,0.0550,69293.00,23.3902
123366,96,0.0600,71253.00,24.0636
123399,104,0.0650,73027.00,24.6671
123433,112,0.0700,75114.00,25.3247
123467,120,0.0750,77083.00,25.8173
123501,128,0.0800,79611.00,26.6417
123534,136,0.0850,80313.00,27.0611
123568,144,0.0900,82017.00,27.5425
123602,152,0.0950,83645.00,28.0476
123635,160,0.1000,85356.00,28.6987
123669,168,0.1050,87566.00,29.3160
123703,176,0.1100,89119.00,29.8233
123736,184,0.1150,90633.00,30.3901
123770,192,0.1200,92338.00,30.8548
123804,200,0.1250,94111.00,31.4202
123838,208,0.1300,95023.00,31.7710
123871,216,0.1350,96177.00,32.2095
123905,224,0.1400,97711.00,32.6902
123939,232,0.1450,99173.00,33.0594
123973,240,0.1500,100873.00,33.5891
124006,248,0.1550,102029.00,34.0423
124040,256,0.1600,103140.00,34.3708
124074,264,0.1650,104210.00,34.7462
124107,272,0.1700,105231.00,35.0583
124141,280,0.1750,106480.00,35.4935
124175,288,0.1800,107401.00,35.7947
124209,296,0.1850,108671.00,36.2270
124242,304,0.1900,109407.00,36.4488
124276,312,0.1950,110265.00,36.7770
124310,320,0.2000,111779.00,37.2597
124343,328,0.2050,113215.00,37.8110
124377,336,0.2100,114486.00,38.1310
124411,344,0.2150,115209.00,38.3302
124445,352,0.2200,116565.00,38.7106
124478,360,0.2250,117401.00,39.0988
124512,368,0.2300,117962.00,39.3131
124546,376,0.2350,119143.00,39.7450
124579,384,0.2400,120355.00,40.1755
124613,392,0.2450,121774.00,40.5513
124647,400,0.2500,122870.00,40.9507
124681,408,0.2550,124192.00,41.3648
124714,416,0.2600,125595.00,41.8203
124748,424,0.2650,126411.00,42.0884
124782,432,0.2700,127834.00,42.7044
124815,440,0.2750,129418.00,42.9935
124849,448,0.2800,130303.00,43.4195
124883,456,0.2850,130976.00,43.5298
124917,464,0.2900,132783.00,44.1333
124950,472,0.2950,133371.00,44.4152
124984,480,0.3000,134570.00,44.9550
125018,488,0.3050,135634.00,45.1765
125052,496,0.3100,136799.00,45.5618
125085,504,0.3150,137372.00,45.7177
125119,512,0.3200,138261.00,46.0491
125152,520,0.3250,138713.00,46.2713
125186,528,0.3300,139424.00,46.4561
125220,536,0.3350,140610.00,46.8204
125254,544,0.3400,141632.00,47.1466
125287,552,0.3450,142331.00,47.3559
125321,560,0.3500,143142.00,47.6247
125355,568,0.3550,144327.00,48.0041
125389,576,0.3600,144329.00,48.2164
125422,584,0.3650,145781.00,48.5544
125456,592,0.3700,146619.00,48.6430
125490,600,0.3750,146901.00,48.8764
125523,608,0.3800,148094.00,49.1628
125557,616,0.3850,148798.00,49.4779
125591,624,0.3900,149767.00,49.7621
125625,632,0.3950,150532.00,49.9222
125658,640,0.4000,150974.00,50.1546
125692,648,0.4050,151576.00,50.3177
125726,656,0.4100,152193.00,50.6567
125759,664,0.4150,153309.00,50.8989
125793,672,0.4200,153755.00,51.0233
125827,680,0.4250,155045.00,51.4551
125861,688,0.4300,155748.00,51.8210
125894,696,0.4350,156562.00,52.0787
125928,704,0.4400,157678.00,52.3763
125962,712,0.4450,158130.00,52.6792
125995,720,0.4500,159663.00,53.1157
126029,728,0.4550,161196.00,53.5827
126063,736,0.4600,162477.00,53.9427
126097,744,0.4650,163142.00,54.3096
126130,752,0.4700,164485.00,54.6630
126164,760,0.4750,165729.00,55.0352
126198,768,0.4800,166295.00,55.3384
126231,776,0.4850,167048.00,55.6301
126265,784,0.4900,168159.00,55.7558
126299,792,0.4950,169707.00,56.2750
126333,800,0.5000,170188.00,56.6150
126366,808,0.5050,170641.00,56.7072
126400,816,0.5100,171242.00,56.8654
126434,824,0.5150,171712.00,56.9284
126467,832,0.5200,171251.00,56.9126
126501,840,0.5250,171945.00,57.1105
126535,848,0.5300,172584.00,57.2950
126569,856,0.5350,173596.00,57.6113
126602,864,0.5400,173978.00,57.7738
126636,872,0.5450,174367.00,57.9188
126670,880,0.5500,175403.00,58.1052
126703,888,0.5550,175525.00,58.3881
126737,896,0.5600,176941.00,58.5184
126771,904,0.5650,177495.00,58.6267
126805,912,0.5700,177441.00,58.8387
126838,920,0.5750,177638.00,59.0231
126872,928,0.5800,177938.00,59.0146
126906,936,0.5850,178496.00,59.3595
126939,944,0.5900,179039.00,59.4872
126973,952,0.5950,179706.00,59.7740
127007,960,0.6000,180566.00,60.2177
127041,968,0.6050,181990.00,60.4359
127074,976,0.6100,182267.00,60.5150
127108,984,0.6150,183399.00,60.8947
127142,992,0.6200,184355.00,61.2019
127175,1000,0.6250,184816.00,61.3338
127209,1008,0.6300,184815.00,61.3686
127243,1016,0.6350,186687.00,61.9445
127277,1024,0.6400,186834.00,62.0889
127310,1032,0.6450,187068.00,62.1273
127344,1040,0.6500,187974.00,62.4765
127378,1048,0.6550,188616.00,62.6304
127411,1056,0.6600,189095.00,62.8201
127445,1064,0.6650,189337.00,62.9172
127479,1072,0.6700,190187.00,63.2119
127513,1080,0.6750,190726.00,63.3829
127546,1088,0.6800,191391.00,63.6064
127580,1096,0.6850,191700.00,63.6549
127614,1104,0.6900,192276.00,63.8574
127647,1112,0.6950,192285.00,63.7908
127681,1120,0.7000,193381.00,64.1019
127715,1128,0.7050,193548.00,64.2611
127749,1136,0.7100,193337.00,64.2371
127782,1144,0.7150,193775.00,64.4222
127816,1152,0.7200,194199.00,64.4685
127850,1160,0.7250,194429.00,64.6204
127884,1168,0.7300,195045.00,64.7766
127917,1176,0.7350,195365.00,64.8577
127951,1184,0.7400,195729.00,65.0471
127985,1192,0.7450,195815.00,65.0369
128018,1200,0.7500,195989.00,65.0083
128052,1208,0.7550,196049.00,65.1609
128086,1216,0.7600,196398.00,65.1937
128119,1224,0.7650,195990.00,64.9982
128153,1232,0.7700,196977.00,65.2748
128187,1240,0.7750,196704.00,65.3437
128221,1248,0.7800,196894.00,65.4392
128254,1256,0.7850,197675.00,65.6830
128288,1264,0.7900,198019.00,65.8035
128322,1272,0.7950,198349.00,65.9974
128356,1280,0.8000,199723.00,66.3522
128389,1288,0.8050,200453.00,66.6190
128423,1296,0.8100,201117.00,66.7870
128457,1304,0.8150,200801.00,66.6620
128490,1312,0.8200,201260.00,66.8812
128524,1320,0.8250,201348.00,66.8973
128558,1328,0.8300,201242.00,66.8159
128592,1336,0.8350,202136.00,67.0781
128625,1344,0.8400,202138.00,67.3367
128659,1352,0.8450,201866.00,67.1582
128693,1360,0.8500,202910.00,67.4578
128726,1368,0.8550,202875.00,67.4686
128760,1376,0.8600,203794.00,67.7256
128794,1384,0.8650,204160.00,67.8309
128828,1392,0.8700,204586.00,68.0498
128861,1400,0.8750,205242.00,68.1598
128895,1408,0.8800,205687.00,68.2467
128929,1416,0.8850,205973.00,68.3334
128962,1424,0.8900,205523.00,68.1706
128996,1432,0.8950,206239.00,68.3760
129030,1440,0.9000,205811.00,68.2490
129064,1448,0.9050,206396.00,68.3639
129097,1456,0.9100,206284.00,68.4561
129131,1464,0.9150,206386.00,68.4344
129165,1472,0.9200,206721.00,68.5667
129198,1480,0.9250,206766.00,68.5418
129232,1488,0.9300,206796.00,68.6363
129266,1496,0.9350,206959.00,68.5979
129300,1504,0.9400,207084.00,68.6796
129333,1512,0.9450,207316.00,68.7528
129367,1520,0.9500,207114.00,68.6543
129401,1528,0.9550,207547.00,68.8817
129434,1536,0.9600,207765.00,68.9342
129468,1544,0.9650,207801.00,68.8673
129502,1552,0.9700,208977.00,69.1627
129536,1560,0.9750,208669.00,69.2309
129569,1568,0.9800,208898.00,69.3169
129603,1576,0.9850,209421.00,69.4072
129637,1584,0.9900,209809.00,69.4790
