Millis,Steps,Travel (mm),Scale raw,Scale (grams)
234693,8,0.0050,23971.00,8.4111
234726,16,0.0100,37614.00,12.8283
234760,24,0.0150,38698.00,12.8785
234794,32,0.0200,39514.00,13.4337
234828,40,0.0250,42908.00,14.5541
234861,48,0.0300,46149.00,15.4169
234895,56,0.0350,47016.00,15.7030
234929,64,0.0400,48437.00,16.2760
234963,72,0.0450,50135.00,16.7726
234996,80,0.0500,52060.00,17.4496
235030,88,0.0550,53807.00,17.9192
235064,96,0.0600,54996.00,18.3711
235097,104,0.0650,55894.00,18.4860
235131,112,0.0700,56659.00,18.9418
235165,120,0.0750,58369.00,19.5696
235199,128,0.0800,62548.00,20.7618
235232,136,0.0850,63821.00,21.1740
235266,144,0.0900,65283.00,21.5104
235300,152,0.0950,66331.00,21.9734
235334,160,0.1000,67538.00,22.3144
235367,168,0.1050,69191.00,22.8323
235401,176,0.1100,69935.00,23.1552
235435,184,0.1150,71080.00,23.5848
235469,192,0.1200,72332.00,23.8854
235502,200,0.1250,73522.00,24.2726
235536,208,0.1300,74797.00,24.7573
235570,216,0.1350,75926.00,25.0573
235603,224,0.1400,77053.00,25.4366
235637,232,0.1450,78074.00,25.6339
235671,240,0.1500,79241.00,26.0717
235705,248,0.1550,80207.00,26.5098
235738,256,0.1600,81252.00,26.7949
235772,264,0.1650,82436.00,27.2130
235806,272,0.1700,83500.00,27.5547
235840,280,0.1750,84417.00,27.8001
235873,288,0.1800,85563.00,28.2484
235907,296,0.1850,86707.00,28.6094
235941,304,0.1900,87684.00,28.9327
235975,312,0.1950,88466.00,29.2011
236008,320,0.2000,89552.00,29.5349
236042,328,0.2050,90752.00,29.9031
236076,336,0.2100,91698.00,30.1932
236109,344,0.2150,92643.00,30.5492
236143,352,0.2200,93528.00,30.8170
236177,360,0.2250,94457.00,31.1413
236211,368,0.2300,95373.00,31.5006
236244,376,0.2350,96330.00,31.7097
236278,384,0.2400,97306.00,32.0290
236312,392,0.2450,97995.00,32.3552
236346,400,0.2500,99019.00,32.6525
236379,408,0.2550,99940.00,32.8714
236413,416,0.2600,100774.00,33.1753
236447,424,0.2650,101521.00,33.5980
236481,432,0.2700,102723.00,33.7962
236514,440,0.2750,103339.00,34.0997
236548,448,0.2800,104150.00,34.3780
236582,456,0.2850,105193.00,34.6186
236616,464,0.2900,105890.00,34.8437
236649,472,0.2950,106448.00,35.1062
236683,480,0.3000,107405.00,35.3583
236717,488,0.3050,108143.00,35.5381
236750,496,0.3100,109157.00,35.9047
236784,504,0.3150,109722.00,36.1997
236818,512,0.3200,110775.00,36.4754
236852,520,0.3250,111175.00,36.6194
236885,528,0.3300,112009.00,36.8761
236919,536,0.3350,112645.00,37.0172
236953,544,0.3400,113395.00,37.2305
236987,552,0.3450,114041.00,37.5426
237020,560,0.3500,114449.00,37.6886
237054,568,0.3550,115210.00,37.7605
237088,576,0.3600,115948.00,38.1438
237122,584,0.3650,116463.00,38.3007
237155,592,0.3700,117020.00,38.4762
237189,600,0.3750,117681.00,38.7424
237223,608,0.3800,118416.00,38.8976
237256,616,0.3850,119085.00,39.1542
237290,624,0.3900,119466.00,39.3065
237324,632,0.3950,120141.00,39.5303
237358,640,0.4000,120878.00,39.7948
237391,648,0.4050,121376.00,39.8818
237425,656,0.4100,122075.00,40.1109
237459,664,0.4150,122640.00,40.3806
237493,672,0.4200,123001.00,40.3983
237526,680,0.4250,123693.00,40.6576
237560,688,0.4300,124085.00,40.7771
237594,696,0.4350,124638.00,40.9402
237628,704,0.4400,125278.00,41.1554
237661,712,0.4450,125591.00,41.3323
237695,720,0.4500,125837.00,41.3507
237729,728,0.4550,126869.00,41.6621
237763,736,0.4600,127149.00,41.8105
237796,744,0.4650,127533.00,41.9965
237830,752,0.4700,128069.00,42.1357
237864,760,0.4750,128622.00,42.3083
237897,768,0.4800,129154.00,42.4763
237931,776,0.4850,129367.00,42.5922
237965,784,0.4900,129941.00,42.7175
237999,792,0.4950,130464.00,42.9151
238032,800,0.5000,130852.00,43.0503
238066,808,0.5050,131243.00,43.2059
238100,816,0.5100,131861.00,43.3427
238134,824,0.5150,132351.00,43.4382
238167,832,0.5200,132460.00,43.6003
238201,840,0.5250,132981.00,43.7503
238235,848,0.5300,133552.00,43.9452
238269,856,0.5350,133854.00,43.9794
238302,864,0.5400,134052.00,44.1100
238336,872,0.5450,134655.00,44.2859
238370,880,0.5500,135145.00,44.3423
238403,888,0.5550,135616.00,44.4982
238437,896,0.5600,135837.00,44.6413
238471,904,0.5650,136128.00,44.7355
238505,912,0.5700,136870.00,45.0125
238538,920,0.5750,137071.00,45.0751
238572,928,0.5800,137566.00,45.2048
238606,936,0.5850,137936.00,45.3272
238640,944,0.5900,138059.00,45.3725
238673,952,0.5950,138713.00,45.5730
238707,960,0.6000,139021.00,45.6570
238741,968,0.6050,139480.00,45.7433
238775,976,0.6100,139822.00,45.9179
238808,984,0.6150,140238.00,46.0695
238842,992,0.6200,140552.00,46.2031
238876,1000,0.6250,140811.00,46.3242
238909,1008,0.6300,141363.00,46.4042
238943,1016,0.6350,141817.00,46.5430
238977,1024,0.6400,141835.00,46.5985
239011,1032,0.6450,142138.00,46.6648
239044,1040,0.6500,142413.00,46.8473
239078,1048,0.6550,142912.00,46.9237
239112,1056,0.6600,143187.00,47.0550
239146,1064,0.6650,143326.00,47.1840
239179,1072,0.6700,143661.00,47.2729
239213,1080,0.6750,143994.00,47.3536
239247,1088,0.6800,144341.00,47.3874
239280,1096,0.6850,144415.00,47.4964
239314,1104,0.6900,145353.00,47.6464
239348,1112,0.6950,145235.00,47.7202
239382,1120,0.7000,145572.00,47.7629
239415,1128,0.7050,146002.00,47.9119
239449,1136,0.7100,146067.00,47.9414
239483,1144,0.7150,146239.00,48.0471
239517,1152,0.7200,146920.00,48.2131
239550,1160,0.7250,147048.00,48.2384
239584,1168,0.7300,147147.00,48.3021
239618,1176,0.7350,147470.00,48.3959
239651,1184,0.7400,147845.00,48.4970
239685,1192,0.7450,147936.00,48.5141
239719,1200,0.7500,148244.00,48.6204
239753,1208,0.7550,148388.00,48.7215
239786,1216,0.7600,148608.00,48.7973
239820,1224,0.7650,148858.00,48.8885
239854,1232,0.7700,149097.00,48.9387
239888,1240,0.7750,149285.00,49.0834
239921,1248,0.7800,149380.00,49.0657
239955,1256,0.7850,149701.00,49.1133
239989,1264,0.7900,149914.00,49.1651
240022,1272,0.7950,150086.00,49.2981
240056,1280,0.8000,150533.00,49.4402
240090,1288,0.8050,150583.00,49.4057
240124,1296,0.8100,150818.00,49.5192
240157,1304,0.8150,150910.00,49.5334
240191,1312,0.8200,151049.00,49.6131
240225,1320,0.8250,151483.00,49.7798
240259,1328,0.8300,151516.00,49.7680
240292,1336,0.8350,151617.00,49.7874
240326,1344,0.8400,151953.00,49.9413
240360,1352,0.8450,152026.00,49.9557
240394,1360,0.8500,152045.00,49.9045
240427,1368,0.8550,152228.00,50.0545
240461,1376,0.8600,152468.00,50.1218
240495,1384,0.8650,152694.00,50.1470
240528,1392,0.8700,152948.00,50.2183
240562,1400,0.8750,152972.00,50.1890
240596,1408,0.8800,153123.00,50.3686
240630,1416,0.8850,153229.00,50.3141
240663,1424,0.8900,153398.00,50.3656
240697,1432,0.8950,153629.00,50.4486
240731,1440,0.9000,153418.00,50.3902
240765,1448,0.9050,153823.00,50.4837
240798,1456,0.9100,153865.00,50.5402
240832,1464,0.9150,153983.00,50.6432
240866,1472,0.9200,154124.00,50.6501
240899,1480,0.9250,154349.00,50.6610
240933,1488,0.9300,154632.00,50.7328
240967,1496,0.9350,154595.00,50.7460
241001,1504,0.9400,154662.00,50.7945
241035,1512,0.9450,154899.00,50.8536
241068,1520,0.9500,154997.00,50.8526
241102,1528,0.9550,154933.00,50.8414
241136,1536,0.9600,155082.00,50.9429
241169,1544,0.9650,155214.00,50.9783
241203,1552,0.9700,155475.00,50.9776
241237,1560,0.9750,155268.00,51.0000
241282,1568,0.9800,155530.00,50.9760
241316,1576,0.9850,155498.00,51.0738
241349,1584,0.9900,155801.00,51.1680
241383,1592,0.9950,155853.00,51.1683
241417,1600,1.0000,155863.00,51.2169
241450,1608,1.0050,155694.00,51.1480
241484,1616,1.0100,156142.00,51.3271
241518,1624,1.0150,156307.00,51.2405
241552,1632,1.0200,156313.00,51.3009
241585,1640,1.0250,156161.00,51.3084
241619,1648,1.0300,156398.00,51.3468
241653,1656,1.0350,156465.00,51.3127
241687,1664,1.0400,156410.00,51.3504
241720,1672,1.0450,156599.00,51.4138
241754,1680,1.0500,156243.00,51.3905
241788,1688,1.0550,156571.00,51.3970
241821,1696,1.0600,156610.00,51.4026
241855,1704,1.0650,156401.00,51.5057
241889,1712,1.0700,156869.00,51.5122
241923,1720,1.0750,156727.00,51.4952
241956,1728,1.0800,156960.00,51.5575
241990,1736,1.0850,156766.00,51.5362
242024,1744,1.0900,157042.00,51.6041
242058,1752,1.0950,157113.00,51.6176
242091,1760,1.1000,156906.00,51.5063
242125,1768,1.1050,157175.00,51.6068
242159,1776,1.1100,157254.00,51.6061
242193,1784,1.1150,157063.00,51.5368
242226,1792,1.1200,157058.00,51.6218
242260,1800,1.1250,157178.00,51.6176
242294,1808,1.1300,157352.00,51.6875
242327,1816,1.1350,157237.00,51.6235
242361,1824,1.1400,157323.00,51.6701
242395,1832,1.1450,157208.00,51.6186
242429,1840,1.1500,157220.00,51.6117
242462,1848,1.1550,157177.00,51.6924
242496,1856,1.1600,157370.00,51.7255
242530,1864,1.1650,157338.00,51.6727
242564,1872,1.1700,157515.00,51.7272
242597,1880,1.1750,157167.00,51.5634
242631,1888,1.1800,157336.00,51.6983
242665,1896,1.1850,157486.00,51.7390
242699,1904,1.1900,157535.00,51.6809
242732,1912,1.1950,157428.00,51.7459
242766,1920,1.2000,157257.00,51.6737
242800,1928,1.2050,157334.00,51.6543
242833,1936,1.2100,157530.00,51.7059
242867,1944,1.2150,157081.00,51.6022
242901,1952,1.2200,157494.00,51.6602
242935,1960,1.2250,157348.00,51.5621
242968,1968,1.2300,157281.00,51.6232
243002,1976,1.2350,157430.00,51.6668
243036,1984,1.2400,157251.00,51.6048
243070,1992,1.2450,157497.00,51.6376
243103,2000,1.2500,157036.00,51.6757
243137,2008,1.2550,157324.00,51.6120
243171,2016,1.2600,157304.00,51.5930
243204,2024,1.2650,157228.00,51.6035
243238,2032,1.2700,157119.00,51.5323
243272,2040,1.2750,157105.00,51.5221
243306,2048,1.2800,156891.00,51.5401
243339,2056,1.2850,157064.00,51.5519
243373,2064,1.2900,156991.00,51.5654
243407,2072,1.2950,156964.00,51.6087
243441,2080,1.3000,156839.00,51.5349
243474,2088,1.3050,156684.00,51.4952
243508,2096,1.3100,156965.00,51.5821
243542,2104,1.3150,156719.00,51.5231
243576,2112,1.3200,156760.00,51.3997
243609,2120,1.3250,156730.00,51.4305
243643,2128,1.3300,156470.00,51.3980
243677,2136,1.3350,156497.00,51.4148
243710,2144,1.3400,156564.00,51.3993
243744,2152,1.3450,156479.00,51.3895
243778,2160,1.3500,156372.00,51.3255
243812,2168,1.3550,156310.00,51.3170
243845,2176,1.3600,156312.00,51.2710
243879,2184,1.3650,156005.00,51.2989
243913,2192,1.3700,155868.00,51.2038
243947,2200,1.3750,155996.00,51.2211
243980,2208,1.3800,156058.00,51.2441
244014,2216,1.3850,155847.00,51.2294
244048,2224,1.3900,156029.00,51.1913
244081,2232,1.3950,155750.00,51.1516
244115,2240,1.4000,155755.00,51.0607
244149,2248,1.4050,155645.00,51.0882
244183,2256,1.4100,155578.00,51.1056
244216,2264,1.4150,155480.00,50.9599
244250,2272,1.4200,155595.00,51.1197
244284,2280,1.4250,155481.00,50.9753
244318,2288,1.4300,155310.00,51.0338
244351,2296,1.4350,155135.00,50.9612
244385,2304,1.4400,155323.00,50.9691
244419,2312,1.4450,155048.00,50.8953
244453,2320,1.4500,155064.00,50.8631
244486,2328,1.4550,154878.00,50.8418
