Millis,Steps,Travel (mm),Scale raw,Scale (grams)
2456558,8,0.0050,34586.00,11.9386
2456592,16,0.0100,50632.00,17.2642
2456626,24,0.0150,55055.00,18.5375
2456659,32,0.0200,57728.00,19.3743
2456693,40,0.0250,59708.00,19.9811
2456727,48,0.0300,61721.00,20.5675
2456760,56,0.0350,63416.00,21.1346
2456794,64,0.0400,65484.00,21.7880
2456828,72,0.0450,66851.00,22.2583
2456862,80,0.0500,68458.00,22.8319
2456895,88,0.0550,70355.00,23.3052
2456929,96,0.0600,72040.00,23.9041
2456963,104,0.0650,73742.00,24.5457
2456996,112,0.0700,75271.00,25.0061
2457030,120,0.0750,77070.00,25.6093
2457064,128,0.0800,78532.00,26.0283
2457098,136,0.0850,80169.00,26.5813
2457131,144,0.0900,81765.00,27.0814
2457165,152,0.0950,83326.00,27.6000
2457199,160,0.1000,84951.00,28.1457
2457232,168,0.1050,86415.00,28.6340
2457266,176,0.1100,87889.00,29.1552
2457300,184,0.1150,89734.00,29.6094
2457334,192,0.1200,90929.00,30.0845
2457367,200,0.1250,92357.00,30.5791
2457401,208,0.1300,94167.00,31.0730
2457435,216,0.1350,95546.00,31.6046
2457468,224,0.1400,96796.00,32.0798
2457502,232,0.1450,98216.00,32.5278
2457536,240,0.1500,100069.00,33.1336
2457570,248,0.1550,101255.00,33.4411
2457603,256,0.1600,102417.00,33.8618
2457637,264,0.1650,104049.00,34.3373
2457671,272,0.1700,104890.00,34.6527
2457704,280,0.1750,106211.00,35.1555
2457738,288,0.1800,107507.00,35.5201
2457772,296,0.1850,108943.00,36.0274
2457805,304,0.1900,110010.00,36.3569
2457839,312,0.1950,111288.00,36.7789
2457873,320,0.2000,112604.00,37.0999
2457907,328,0.2050,113872.00,37.6233
2457940,336,0.2100,114973.00,37.9380
2457974,344,0.2150,115927.00,38.3181
2458008,352,0.2200,117205.00,38.6951
2458042,360,0.2250,117915.00,39.0016
2458075,368,0.2300,119324.00,39.3633
2458109,376,0.2350,120322.00,39.7269
2458143,384,0.2400,121152.00,39.9547
2458176,392,0.2450,122434.00,40.4207
2458210,400,0.2500,123406.00,40.6038
2458244,408,0.2550,124054.00,40.9566
2458277,416,0.2600,124956.00,41.2185
2458311,424,0.2650,125864.00,41.5433
2458345,432,0.2700,126826.00,41.9536
2458378,440,0.2750,127705.00,42.0999
2458412,448,0.2800,128368.00,42.3300
2458446,456,0.2850,129435.00,42.7156
2458480,464,0.2900,130327.00,43.0047
2458513,472,0.2950,131143.00,43.3430
2458547,480,0.3000,132200.00,43.6578
2458581,488,0.3050,133067.00,43.8455
2458614,496,0.3100,133990.00,44.1648
2458648,504,0.3150,134421.00,44.3210
2458682,512,0.3200,135232.00,44.5865
2458716,520,0.3250,135926.00,44.8960
2458749,528,0.3300,136843.00,45.1480
2458783,536,0.3350,137371.00,45.3006
2458817,544,0.3400,138002.00,45.5654
2458850,552,0.3450,138910.00,45.7971
2458884,560,0.3500,139949.00,46.1401
2458918,568,0.3550,140695.00,46.4771
2458952,576,0.3600,141516.00,46.6185
2458985,584,0.3650,142372.00,46.9769
2459019,592,0.3700,143684.00,47.3441
2459053,600,0.3750,143672.00,47.4232
2459086,608,0.3800,144752.00,47.7051
2459120,616,0.3850,145247.00,47.9690
2459154,624,0.3900,146848.00,48.4369
2459187,632,0.3950,147786.00,48.7441
2459221,640,0.4000,148494.00,48.9919
2459255,648,0.4050,149324.00,49.2449
2459289,656,0.4100,150226.00,49.5573
2459322,664,0.4150,150993.00,49.9111
2459356,672,0.4200,151789.00,50.0118
2459390,680,0.4250,152272.00,50.2009
2459423,688,0.4300,152827.00,50.4001
2459457,696,0.4350,153470.00,50.6783
2459491,704,0.4400,153846.00,50.7627
2459525,712,0.4450,154606.00,50.9918
2459558,720,0.4500,155100.00,51.1109
2459592,728,0.4550,155567.00,51.2618
2459626,736,0.4600,156387.00,51.5339
2459659,744,0.4650,157108.00,51.8000
2459693,752,0.4700,157640.00,51.9769
2459727,760,0.4750,157813.00,52.0741
2459760,768,0.4800,158846.00,52.3251
2459794,776,0.4850,159595.00,52.6507
2459828,784,0.4900,159847.00,52.6976
2459862,792,0.4950,160824.00,52.9992
2459895,800,0.5000,161273.00,53.0734
2459929,808,0.5050,161494.00,53.2748
2459963,816,0.5100,162060.00,53.3996
2459996,824,0.5150,162802.00,53.5568
2460030,832,0.5200,163474.00,53.9125
2460064,840,0.5250,163958.00,54.1288
2460098,848,0.5300,164490.00,54.2144
2460131,856,0.5350,165103.00,54.3808
2460165,864,0.5400,165503.00,54.4248
2460199,872,0.5450,165348.00,54.5465
2460232,880,0.5500,166329.00,54.9164
2460266,888,0.5550,166927.00,54.9354
2460300,896,0.5600,167312.00,55.1448
2460334,904,0.5650,167786.00,55.3049
2460367,912,0.5700,168548.00,55.5205
2460401,920,0.5750,168661.00,55.5616
2460435,928,0.5800,169121.00,55.7647
2460468,936,0.5850,169593.00,55.8556
2460502,944,0.5900,169988.00,56.0164
2460536,952,0.5950,170328.00,56.0761
2460570,960,0.6000,170466.00,56.1595
2460603,968,0.6050,171194.00,56.3840
2460637,976,0.6100,171408.00,56.4224
2460671,984,0.6150,171718.00,56.6104
2460704,992,0.6200,172431.00,56.8749
2460738,1000,0.6250,173005.00,57.0124
2460772,1008,0.6300,173313.00,57.1283
2460805,1016,0.6350,173804.00,57.1962
2460839,1024,0.6400,174034.00,57.3340
2460873,1032,0.6450,174441.00,57.4574
2460907,1040,0.6500,174877.00,57.6340
2460940,1048,0.6550,175436.00,57.7770
2460974,1056,0.6600,175329.00,57.8086
2461008,1064,0.6650,175600.00,57.8837
2461042,1072,0.6700,175888.00,57.9726
2461075,1080,0.6750,176411.00,58.0393
2461109,1088,0.6800,176684.00,58.1138
2461143,1096,0.6850,176958.00,58.2706
2461176,1104,0.6900,177179.00,58.3737
2461210,1112,0.6950,177524.00,58.4495
2461244,1120,0.7000,178249.00,58.6168
2461277,1128,0.7050,178409.00,58.6959
2461311,1136,0.7100,178541.00,58.8160
2461345,1144,0.7150,178645.00,58.8351
2461379,1152,0.7200,178825.00,58.8791
2461412,1160,0.7250,179631.00,59.0523
2461446,1168,0.7300,179709.00,59.0904
2461480,1176,0.7350,179938.00,59.1888
2461513,1184,0.7400,180330.00,59.3004
2461547,1192,0.7450,180444.00,59.2843
2461581,1200,0.7500,181005.00,59.5124
2461614,1208,0.7550,181325.00,59.5754
2461648,1216,0.7600,181308.00,59.6214
2461682,1224,0.7650,181725.00,59.7159
2461716,1232,0.7700,181778.00,59.7671
2461749,1240,0.7750,182184.00,59.8803
2461783,1248,0.7800,182493.00,60.0135
2461817,1256,0.7850,182829.00,60.1307
2461850,1264,0.7900,183186.00,60.1671
2461884,1272,0.7950,183376.00,60.2915
2461974,1280,0.8000,183196.00,60.1291
2462008,1288,0.8050,183732.00,60.3578
2462041,1296,0.8100,183729.00,60.3840
2462075,1304,0.8150,184295.00,60.5865
2462109,1312,0.8200,184531.00,60.5806
2462143,1320,0.8250,184762.00,60.6213
2462176,1328,0.8300,184757.00,60.7194
2462210,1336,0.8350,185136.00,60.8251
2462244,1344,0.8400,185282.00,60.8875
2462277,1352,0.8450,185705.00,61.0250
2462311,1360,0.8500,185679.00,60.9183
2462345,1368,0.8550,186069.00,61.0978
2462378,1376,0.8600,186188.00,61.1224
2462412,1384,0.8650,186390.00,61.1845
2462446,1392,0.8700,186570.00,61.2353
2462480,1400,0.8750,186743.00,61.3187
2462513,1408,0.8800,186943.00,61.4516
2462547,1416,0.8850,187216.00,61.4818
2462581,1424,0.8900,187192.00,61.5025
2462614,1432,0.8950,187468.00,61.5448
2462648,1440,0.9000,187838.00,61.6393
2462682,1448,0.9050,188115.00,61.7007
2462715,1456,0.9100,188186.00,61.7394
2462749,1464,0.9150,188152.00,61.8126
2462783,1472,0.9200,188450.00,61.9107
2462817,1480,0.9250,188755.00,61.9511
2462850,1488,0.9300,188839.00,61.9770
2462884,1496,0.9350,188835.00,61.9566
2462918,1504,0.9400,188768.00,61.9947
2462951,1512,0.9450,189169.00,62.0899
2462985,1520,0.9500,189193.00,62.1060
2463019,1528,0.9550,189518.00,62.1014
2463052,1536,0.9600,189312.00,62.1040
2463086,1544,0.9650,189568.00,62.2861
2463120,1552,0.9700,189884.00,62.3472
2463154,1560,0.9750,190027.00,62.3196
2463187,1568,0.9800,190026.00,62.3826
2463221,1576,0.9850,189961.00,62.3734
2463255,1584,0.9900,190279.00,62.3961
2463288,1592,0.9950,190216.00,62.5037
2463322,1600,1.0000,190529.00,62.4896
