Millis,Steps,Travel (mm),Scale raw,Scale (grams)
10063,8,0.0050,21481.00,8.8964
10097,16,0.0100,37944.00,14.9650
10130,24,0.0150,66101.00,22.5861
10164,32,0.0200,72996.00,24.2811
10198,40,0.0250,75826.00,25.0248
10232,48,0.0300,78855.00,26.1169
10265,56,0.0350,80769.00,26.7155
10299,64,0.0400,82235.00,27.1166
10333,72,0.0450,83852.00,27.6787
10367,80,0.0500,85418.00,28.2855
10401,88,0.0550,87302.00,29.1168
10434,96,0.0600,92061.00,30.4403
10468,104,0.0650,93289.00,30.7586
10502,112,0.0700,94163.00,31.1324
10536,120,0.0750,95457.00,31.4015
10569,128,0.0800,96790.00,31.8803
10603,136,0.0850,97770.00,32.2764
10637,144,0.0900,99093.00,32.6220
10671,152,0.0950,100057.00,32.9475
10705,160,0.1000,100910.00,33.1861
10738,168,0.1050,102370.00,33.6761
10772,176,0.1100,103171.00,33.9947
10806,184,0.1150,104407.00,34.2497
10840,192,0.1200,105427.00,34.6586
10873,200,0.1250,106072.00,34.9917
10907,208,0.1300,107123.00,35.1971
10941,216,0.1350,108139.00,35.5844
10975,224,0.1400,108970.00,35.9083
11008,232,0.1450,110204.00,36.2325
11042,240,0.1500,111066.00,36.6086
11076,248,0.1550,112059.00,36.8383
11110,256,0.1600,112948.00,37.2479
11144,264,0.1650,114003.00,37.4970
11177,272,0.1700,114899.00,37.7602
11211,280,0.1750,115584.00,38.0306
11245,288,0.1800,116303.00,38.2685
11279,296,0.1850,117429.00,38.6197
11312,304,0.1900,118302.00,38.8960
11346,312,0.1950,119243.00,39.2484
11380,320,0.2000,119910.00,39.4601
11414,328,0.2050,120809.00,39.7587
11447,336,0.2100,121647.00,40.0912
11481,344,0.2150,122292.00,40.1670
11515,352,0.2200,123347.00,40.5135
11549,360,0.2250,123866.00,40.7298
11583,368,0.2300,124901.00,40.9920
11616,376,0.2350,125347.00,41.2598
11650,384,0.2400,126112.00,41.5036
11684,392,0.2450,127109.00,41.8023
11718,400,0.2500,127829.00,42.0530
11751,408,0.2550,128646.00,42.2926
11785,416,0.2600,129248.00,42.3664
11819,424,0.2650,130024.00,42.6949
11853,432,0.2700,130640.00,42.8866
11886,440,0.2750,131316.00,43.1767
11920,448,0.2800,131922.00,43.3680
11954,456,0.2850,132612.00,43.5669
11988,464,0.2900,133321.00,43.7624
12022,472,0.2950,133987.00,43.9725
12055,480,0.3000,134627.00,44.2275
12089,488,0.3050,135113.00,44.3751
12123,496,0.3100,136037.00,44.6252
12157,504,0.3150,136366.00,44.7788
12190,512,0.3200,136955.00,45.0079
12224,520,0.3250,137597.00,45.2077
12258,528,0.3300,138102.00,45.4168
12292,536,0.3350,138948.00,45.6153
12326,544,0.3400,139390.00,45.7951
12359,552,0.3450,139890.00,45.9011
12393,560,0.3500,140207.00,46.0800
12427,568,0.3550,140937.00,46.3836
12461,576,0.3600,141376.00,46.4288
12494,584,0.3650,142101.00,46.7111
12528,592,0.3700,142663.00,46.8092
12562,600,0.3750,142845.00,46.9116
12596,608,0.3800,143549.00,47.0963
12629,616,0.3850,144092.00,47.3835
12663,624,0.3900,144345.00,47.4045
12697,632,0.3950,144731.00,47.5735
12731,640,0.4000,145383.00,47.6897
12765,648,0.4050,145965.00,47.9818
12798,656,0.4100,146106.00,48.0034
12832,664,0.4150,146560.00,48.2187
12866,672,0.4200,147017.00,48.2758
12900,680,0.4250,147456.00,48.4835
12933,688,0.4300,148122.00,48.6269
12967,696,0.4350,148433.00,48.7579
13001,704,0.4400,148779.00,48.8859
13035,712,0.4450,149368.00,49.0299
13068,720,0.4500,149438.00,49.1707
13102,728,0.4550,150150.00,49.2370
13136,736,0.4600,150479.00,49.4218
13170,744,0.4650,150752.00,49.4740
13204,752,0.4700,151155.00,49.6200
13237,760,0.4750,151441.00,49.7801
13271,768,0.4800,151833.00,49.9222
13305,776,0.4850,152324.00,50.0049
13339,784,0.4900,152705.00,50.1323
13372,792,0.4950,152982.00,50.2527
13406,800,0.5000,153417.00,50.3495
13440,808,0.5050,153833.00,50.4782
13474,816,0.5100,154227.00,50.6157
13507,824,0.5150,154703.00,50.7568
13541,832,0.5200,154950.00,50.8595
13575,840,0.5250,155313.00,50.9560
13609,848,0.5300,155693.00,51.0607
13642,856,0.5350,155932.00,51.1581
13676,864,0.5400,156304.00,51.2326
13710,872,0.5450,156482.00,51.4223
13744,880,0.5500,156960.00,51.5129
13778,888,0.5550,157167.00,51.6333
13811,896,0.5600,157587.00,51.7410
13845,904,0.5650,157921.00,51.8591
13879,912,0.5700,158306.00,51.9871
13913,920,0.5750,158616.00,52.0360
13946,928,0.5800,158709.00,52.1594
13980,936,0.5850,159197.00,52.3149
14014,944,0.5900,159407.00,52.3780
14048,952,0.5950,159530.00,52.4085
14081,960,0.6000,160117.00,52.5614
14115,968,0.6050,160240.00,52.6119
14149,976,0.6100,160653.00,52.7547
14183,984,0.6150,160867.00,52.7747
14217,992,0.6200,161244.00,52.9470
14250,1000,0.6250,161450.00,52.9857
14284,1008,0.6300,161680.00,53.1104
14318,1016,0.6350,162185.00,53.1242
14352,1024,0.6400,162401.00,53.3316
14385,1032,0.6450,162436.00,53.3126
14419,1040,0.6500,162919.00,53.4156
14453,1048,0.6550,162977.00,53.5131
14487,1056,0.6600,163073.00,53.5190
14520,1064,0.6650,163461.00,53.6467
