Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1724529,8,0.0050,47837.00,16.6889
1724563,16,0.0100,52877.00,17.9458
1724597,24,0.0150,57411.00,19.2286
1724630,32,0.0200,59588.00,19.8912
1724664,40,0.0250,61437.00,20.4291
1724698,48,0.0300,63079.00,21.0103
1724732,56,0.0350,64860.00,21.6230
1724765,64,0.0400,66633.00,22.2317
1724799,72,0.0450,68397.00,22.7243
1724833,80,0.0500,69797.00,23.2353
1724866,88,0.0550,71537.00,23.7866
1724900,96,0.0600,73236.00,24.3025
1724934,104,0.0650,74818.00,24.9037
1724968,112,0.0700,76695.00,25.4330
1725001,120,0.0750,78099.00,26.0050
1725035,128,0.0800,79785.00,26.4855
1725069,136,0.0850,81721.00,27.1110
1725102,144,0.0900,83124.00,27.5576
1725136,152,0.0950,84778.00,28.1526
1725170,160,0.1000,86308.00,28.6806
1725204,168,0.1050,88103.00,29.1696
1725237,176,0.1100,89547.00,29.7285
1725271,184,0.1150,90862.00,30.0731
1725305,192,0.1200,92413.00,30.6031
1725338,200,0.1250,93753.00,31.0172
1725372,208,0.1300,95530.00,31.6181
1725406,216,0.1350,96966.00,32.1274
1725440,224,0.1400,98229.00,32.5068
1725473,232,0.1450,99656.00,33.0542
1725507,240,0.1500,101235.00,33.5418
1725541,248,0.1550,102595.00,33.9557
1725574,256,0.1600,103691.00,34.3121
1725608,264,0.1650,105226.00,34.8040
1725642,272,0.1700,106493.00,35.2024
1725675,280,0.1750,107601.00,35.5391
1725709,288,0.1800,109137.00,36.0199
1725743,296,0.1850,110448.00,36.4015
1725777,304,0.1900,111316.00,36.7967
1725810,312,0.1950,112620.00,37.1435
1725844,320,0.2000,113582.00,37.4865
1725878,328,0.2050,114716.00,37.8901
1725911,336,0.2100,116064.00,38.3292
1725945,344,0.2150,117243.00,38.6932
1725979,352,0.2200,117794.00,38.9150
1726013,360,0.2250,119206.00,39.4000
1726046,368,0.2300,120358.00,39.6852
1726080,376,0.2350,121437.00,40.0029
1726114,384,0.2400,122219.00,40.3140
1726147,392,0.2450,123160.00,40.6248
1726181,400,0.2500,124161.00,40.9874
1726215,408,0.2550,124862.00,41.2119
1726249,416,0.2600,125897.00,41.5345
1726282,424,0.2650,127059.00,41.8528
1726316,432,0.2700,127955.00,42.1928
1726350,440,0.2750,128666.00,42.3972
1726383,448,0.2800,129512.00,42.7474
1726417,456,0.2850,130471.00,43.1025
1726451,464,0.2900,131548.00,43.4087
1726485,472,0.2950,132175.00,43.5797
1726518,480,0.3000,133108.00,43.8999
1726552,488,0.3050,134229.00,44.1819
1726586,496,0.3100,134865.00,44.5176
1726619,504,0.3150,135572.00,44.7069
1726653,512,0.3200,136318.00,44.9389
1726687,520,0.3250,137270.00,45.2976
1726721,528,0.3300,138054.00,45.5086
1726754,536,0.3350,138698.00,45.7069
1726788,544,0.3400,139625.00,46.0944
1726822,552,0.3450,140320.00,46.2369
1726855,560,0.3500,141301.00,46.6461
1726889,568,0.3550,141927.00,46.7885
1726923,576,0.3600,142751.00,47.1472
1726956,584,0.3650,144124.00,47.4714
1726990,592,0.3700,144754.00,47.6917
1727024,600,0.3750,145278.00,47.9903
1727058,608,0.3800,146245.00,48.2811
1727091,616,0.3850,147245.00,48.5800
1727125,624,0.3900,148431.00,48.9591
1727159,632,0.3950,149130.00,49.1658
1727192,640,0.4000,150335.00,49.5544
1727226,648,0.4050,150581.00,49.7605
1727260,656,0.4100,151292.00,49.9495
1727294,664,0.4150,152359.00,50.2340
1727327,672,0.4200,153113.00,50.5353
1727361,680,0.4250,153861.00,50.7709
1727395,688,0.4300,154514.00,50.9425
1727428,696,0.4350,154667.00,50.9977
1727462,704,0.4400,155327.00,51.2428
1727496,712,0.4450,155952.00,51.4148
1727529,720,0.4500,156453.00,51.6576
1727563,728,0.4550,156903.00,51.7836
1727597,736,0.4600,157634.00,51.9490
1727631,744,0.4650,157911.00,52.0508
1727664,752,0.4700,158628.00,52.3399
1727698,760,0.4750,159499.00,52.5909
1727732,768,0.4800,160325.00,52.7937
1727765,776,0.4850,160373.00,52.9257
1727799,784,0.4900,161370.00,53.2194
1727833,792,0.4950,161924.00,53.4114
1727867,800,0.5000,162330.00,53.5623
1727900,808,0.5050,162943.00,53.7399
1727934,816,0.5100,163452.00,53.8964
1727968,824,0.5150,164115.00,54.1507
1728001,832,0.5200,164486.00,54.2449
1728035,840,0.5250,165241.00,54.5167
1728069,848,0.5300,165591.00,54.5747
1728103,856,0.5350,165912.00,54.7142
1728136,864,0.5400,166358.00,54.9141
1728170,872,0.5450,167065.00,55.0585
1728204,880,0.5500,167529.00,55.2449
1728237,888,0.5550,168243.00,55.4631
1728271,896,0.5600,168437.00,55.5255
1728305,904,0.5650,169129.00,55.6872
1728339,912,0.5700,169417.00,55.8743
1728372,920,0.5750,169827.00,56.0010
1728406,928,0.5800,170351.00,56.1500
1728440,936,0.5850,170655.00,56.2783
1728473,944,0.5900,171032.00,56.3695
1728507,952,0.5950,171295.00,56.6032
1728541,960,0.6000,171956.00,56.6806
1728574,968,0.6050,172482.00,56.8290
1728608,976,0.6100,173074.00,56.9888
1728642,984,0.6150,173410.00,57.2018
1728676,992,0.6200,173691.00,57.2726
1728709,1000,0.6250,174172.00,57.4177
1728743,1008,0.6300,174779.00,57.6048
1728777,1016,0.6350,174864.00,57.6235
1728810,1024,0.6400,175256.00,57.7564
1728844,1032,0.6450,175811.00,57.9188
1728878,1040,0.6500,176262.00,58.0429
1728912,1048,0.6550,176647.00,58.1833
1728945,1056,0.6600,176760.00,58.2437
1728979,1064,0.6650,177210.00,58.3789
1729013,1072,0.6700,177008.00,58.3271
1729047,1080,0.6750,177286.00,58.4354
1729080,1088,0.6800,177888.00,58.5318
1729114,1096,0.6850,177905.00,58.5840
1729148,1104,0.6900,178282.00,58.7045
1729181,1112,0.6950,178254.00,58.8272
1729215,1120,0.7000,178685.00,58.8354
1729249,1128,0.7050,179055.00,59.0490
1729282,1136,0.7100,179291.00,59.0632
1729316,1144,0.7150,179792.00,59.1613
1729350,1152,0.7200,179785.00,59.1751
1729383,1160,0.7250,180330.00,59.3621
1729417,1168,0.7300,180271.00,59.3431
1729451,1176,0.7350,180786.00,59.5498
1729485,1184,0.7400,181179.00,59.5626
1729518,1192,0.7450,181355.00,59.6151
1729552,1200,0.7500,181651.00,59.8229
1729586,1208,0.7550,181845.00,59.7986
1729619,1216,0.7600,182343.00,59.9453
1729653,1224,0.7650,182461.00,60.0254
1729687,1232,0.7700,182779.00,60.1612
1729721,1240,0.7750,183102.00,60.2439
1729754,1248,0.7800,183440.00,60.3171
1729788,1256,0.7850,183667.00,60.3703
1729822,1264,0.7900,183677.00,60.4549
1729855,1272,0.7950,184277.00,60.5770
1729889,1280,0.8000,184224.00,60.5852
1729923,1288,0.8050,184545.00,60.6515
1729957,1296,0.8100,184711.00,60.7585
1729990,1304,0.8150,184944.00,60.8179
1730024,1312,0.8200,185234.00,60.9150
1730058,1320,0.8250,185911.00,61.1169
1730091,1328,0.8300,185842.00,61.1047
1730125,1336,0.8350,185829.00,61.0512
1730159,1344,0.8400,185993.00,61.1454
1730192,1352,0.8450,186264.00,61.2265
1730226,1360,0.8500,186426.00,61.2517
1730260,1368,0.8550,186774.00,61.3646
1730294,1376,0.8600,186890.00,61.4299
1730327,1384,0.8650,187140.00,61.4962
1730361,1392,0.8700,187478.00,61.5907
1730395,1400,0.8750,187818.00,61.6193
1730428,1408,0.8800,187665.00,61.6580
1730462,1416,0.8850,187798.00,61.7108
1730496,1424,0.8900,187844.00,61.7184
1730530,1432,0.8950,188180.00,61.7716
1730563,1440,0.9000,188317.00,61.8398
1730597,1448,0.9050,188427.00,61.8717
1730631,1456,0.9100,188763.00,61.9580
1730664,1464,0.9150,188906.00,62.0256
1730698,1472,0.9200,189095.00,62.0663
1730732,1480,0.9250,189355.00,62.1608
1730766,1488,0.9300,189325.00,62.1608
1730799,1496,0.9350,189391.00,62.1732
1730833,1504,0.9400,189546.00,62.2290
1730867,1512,0.9450,189516.00,62.2819
1730900,1520,0.9500,189941.00,62.3068
1730934,1528,0.9550,189888.00,62.3475
1730968,1536,0.9600,190431.00,62.5113
1731001,1544,0.9650,190164.00,62.4079
1731035,1552,0.9700,190551.00,62.5136
1731069,1560,0.9750,190377.00,62.5080
1731103,1568,0.9800,190300.00,62.4988
1731136,1576,0.9850,190661.00,62.6376
1731170,1584,0.9900,190565.00,62.5303
1731204,1592,0.9950,190822.00,62.6015
1731238,1600,1.0000,191146.00,62.7731
1731271,1608,1.0050,191166.00,62.7515
1731305,1616,1.0100,191146.00,62.7193
1731339,1624,1.0150,191266.00,62.7390
1731372,1632,1.0200,191540.00,62.8608
1731406,1640,1.0250,191207.00,62.8089
1731440,1648,1.0300,191510.00,62.8480
1731473,1656,1.0350,191488.00,62.7984
1731507,1664,1.0400,191789.00,62.8818
1731541,1672,1.0450,191623.00,62.8873
1731575,1680,1.0500,191787.00,62.9655
1731608,1688,1.0550,191782.00,62.9536
1731642,1696,1.0600,191688.00,62.8860
1731676,1704,1.0650,191719.00,62.9422
1731709,1712,1.0700,191746.00,62.9083
1731743,1720,1.0750,191759.00,62.9586
1731777,1728,1.0800,191923.00,62.9838
1731811,1736,1.0850,191797.00,62.9730
1731844,1744,1.0900,191886.00,63.0577
1731878,1752,1.0950,192160.00,63.0984
1731912,1760,1.1000,192149.00,63.0334
1731945,1768,1.1050,192010.00,62.9750
1731979,1776,1.1100,192255.00,63.0265
1732013,1784,1.1150,192096.00,63.0327
1732047,1792,1.1200,192170.00,63.0652
1732080,1800,1.1250,192108.00,63.0065
1732114,1808,1.1300,192147.00,63.0774
1732148,1816,1.1350,192243.00,63.1715
1732181,1824,1.1400,192295.00,63.0413
1732215,1832,1.1450,192379.00,63.1962
1732249,1840,1.1500,192143.00,63.0859
1732282,1848,1.1550,192171.00,63.0734
1732316,1856,1.1600,192093.00,63.0862
1732350,1864,1.1650,191902.00,62.9796
1732384,1872,1.1700,192176.00,63.0777
1732417,1880,1.1750,192089.00,63.0048
1732451,1888,1.1800,192143.00,63.0921
1732485,1896,1.1850,191985.00,62.9530
1732518,1904,1.1900,191882.00,62.9284
1732552,1912,1.1950,192003.00,63.0521
1732586,1920,1.2000,191954.00,62.9956
1732620,1928,1.2050,191837.00,63.0212
1732653,1936,1.2100,191987.00,62.9339
1732687,1944,1.2150,191903.00,62.9700
1732721,1952,1.2200,191991.00,63.0219
1732754,1960,1.2250,191931.00,62.9362
1732788,1968,1.2300,191680.00,62.9326
1732822,1976,1.2350,191892.00,62.9067
1732856,1984,1.2400,191769.00,62.8719
1732889,1992,1.2450,191576.00,62.8588
1732923,2000,1.2500,191578.00,62.8887
1732957,2008,1.2550,191257.00,62.7922
1732990,2016,1.2600,191408.00,62.8273
1733024,2024,1.2650,191431.00,62.7784
1733058,2032,1.2700,191225.00,62.7574
1733092,2040,1.2750,191374.00,62.7918
1733125,2048,1.2800,191146.00,62.7203
1733159,2056,1.2850,191026.00,62.6832
1733193,2064,1.2900,190933.00,62.6169
1733226,2072,1.2950,191028.00,62.6314
1733260,2080,1.3000,190781.00,62.6826
1733294,2088,1.3050,190865.00,62.5963
1733328,2096,1.3100,190644.00,62.5917
1733361,2104,1.3150,190748.00,62.5904
1733395,2112,1.3200,190590.00,62.5323
1733429,2120,1.3250,190540.00,62.5424
1733462,2128,1.3300,190619.00,62.4627
1733496,2136,1.3350,190444.00,62.4837
1733530,2144,1.3400,190218.00,62.4069
1733564,2152,1.3450,190148.00,62.3977
1733597,2160,1.3500,189934.00,62.3531
1733631,2168,1.3550,189999.00,62.4276
1733665,2176,1.3600,189832.00,62.2865
1733698,2184,1.3650,189608.00,62.2628
1733732,2192,1.3700,189686.00,62.2307
1733766,2200,1.3750,189567.00,62.2008
1733799,2208,1.3800,189593.00,62.1693
1733833,2216,1.3850,189462.00,62.1956
1733867,2224,1.3900,189360.00,62.1325
1733901,2232,1.3950,189425.00,62.0807
1733934,2240,1.4000,189107.00,62.0328
1733968,2248,1.4050,189015.00,62.0482
1734002,2256,1.4100,188882.00,61.9389
1734035,2264,1.4150,188912.00,61.9691
1734069,2272,1.4200,188550.00,61.9317
1734103,2280,1.4250,188572.00,61.8943
1734137,2288,1.4300,188683.00,61.8575
1734170,2296,1.4350,188538.00,61.8467
1734204,2304,1.4400,188214.00,61.7617
1734238,2312,1.4450,188083.00,61.6790
1734271,2320,1.4500,188319.00,61.7059
1734305,2328,1.4550,188023.00,61.6547
1734339,2336,1.4600,187811.00,61.6334
1734373,2344,1.4650,187824.00,61.6167
1734406,2352,1.4700,187781.00,61.5500
1734440,2360,1.4750,187667.00,61.5294
1734474,2368,1.4800,187360.00,61.4939
1734507,2376,1.4850,187172.00,61.4542
1734541,2384,1.4900,187176.00,61.4634
1734575,2392,1.4950,187117.00,61.3899
1734609,2400,1.5000,186898.00,61.3380
1734642,2408,1.5050,186594.00,61.2261
1734676,2416,1.5100,186761.00,61.2754
1734710,2424,1.5150,186481.00,61.2225
1734743,2432,1.5200,186404.00,61.1402
1734777,2440,1.5250,186383.00,61.1697
1734811,2448,1.5300,186288.00,61.0686
1734845,2456,1.5350,185778.00,60.9577
1734878,2464,1.5400,185673.00,60.9360
1734912,2472,1.5450,185715.00,60.9705
1734946,2480,1.5500,185587.00,60.8868
1734979,2488,1.5550,185352.00,60.7647
1735013,2496,1.5600,185089.00,60.7821
1735047,2504,1.5650,185133.00,60.7362
1735080,2512,1.5700,184963.00,60.7385
1735114,2520,1.5750,184867.00,60.7388
1735148,2528,1.5800,184801.00,60.6105
1735182,2536,1.5850,184635.00,60.5954
1735215,2544,1.5900,184568.00,60.5731
1735249,2552,1.5950,184357.00,60.4710
1735283,2560,1.6000,184170.00,60.4152
1735316,2568,1.6050,183962.00,60.3959
1735350,2576,1.6100,183987.00,60.3283
1735384,2584,1.6150,183837.00,60.3158
1735417,2592,1.6200,183322.00,60.1954
1735451,2600,1.6250,183127.00,60.1363
1735485,2608,1.6300,183069.00,60.0004
1735519,2616,1.6350,183073.00,60.0598
1735552,2624,1.6400,182842.00,59.9942
1735586,2632,1.6450,182789.00,59.9259
1735620,2640,1.6500,182643.00,59.9282
1735653,2648,1.6550,182248.00,59.8580
1735687,2656,1.6600,182196.00,59.7526
1735721,2664,1.6650,182353.00,59.7366
1735755,2672,1.6700,182033.00,59.7244
1735788,2680,1.6750,181814.00,59.6014
1735822,2688,1.6800,181535.00,59.6532
1735856,2696,1.6850,181438.00,59.5515
1735889,2704,1.6900,181530.00,59.4658
1735923,2712,1.6950,181305.00,59.4586
1735957,2720,1.7000,181031.00,59.3917
1735991,2728,1.7050,180811.00,59.3523
1736024,2736,1.7100,180787.00,59.2423
1736058,2744,1.7150,180510.00,59.1875
1736092,2752,1.7200,180142.00,59.0671
1736125,2760,1.7250,180405.00,59.2181
1736159,2768,1.7300,180033.00,59.0366
1736193,2776,1.7350,179698.00,58.9745
1736226,2784,1.7400,179590.00,58.9161
1736260,2792,1.7450,179478.00,58.9125
1736294,2800,1.7500,179413.00,58.9007
1736328,2808,1.7550,179143.00,58.7986
1736361,2816,1.7600,178590.00,58.6139
1736395,2824,1.7650,178747.00,58.6864
1736429,2832,1.7700,178531.00,58.6034
1736462,2840,1.7750,178163.00,58.5250
1736496,2848,1.7800,178341.00,58.5092
1736530,2856,1.7850,178191.00,58.4419
1736564,2864,1.7900,177891.00,58.3733
1736597,2872,1.7950,177772.00,58.2995
1736631,2880,1.8000,177655.00,58.2303
1736665,2888,1.8050,177234.00,58.1577
1736698,2896,1.8100,177227.00,58.1564
1736732,2904,1.8150,176852.00,58.0097
1736766,2912,1.8200,176932.00,58.0317
1736800,2920,1.8250,176362.00,57.9057
1736833,2928,1.8300,176527.00,57.9149
1736867,2936,1.8350,176031.00,57.7866
1736901,2944,1.8400,176051.00,57.8112
1736934,2952,1.8450,176018.00,57.6701
1736968,2960,1.8500,175654.00,57.6284
1737002,2968,1.8550,175431.00,57.5349
1737035,2976,1.8600,175509.00,57.5713
1737069,2984,1.8650,174997.00,57.4144
1737103,2992,1.8700,174918.00,57.3849
1737137,3000,1.8750,174604.00,57.3524
1737170,3008,1.8800,174428.00,57.2516
1737204,3016,1.8850,174375.00,57.1978
1737238,3024,1.8900,174353.00,57.1788
1737271,3032,1.8950,173862.00,57.0574
1737305,3040,1.9000,173658.00,56.9963
1737339,3048,1.9050,173542.00,56.9750
1737373,3056,1.9100,173580.00,56.9048
1737406,3064,1.9150,173316.00,56.8250
1737440,3072,1.9200,173354.00,56.7906
1737474,3080,1.9250,172720.00,56.6921
1737507,3088,1.9300,172737.00,56.6668
1737541,3096,1.9350,172420.00,56.6307
1737575,3104,1.9400,172302.00,56.5451
1737608,3112,1.9450,172265.00,56.5005
1737642,3120,1.9500,171724.00,56.3784
1737676,3128,1.9550,171717.00,56.3360
1737710,3136,1.9600,171587.00,56.3518
1737743,3144,1.9650,171360.00,56.1959
1737777,3152,1.9700,171241.00,56.1263
1737811,3160,1.9750,170880.00,56.0925
1737844,3168,1.9800,170570.00,56.0217
1737878,3176,1.9850,170614.00,55.9012
1737912,3184,1.9900,170357.00,55.8933
1737946,3192,1.9950,170205.00,55.8284
1737979,3200,2.0000,170042.00,55.8067
1738013,3208,2.0050,169795.00,55.7424
1738047,3216,2.0100,169391.00,55.6003
1738080,3224,2.0150,169228.00,55.5297
1738114,3232,2.0200,169401.00,55.5701
1738148,3240,2.0250,169200.00,55.4808
1738181,3248,2.0300,168986.00,55.3771
1738215,3256,2.0350,168577.00,55.2550
1738249,3264,2.0400,168474.00,55.2734
1738283,3272,2.0450,168184.00,55.2373
1738316,3280,2.0500,168124.00,55.1628
1738350,3288,2.0550,167993.00,55.0063
1738384,3296,2.0600,167565.00,54.9607
1738417,3304,2.0650,167354.00,54.9384
1738451,3312,2.0700,167483.00,54.9265
1738485,3320,2.0750,167190.00,54.8445
1738519,3328,2.0800,166884.00,54.7493
1738552,3336,2.0850,166679.00,54.6650
1738586,3344,2.0900,166475.00,54.5971
1738620,3352,2.0950,166267.00,54.5495
