Millis,Steps,Travel (mm),Scale raw,Scale (grams)
732296,8,0.0050,9547.00,6.4558
732330,16,0.0100,45950.00,16.7693
732364,24,0.0150,58858.00,20.2879
732397,32,0.0200,68802.00,23.4174
732431,40,0.0250,77821.00,26.3795
732465,48,0.0300,86525.00,29.0757
732499,56,0.0350,93956.00,31.6233
732532,64,0.0400,101985.00,34.2093
732566,72,0.0450,109814.00,36.6828
732600,80,0.0500,115792.00,38.6669
732634,88,0.0550,121118.00,40.2645
732667,96,0.0600,123722.00,41.0892
732701,104,0.0650,126644.00,42.1236
732735,112,0.0700,129017.00,42.7720
732768,120,0.0750,130207.00,43.1468
732802,128,0.0800,131558.00,43.7037
732836,136,0.0850,132616.00,43.9826
732870,144,0.0900,133579.00,44.2462
732903,152,0.0950,134655.00,44.5671
732937,160,0.1000,135153.00,44.8576
732971,168,0.1050,136231.00,45.1152
733005,176,0.1100,136686.00,45.3259
733038,184,0.1150,137895.00,45.5799
733072,192,0.1200,138333.00,45.8050
733106,200,0.1250,139027.00,45.8965
733140,208,0.1300,140927.00,46.4180
733173,216,0.1350,139484.00,46.4124
733207,224,0.1400,141952.00,46.8105
733241,232,0.1450,142911.00,47.2463
733274,240,0.1500,142379.00,47.2027
733308,248,0.1550,143892.00,47.5807
733342,256,0.1600,144705.00,47.8232
733376,264,0.1650,144850.00,47.9617
733409,272,0.1700,145402.00,48.2325
733443,280,0.1750,146678.00,48.4238
733477,288,0.1800,146907.00,48.6680
733511,296,0.1850,147265.00,48.7428
733544,304,0.1900,148646.00,49.1222
733578,312,0.1950,148577.00,49.2157
733612,320,0.2000,149038.00,49.2744
733646,328,0.2050,149756.00,49.4782
733679,336,0.2100,149987.00,49.6161
733713,344,0.2150,150725.00,49.8500
733747,352,0.2200,150777.00,49.9977
733781,360,0.2250,152179.00,50.3075
733814,368,0.2300,152697.00,50.4444
733848,376,0.2350,153381.00,50.6783
733882,384,0.2400,154055.00,50.9238
733915,392,0.2450,154131.00,50.9780
733949,400,0.2500,154942.00,51.2910
733983,408,0.2550,154663.00,51.0679
734017,416,0.2600,156682.00,51.7794
734050,424,0.2650,156122.00,51.7705
734084,432,0.2700,157462.00,52.1049
734118,440,0.2750,158089.00,52.3517
734152,448,0.2800,158326.00,52.3852
734185,456,0.2850,159553.00,52.7301
734219,464,0.2900,159862.00,52.9020
734253,472,0.2950,160221.00,53.0999
734287,480,0.3000,160084.00,52.8712
734320,488,0.3050,162030.00,53.7753
734354,496,0.3100,161783.00,53.6427
734388,504,0.3150,162586.00,53.7218
734421,512,0.3200,162895.00,54.1839
734455,520,0.3250,163662.00,54.1402
734489,528,0.3300,164464.00,54.4271
734523,536,0.3350,164549.00,54.5288
734557,544,0.3400,164955.00,54.8813
734590,552,0.3450,165571.00,54.6243
734624,560,0.3500,167143.00,55.1681
734658,568,0.3550,167967.00,55.5484
734691,576,0.3600,166819.00,55.2134
734725,584,0.3650,167797.00,55.2426
734759,592,0.3700,166445.00,55.7594
734793,600,0.3750,166763.00,55.0250
734826,608,0.3800,169873.00,55.9734
734860,616,0.3850,167370.00,56.0932
734894,624,0.3900,168109.00,55.4365
734927,632,0.3950,170984.00,56.4279
734961,640,0.4000,170154.00,56.3731
734995,648,0.4050,170275.00,56.3872
735029,656,0.4100,171376.00,56.3705
735062,664,0.4150,170526.00,56.6403
735096,672,0.4200,171799.00,56.6173
735130,680,0.4250,171994.00,56.7587
735164,688,0.4300,172562.00,56.9629
735197,696,0.4350,171985.00,56.9140
735231,704,0.4400,172471.00,57.0137
735265,712,0.4450,173143.00,57.1962
735299,720,0.4500,172850.00,57.1496
735332,728,0.4550,173321.00,57.2956
