Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1050649,8,0.0050,8232.00,2.8331
1050683,16,0.0100,15426.00,5.6324
1050716,24,0.0150,20151.00,7.1013
1050750,32,0.0200,24002.00,8.3149
1050784,40,0.0250,27272.00,9.2847
1050818,48,0.0300,30432.00,10.3755
1050851,56,0.0350,32859.00,11.1234
1050885,64,0.0400,35115.00,11.9166
1050919,72,0.0450,37936.00,12.8860
1050953,80,0.0500,40638.00,13.6969
1050986,88,0.0550,43111.00,14.5446
1051020,96,0.0600,45743.00,15.3302
1051054,104,0.0650,47637.00,15.9630
1051088,112,0.0700,49633.00,16.6669
1051121,120,0.0750,51990.00,17.5001
1051155,128,0.0800,53654.00,17.9369
1051189,136,0.0850,55106.00,18.4387
1051223,144,0.0900,55918.00,18.6212
1051256,152,0.0950,56615.00,18.8926
1051290,160,0.1000,58156.00,19.5817
1051324,168,0.1050,61184.00,20.5334
1051358,176,0.1100,63790.00,21.3273
1051391,184,0.1150,66363.00,22.1480
1051425,192,0.1200,68276.00,22.7758
1051459,200,0.1250,67762.00,22.7240
1051493,208,0.1300,71770.00,23.9612
1051526,216,0.1350,74559.00,24.8476
1051560,224,0.1400,76662.00,25.3516
1051594,232,0.1450,78641.00,26.1609
1051627,240,0.1500,80186.00,26.5787
1051661,248,0.1550,81627.00,27.1556
1051695,256,0.1600,83703.00,27.8992
1051729,264,0.1650,85406.00,28.4335
1051762,272,0.1700,87002.00,28.9592
1051796,280,0.1750,88869.00,29.5716
1051830,288,0.1800,90454.00,30.1059
1051864,296,0.1850,92003.00,30.5942
1051897,304,0.1900,93592.00,31.0911
1051931,312,0.1950,95077.00,31.5551
1051965,320,0.2000,96233.00,32.0306
1051999,328,0.2050,97720.00,32.4461
1052032,336,0.2100,99034.00,32.9098
1052066,344,0.2150,100584.00,33.3499
1052100,352,0.2200,101673.00,33.7256
1052134,360,0.2250,102720.00,34.1375
1052167,368,0.2300,104272.00,34.6186
1052201,376,0.2350,105021.00,34.7991
1052235,384,0.2400,106058.00,35.2057
1052269,392,0.2450,106936.00,35.5601
1052302,400,0.2500,108149.00,35.9273
1052336,408,0.2550,109032.00,36.2007
1052370,416,0.2600,110392.00,36.5633
1052404,424,0.2650,110925.00,36.7343
1052437,432,0.2700,111821.00,37.1202
1052471,440,0.2750,113272.00,37.5439
1052505,448,0.2800,114027.00,37.8084
1052539,456,0.2850,115042.00,38.0565
1052572,464,0.2900,116134.00,38.4510
1052606,472,0.2950,117076.00,38.8228
1052640,480,0.3000,117536.00,39.1139
1052673,488,0.3050,118870.00,39.4329
1052707,496,0.3100,119836.00,39.9084
1052741,504,0.3150,121404.00,40.1240
1052775,512,0.3200,122260.00,40.4161
1052808,520,0.3250,123354.00,40.8082
1052842,528,0.3300,124027.00,41.0967
1052876,536,0.3350,124279.00,41.2506
1052910,544,0.3400,125471.00,41.6159
1052943,552,0.3450,126376.00,41.8617
1052977,560,0.3500,127580.00,42.3172
1053011,568,0.3550,128755.00,42.7231
1053045,576,0.3600,129499.00,43.0159
1053078,584,0.3650,130533.00,43.2265
1053112,592,0.3700,131556.00,43.6568
1053146,600,0.3750,132383.00,43.9639
1053180,608,0.3800,133353.00,44.2672
1053213,616,0.3850,134171.00,44.4765
1053247,624,0.3900,135457.00,44.9455
1053281,632,0.3950,136103.00,45.2310
1053315,640,0.4000,136817.00,45.3954
1053348,648,0.4050,137859.00,45.5730
1053382,656,0.4100,138586.00,46.0436
1053416,664,0.4150,139636.00,46.2270
1053450,672,0.4200,140166.00,46.4617
1053483,680,0.4250,140906.00,46.8085
1053517,688,0.4300,142338.00,47.1902
1053551,696,0.4350,142643.00,47.2949
1053585,704,0.4400,143341.00,47.4819
1053618,712,0.4450,142801.00,47.4170
1053652,720,0.4500,145419.00,47.9030
1053686,728,0.4550,146001.00,48.2259
1053719,736,0.4600,146735.00,48.4084
1053753,744,0.4650,147644.00,48.9426
1053787,752,0.4700,147305.00,48.8659
1053821,760,0.4750,148283.00,49.2003
1053854,768,0.4800,149172.00,49.3729
1053888,776,0.4850,149622.00,49.5179
1053922,784,0.4900,150161.00,49.7437
1053956,792,0.4950,150767.00,50.0059
1053989,800,0.5000,151402.00,50.1881
1054023,808,0.5050,151976.00,50.4040
1054057,816,0.5100,152674.00,50.6646
1054091,824,0.5150,153202.00,50.8145
1054124,832,0.5200,153778.00,50.9816
1054158,840,0.5250,154338.00,51.1926
1054192,848,0.5300,155125.00,51.3488
1054226,856,0.5350,155406.00,51.5277
1054259,864,0.5400,155637.00,51.6081
1054293,872,0.5450,156579.00,51.8716
1054327,880,0.5500,156931.00,51.9464
1054361,888,0.5550,157934.00,52.2641
1054394,896,0.5600,158302.00,52.3632
1054428,904,0.5650,158889.00,52.5952
1054462,912,0.5700,159415.00,52.8351
1054496,920,0.5750,159507.00,52.8912
1054529,928,0.5800,160461.00,53.2197
1054563,936,0.5850,161034.00,53.3198
1054597,944,0.5900,161487.00,53.5630
1054631,952,0.5950,162009.00,53.6608
1054664,960,0.6000,162623.00,53.8731
1054698,968,0.6050,163060.00,54.0024
1054732,976,0.6100,163304.00,54.0940
1054766,984,0.6150,163540.00,54.1196
1054799,992,0.6200,164303.00,54.3860
1054833,1000,0.6250,165298.00,54.8196
1054867,1008,0.6300,165350.00,54.7894
1054901,1016,0.6350,165858.00,54.9380
1054934,1024,0.6400,166657.00,55.1888
1054968,1032,0.6450,166881.00,55.2652
1055002,1040,0.6500,167543.00,55.5045
1055036,1048,0.6550,168182.00,55.6951
1055069,1056,0.6600,168741.00,55.8946
1055103,1064,0.6650,169121.00,56.0617
1055137,1072,0.6700,169627.00,56.1733
1055170,1080,0.6750,169866.00,56.3062
1055204,1088,0.6800,170341.00,56.3689
1055238,1096,0.6850,170804.00,56.5270
1055272,1104,0.6900,171161.00,56.6357
1055305,1112,0.6950,171471.00,56.7702
1055339,1120,0.7000,171992.00,56.9373
1055373,1128,0.7050,171973.00,57.0032
1055407,1136,0.7100,173140.00,57.2950
1055440,1144,0.7150,173211.00,57.3511
1055474,1152,0.7200,173829.00,57.5102
1055508,1160,0.7250,173737.00,57.5329
1055542,1168,0.7300,174204.00,57.6957
1055575,1176,0.7350,174393.00,57.7078
1055609,1184,0.7400,175120.00,57.9799
1055643,1192,0.7450,175315.00,57.8663
1055677,1200,0.7500,175955.00,58.0977
1055710,1208,0.7550,175853.00,58.1859
1055744,1216,0.7600,176138.00,58.1928
1055778,1224,0.7650,176034.00,58.2916
1055812,1232,0.7700,176457.00,58.4196
1055845,1240,0.7750,176489.00,58.4587
1055879,1248,0.7800,176990.00,58.5771
1055913,1256,0.7850,177306.00,58.7340
1055947,1264,0.7900,177926.00,58.9053
1055980,1272,0.7950,177999.00,58.8646
1056014,1280,0.8000,178378.00,59.0372
1056048,1288,0.8050,178871.00,59.1413
1056082,1296,0.8100,179106.00,59.3119
1056115,1304,0.8150,179327.00,59.4261
1056149,1312,0.8200,179550.00,59.4931
1056183,1320,0.8250,179585.00,59.3874
1056217,1328,0.8300,179744.00,59.5892
1056250,1336,0.8350,180310.00,59.6499
1056284,1344,0.8400,180039.00,59.6112
1056318,1352,0.8450,180223.00,59.7382
1056352,1360,0.8500,180876.00,59.7868
1056385,1368,0.8550,180931.00,59.8472
1056419,1376,0.8600,181268.00,59.8810
1056453,1384,0.8650,181636.00,60.0211
1056487,1392,0.8700,181570.00,60.0162
1056520,1400,0.8750,181946.00,60.1852
1056554,1408,0.8800,182218.00,60.1783
1056588,1416,0.8850,182466.00,60.3050
1056622,1424,0.8900,182448.00,60.3916
1056655,1432,0.8950,182643.00,60.3762
1056689,1440,0.9000,182891.00,60.4881
1056723,1448,0.9050,182783.00,60.5170
1056756,1456,0.9100,183224.00,60.6400
1056790,1464,0.9150,183280.00,60.5957
1056824,1472,0.9200,183281.00,60.6932
1056858,1480,0.9250,183258.00,60.6479
1056891,1488,0.9300,183879.00,60.7933
1056925,1496,0.9350,184019.00,60.8103
1056959,1504,0.9400,184557.00,60.9938
1056993,1512,0.9450,184433.00,60.8589
1057026,1520,0.9500,184914.00,61.0535
1057060,1528,0.9550,184942.00,61.0529
1057094,1536,0.9600,185195.00,61.1178
1057128,1544,0.9650,185454.00,61.2380
1057161,1552,0.9700,185724.00,61.4381
1057195,1560,0.9750,186027.00,61.4244
1057229,1568,0.9800,185986.00,61.4378
1057263,1576,0.9850,186215.00,61.4723
1057296,1584,0.9900,186668.00,61.6026
1057330,1592,0.9950,186525.00,61.5976
1057364,1600,1.0000,187001.00,61.6721
1057398,1608,1.0050,186994.00,61.7985
1057431,1616,1.0100,186979.00,61.7364
1057465,1624,1.0150,187447.00,61.8152
1057499,1632,1.0200,186961.00,61.8152
1057533,1640,1.0250,187434.00,61.8549
1057566,1648,1.0300,187524.00,61.9009
1057600,1656,1.0350,187534.00,61.9422
1057634,1664,1.0400,187628.00,62.0233
1057668,1672,1.0450,187331.00,61.9678
1057701,1680,1.0500,187897.00,62.0640
1057735,1688,1.0550,187992.00,62.0544
1057769,1696,1.0600,188024.00,62.1408
1057803,1704,1.0650,188062.00,62.0600
1057836,1712,1.0700,188161.00,62.1906
1057870,1720,1.0750,188422.00,62.1696
1057904,1728,1.0800,188368.00,62.1214
1057938,1736,1.0850,188698.00,62.3104
1057971,1744,1.0900,189036.00,62.3541
1058005,1752,1.0950,188830.00,62.3383
1058039,1760,1.1000,188564.00,62.3573
1058073,1768,1.1050,188981.00,62.4167
1058106,1776,1.1100,189020.00,62.4630
1058140,1784,1.1150,189135.00,62.5017
1058174,1792,1.1200,189224.00,62.5136
1058207,1800,1.1250,189450.00,62.5099
1058241,1808,1.1300,189085.00,62.4479
1058275,1816,1.1350,189453.00,62.5277
1058309,1824,1.1400,189545.00,62.5638
1058343,1832,1.1450,190167.00,62.8020
1058376,1840,1.1500,190063.00,62.7288
1058410,1848,1.1550,189688.00,62.7006
1058444,1856,1.1600,190158.00,62.7899
1058477,1864,1.1650,190123.00,62.7843
1058511,1872,1.1700,190101.00,62.7659
1058545,1880,1.1750,190150.00,62.8197
1058579,1888,1.1800,190103.00,62.7459
1058612,1896,1.1850,189970.00,62.7692
1058646,1904,1.1900,190070.00,62.7357
1058680,1912,1.1950,190150.00,62.7377
1058714,1920,1.2000,189990.00,62.7830
1058747,1928,1.2050,189875.00,62.6970
1058781,1936,1.2100,190126.00,62.7932
1058815,1944,1.2150,190310.00,62.8286
1058849,1952,1.2200,189940.00,62.7830
1058882,1960,1.2250,189988.00,62.7439
1058916,1968,1.2300,190061.00,62.8079
1058950,1976,1.2350,190104.00,62.8864
1058984,1984,1.2400,190032.00,62.8273
1059017,1992,1.2450,190335.00,62.8234
1059051,2000,1.2500,190528.00,62.9064
1059085,2008,1.2550,190219.00,62.8877
1059119,2016,1.2600,190550.00,62.9740
1059152,2024,1.2650,190700.00,62.9888
1059186,2032,1.2700,190513.00,62.8447
1059220,2040,1.2750,190272.00,62.8975
1059254,2048,1.2800,190357.00,62.9317
1059287,2056,1.2850,190373.00,62.8893
1059321,2064,1.2900,190233.00,62.8739
1059355,2072,1.2950,190293.00,62.9645
1059389,2080,1.3000,190374.00,62.9655
1059422,2088,1.3050,190036.00,62.8578
1059456,2096,1.3100,190222.00,62.8992
1059490,2104,1.3150,190116.00,62.8933
1059523,2112,1.3200,189904.00,62.8493
1059557,2120,1.3250,190415.00,62.9700
1059591,2128,1.3300,190421.00,63.0084
1059625,2136,1.3350,190158.00,62.9162
1059658,2144,1.3400,190130.00,62.8713
1059692,2152,1.3450,190451.00,63.0045
1059726,2160,1.3500,190705.00,63.0386
1059760,2168,1.3550,190835.00,63.0941
1059793,2176,1.3600,190514.00,63.0235
1059827,2184,1.3650,190846.00,63.1076
1059861,2192,1.3700,190979.00,63.2122
1059895,2200,1.3750,191433.00,63.3589
1059928,2208,1.3800,191672.00,63.5430
1059962,2216,1.3850,191934.00,63.5844
1059996,2224,1.3900,192493.00,63.6779
1060030,2232,1.3950,192086.00,63.5312
1060063,2240,1.4000,191576.00,63.4725
1060097,2248,1.4050,191564.00,63.3747
1060131,2256,1.4100,192076.00,63.5542
1060165,2264,1.4150,191543.00,63.4639
1060198,2272,1.4200,191108.00,63.4144
1060232,2280,1.4250,191286.00,63.3917
1060266,2288,1.4300,191286.00,63.3596
1060300,2296,1.4350,191134.00,63.3340
1060333,2304,1.4400,191043.00,63.2857
1060367,2312,1.4450,190860.00,63.2795
1060401,2320,1.4500,190861.00,63.2789
1060435,2328,1.4550,190877.00,63.2175
1060468,2336,1.4600,191245.00,63.3399
1060502,2344,1.4650,190713.00,63.2618
1060536,2352,1.4700,190065.00,62.9113
1060569,2360,1.4750,190341.00,62.9366
1060603,2368,1.4800,190074.00,62.8585
1060637,2376,1.4850,189752.00,62.7951
1060671,2384,1.4900,188449.00,62.5920
1060704,2392,1.4950,188988.00,62.6954
1060738,2400,1.5000,189265.00,62.6858
1060772,2408,1.5050,188886.00,62.5487
1060806,2416,1.5100,189267.00,62.6836
1060839,2424,1.5150,188710.00,62.5940
1060873,2432,1.5200,188431.00,62.4942
1060907,2440,1.5250,187985.00,62.3140
1060941,2448,1.5300,187949.00,62.2261
1060974,2456,1.5350,187963.00,62.0718
1061008,2464,1.5400,187823.00,62.1004
1061042,2472,1.5450,187419.00,62.0869
1061076,2480,1.5500,187163.00,61.9245
1061109,2488,1.5550,187206.00,61.8644
1061143,2496,1.5600,186657.00,61.8447
1061177,2504,1.5650,186245.00,61.7026
1061211,2512,1.5700,185964.00,61.5179
1061244,2520,1.5750,185696.00,61.5179
1061278,2528,1.5800,185725.00,61.4460
1061312,2536,1.5850,185529.00,61.4411
1061346,2544,1.5900,185515.00,61.4555
