Millis,Steps,Travel (mm),Scale raw,Scale (grams)
15921,8,0.0050,10263.00,3.8452
15955,16,0.0100,16461.00,5.9045
15988,24,0.0150,20451.00,7.2372
16022,32,0.0200,24003.00,8.3005
16056,40,0.0250,26658.00,9.1117
16089,48,0.0300,29105.00,10.0106
16123,56,0.0350,32100.00,10.9803
16156,64,0.0400,34542.00,11.6718
16190,72,0.0450,37006.00,12.5519
16223,80,0.0500,40120.00,13.5433
16257,88,0.0550,42531.00,14.4793
16290,96,0.0600,45080.00,15.0595
16324,104,0.0650,46496.00,15.4940
16358,112,0.0700,48622.00,16.2800
16391,120,0.0750,50933.00,16.9455
16425,128,0.0800,53169.00,17.9714
16458,136,0.0850,57459.00,19.3382
16492,144,0.0900,61306.00,20.4530
16526,152,0.0950,64708.00,21.6390
16559,160,0.1000,68047.00,22.6777
16593,168,0.1050,70707.00,23.5546
16626,176,0.1100,73374.00,24.3589
16660,184,0.1150,75596.00,25.0225
16693,192,0.1200,77604.00,25.7297
16727,200,0.1250,79819.00,26.4238
16761,208,0.1300,82231.00,27.1057
16794,216,0.1350,83696.00,27.6498
16828,224,0.1400,85333.00,28.0942
16861,232,0.1450,86707.00,28.6179
16895,240,0.1500,88095.00,29.0278
16929,248,0.1550,89290.00,29.4108
16962,256,0.1600,90644.00,29.8177
16996,264,0.1650,92155.00,30.3911
17029,272,0.1700,93428.00,30.7114
17063,280,0.1750,94821.00,31.2391
17097,288,0.1800,95991.00,31.6411
17130,296,0.1850,97283.00,32.0470
17164,304,0.1900,98672.00,32.4490
17197,312,0.1950,99744.00,32.8816
17231,320,0.2000,101511.00,33.3945
17264,328,0.2050,102371.00,33.7138
17298,336,0.2100,103543.00,34.0610
17332,344,0.2150,104877.00,34.5424
17365,352,0.2200,106187.00,34.9303
17399,360,0.2250,107485.00,35.4187
17432,368,0.2300,108625.00,35.8003
17466,376,0.2350,109888.00,36.1124
17500,384,0.2400,110846.00,36.5029
17533,392,0.2450,112028.00,36.9414
17567,400,0.2500,113530.00,37.2879
17600,408,0.2550,114339.00,37.6561
17634,416,0.2600,115484.00,37.9492
17667,424,0.2650,116504.00,38.3548
17701,432,0.2700,117416.00,38.6344
17735,440,0.2750,118682.00,39.0876
17768,448,0.2800,119761.00,39.4027
17802,456,0.2850,120796.00,39.8053
17835,464,0.2900,121933.00,40.1716
17869,472,0.2950,123008.00,40.3747
17903,480,0.3000,123847.00,40.7419
17936,488,0.3050,125212.00,41.1810
17970,496,0.3100,126106.00,41.4561
18003,504,0.3150,127191.00,41.7757
18037,512,0.3200,127946.00,42.0911
18071,520,0.3250,128885.00,42.3625
18104,528,0.3300,129895.00,42.7051
18138,536,0.3350,130710.00,43.0483
18171,544,0.3400,131769.00,43.3342
18205,552,0.3450,132597.00,43.6118
18238,560,0.3500,133423.00,43.9502
18272,568,0.3550,134446.00,44.1713
18306,576,0.3600,135195.00,44.4372
18339,584,0.3650,136064.00,44.7368
18373,592,0.3700,137080.00,45.0115
18406,600,0.3750,137849.00,45.2596
18440,608,0.3800,138547.00,45.6045
18474,616,0.3850,139337.00,45.8060
18507,624,0.3900,140376.00,46.1486
18541,632,0.3950,140918.00,46.3153
18574,640,0.4000,141880.00,46.6120
18608,648,0.4050,142637.00,46.8049
18641,656,0.4100,143121.00,46.9871
18675,664,0.4150,143847.00,47.2893
18709,672,0.4200,145004.00,47.6158
18742,680,0.4250,145435.00,47.7980
18776,688,0.4300,146446.00,48.1143
18809,696,0.4350,146968.00,48.3004
18843,704,0.4400,147477.00,48.5239
18877,712,0.4450,148321.00,48.7352
18910,720,0.4500,148958.00,48.9013
18944,728,0.4550,149615.00,49.2301
18977,736,0.4600,150051.00,49.3135
19011,744,0.4650,150815.00,49.5655
19045,752,0.4700,151649.00,49.8448
19078,760,0.4750,151998.00,49.9665
19112,768,0.4800,152948.00,50.1943
19145,776,0.4850,153169.00,50.3882
19179,784,0.4900,153903.00,50.5484
19212,792,0.4950,154634.00,50.7394
19246,800,0.5000,155193.00,51.0285
19280,808,0.5050,155770.00,51.1470
19313,816,0.5100,156477.00,51.3642
19347,824,0.5150,156814.00,51.5385
19380,832,0.5200,157408.00,51.8096
19414,840,0.5250,158094.00,51.9471
19448,848,0.5300,158679.00,52.1623
19481,856,0.5350,159243.00,52.2989
19515,864,0.5400,159832.00,52.5506
19548,872,0.5450,160301.00,52.6740
19582,880,0.5500,160822.00,52.8161
19616,888,0.5550,161371.00,52.9995
19649,896,0.5600,162106.00,53.1997
19683,904,0.5650,162452.00,53.3795
19716,912,0.5700,162877.00,53.5075
19750,920,0.5750,163495.00,53.6923
19783,928,0.5800,163831.00,53.8849
19817,936,0.5850,164446.00,53.9978
19851,944,0.5900,164828.00,54.1297
19884,952,0.5950,165399.00,54.2728
19918,960,0.6000,165876.00,54.4579
19951,968,0.6050,166182.00,54.5784
19985,976,0.6100,166771.00,54.7680
20019,984,0.6150,167239.00,54.9269
20052,992,0.6200,167728.00,55.0260
20086,1000,0.6250,168051.00,55.2058
20119,1008,0.6300,168714.00,55.4099
20153,1016,0.6350,169127.00,55.5110
20187,1024,0.6400,169551.00,55.6699
20220,1032,0.6450,169702.00,55.7509
20254,1040,0.6500,170301.00,55.8930
20287,1048,0.6550,170851.00,56.0410
20321,1056,0.6600,171016.00,56.1647
20355,1064,0.6650,171636.00,56.3377
20388,1072,0.6700,172020.00,56.4745
20422,1080,0.6750,172387.00,56.5946
20455,1088,0.6800,172669.00,56.6832
20489,1096,0.6850,173050.00,56.8329
20522,1104,0.6900,173366.00,56.9507
20556,1112,0.6950,173773.00,57.1066
20590,1120,0.7000,174305.00,57.2759
20623,1128,0.7050,174593.00,57.3527
20657,1136,0.7100,174972.00,57.4157
20690,1144,0.7150,175201.00,57.5286
20724,1152,0.7200,175612.00,57.6773
20758,1160,0.7250,176000.00,57.7928
20791,1168,0.7300,176331.00,57.8988
20825,1176,0.7350,176780.00,58.0652
20858,1184,0.7400,176793.00,58.0790
20892,1192,0.7450,177315.00,58.1485
20926,1200,0.7500,177490.00,58.2939
20959,1208,0.7550,177854.00,58.3927
20993,1216,0.7600,178268.00,58.4656
21026,1224,0.7650,178536.00,58.6208
21060,1232,0.7700,178764.00,58.7747
21093,1240,0.7750,179201.00,58.8200
21127,1248,0.7800,179354.00,58.8653
21161,1256,0.7850,179582.00,58.9391
21194,1264,0.7900,179880.00,59.0884
21228,1272,0.7950,180139.00,59.1449
21261,1280,0.8000,180493.00,59.2617
21295,1288,0.8050,180597.00,59.3116
21329,1296,0.8100,181063.00,59.4563
21362,1304,0.8150,181397.00,59.5623
21396,1312,0.8200,181597.00,59.6352
21508,1320,0.8250,181245.00,59.5226
21541,1328,0.8300,181796.00,59.6699
21575,1336,0.8350,182011.00,59.7280
21609,1344,0.8400,182414.00,59.8790
21642,1352,0.8450,182584.00,59.9131
21676,1360,0.8500,182795.00,60.0487
21709,1368,0.8550,182994.00,60.0306
21743,1376,0.8600,183315.00,60.1835
21777,1384,0.8650,183530.00,60.3394
21810,1392,0.8700,183862.00,60.3220
21844,1400,0.8750,184055.00,60.4763
21877,1408,0.8800,184147.00,60.5048
21911,1416,0.8850,184427.00,60.5514
21944,1424,0.8900,184695.00,60.6180
21978,1432,0.8950,185186.00,60.7483
22012,1440,0.9000,184935.00,60.6919
22045,1448,0.9050,185363.00,60.8064
22079,1456,0.9100,185323.00,60.8527
22112,1464,0.9150,185547.00,60.9068
22146,1472,0.9200,185659.00,60.9118
22180,1480,0.9250,186037.00,61.0027
22213,1488,0.9300,186043.00,61.0709
22247,1496,0.9350,186536.00,61.1484
22280,1504,0.9400,186375.00,61.1861
22314,1512,0.9450,186603.00,61.2337
22348,1520,0.9500,186627.00,61.2704
22381,1528,0.9550,187024.00,61.3827
22415,1536,0.9600,186976.00,61.4030
22448,1544,0.9650,187094.00,61.3666
22482,1552,0.9700,187387.00,61.5103
22516,1560,0.9750,187555.00,61.5510
22549,1568,0.9800,187709.00,61.5934
22583,1576,0.9850,187916.00,61.6915
22616,1584,0.9900,187878.00,61.6501
22650,1592,0.9950,188152.00,61.7532
22684,1600,1.0000,188153.00,61.7542
22717,1608,1.0050,188327.00,61.8041
22751,1616,1.0100,188485.00,61.8490
22784,1624,1.0150,188592.00,61.8375
22818,1632,1.0200,188610.00,61.9120
22852,1640,1.0250,188748.00,61.9609
22885,1648,1.0300,188922.00,61.9780
22919,1656,1.0350,188977.00,62.0393
22952,1664,1.0400,188973.00,61.9964
22986,1672,1.0450,189104.00,62.0272
23019,1680,1.0500,189320.00,62.1171
23053,1688,1.0550,189258.00,62.1522
23087,1696,1.0600,189445.00,62.1053
23120,1704,1.0650,189438.00,62.1998
23154,1712,1.0700,189606.00,62.1634
23187,1720,1.0750,189578.00,62.2320
23221,1728,1.0800,189966.00,62.3370
23255,1736,1.0850,189618.00,62.3173
23288,1744,1.0900,189963.00,62.3167
23322,1752,1.0950,190076.00,62.3357
23355,1760,1.1000,189957.00,62.3961
23389,1768,1.1050,190079.00,62.3711
23423,1776,1.1100,189909.00,62.4043
23456,1784,1.1150,190174.00,62.5152
23490,1792,1.1200,190070.00,62.3751
23523,1800,1.1250,190019.00,62.4286
23557,1808,1.1300,190145.00,62.5021
23591,1816,1.1350,190343.00,62.4719
23624,1824,1.1400,190438.00,62.4794
23658,1832,1.1450,190530.00,62.6048
23691,1840,1.1500,190335.00,62.4128
