source,workbook_row,workbook_display_name,tested,repo_set,match_method,manifest_disposition,metadata_source
workbook,2,MetaPulse BS 40g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,3,MetaPulse BS 50g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,4,MetaPulse BS 65g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,5,MetaPulse BS 75g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,6,Deskeys_Carrot_35g,YES,Deskeys_Carrot_35g,exact,include,authoritative_workbook
workbook,7,Deskeys_Carrot_49g,YES,Deskeys_Carrot_49g,exact,include,authoritative_workbook
workbook,8,Deskeys_Carrot_60g,YES,Deskeys_Carrot_60g,exact,include,authoritative_workbook
workbook,9,MetaPulse RS 25g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,10,MetaPulse RS 30g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,11,MetaPulse RS 35g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,12,MetaPulse RS 40g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,13,MetaPulse RS 45g,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,14,MetaPulse RS 55g-A,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,15,MetaPulse RS 55g-B,NO,,not_present,not_in_epoch,workbook_inventory_only
workbook,16,Deskeys_T1_Cheese_28g,YES,Deskeys_T1_Cheese_28g,exact,include,authoritative_workbook
workbook,17,Deskeys_T1_Tiffany_35g,YES,Deskeys_T1_Tiffany_35g,exact,include,authoritative_workbook
workbook,18,Deskeys_T1_Pink_42g,YES,Deskeys_T1_Pink_42g,exact,include,authoritative_workbook
workbook,19,Deskeys_T1_Purple_49g,YES,Deskeys_T1_Purple_49g,exact,include,authoritative_workbook
workbook,20,Deskeys_T1_Blue_56g,YES,Deskeys_T1_Blue_56g,exact,include,authoritative_workbook
workbook,21,Deskeys_T1_Coffee_63g,YES,Deskeys_T1_Coffee_63g,exact,include,authoritative_workbook
workbook,22,Deskeys_T1_Grey_70g,YES,Deskeys_T1_Grey_70g,exact,include,authoritative_workbook
workbook,23,Deskeys_T1_Green_85g,YES,Deskeys_T1_Green_85g,exact,include,authoritative_workbook
workbook,24,Deskeys_T1_Darkside_100g,YES,Deskeys_T1_Darkside_100g,exact,include,authoritative_workbook
workbook,25,BKE_Redux_v1_Extreme_01,YES,BKE_Redux_v1_Extreme_01,exact,include,authoritative_workbook
workbook,26,BKE_Redux_v1_Heavy_01,YES,BKE_Redux_v1_Heavy_01,exact,include,authoritative_workbook
workbook,27,BKE_Redux_v1_Heavy_02,YES,BKE_Redux_v1_Heavy_02,exact,include,authoritative_workbook
workbook,28,BKE_Redux_v1_Heavy_03,YES,BKE_Redux_v1_Heavy_03,exact,include,authoritative_workbook
workbook,29,BKE_Redux_v1_Light_01,YES,BKE_Redux_v1_Light_01,exact,include,authoritative_workbook
workbook,30,BKE_Redux_v1_Light_02,YES,BKE_Redux_v1_Light_02,exact,include,authoritative_workbook
workbook,31,BKE_Redux_v1_Light_03,YES,BKE_Redux_v1_Light_03,exact,include,authoritative_workbook
workbook,32,BKE_Redux_v1_Ultra_Light_01,YES,BKE_Redux_v1_Ultra_Light_01,exact,include,authoritative_workbook
workbook,33,BKE_Redux_v1_Ultra_Light_02,YES,BKE_Redux_v1_Ultra_Light_02,exact,include,authoritative_workbook
workbook,34,BKE_Redux_v1_Ultra_Light_03,YES,BKE_Redux_v1_Ultra_Light_03,exact,include,authoritative_workbook
