Millis,Steps,Travel (mm),Scale raw,Scale (grams)
9464,8,0.0050,5357.00,2.5762
9498,16,0.0100,12052.00,4.9049
9532,24,0.0150,21191.00,7.6290
9565,32,0.0200,32260.00,11.7499
9599,40,0.0250,45593.00,15.4517
9633,48,0.0300,51760.00,17.5083
9666,56,0.0350,58247.00,19.5522
9700,64,0.0400,64593.00,21.5209
9734,72,0.0450,68633.00,22.7328
9768,80,0.0500,71982.00,23.8581
9801,88,0.0550,76004.00,25.2200
9835,96,0.0600,79820.00,26.4760
9869,104,0.0650,84844.00,28.1493
9903,112,0.0700,89475.00,29.7672
9936,120,0.0750,95612.00,31.5574
9970,128,0.0800,98644.00,32.4415
10004,136,0.0850,101498.00,33.7040
10037,144,0.0900,104944.00,34.6514
10071,152,0.0950,107957.00,35.6553
10105,160,0.1000,111031.00,36.5758
10139,168,0.1050,114044.00,37.6066
10172,176,0.1100,116844.00,38.6088
10206,184,0.1150,120045.00,39.5874
10240,192,0.1200,122797.00,40.4528
10273,200,0.1250,125613.00,41.4541
10307,208,0.1300,128521.00,42.3244
10341,216,0.1350,131383.00,43.3293
10375,224,0.1400,134193.00,44.2327
10408,232,0.1450,137066.00,45.1244
10442,240,0.1500,139635.00,45.9313
10476,248,0.1550,142652.00,46.9139
10510,256,0.1600,145179.00,47.8078
10543,264,0.1650,147611.00,48.6217
10577,272,0.1700,150436.00,49.5416
10611,280,0.1750,153048.00,50.3741
10644,288,0.1800,155990.00,51.4128
10678,296,0.1850,158277.00,52.0842
10712,304,0.1900,160334.00,52.7872
10746,312,0.1950,163035.00,53.7130
10779,320,0.2000,165810.00,54.5062
10813,328,0.2050,168088.00,55.3479
10847,336,0.2100,170201.00,56.0072
10881,344,0.2150,173071.00,56.8670
10914,352,0.2200,175289.00,57.6100
10948,360,0.2250,177675.00,58.3471
10982,368,0.2300,179904.00,59.2125
11015,376,0.2350,182546.00,60.0365
11049,384,0.2400,184514.00,60.7644
11083,392,0.2450,186927.00,61.5445
11117,400,0.2500,189143.00,62.2277
11150,408,0.2550,191524.00,62.9553
11184,416,0.2600,193696.00,63.7275
11218,424,0.2650,195706.00,64.3569
11252,432,0.2700,197626.00,64.9781
11285,440,0.2750,199656.00,65.6263
11319,448,0.2800,201975.00,66.4677
11353,456,0.2850,203777.00,66.9849
11386,464,0.2900,205540.00,67.5569
11420,472,0.2950,207686.00,68.2366
11454,480,0.3000,209467.00,68.7869
11488,488,0.3050,211160.00,69.3737
11521,496,0.3100,212726.00,69.8502
11555,504,0.3150,214119.00,70.3224
11589,512,0.3200,215176.00,70.6611
11623,520,0.3250,215808.00,70.8183
11656,528,0.3300,216040.00,70.8308
11690,536,0.3350,215538.00,70.7159
11724,544,0.3400,215075.00,70.4645
11758,552,0.3450,214414.00,70.3385
11791,560,0.3500,214189.00,70.2299
11825,568,0.3550,214101.00,70.1085
11859,576,0.3600,213570.00,70.1029
11892,584,0.3650,213478.00,70.0402
11926,592,0.3700,213496.00,70.1534
11960,600,0.3750,215907.00,71.0437
11994,608,0.3800,218627.00,71.8615
12027,616,0.3850,221168.00,72.7378
12061,624,0.3900,223098.00,73.3295
12095,632,0.3950,225303.00,73.9914
12128,640,0.4000,227227.00,74.6694
12162,648,0.4050,229211.00,75.3024
12196,656,0.4100,230966.00,75.9286
12230,664,0.4150,233013.00,76.5652
12263,672,0.4200,234561.00,76.9978
12297,680,0.4250,236772.00,77.8103
12331,688,0.4300,238847.00,78.5362
12488,696,0.4350,237789.00,78.1047
12522,704,0.4400,240648.00,79.1224
12556,712,0.4450,243085.00,79.8397
12589,720,0.4500,245381.00,80.6083
12623,728,0.4550,246975.00,81.1252
12657,736,0.4600,248666.00,81.7612
12691,744,0.4650,250324.00,82.2672
12724,752,0.4700,252169.00,82.8238
12758,760,0.4750,253493.00,83.3171
12792,768,0.4800,254830.00,83.7374
12825,776,0.4850,256669.00,84.4302
12859,784,0.4900,258326.00,84.8680
12893,792,0.4950,259891.00,85.4088
12927,800,0.5000,261668.00,85.8824
12960,808,0.5050,262848.00,86.2913
