Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6471,8,0.0050,27635.00,9.3782
6504,16,0.0100,43452.00,15.3887
6538,24,0.0150,49058.00,16.5799
6571,32,0.0200,52573.00,17.7787
6605,40,0.0250,55993.00,18.8840
6638,48,0.0300,58552.00,19.7077
6672,56,0.0350,64263.00,21.6059
6705,64,0.0400,72176.00,23.9444
6739,72,0.0450,75701.00,25.1472
6773,80,0.0500,78590.00,26.0431
6806,88,0.0550,80757.00,26.8340
6840,96,0.0600,82940.00,27.4805
6873,104,0.0650,84691.00,28.0417
6907,112,0.0700,86523.00,28.6741
6940,120,0.0750,89511.00,29.9470
6974,128,0.0800,95465.00,32.0795
7007,136,0.0850,102721.00,34.2139
7041,144,0.0900,113213.00,38.0709
7074,152,0.0950,124252.00,41.4429
7108,160,0.1000,129834.00,42.9942
7142,168,0.1050,133193.00,43.9738
7175,176,0.1100,135985.00,44.9787
7209,184,0.1150,139060.00,45.8631
7242,192,0.1200,141658.00,46.7344
7276,200,0.1250,144438.00,47.6720
7309,208,0.1300,146978.00,48.5065
7343,216,0.1350,149671.00,49.2524
7376,224,0.1400,152479.00,50.2537
7410,232,0.1450,154545.00,50.9891
7443,240,0.1500,157104.00,51.7039
7477,248,0.1550,159561.00,52.6064
7511,256,0.1600,161980.00,53.4025
7544,264,0.1650,164441.00,54.2210
7578,272,0.1700,166803.00,54.9482
7611,280,0.1750,168953.00,55.6751
7645,288,0.1800,171285.00,56.4637
7678,296,0.1850,173510.00,57.1922
7712,304,0.1900,175762.00,57.9454
7745,312,0.1950,177937.00,58.6812
7779,320,0.2000,180125.00,59.3572
7812,328,0.2050,182521.00,60.1044
7846,336,0.2100,184633.00,60.8277
7880,344,0.2150,186631.00,61.4706
7913,352,0.2200,188885.00,62.1946
7947,360,0.2250,190936.00,62.7456
7980,368,0.2300,193052.00,63.3658
8014,376,0.2350,195140.00,64.2148
8047,384,0.2400,196816.00,64.8721
8081,392,0.2450,198931.00,65.4688
8114,400,0.2500,200773.00,66.1113
8148,408,0.2550,202838.00,66.7591
8181,416,0.2600,204545.00,67.3141
8215,424,0.2650,206652.00,68.0968
8249,432,0.2700,208557.00,68.7035
8282,440,0.2750,210446.00,69.2076
8316,448,0.2800,211819.00,69.5683
8349,456,0.2850,213726.00,70.3867
8383,464,0.2900,215693.00,70.9699
8416,472,0.2950,217208.00,71.4248
8450,480,0.3000,218813.00,72.0361
8483,488,0.3050,220569.00,72.5779
8517,496,0.3100,222132.00,73.1290
8551,504,0.3150,223605.00,73.6124
8584,512,0.3200,225267.00,74.1801
8618,520,0.3250,226961.00,74.6681
8651,528,0.3300,228502.00,75.2864
8685,536,0.3350,230119.00,75.6385
8718,544,0.3400,231532.00,76.2003
8752,552,0.3450,233103.00,76.6893
8785,560,0.3500,234362.00,77.1195
8819,568,0.3550,235706.00,77.5402
8852,576,0.3600,237036.00,78.0611
8886,584,0.3650,238851.00,78.5448
8920,592,0.3700,240118.00,78.8808
8953,600,0.3750,241489.00,79.3508
8987,608,0.3800,242802.00,79.7781
9020,616,0.3850,244115.00,80.2752
9054,624,0.3900,245380.00,80.6966
9087,632,0.3950,246653.00,81.0999
9121,640,0.4000,247822.00,81.5085
9154,648,0.4050,249044.00,81.9348
9188,656,0.4100,250440.00,82.3506
9221,664,0.4150,251497.00,82.7054
9255,672,0.4200,252706.00,83.1070
9289,680,0.4250,253816.00,83.2882
9322,688,0.4300,255043.00,83.9281
9356,696,0.4350,256139.00,84.2218
9389,704,0.4400,257170.00,84.6334
9423,712,0.4450,258194.00,84.8063
9456,720,0.4500,259470.00,85.3192
9490,728,0.4550,260552.00,85.6359
9523,736,0.4600,261539.00,86.0173
9557,744,0.4650,262402.00,86.3143
9591,752,0.4700,263450.00,86.6588
9624,760,0.4750,264513.00,86.9890
9658,768,0.4800,265457.00,87.2857
9691,776,0.4850,266387.00,87.5830
9725,784,0.4900,267119.00,87.8675
9758,792,0.4950,268179.00,88.1862
9792,800,0.5000,269353.00,88.4648
9825,808,0.5050,270083.00,88.8202
9859,816,0.5100,270712.00,88.9383
9893,824,0.5150,271653.00,89.1126
9926,832,0.5200,272365.00,89.3459
9960,840,0.5250,273163.00,89.7699
9993,848,0.5300,273606.00,89.9317
10027,856,0.5350,274244.00,90.0452
10060,864,0.5400,274472.00,90.1723
10094,872,0.5450,274875.00,90.2684
10127,880,0.5500,275276.00,90.4030
10161,888,0.5550,275258.00,90.3436
10194,896,0.5600,275150.00,90.3045
10228,904,0.5650,274230.00,89.9704
10262,912,0.5700,272923.00,89.5445
10295,920,0.5750,272372.00,89.3988
10329,928,0.5800,271972.00,89.2511
10362,936,0.5850,271387.00,89.1113
10396,944,0.5900,272060.00,89.3558
10429,952,0.5950,274079.00,90.1450
10463,960,0.6000,275847.00,90.7105
10496,968,0.6050,277170.00,91.1489
10530,976,0.6100,278488.00,91.5174
10564,984,0.6150,279525.00,91.8827
10597,992,0.6200,280271.00,92.1029
10631,1000,0.6250,281107.00,92.3579
10664,1008,0.6300,281871.00,92.6293
10698,1016,0.6350,282782.00,92.9194
10731,1024,0.6400,283579.00,93.1340
10765,1032,0.6450,284171.00,93.3447
10798,1040,0.6500,284895.00,93.6430
10832,1048,0.6550,286012.00,93.9771
10866,1056,0.6600,286388.00,94.0690
10899,1064,0.6650,287083.00,94.2649
10933,1072,0.6700,287848.00,94.5530
10966,1080,0.6750,288580.00,94.7542
11000,1088,0.6800,289009.00,94.9836
11033,1096,0.6850,289529.00,95.2366
11067,1104,0.6900,290579.00,95.4125
11100,1112,0.6950,291032.00,95.5897
11134,1120,0.7000,291424.00,95.8162
11167,1128,0.7050,292138.00,96.0098
11201,1136,0.7100,293026.00,96.1745
