Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6008,8,0.0050,27346.00,10.4379
6041,16,0.0100,36587.00,12.3586
6075,24,0.0150,38770.00,13.0793
6109,32,0.0200,42315.00,14.4363
6142,40,0.0250,46149.00,15.5317
6176,48,0.0300,47853.00,16.1024
6209,56,0.0350,50132.00,16.8457
6243,64,0.0400,52869.00,17.7062
6276,72,0.0450,54744.00,18.2680
6310,80,0.0500,56893.00,19.3960
6343,88,0.0550,63118.00,21.6971
6377,96,0.0600,71842.00,23.9494
6410,104,0.0650,75442.00,25.0622
6444,112,0.0700,78430.00,25.9765
6477,120,0.0750,81017.00,26.7927
6511,128,0.0800,83945.00,27.7516
6545,136,0.0850,86416.00,28.5986
6578,144,0.0900,88689.00,29.3849
6612,152,0.0950,91430.00,30.1269
6645,160,0.1000,94258.00,31.2059
6679,168,0.1050,96535.00,31.9505
6712,176,0.1100,98795.00,32.6893
6746,184,0.1150,101385.00,33.5287
6779,192,0.1200,103959.00,34.3702
6813,200,0.1250,106123.00,35.0610
6846,208,0.1300,108576.00,35.8801
6880,216,0.1350,110866.00,36.5712
6914,224,0.1400,113281.00,37.3375
6947,232,0.1450,115315.00,38.0086
6981,240,0.1500,117725.00,38.8563
7014,248,0.1550,120019.00,39.5618
7048,256,0.1600,122313.00,40.4482
7081,264,0.1650,124331.00,40.9572
7115,272,0.1700,126637.00,41.6740
7148,280,0.1750,128687.00,42.4320
7182,288,0.1800,130512.00,43.0388
7215,296,0.1850,132744.00,43.8199
7249,304,0.1900,135165.00,44.5317
7283,312,0.1950,137031.00,45.1349
7316,320,0.2000,139219.00,45.9093
7350,328,0.2050,141196.00,46.5437
7383,336,0.2100,143031.00,47.1390
7417,344,0.2150,145020.00,47.9109
7450,352,0.2200,147096.00,48.3982
7484,360,0.2250,148596.00,48.8124
7517,368,0.2300,150420.00,49.6400
7551,376,0.2350,152443.00,50.2517
7584,384,0.2400,154517.00,50.8536
7618,392,0.2450,156312.00,51.4797
7652,400,0.2500,158164.00,52.0271
7685,408,0.2550,159985.00,52.6753
7719,416,0.2600,161786.00,53.2243
7752,424,0.2650,163371.00,53.8108
7786,432,0.2700,165167.00,54.4011
7819,440,0.2750,166887.00,54.9813
7853,448,0.2800,168695.00,55.4526
7886,456,0.2850,170195.00,56.0578
7920,464,0.2900,172187.00,56.5146
7953,472,0.2950,173580.00,57.1703
7987,480,0.3000,174977.00,57.5050
8020,488,0.3050,176536.00,58.0895
8054,496,0.3100,177808.00,58.5338
8087,504,0.3150,179546.00,59.0789
8121,512,0.3200,181134.00,59.5820
8155,520,0.3250,182675.00,60.1176
8188,528,0.3300,184062.00,60.5865
8222,536,0.3350,185528.00,61.0808
8255,544,0.3400,187192.00,61.6482
8289,552,0.3450,188390.00,61.9973
8322,560,0.3500,189912.00,62.5017
8356,568,0.3550,191161.00,62.9251
8389,576,0.3600,192845.00,63.3524
8423,584,0.3650,193737.00,63.7058
8456,592,0.3700,195114.00,64.1590
8490,600,0.3750,196575.00,64.6847
8524,608,0.3800,197933.00,65.1439
8557,616,0.3850,199030.00,65.3988
8591,624,0.3900,200304.00,65.9627
8624,632,0.3950,201533.00,66.1927
8658,640,0.4000,202408.00,66.6702
8691,648,0.4050,203970.00,67.1129
8725,656,0.4100,204645.00,67.3443
8758,664,0.4150,205733.00,67.6019
8792,672,0.4200,206949.00,68.0679
8825,680,0.4250,208102.00,68.4492
8859,688,0.4300,209266.00,68.7331
8893,696,0.4350,210268.00,69.0163
8926,704,0.4400,211502.00,69.4974
8960,712,0.4450,212428.00,69.8367
8993,720,0.4500,213920.00,70.3244
9027,728,0.4550,214775.00,70.5892
9060,736,0.4600,215623.00,70.9377
9094,744,0.4650,216776.00,71.2774
9127,752,0.4700,217939.00,71.7204
9161,760,0.4750,218986.00,72.0050
9194,768,0.4800,220022.00,72.2941
9228,776,0.4850,221102.00,72.6659
9261,784,0.4900,221991.00,73.0200
9295,792,0.4950,223097.00,73.2625
9329,800,0.5000,223910.00,73.6475
9362,808,0.5050,224863.00,73.9517
9396,816,0.5100,225735.00,74.1446
9429,824,0.5150,226501.00,74.3675
9463,832,0.5200,227464.00,74.7971
9496,840,0.5250,228480.00,75.0727
9530,848,0.5300,229260.00,75.2726
9563,856,0.5350,230549.00,75.8269
9597,864,0.5400,231361.00,76.0008
9630,872,0.5450,231938.00,76.2676
9664,880,0.5500,232837.00,76.5613
9698,888,0.5550,233802.00,76.7989
9731,896,0.5600,234653.00,77.0542
9765,904,0.5650,235380.00,77.3808
9798,912,0.5700,236408.00,77.7303
9832,920,0.5750,236992.00,77.8920
9865,928,0.5800,237898.00,78.0469
9899,936,0.5850,238791.00,78.3899
9932,944,0.5900,239403.00,78.5799
9966,952,0.5950,240488.00,79.0085
9999,960,0.6000,241184.00,79.2743
10033,968,0.6050,241960.00,79.5257
10067,976,0.6100,242746.00,79.8214
10100,984,0.6150,243253.00,79.8840
10134,992,0.6200,244338.00,80.2411
10167,1000,0.6250,245010.00,80.5164
10201,1008,0.6300,245762.00,80.7596
10234,1016,0.6350,246405.00,80.9568
10268,1024,0.6400,247235.00,81.2952
10301,1032,0.6450,247857.00,81.4301
10335,1040,0.6500,248784.00,81.6604
10368,1048,0.6550,249416.00,81.9184
10402,1056,0.6600,249852.00,82.0556
10436,1064,0.6650,250607.00,82.3286
10469,1072,0.6700,251557.00,82.6036
10503,1080,0.6750,251970.00,82.6968
10536,1088,0.6800,252840.00,83.0253
10570,1096,0.6850,253100.00,83.2354
10603,1104,0.6900,253871.00,83.4300
10637,1112,0.6950,254816.00,83.6836
10670,1120,0.7000,255113.00,83.8234
10704,1128,0.7050,255750.00,84.0233
10737,1136,0.7100,256204.00,84.1608
10771,1144,0.7150,257095.00,84.4151
10805,1152,0.7200,257422.00,84.5434
10838,1160,0.7250,258022.00,84.6888
10872,1168,0.7300,258564.00,84.9080
10905,1176,0.7350,259128.00,85.1555
10939,1184,0.7400,259638.00,85.3307
10972,1192,0.7450,260167.00,85.4909
11006,1200,0.7500,260437.00,85.5552
11039,1208,0.7550,261061.00,85.8230
11073,1216,0.7600,261431.00,85.9067
11106,1224,0.7650,262053.00,86.1298
11140,1232,0.7700,262497.00,86.2276
11174,1240,0.7750,262838.00,86.4002
11207,1248,0.7800,263522.00,86.5679
11241,1256,0.7850,263944.00,86.7264
11274,1264,0.7900,264397.00,86.8236
11308,1272,0.7950,264758.00,86.9552
11341,1280,0.8000,264910.00,87.0015
11375,1288,0.8050,265512.00,87.2354
11408,1296,0.8100,266048.00,87.3890
11442,1304,0.8150,266623.00,87.4977
11475,1312,0.8200,266814.00,87.6122
11509,1320,0.8250,267261.00,87.7756
11543,1328,0.8300,267512.00,87.9157
11576,1336,0.8350,268289.00,88.0480
11610,1344,0.8400,268285.00,88.1002
11643,1352,0.8450,268791.00,88.2482
11677,1360,0.8500,269023.00,88.3926
11710,1368,0.8550,269471.00,88.4753
11744,1376,0.8600,269502.00,88.5524
11777,1384,0.8650,270022.00,88.7079
11811,1392,0.8700,270385.00,88.7408
11844,1400,0.8750,270639.00,88.8950
11878,1408,0.8800,270942.00,88.9803
11912,1416,0.8850,271212.00,89.0955
11945,1424,0.8900,271485.00,89.1858
11979,1432,0.8950,271760.00,89.2826
12012,1440,0.9000,272025.00,89.3246
12046,1448,0.9050,272542.00,89.4969
12079,1456,0.9100,272516.00,89.5412
12113,1464,0.9150,272839.00,89.6022
12146,1472,0.9200,273165.00,89.6698
12180,1480,0.9250,273370.00,89.7834
12213,1488,0.9300,273635.00,89.8339
12247,1496,0.9350,273772.00,89.8769
12281,1504,0.9400,274031.00,89.9878
12314,1512,0.9450,274174.00,90.0275
12348,1520,0.9500,274419.00,90.1027
12381,1528,0.9550,274730.00,90.1476
12415,1536,0.9600,274761.00,90.1972
12448,1544,0.9650,274767.00,90.2130
12482,1552,0.9700,275049.00,90.4016
12515,1560,0.9750,275315.00,90.4053
12549,1568,0.9800,275474.00,90.3603
12582,1576,0.9850,275401.00,90.4656
12616,1584,0.9900,275592.00,90.4873
12650,1592,0.9950,275835.00,90.6245
12683,1600,1.0000,275858.00,90.5835
12717,1608,1.0050,276010.00,90.5707
12750,1616,1.0100,275915.00,90.6330
12784,1624,1.0150,276268.00,90.6504
12817,1632,1.0200,276289.00,90.7600
12851,1640,1.0250,276419.00,90.7643
