Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7653,8,0.0050,18611.00,6.3163
7687,16,0.0100,21479.00,7.5870
7720,24,0.0150,30694.00,11.1122
7754,32,0.0200,37033.00,12.3918
7787,40,0.0250,38334.00,12.8575
7821,48,0.0300,39706.00,13.3524
7855,56,0.0350,41022.00,13.6868
7888,64,0.0400,42288.00,14.1311
7922,72,0.0450,43474.00,14.5072
7955,80,0.0500,44464.00,14.8130
7989,88,0.0550,45603.00,15.0372
8022,96,0.0600,45781.00,15.1534
8056,104,0.0650,46125.00,15.1691
8089,112,0.0700,46407.00,15.3949
8123,120,0.0750,47901.00,16.0821
8156,128,0.0800,55491.00,19.3067
8190,136,0.0850,68071.00,22.6130
8223,144,0.0900,70957.00,23.4128
8257,152,0.0950,73447.00,24.3048
8291,160,0.1000,75567.00,25.0143
8324,168,0.1050,77710.00,25.5571
8358,176,0.1100,78415.00,25.8193
8391,184,0.1150,79585.00,26.1350
8425,192,0.1200,80419.00,26.5265
8458,200,0.1250,81434.00,26.8540
8492,208,0.1300,82277.00,27.1477
8525,216,0.1350,83195.00,27.3548
8559,224,0.1400,84263.00,27.6315
8592,232,0.1450,85239.00,28.1398
8626,240,0.1500,86079.00,28.3630
8659,248,0.1550,87127.00,28.6678
8693,256,0.1600,87794.00,28.9501
8727,264,0.1650,88712.00,29.1578
8760,272,0.1700,89768.00,29.5378
8794,280,0.1750,90370.00,29.7465
8827,288,0.1800,91169.00,30.0698
8861,296,0.1850,92204.00,30.3359
8894,304,0.1900,92997.00,30.6349
8928,312,0.1950,93595.00,30.8026
8961,320,0.2000,94525.00,31.1544
8995,328,0.2050,95530.00,31.4048
9028,336,0.2100,96241.00,31.6900
9062,344,0.2150,96969.00,31.8875
9095,352,0.2200,97501.00,32.1442
9129,360,0.2250,98750.00,32.3939
9163,368,0.2300,99431.00,32.6049
9196,376,0.2350,100144.00,32.9328
9230,384,0.2400,100691.00,33.0975
9263,392,0.2450,101380.00,33.3512
9297,400,0.2500,102028.00,33.5507
9330,408,0.2550,102939.00,33.8211
9364,416,0.2600,103518.00,34.0439
9397,424,0.2650,104226.00,34.3229
9431,432,0.2700,104829.00,34.4886
9464,440,0.2750,105736.00,34.7718
