Millis,Steps,Travel (mm),Scale raw,Scale (grams)
213969,8,0.0050,26409.00,9.7999
214003,16,0.0100,40935.00,13.6001
214037,24,0.0150,42315.00,14.0753
214070,32,0.0200,44109.00,14.6401
214104,40,0.0250,45908.00,15.1343
214138,48,0.0300,47768.00,15.8084
214171,56,0.0350,49544.00,16.5451
214205,64,0.0400,52393.00,17.5868
214239,72,0.0450,55761.00,18.7587
214273,80,0.0500,59223.00,19.7767
214306,88,0.0550,62127.00,20.7110
214340,96,0.0600,64326.00,21.3850
214374,104,0.0650,66387.00,22.0220
214407,112,0.0700,68203.00,22.6285
214441,120,0.0750,69916.00,23.0626
214475,128,0.0800,71258.00,23.5293
214508,136,0.0850,73585.00,24.7901
214542,144,0.0900,81458.00,27.4828
214576,152,0.0950,90083.00,29.9871
214610,160,0.1000,93985.00,30.9864
214643,168,0.1050,95872.00,31.5741
214677,176,0.1100,97598.00,32.1343
214711,184,0.1150,99299.00,32.7756
214744,192,0.1200,101183.00,33.3597
214778,200,0.1250,102589.00,33.8119
214812,208,0.1300,104337.00,34.3646
214846,216,0.1350,106027.00,34.9730
214879,224,0.1400,107817.00,35.5253
214913,232,0.1450,109308.00,35.9716
214947,240,0.1500,110844.00,36.4875
214980,248,0.1550,112717.00,37.0198
215014,256,0.1600,114092.00,37.5606
215048,264,0.1650,115646.00,38.0677
215081,272,0.1700,117122.00,38.4644
215115,280,0.1750,118606.00,39.1172
215149,288,0.1800,120501.00,39.6547
215183,296,0.1850,121656.00,40.0147
215216,304,0.1900,123327.00,40.5769
215250,312,0.1950,124777.00,41.0892
215284,320,0.2000,126200.00,41.5286
215317,328,0.2050,127760.00,42.0087
215351,336,0.2100,128756.00,42.3244
215385,344,0.2150,130349.00,42.8370
215418,352,0.2200,131604.00,43.2869
215452,360,0.2250,133326.00,43.8478
215486,368,0.2300,134732.00,44.3190
215520,376,0.2350,135717.00,44.6833
215553,384,0.2400,137318.00,45.1395
215587,392,0.2450,138679.00,45.6475
215621,400,0.2500,139815.00,45.9770
215654,408,0.2550,141267.00,46.5106
215688,416,0.2600,142665.00,46.8778
215722,424,0.2650,143856.00,47.3110
215755,432,0.2700,144975.00,47.6135
215789,440,0.2750,146335.00,48.1134
215823,448,0.2800,147430.00,48.4786
215980,456,0.2850,147382.00,48.3871
216014,464,0.2900,148945.00,49.0634
216048,472,0.2950,150183.00,49.3886
