Millis,Steps,Travel (mm),Scale raw,Scale (grams)
228623,8,0.0050,26958.00,8.8623
228657,16,0.0100,28383.00,9.4054
228691,24,0.0150,29390.00,9.7753
228724,32,0.0200,30243.00,10.0093
228758,40,0.0250,30946.00,10.2866
228792,48,0.0300,31924.00,10.5777
228825,56,0.0350,32788.00,10.8743
228859,64,0.0400,33959.00,11.2468
228893,72,0.0450,35285.00,11.7450
228927,80,0.0500,36786.00,12.2074
228960,88,0.0550,38224.00,12.5546
228994,96,0.0600,39278.00,12.9992
229028,104,0.0650,40572.00,13.3930
229061,112,0.0700,41068.00,13.6221
229095,120,0.0750,42140.00,13.8774
229129,128,0.0800,43090.00,14.2548
229162,136,0.0850,45144.00,15.0280
229196,144,0.0900,48617.00,16.3345
229230,152,0.0950,52898.00,17.7029
229264,160,0.1000,55991.00,18.6047
229297,168,0.1050,57487.00,19.0071
229331,176,0.1100,58737.00,19.5010
229365,184,0.1150,60586.00,20.0320
229398,192,0.1200,62255.00,20.6867
229432,200,0.1250,64114.00,21.2554
229466,208,0.1300,65652.00,21.7437
229499,216,0.1350,68711.00,23.0364
229533,224,0.1400,74736.00,24.8154
229567,232,0.1450,77447.00,25.5082
229600,240,0.1500,79300.00,26.0054
229634,248,0.1550,80793.00,26.6345
229668,256,0.1600,81992.00,26.9620
229702,264,0.1650,83784.00,27.6193
229735,272,0.1700,84870.00,27.9665
229769,280,0.1750,86364.00,28.4171
229803,288,0.1800,87665.00,28.9392
229836,296,0.1850,89018.00,29.2966
229870,304,0.1900,90463.00,29.7665
229904,312,0.1950,91971.00,30.2824
229937,320,0.2000,93405.00,30.7045
229971,328,0.2050,94690.00,31.2315
230005,336,0.2100,96032.00,31.6230
230038,344,0.2150,97468.00,32.0050
230072,352,0.2200,98656.00,32.4825
230106,360,0.2250,100017.00,32.9301
230140,368,0.2300,101750.00,33.4641
230173,376,0.2350,103017.00,33.8973
230342,384,0.2400,103104.00,33.9097
230375,392,0.2450,104763.00,34.4725
230409,400,0.2500,106301.00,34.9546
230443,408,0.2550,107621.00,35.4098
230477,416,0.2600,108831.00,35.8673
