Millis,Steps,Travel (mm),Scale raw,Scale (grams)
12078,8,0.0050,34345.00,13.8144
12112,16,0.0100,59805.00,21.5872
12145,24,0.0150,84813.00,29.7823
12179,32,0.0200,106086.00,35.8925
12212,40,0.0250,116559.00,38.6823
12246,48,0.0300,119625.00,39.5894
12279,56,0.0350,124495.00,41.0983
12313,64,0.0400,124764.00,41.2421
12347,72,0.0450,125525.00,41.4049
12380,80,0.0500,126619.00,41.8364
12414,88,0.0550,128198.00,42.4189
12447,96,0.0600,129797.00,42.8613
12481,104,0.0650,131157.00,43.4044
12514,112,0.0700,136033.00,45.2658
12548,120,0.0750,141924.00,46.9316
12581,128,0.0800,146520.00,48.5968
12615,136,0.0850,151232.00,50.2481
12649,144,0.0900,154454.00,51.1463
12682,152,0.0950,156204.00,51.5365
12716,160,0.1000,156684.00,51.6022
12749,168,0.1050,158165.00,52.7767
12783,176,0.1100,168549.00,56.4178
12816,184,0.1150,179263.00,59.6197
12850,192,0.1200,188862.00,62.8526
12883,200,0.1250,197077.00,64.9752
12917,208,0.1300,199765.00,65.7421
12950,216,0.1350,201220.00,66.2232
12984,224,0.1400,202824.00,66.7109
13017,232,0.1450,204127.00,67.1405
13051,240,0.1500,205534.00,67.6570
13085,248,0.1550,206866.00,68.0081
13118,256,0.1600,208456.00,68.5089
13152,264,0.1650,209632.00,68.9986
13185,272,0.1700,211175.00,69.4964
13219,280,0.1750,212149.00,69.7452
13252,288,0.1800,213431.00,70.2725
13286,296,0.1850,214519.00,70.5167
13319,304,0.1900,216046.00,71.0713
13353,312,0.1950,217285.00,71.4894
13387,320,0.2000,218300.00,71.7788
13420,328,0.2050,219450.00,72.1677
13454,336,0.2100,220618.00,72.6117
13487,344,0.2150,221463.00,72.9120
13521,352,0.2200,222834.00,73.2084
13554,360,0.2250,223726.00,73.5736
13588,368,0.2300,224755.00,73.9596
13621,376,0.2350,226033.00,74.3550
13655,384,0.2400,226913.00,74.6418
13688,392,0.2450,227732.00,74.9162
13722,400,0.2500,228772.00,75.2578
13756,408,0.2550,229921.00,75.6756
13789,416,0.2600,230836.00,75.9197
13823,424,0.2650,231876.00,76.2079
13856,432,0.2700,232714.00,76.5482
13890,440,0.2750,233814.00,76.8849
13923,448,0.2800,234748.00,77.1389
13957,456,0.2850,235610.00,77.4057
13990,464,0.2900,236449.00,77.6531
14024,472,0.2950,237131.00,77.9347
14058,480,0.3000,237918.00,78.2107
14091,488,0.3050,239008.00,78.5504
14125,496,0.3100,239449.00,78.6252
14158,504,0.3150,240427.00,79.0036
14192,512,0.3200,240876.00,79.1342
14225,520,0.3250,241870.00,79.4807
14259,528,0.3300,242594.00,79.8004
14292,536,0.3350,243550.00,80.0652
14326,544,0.3400,244159.00,80.2040
14359,552,0.3450,244933.00,80.4833
14393,560,0.3500,245568.00,80.7199
14427,568,0.3550,246586.00,81.0504
14460,576,0.3600,247000.00,81.1554
14494,584,0.3650,247509.00,81.3763
14527,592,0.3700,248150.00,81.6431
14561,600,0.3750,248931.00,81.8505
14594,608,0.3800,249740.00,82.0684
14628,616,0.3850,250485.00,82.3381
14661,624,0.3900,250972.00,82.5078
14695,632,0.3950,251676.00,82.7815
14729,640,0.4000,252126.00,82.8901
14762,648,0.4050,252759.00,83.1005
14796,656,0.4100,253587.00,83.3345
14829,664,0.4150,253706.00,83.3961
14863,672,0.4200,254805.00,83.7437
14896,680,0.4250,255088.00,83.8113
14930,688,0.4300,255729.00,83.9960
14963,696,0.4350,256268.00,84.2189
14997,704,0.4400,256678.00,84.3685
15030,712,0.4450,257406.00,84.6153
15064,720,0.4500,257897.00,84.8034
15098,728,0.4550,258584.00,85.0350
15131,736,0.4600,258930.00,85.1049
15165,744,0.4650,259073.00,85.1305
15198,752,0.4700,259977.00,85.5142
15232,760,0.4750,260535.00,85.6530
15265,768,0.4800,261013.00,85.8053
15299,776,0.4850,261596.00,85.9388
15333,784,0.4900,261872.00,86.1443
15366,792,0.4950,262573.00,86.2493
15400,800,0.5000,262953.00,86.3576
15433,808,0.5050,263597.00,86.4839
15467,816,0.5100,264048.00,86.8377
15500,824,0.5150,264393.00,86.8895
15534,832,0.5200,264974.00,87.0366
15567,840,0.5250,264920.00,87.1934
15601,848,0.5300,265835.00,87.3280
15635,856,0.5350,266174.00,87.5016
15668,864,0.5400,266631.00,87.6148
15702,872,0.5450,266782.00,87.7284
15735,880,0.5500,267110.00,87.8626
15769,888,0.5550,267858.00,88.0972
15802,896,0.5600,268192.00,88.1264
15836,904,0.5650,268475.00,88.1980
15869,912,0.5700,268828.00,88.4103
15903,920,0.5750,269335.00,88.5298
15937,928,0.5800,269807.00,88.6545
15970,936,0.5850,269884.00,88.7670
16004,944,0.5900,270271.00,88.8711
16037,952,0.5950,270461.00,88.9186
16071,960,0.6000,271073.00,89.0696
16104,968,0.6050,271073.00,89.0922
16138,976,0.6100,271374.00,89.1067
16171,984,0.6150,271730.00,89.3078
16205,992,0.6200,272194.00,89.4647
16239,1000,0.6250,272486.00,89.5556
16272,1008,0.6300,272548.00,89.5855
16306,1016,0.6350,273094.00,89.6951
16339,1024,0.6400,273156.00,89.6921
16373,1032,0.6450,273617.00,89.9041
16406,1040,0.6500,273582.00,89.9071
16440,1048,0.6550,273984.00,90.0426
16473,1056,0.6600,274271.00,90.0836
16507,1064,0.6650,274511.00,90.1601
16541,1072,0.6700,274836.00,90.2523
16574,1080,0.6750,275035.00,90.3757
16608,1088,0.6800,275303.00,90.4732
16641,1096,0.6850,275399.00,90.4000
16675,1104,0.6900,275732.00,90.5549
16708,1112,0.6950,275797.00,90.6041
16742,1120,0.7000,276206.00,90.6780
16775,1128,0.7050,276316.00,90.7052
16809,1136,0.7100,276466.00,90.7695
16843,1144,0.7150,276476.00,90.8581
16876,1152,0.7200,276580.00,90.9330
16910,1160,0.7250,276849.00,90.8125
16943,1168,0.7300,277251.00,91.0596
16977,1176,0.7350,276993.00,90.9953
17010,1184,0.7400,277343.00,91.0367
17044,1192,0.7450,277155.00,91.1161
17077,1200,0.7500,277193.00,91.0652
17122,1208,0.7550,277137.00,91.0265
17156,1216,0.7600,277441.00,91.0590
17189,1224,0.7650,277429.00,91.1095
17223,1232,0.7700,277354.00,91.0452
17256,1240,0.7750,277619.00,91.1000
17290,1248,0.7800,277467.00,91.0718
17324,1256,0.7850,277764.00,91.1236
17357,1264,0.7900,277387.00,91.0386
17391,1272,0.7950,277263.00,90.8302
17424,1280,0.8000,277071.00,90.8188
17458,1288,0.8050,276926.00,90.7242
17491,1296,0.8100,276392.00,90.5848
17525,1304,0.8150,276198.00,90.6008
17558,1312,0.8200,276474.00,90.7613
17592,1320,0.8250,276760.00,90.8818
17626,1328,0.8300,277015.00,91.0183
17659,1336,0.8350,277339.00,91.1197
17693,1344,0.8400,277492.00,91.1870
17726,1352,0.8450,277801.00,91.2168
17760,1360,0.8500,278069.00,91.2999
17793,1368,0.8550,278224.00,91.4114
17827,1376,0.8600,278406.00,91.5053
17860,1384,0.8650,278322.00,91.4177
17894,1392,0.8700,278702.00,91.5368
17928,1400,0.8750,278907.00,91.5496
17961,1408,0.8800,278775.00,91.6362
17995,1416,0.8850,278785.00,91.7061
18028,1424,0.8900,278635.00,91.6339
18062,1432,0.8950,279286.00,91.7557
18095,1440,0.9000,279138.00,91.8052
18129,1448,0.9050,279385.00,91.8020
18163,1456,0.9100,278932.00,91.7810
18196,1464,0.9150,279555.00,91.9099
18230,1472,0.9200,279415.00,91.6818
18263,1480,0.9250,279359.00,91.8003
18297,1488,0.9300,279361.00,91.8722
18330,1496,0.9350,279462.00,91.8331
18364,1504,0.9400,279310.00,91.7957
18398,1512,0.9450,279305.00,91.8118
18431,1520,0.9500,279109.00,91.7468
18465,1528,0.9550,279140.00,91.6864
18498,1536,0.9600,279135.00,91.7166
18532,1544,0.9650,279293.00,91.8125
18565,1552,0.9700,279196.00,91.7639
18599,1560,0.9750,279158.00,91.7140
18632,1568,0.9800,278925.00,91.7590
18666,1576,0.9850,279005.00,91.6704
18700,1584,0.9900,278731.00,91.6024
18733,1592,0.9950,278809.00,91.5752
18767,1600,1.0000,278900.00,91.6352
18800,1608,1.0050,278862.00,91.5965
18834,1616,1.0100,278725.00,91.5686
18867,1624,1.0150,278396.00,91.5480
18901,1632,1.0200,278485.00,91.4813
18934,1640,1.0250,278195.00,91.3763
18968,1648,1.0300,278178.00,91.4508
19002,1656,1.0350,277934.00,91.2930
19035,1664,1.0400,277895.00,91.2749
19069,1672,1.0450,277839.00,91.2569
19102,1680,1.0500,277632.00,91.2428
19136,1688,1.0550,277704.00,91.1975
19169,1696,1.0600,277541.00,91.1512
19203,1704,1.0650,277338.00,91.1003
19237,1712,1.0700,277229.00,91.0534
19270,1720,1.0750,277132.00,91.0770
19304,1728,1.0800,276904.00,90.9661
19337,1736,1.0850,276764.00,90.8929
19371,1744,1.0900,276516.00,90.8181
19404,1752,1.0950,276187.00,90.7183
19438,1760,1.1000,276460.00,90.8069
19472,1768,1.1050,276086.00,90.6662
19505,1776,1.1100,275825.00,90.7141
19539,1784,1.1150,275491.00,90.5283
19572,1792,1.1200,275599.00,90.5346
19606,1800,1.1250,275308.00,90.4046
19639,1808,1.1300,275242.00,90.4151
19673,1816,1.1350,274999.00,90.3600
19706,1824,1.1400,274668.00,90.2940
19740,1832,1.1450,274416.00,90.1811
19774,1840,1.1500,274010.00,90.0348
19807,1848,1.1550,273765.00,89.9432
19841,1856,1.1600,273897.00,89.9471
19874,1864,1.1650,273355.00,89.8585
19908,1872,1.1700,273452.00,89.7735
19941,1880,1.1750,272948.00,89.6711
19975,1888,1.1800,272530.00,89.5687
20009,1896,1.1850,272442.00,89.5070
20042,1904,1.1900,272418.00,89.5070
20076,1912,1.1950,271942.00,89.2727
