Millis,Steps,Travel (mm),Scale raw,Scale (grams)
254864,8,0.0050,43985.00,16.1648
254898,16,0.0100,70220.00,25.3638
254932,24,0.0150,95282.00,32.5232
254965,32,0.0200,108024.00,35.9500
254999,40,0.0250,113269.00,37.0228
255033,48,0.0300,109968.00,36.3717
255067,56,0.0350,108188.00,35.6474
255100,64,0.0400,107980.00,35.7429
255134,72,0.0450,108385.00,35.8696
255167,80,0.0500,109300.00,36.2824
255201,88,0.0550,110968.00,36.7780
255235,96,0.0600,112397.00,37.4658
255268,104,0.0650,116445.00,38.6085
255302,112,0.0700,118105.00,38.8628
255336,120,0.0750,119599.00,39.4824
255369,128,0.0800,122028.00,40.8374
255403,136,0.0850,128684.00,42.9558
255437,144,0.0900,133780.00,44.5044
255470,152,0.0950,137149.00,45.3193
255504,160,0.1000,136053.00,44.9045
255538,168,0.1050,134669.00,44.4926
255571,176,0.1100,134666.00,44.5497
255605,184,0.1150,135713.00,44.9238
255639,192,0.1200,136544.00,45.1926
255672,200,0.1250,137515.00,46.0229
255706,208,0.1300,146353.00,49.0903
255740,216,0.1350,155975.00,52.0038
255773,224,0.1400,160387.00,52.8397
255807,232,0.1450,161291.00,53.2132
255841,240,0.1500,161770.00,53.3234
255874,248,0.1550,162514.00,53.6224
255908,256,0.1600,163135.00,53.7750
255942,264,0.1650,163718.00,53.9148
255975,272,0.1700,164242.00,54.0385
256009,280,0.1750,164825.00,54.3463
256043,288,0.1800,165100.00,54.4139
256076,296,0.1850,166028.00,54.6985
256110,304,0.1900,166285.00,54.8159
256144,312,0.1950,166941.00,55.0004
256177,320,0.2000,167301.00,55.2242
256211,328,0.2050,168112.00,55.3962
256245,336,0.2100,168451.00,55.4766
256278,344,0.2150,168921.00,55.5494
256312,352,0.2200,169536.00,55.8664
256346,360,0.2250,169770.00,55.9760
256379,368,0.2300,170447.00,56.1831
256413,376,0.2350,170635.00,56.2376
256447,384,0.2400,171236.00,56.4758
256480,392,0.2450,171781.00,56.6314
256514,400,0.2500,171972.00,56.7833
256548,408,0.2550,172937.00,56.9389
256581,416,0.2600,173042.00,56.9934
256615,424,0.2650,173509.00,57.1086
256649,432,0.2700,173745.00,57.2982
256682,440,0.2750,174297.00,57.4216
256716,448,0.2800,174753.00,57.5362
256750,456,0.2850,175250.00,57.6714
256783,464,0.2900,175225.00,57.6622
256817,472,0.2950,175980.00,57.9116
256851,480,0.3000,176198.00,58.0882
256884,488,0.3050,176439.00,58.1259
256918,496,0.3100,176696.00,58.2414
256952,504,0.3150,177283.00,58.3874
256985,512,0.3200,177494.00,58.5017
257019,520,0.3250,178042.00,58.6605
257053,528,0.3300,178463.00,58.7891
257086,536,0.3350,178755.00,58.9174
257120,544,0.3400,178670.00,58.9240
257154,552,0.3450,179043.00,58.9168
257187,560,0.3500,179534.00,59.0796
257221,568,0.3550,179710.00,59.2263
257255,576,0.3600,180120.00,59.3063
257288,584,0.3650,180364.00,59.3907
257322,592,0.3700,180459.00,59.4668
257356,600,0.3750,180708.00,59.5941
257389,608,0.3800,181018.00,59.6709
257423,616,0.3850,181111.00,59.6030
257457,624,0.3900,181766.00,59.8947
