Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6677,8,0.0050,33788.00,12.8667
6710,16,0.0100,47702.00,17.4768
6744,24,0.0150,70464.00,25.2092
6777,32,0.0200,93781.00,32.0828
6811,40,0.0250,103371.00,34.2189
6844,48,0.0300,103821.00,34.4053
6878,56,0.0350,104635.00,34.6967
6911,64,0.0400,109621.00,36.9128
6945,72,0.0450,117764.00,39.2868
6978,80,0.0500,119798.00,39.6524
7012,88,0.0550,119616.00,39.5146
7045,96,0.0600,117619.00,38.9163
7079,104,0.0650,118468.00,39.4007
7112,112,0.0700,124006.00,41.2998
7146,120,0.0750,128754.00,42.4990
7179,128,0.0800,132692.00,43.8067
7213,136,0.0850,136625.00,45.0787
7246,144,0.0900,139033.00,45.9802
7280,152,0.0950,140827.00,46.5578
7313,160,0.1000,141438.00,46.7823
7347,168,0.1050,142192.00,46.9887
7380,176,0.1100,143023.00,47.2401
7414,184,0.1150,143729.00,47.5043
7447,192,0.1200,144594.00,47.7901
7481,200,0.1250,145009.00,47.8715
7514,208,0.1300,145207.00,47.9112
7548,216,0.1350,146485.00,48.2650
7582,224,0.1400,146750.00,48.4635
7615,232,0.1450,147357.00,48.5735
7649,240,0.1500,147823.00,48.7576
7682,248,0.1550,148566.00,48.9659
7716,256,0.1600,148851.00,49.1215
7749,264,0.1650,150101.00,49.4733
7783,272,0.1700,150493.00,49.6016
7816,280,0.1750,150904.00,49.7903
7850,288,0.1800,150773.00,49.8471
7883,296,0.1850,151715.00,50.1753
7917,304,0.1900,152339.00,50.2235
7950,312,0.1950,152767.00,50.3892
7984,320,0.2000,152801.00,50.5720
8017,328,0.2050,153550.00,50.7453
8051,336,0.2100,154308.00,50.9307
8084,344,0.2150,155060.00,51.1516
8118,352,0.2200,155405.00,51.2047
8151,360,0.2250,155886.00,51.2280
8185,368,0.2300,156485.00,51.4958
8218,376,0.2350,156525.00,51.6878
8252,384,0.2400,156994.00,51.8115
8285,392,0.2450,157264.00,51.8276
8319,400,0.2500,157557.00,52.0357
8352,408,0.2550,158171.00,52.1338
8386,416,0.2600,158698.00,52.2743
8419,424,0.2650,159064.00,52.4439
8453,432,0.2700,159478.00,52.5772
8486,440,0.2750,159852.00,52.6103
8520,448,0.2800,160815.00,52.9526
8553,456,0.2850,160907.00,53.1170
8587,464,0.2900,161553.00,53.2781
8620,472,0.2950,161860.00,53.3274
8654,480,0.3000,162139.00,53.4137
8687,488,0.3050,162635.00,53.5584
8721,496,0.3100,163480.00,53.7737
8754,504,0.3150,163093.00,53.7871
8788,512,0.3200,163356.00,53.8738
8821,520,0.3250,164033.00,54.1530
8855,528,0.3300,164288.00,54.1744
8888,536,0.3350,164728.00,54.3198
8922,544,0.3400,164718.00,54.4192
8956,552,0.3450,165525.00,54.5656
8989,560,0.3500,165902.00,54.6371
9022,568,0.3550,165900.00,54.6666
9056,576,0.3600,166496.00,54.8602
9089,584,0.3650,166515.00,54.8507
9123,592,0.3700,166722.00,54.7480
9157,600,0.3750,167685.00,55.0946
9190,608,0.3800,167468.00,55.2498
9224,616,0.3850,167405.00,55.2147
9257,624,0.3900,167901.00,55.4254
9291,632,0.3950,168243.00,55.4549
9324,640,0.4000,168626.00,55.6725
9358,648,0.4050,169107.00,55.8172
9391,656,0.4100,169680.00,55.9577
9425,664,0.4150,170459.00,56.2412
9458,672,0.4200,170021.00,56.0430
9492,680,0.4250,171035.00,56.3541
9525,688,0.4300,170997.00,56.4397
9559,696,0.4350,171593.00,56.6832
9592,704,0.4400,171409.00,56.5625
9626,712,0.4450,171791.00,56.5572
9659,720,0.4500,171733.00,56.6258
9693,728,0.4550,171774.00,56.6002
9726,736,0.4600,172183.00,56.7328
9760,744,0.4650,172438.00,56.6606
9793,752,0.4700,172414.00,56.9067
9827,760,0.4750,172406.00,56.7476
9860,768,0.4800,172345.00,56.8240
9894,776,0.4850,172645.00,56.8719
9927,784,0.4900,173256.00,57.0088
9961,792,0.4950,172945.00,57.0344
9994,800,0.5000,173181.00,57.0341
10028,808,0.5050,173240.00,57.0390
10061,816,0.5100,173546.00,57.1053
10095,824,0.5150,173370.00,57.0501
10128,832,0.5200,173967.00,57.0869
10162,840,0.5250,173931.00,57.2559
10195,848,0.5300,173823.00,57.2234
10229,856,0.5350,173838.00,57.2024
10263,864,0.5400,174130.00,57.2556
10296,872,0.5450,174026.00,57.3727
10330,880,0.5500,174399.00,57.4390
10363,888,0.5550,174616.00,57.3754
10397,896,0.5600,174773.00,57.4699
10430,904,0.5650,175236.00,57.5349
10464,912,0.5700,175241.00,57.5178
10497,920,0.5750,175055.00,57.5943
10531,928,0.5800,174840.00,57.5030
10564,936,0.5850,174985.00,57.5027
10598,944,0.5900,175327.00,57.5795
10631,952,0.5950,175581.00,57.7642
10665,960,0.6000,175730.00,57.7337
10698,968,0.6050,175499.00,57.7373
10732,976,0.6100,175754.00,57.8368
10765,984,0.6150,175905.00,57.8558
10799,992,0.6200,176226.00,57.8791
10832,1000,0.6250,176161.00,57.9277
10866,1008,0.6300,176509.00,57.9864
10899,1016,0.6350,176231.00,57.9802
10933,1024,0.6400,176618.00,58.0701
