Millis,Steps,Travel (mm),Scale raw,Scale (grams)
352362,8,0.0050,20170.00,6.8608
352396,16,0.0100,22930.00,7.7376
352430,24,0.0150,24790.00,8.3247
352463,32,0.0200,26502.00,8.8131
352497,40,0.0250,27446.00,9.1757
352531,48,0.0300,28982.00,9.7126
352564,56,0.0350,30597.00,10.2341
352598,64,0.0400,31900.00,10.6164
352632,72,0.0450,33014.00,10.8983
352666,80,0.0500,33815.00,11.2547
352699,88,0.0550,34810.00,11.6439
352733,96,0.0600,36297.00,12.1578
352767,104,0.0650,38708.00,13.2145
352801,112,0.0700,43154.00,14.6047
352834,120,0.0750,46247.00,15.3811
352868,128,0.0800,47988.00,15.9633
352902,136,0.0850,49599.00,16.5399
352936,144,0.0900,51328.00,17.1362
352969,152,0.0950,53322.00,17.7915
353003,160,0.1000,55293.00,18.4174
353037,168,0.1050,57471.00,19.2204
353070,176,0.1100,60768.00,20.5416
353104,184,0.1150,67513.00,22.4447
353138,192,0.1200,70298.00,23.2838
353172,200,0.1250,72974.00,24.0390
353205,208,0.1300,75002.00,24.7540
353239,216,0.1350,77395.00,25.4983
353273,224,0.1400,79313.00,26.1399
353307,232,0.1450,81047.00,26.7605
353340,240,0.1500,83357.00,27.5012
353374,248,0.1550,85267.00,28.1139
353408,256,0.1600,87040.00,28.7978
353442,264,0.1650,89108.00,29.3813
353475,272,0.1700,90903.00,29.9982
353509,280,0.1750,92458.00,30.4695
353543,288,0.1800,94472.00,31.1406
353576,296,0.1850,95992.00,31.6168
353610,304,0.1900,97878.00,32.3069
353644,312,0.1950,99832.00,32.8638
353678,320,0.2000,101509.00,33.4943
353711,328,0.2050,103074.00,33.9639
353745,336,0.2100,104881.00,34.6196
353779,344,0.2150,106486.00,35.0390
353813,352,0.2200,108235.00,35.6615
353846,360,0.2250,109728.00,36.2030
353880,368,0.2300,111422.00,36.6893
353914,376,0.2350,112889.00,37.1701
353948,384,0.2400,114268.00,37.7109
353981,392,0.2450,115905.00,38.1855
354015,400,0.2500,117206.00,38.6649
354049,408,0.2550,118951.00,39.1664
354083,416,0.2600,120087.00,39.5930
354116,424,0.2650,121717.00,40.0410
354150,432,0.2700,123229.00,40.5021
354184,440,0.2750,124583.00,40.9671
354217,448,0.2800,126100.00,41.4380
354251,456,0.2850,127191.00,41.7947
354285,464,0.2900,128744.00,42.2666
354319,472,0.2950,130059.00,42.7897
354352,480,0.3000,131313.00,43.1202
354386,488,0.3050,132454.00,43.5370
354420,496,0.3100,133840.00,43.9728
354454,504,0.3150,135093.00,44.4470
354487,512,0.3200,136305.00,44.7709
354521,520,0.3250,137328.00,45.1578
354555,528,0.3300,138543.00,45.5224
354589,536,0.3350,139615.00,45.8926
354622,544,0.3400,140438.00,46.1909
354656,552,0.3450,141598.00,46.5690
354690,560,0.3500,142922.00,46.9437
354723,568,0.3550,143953.00,47.3011
354757,576,0.3600,144794.00,47.5834
354791,584,0.3650,145865.00,47.9227
354825,592,0.3700,146890.00,48.2400
354858,600,0.3750,147804.00,48.5708
354892,608,0.3800,148955.00,48.9207
354926,616,0.3850,149936.00,49.2124
354960,624,0.3900,150354.00,49.4766
354993,632,0.3950,151593.00,49.8349
355027,640,0.4000,152373.00,50.1073
355061,648,0.4050,153203.00,50.3512
355095,656,0.4100,154483.00,50.7450
355128,664,0.4150,155101.00,50.9816
355162,672,0.4200,155884.00,51.2399
355196,680,0.4250,156904.00,51.5306
355229,688,0.4300,157582.00,51.7849
355263,696,0.4350,158531.00,52.0980
355297,704,0.4400,159202.00,52.3366
355331,712,0.4450,159981.00,52.5637
355364,720,0.4500,160558.00,52.7668
355398,728,0.4550,161405.00,53.0382
355432,736,0.4600,162275.00,53.3001
355466,744,0.4650,163055.00,53.5167
355499,752,0.4700,163409.00,53.7369
355533,760,0.4750,164195.00,53.9079
355567,768,0.4800,164987.00,54.2485
355600,776,0.4850,166048.00,54.6007
355634,784,0.4900,166830.00,54.8396
355668,792,0.4950,167186.00,54.9810
355702,800,0.5000,168275.00,55.3361
355735,808,0.5050,168860.00,55.5678
355769,816,0.5100,169342.00,55.7552
355803,824,0.5150,170150.00,55.8618
355837,832,0.5200,170586.00,56.1470
355870,840,0.5250,171539.00,56.4118
355904,848,0.5300,171890.00,56.5136
355938,856,0.5350,172468.00,56.7302
355972,864,0.5400,173118.00,56.9172
356005,872,0.5450,173656.00,57.0567
356039,880,0.5500,174243.00,57.4105
356073,888,0.5550,175070.00,57.5861
356106,896,0.5600,175196.00,57.5906
356140,904,0.5650,176037.00,57.8476
356174,912,0.5700,176494.00,58.0757
356208,920,0.5750,177095.00,58.2362
356241,928,0.5800,177665.00,58.4826
356275,936,0.5850,178153.00,58.6431
356309,944,0.5900,178769.00,58.8590
356343,952,0.5950,179427.00,59.0133
356376,960,0.6000,179655.00,59.0835
356410,968,0.6050,179979.00,59.2423
356444,976,0.6100,180566.00,59.3211
356478,984,0.6150,181013.00,59.5616
356511,992,0.6200,181487.00,59.6824
356545,1000,0.6250,181722.00,59.8600
356579,1008,0.6300,182145.00,59.8793
356612,1016,0.6350,182877.00,60.1445
356646,1024,0.6400,183343.00,60.3276
356680,1032,0.6450,183546.00,60.3516
356714,1040,0.6500,183939.00,60.4684
356747,1048,0.6550,184184.00,60.6013
356781,1056,0.6600,184759.00,60.7624
356815,1064,0.6650,185071.00,60.8107
356849,1072,0.6700,185544.00,61.0342
356882,1080,0.6750,185616.00,61.0351
356916,1088,0.6800,185958.00,61.1267
356950,1096,0.6850,185999.00,61.1513
356983,1104,0.6900,186398.00,61.2570
357017,1112,0.6950,186685.00,61.3984
357051,1120,0.7000,186842.00,61.4690
357085,1128,0.7050,187381.00,61.6049
357118,1136,0.7100,187387.00,61.6639
357152,1144,0.7150,187767.00,61.7565
357186,1152,0.7200,187965.00,61.8867
357220,1160,0.7250,188204.00,61.9698
357253,1168,0.7300,188472.00,62.0180
357287,1176,0.7350,188883.00,62.1834
357321,1184,0.7400,189179.00,62.2353
357355,1192,0.7450,189277.00,62.2832
357388,1200,0.7500,189563.00,62.3682
357422,1208,0.7550,189900.00,62.5077
357456,1216,0.7600,190133.00,62.5398
357489,1224,0.7650,190290.00,62.5618
357523,1232,0.7700,190572.00,62.6950
357557,1240,0.7750,190625.00,62.7118
357591,1248,0.7800,190798.00,62.7935
357624,1256,0.7850,191048.00,62.9041
357658,1264,0.7900,191097.00,62.9021
357692,1272,0.7950,191531.00,63.0249
357725,1280,0.8000,191471.00,62.9802
357759,1288,0.8050,191424.00,63.0573
357793,1296,0.8100,191818.00,63.1184
357827,1304,0.8150,191994.00,63.1876
357860,1312,0.8200,191848.00,63.1929
357894,1320,0.8250,191988.00,63.2352
357928,1328,0.8300,192337.00,63.3632
357962,1336,0.8350,192337.00,63.3235
357995,1344,0.8400,192477.00,63.3625
358029,1352,0.8450,192492.00,63.4105
358063,1360,0.8500,192683.00,63.4807
358096,1368,0.8550,192691.00,63.4590
358130,1376,0.8600,193050.00,63.5283
358164,1384,0.8650,193024.00,63.5407
358198,1392,0.8700,192814.00,63.5827
358231,1400,0.8750,193120.00,63.5699
358265,1408,0.8800,193242.00,63.5900
358299,1416,0.8850,192983.00,63.5270
358333,1424,0.8900,192810.00,63.5060
358366,1432,0.8950,192972.00,63.6119
358400,1440,0.9000,192912.00,63.5128
358434,1448,0.9050,193269.00,63.6625
358467,1456,0.9100,193031.00,63.5755
358501,1464,0.9150,192863.00,63.4708
358535,1472,0.9200,193036.00,63.5424
358569,1480,0.9250,192855.00,63.5253
358602,1488,0.9300,193080.00,63.6097
358636,1496,0.9350,193012.00,63.5900
358670,1504,0.9400,193015.00,63.5056
358704,1512,0.9450,192778.00,63.5309
358737,1520,0.9500,192946.00,63.5151
358771,1528,0.9550,192803.00,63.4882
358805,1536,0.9600,192671.00,63.5302
358838,1544,0.9650,192813.00,63.5082
358872,1552,0.9700,192700.00,63.4620
358906,1560,0.9750,193035.00,63.6293
358940,1568,0.9800,192868.00,63.4941
358973,1576,0.9850,192660.00,63.5850
359007,1584,0.9900,192889.00,63.6146
359041,1592,0.9950,192446.00,63.5014
359075,1600,1.0000,192443.00,63.4459
359108,1608,1.0050,192261.00,63.4429
359142,1616,1.0100,192249.00,63.4951
359176,1624,1.0150,192224.00,63.3960
359210,1632,1.0200,192218.00,63.4144
