Millis,Steps,Travel (mm),Scale raw,Scale (grams)
315808,8,0.0050,32989.00,11.5953
315841,16,0.0100,39621.00,13.1479
315875,24,0.0150,41610.00,13.7983
315909,32,0.0200,43822.00,14.5334
315942,40,0.0250,45503.00,15.0493
315976,48,0.0300,45932.00,15.1747
316010,56,0.0350,46549.00,15.3319
316044,64,0.0400,47404.00,15.6358
316077,72,0.0450,48453.00,15.9721
316111,80,0.0500,49265.00,16.2554
316145,88,0.0550,50439.00,16.7342
316178,96,0.0600,52097.00,17.2235
316212,104,0.0650,53374.00,17.6685
316246,112,0.0700,55234.00,18.2464
316280,120,0.0750,56933.00,18.7836
316313,128,0.0800,58531.00,19.1137
316347,136,0.0850,58764.00,19.3769
316381,144,0.0900,59780.00,19.6775
316414,152,0.0950,61121.00,20.2203
316448,160,0.1000,62023.00,20.4612
316482,168,0.1050,63244.00,20.8652
316516,176,0.1100,64777.00,21.4119
316549,184,0.1150,66257.00,21.8336
316583,192,0.1200,67454.00,22.2914
316617,200,0.1250,68537.00,22.5563
316651,208,0.1300,69135.00,22.6436
316684,216,0.1350,69432.00,22.9123
316718,224,0.1400,70788.00,23.6261
316752,232,0.1450,77280.00,25.7540
316785,240,0.1500,83046.00,27.3942
316819,248,0.1550,84164.00,27.6938
316853,256,0.1600,85335.00,28.1011
316887,264,0.1650,86200.00,28.3544
316920,272,0.1700,87161.00,28.6892
316954,280,0.1750,88107.00,28.9540
316988,288,0.1800,89389.00,29.3596
317021,296,0.1850,90515.00,29.8010
317055,304,0.1900,91124.00,29.9205
317089,312,0.1950,92403.00,30.4022
317123,320,0.2000,93260.00,30.6782
317156,328,0.2050,94292.00,31.0389
317190,336,0.2100,95079.00,31.3090
317224,344,0.2150,96083.00,31.5735
317258,352,0.2200,96959.00,31.9154
317291,360,0.2250,98173.00,32.2564
317325,368,0.2300,98889.00,32.5143
317359,376,0.2350,99717.00,32.8008
317392,384,0.2400,100904.00,33.2298
317426,392,0.2450,101495.00,33.3807
317460,400,0.2500,102782.00,33.7046
317493,408,0.2550,103574.00,34.0223
317527,416,0.2600,104204.00,34.3003
317561,424,0.2650,105147.00,34.5936
317595,432,0.2700,105988.00,34.8079
317628,440,0.2750,106791.00,35.1266
317662,448,0.2800,107443.00,35.3173
317696,456,0.2850,108550.00,35.6028
317730,464,0.2900,109198.00,35.9592
317763,472,0.2950,110195.00,36.1649
317797,480,0.3000,110891.00,36.4265
317831,488,0.3050,111810.00,36.7704
317864,496,0.3100,112682.00,36.9663
317898,504,0.3150,113288.00,37.2371
317932,512,0.3200,114150.00,37.5068
317966,520,0.3250,114995.00,37.7891
317999,528,0.3300,115440.00,37.9689
318033,536,0.3350,116161.00,38.1546
318067,544,0.3400,117003.00,38.4342
318100,552,0.3450,117920.00,38.7723
318134,560,0.3500,118491.00,38.9537
318168,568,0.3550,119466.00,39.1559
318202,576,0.3600,119884.00,39.3682
318235,584,0.3650,120447.00,39.6308
318269,592,0.3700,121293.00,39.8844
318303,600,0.3750,121972.00,40.0036
318336,608,0.3800,122450.00,40.2024
318370,616,0.3850,123258.00,40.5313
318404,624,0.3900,124151.00,40.8706
318438,632,0.3950,124625.00,41.0317
318471,640,0.4000,125299.00,41.1732
318505,648,0.4050,125675.00,41.3724
318539,656,0.4100,126392.00,41.5174
318572,664,0.4150,126823.00,41.7229
318606,672,0.4200,127788.00,41.9995
318640,680,0.4250,128215.00,42.0993
318674,688,0.4300,128814.00,42.2512
318707,696,0.4350,129280.00,42.5364
318741,704,0.4400,130020.00,42.7454
318775,712,0.4450,130459.00,42.8511
318809,720,0.4500,130867.00,42.9738
318842,728,0.4550,131500.00,43.2190
318876,736,0.4600,132102.00,43.3946
318910,744,0.4650,132813.00,43.5757
318943,752,0.4700,133056.00,43.7260
318977,760,0.4750,133890.00,43.9817
319011,768,0.4800,134268.00,44.0804
319045,776,0.4850,134889.00,44.2993
319078,784,0.4900,135122.00,44.3971
319112,792,0.4950,135801.00,44.5576
319146,800,0.5000,136339.00,44.7519
319179,808,0.5050,136612.00,44.7906
319213,816,0.5100,137225.00,45.0850
319247,824,0.5150,137580.00,45.1253
319281,832,0.5200,138126.00,45.3042
319314,840,0.5250,138524.00,45.5310
319348,848,0.5300,138768.00,45.6156
319382,856,0.5350,139398.00,45.7144
319416,864,0.5400,139795.00,45.9372
319449,872,0.5450,140189.00,46.0219
319483,880,0.5500,140775.00,46.1985
319517,888,0.5550,141126.00,46.3448
319550,896,0.5600,141508.00,46.5385
319584,904,0.5650,142065.00,46.6678
319618,912,0.5700,142306.00,46.7029
319652,920,0.5750,142671.00,46.8591
319685,928,0.5800,143227.00,46.9979
319719,936,0.5850,143412.00,47.1167
319753,944,0.5900,143950.00,47.2647
319786,952,0.5950,144398.00,47.4455
319820,960,0.6000,144571.00,47.4219
319854,968,0.6050,145059.00,47.5742
319888,976,0.6100,145244.00,47.7579
319921,984,0.6150,145939.00,47.9860
319955,992,0.6200,146120.00,47.9847
319989,1000,0.6250,146668.00,48.2039
320022,1008,0.6300,146989.00,48.2440
320056,1016,0.6350,147337.00,48.3749
