Millis,Steps,Travel (mm),Scale raw,Scale (grams)
71650,8,0.0050,14975.00,5.2698
71683,16,0.0100,23883.00,8.2788
71717,24,0.0150,25359.00,8.6135
71751,32,0.0200,26832.00,9.0848
71784,40,0.0250,28630.00,9.5219
71818,48,0.0300,28853.00,9.6686
71852,56,0.0350,29491.00,9.9226
71885,64,0.0400,31532.00,10.5521
71919,72,0.0450,33641.00,11.0958
71953,80,0.0500,34856.00,11.4670
71986,88,0.0550,35362.00,11.7230
72020,96,0.0600,36511.00,12.0134
72054,104,0.0650,37746.00,12.6963
72088,112,0.0700,43437.00,14.7379
72121,120,0.0750,47307.00,15.5734
72155,128,0.0800,47982.00,15.8632
72189,136,0.0850,48614.00,15.9695
72222,144,0.0900,48999.00,16.1474
72256,152,0.0950,49482.00,16.3758
72290,160,0.1000,49870.00,16.4743
72323,168,0.1050,50682.00,16.6954
72357,176,0.1100,51233.00,16.8832
72391,184,0.1150,51532.00,17.0456
72424,192,0.1200,52152.00,17.1893
72458,200,0.1250,52568.00,17.2264
72492,208,0.1300,52966.00,17.5339
72526,216,0.1350,53584.00,17.6777
72559,224,0.1400,53999.00,17.7971
72593,232,0.1450,54155.00,17.8713
72627,240,0.1500,54693.00,17.9947
72660,248,0.1550,55145.00,18.1821
72694,256,0.1600,55588.00,18.4085
72728,264,0.1650,55974.00,18.4433
72761,272,0.1700,56588.00,18.6097
72795,280,0.1750,57002.00,18.7738
72829,288,0.1800,57476.00,18.8968
72862,296,0.1850,58038.00,19.1049
72896,304,0.1900,58329.00,19.2302
72930,312,0.1950,58909.00,19.3832
72963,320,0.2000,59086.00,19.4354
72997,328,0.2050,59595.00,19.6244
73031,336,0.2100,59970.00,19.7645
73065,344,0.2150,60283.00,19.8544
73098,352,0.2200,60823.00,20.0638
73132,360,0.2250,60958.00,20.0684
73166,368,0.2300,61366.00,20.2512
73199,376,0.2350,61933.00,20.3726
73233,384,0.2400,62460.00,20.6141
73267,392,0.2450,62903.00,20.6079
73300,400,0.2500,63410.00,20.8616
73334,408,0.2550,63587.00,20.9640
73368,416,0.2600,63703.00,20.9433
73401,424,0.2650,64229.00,21.1340
73435,432,0.2700,64558.00,21.2761
73469,440,0.2750,65078.00,21.3555
73502,448,0.2800,65315.00,21.4963
73536,456,0.2850,65709.00,21.6075
73570,464,0.2900,66280.00,21.7614
73604,472,0.2950,66351.00,21.9416
73637,480,0.3000,66906.00,21.9268
73671,488,0.3050,67358.00,22.1680
73705,496,0.3100,67503.00,22.2704
73738,504,0.3150,67504.00,22.2219
73772,512,0.3200,67835.00,22.3797
73806,520,0.3250,68468.00,22.5389
73839,528,0.3300,68745.00,22.6505
73873,536,0.3350,69269.00,22.7469
73907,544,0.3400,69184.00,22.8723
73940,552,0.3450,69566.00,22.8920
73974,560,0.3500,70070.00,23.0082
74008,568,0.3550,70579.00,23.2070
74042,576,0.3600,70659.00,23.2326
74075,584,0.3650,70656.00,23.3482
74109,592,0.3700,70972.00,23.4118
74143,600,0.3750,71467.00,23.5224
74176,608,0.3800,71705.00,23.5867
74210,616,0.3850,71830.00,23.6320
74244,624,0.3900,72186.00,23.8348
74277,632,0.3950,72381.00,23.7886
74311,640,0.4000,72699.00,23.9605
74345,648,0.4050,73062.00,24.0833
74378,656,0.4100,73210.00,24.1584
74412,664,0.4150,73659.00,24.2437
74446,672,0.4200,73906.00,24.3192
74480,680,0.4250,74029.00,24.3655
74513,688,0.4300,74068.00,24.4964
74547,696,0.4350,74520.00,24.5056
74581,704,0.4400,74871.00,24.5860
74614,712,0.4450,74973.00,24.5975
74648,720,0.4500,75058.00,24.7501
74682,728,0.4550,75296.00,24.8627
74715,736,0.4600,75751.00,24.8955
74749,744,0.4650,75719.00,24.8909
74783,752,0.4700,76002.00,25.0553
74816,760,0.4750,76118.00,25.0248
74850,768,0.4800,76306.00,25.0674
74884,776,0.4850,76826.00,25.2975
74918,784,0.4900,76885.00,25.2899
74951,792,0.4950,77152.00,25.3126
74985,800,0.5000,76895.00,25.3306
75019,808,0.5050,77301.00,25.4622
75052,816,0.5100,77734.00,25.6276
75086,824,0.5150,77895.00,25.6319
75120,832,0.5200,78028.00,25.5876
75153,840,0.5250,77993.00,25.6230
75187,848,0.5300,78118.00,25.6952
75221,856,0.5350,78528.00,25.7379
75254,864,0.5400,78554.00,25.8370
75288,872,0.5450,78918.00,25.9890
75322,880,0.5500,78884.00,26.0303
75356,888,0.5550,78860.00,26.0165
75389,896,0.5600,79260.00,26.0296
75423,904,0.5650,79312.00,26.1025
75457,912,0.5700,79718.00,26.1734
75490,920,0.5750,79910.00,26.2876
75524,928,0.5800,80025.00,26.2991
75558,936,0.5850,79799.00,26.3312
75591,944,0.5900,80357.00,26.3979
75625,952,0.5950,80402.00,26.3739
75659,960,0.6000,80636.00,26.5098
75692,968,0.6050,80724.00,26.5616
75726,976,0.6100,80885.00,26.6197
75760,984,0.6150,80902.00,26.6525
75794,992,0.6200,80928.00,26.6929
75827,1000,0.6250,80995.00,26.6089
75861,1008,0.6300,81168.00,26.7113
75895,1016,0.6350,81207.00,26.8130
75928,1024,0.6400,81286.00,26.8104
75962,1032,0.6450,81702.00,26.8842
75996,1040,0.6500,81995.00,26.9495
76029,1048,0.6550,81980.00,26.9574
76063,1056,0.6600,81914.00,26.8996
76097,1064,0.6650,82100.00,27.0407
76130,1072,0.6700,82479.00,27.1924
76164,1080,0.6750,82139.00,27.1038
76198,1088,0.6800,82573.00,27.1907
76231,1096,0.6850,82551.00,27.2183
76265,1104,0.6900,82419.00,27.1546
76299,1112,0.6950,82716.00,27.2888
76333,1120,0.7000,82936.00,27.2826
76366,1128,0.7050,83196.00,27.4237
76400,1136,0.7100,83349.00,27.3794
76434,1144,0.7150,83196.00,27.4319
76467,1152,0.7200,83402.00,27.3962
76501,1160,0.7250,83346.00,27.3912
76535,1168,0.7300,83649.00,27.5573
76568,1176,0.7350,83629.00,27.4149
76602,1184,0.7400,83821.00,27.5645
76636,1192,0.7450,83844.00,27.5622
76670,1200,0.7500,83969.00,27.6269
76703,1208,0.7550,83876.00,27.6817
76737,1216,0.7600,84035.00,27.6003
76771,1224,0.7650,84377.00,27.7683
76804,1232,0.7700,84144.00,27.7499
76838,1240,0.7750,84080.00,27.7942
76872,1248,0.7800,84350.00,27.7604
76905,1256,0.7850,84232.00,27.6958
76939,1264,0.7900,84569.00,27.8156
76973,1272,0.7950,84606.00,27.8631
77006,1280,0.8000,84472.00,27.8120
77040,1288,0.8050,84779.00,27.8776
77074,1296,0.8100,84609.00,27.7873
77107,1304,0.8150,84540.00,27.8812
77141,1312,0.8200,84790.00,27.8221
77175,1320,0.8250,84899.00,27.9340
77209,1328,0.8300,84986.00,28.0384
77242,1336,0.8350,85111.00,28.0413
77276,1344,0.8400,84927.00,27.9160
77310,1352,0.8450,84854.00,27.9465
77343,1360,0.8500,85129.00,28.0676
77377,1368,0.8550,85197.00,28.0633
77411,1376,0.8600,85439.00,28.0755
77444,1384,0.8650,85327.00,28.1122
77478,1392,0.8700,85337.00,28.0630
77512,1400,0.8750,85493.00,28.0738
77545,1408,0.8800,85376.00,28.1309
77579,1416,0.8850,85501.00,28.1802
77613,1424,0.8900,85633.00,28.1811
