Millis,Steps,Travel (mm),Scale raw,Scale (grams)
11529,8,0.0050,13036.00,4.6551
11562,16,0.0100,16282.00,5.5569
11596,24,0.0150,18892.00,7.4620
11629,32,0.0200,30431.00,10.6804
11663,40,0.0250,32708.00,11.3410
11696,48,0.0300,34777.00,11.9658
11730,56,0.0350,36560.00,12.4548
11764,64,0.0400,37167.00,12.6245
11797,72,0.0450,43458.00,15.1813
11831,80,0.0500,48812.00,16.5028
11864,88,0.0550,51076.00,17.1332
11898,96,0.0600,52382.00,17.5438
11931,104,0.0650,53138.00,17.9133
11965,112,0.0700,58616.00,19.9667
11999,120,0.0750,63887.00,21.1389
12032,128,0.0800,65535.00,21.6810
12066,136,0.0850,66554.00,22.0030
12099,144,0.0900,67956.00,22.4440
12133,152,0.0950,69048.00,22.8369
12167,160,0.1000,70620.00,23.3101
12200,168,0.1050,71709.00,23.7045
12234,176,0.1100,73113.00,24.1555
12267,184,0.1150,74313.00,24.4721
12301,192,0.1200,75312.00,24.8932
12334,200,0.1250,76665.00,25.3172
12368,208,0.1300,77688.00,25.6808
12402,216,0.1350,78967.00,26.0109
12435,224,0.1400,79875.00,26.4008
12469,232,0.1450,81151.00,26.7746
12502,240,0.1500,82170.00,27.0798
12536,248,0.1550,83259.00,27.4424
12569,256,0.1600,84531.00,27.8179
12603,264,0.1650,85271.00,28.2300
12637,272,0.1700,86545.00,28.5192
12670,280,0.1750,87461.00,28.9438
12704,288,0.1800,88787.00,29.2897
12737,296,0.1850,89659.00,29.4896
12771,304,0.1900,90570.00,29.9027
12804,312,0.1950,91909.00,30.3002
12838,320,0.2000,92749.00,30.6355
12872,328,0.2050,93736.00,30.8876
12905,336,0.2100,94869.00,31.2670
12939,344,0.2150,95924.00,31.6194
12972,352,0.2200,96866.00,31.8353
13006,360,0.2250,97919.00,32.2744
13039,368,0.2300,98906.00,32.5239
13073,376,0.2350,99602.00,32.8153
13107,384,0.2400,100704.00,33.1329
13140,392,0.2450,101393.00,33.3653
13174,400,0.2500,102530.00,33.8395
13207,408,0.2550,103376.00,34.0751
13241,416,0.2600,104280.00,34.3321
13274,424,0.2650,104963.00,34.6104
13308,432,0.2700,105949.00,34.9120
13342,440,0.2750,106863.00,35.2031
13375,448,0.2800,107934.00,35.4797
13409,456,0.2850,108585.00,35.8532
13442,464,0.2900,109841.00,36.1439
13476,472,0.2950,110649.00,36.4265
13509,480,0.3000,111360.00,36.6552
13543,488,0.3050,112383.00,36.9712
13577,496,0.3100,113047.00,37.2312
13610,504,0.3150,113781.00,37.4425
13644,512,0.3200,114745.00,37.7782
13677,520,0.3250,115700.00,38.0175
13711,528,0.3300,116418.00,38.2482
13744,536,0.3350,117371.00,38.5501
13778,544,0.3400,117987.00,38.8605
13812,552,0.3450,118837.00,39.0807
13845,560,0.3500,119426.00,39.3298
13879,568,0.3550,120503.00,39.5773
13912,576,0.3600,121062.00,39.8099
13946,584,0.3650,122129.00,40.1352
13979,592,0.3700,122603.00,40.2582
14013,600,0.3750,123383.00,40.4489
14047,608,0.3800,123926.00,40.7666
14080,616,0.3850,124696.00,41.0042
14114,624,0.3900,125539.00,41.2345
14147,632,0.3950,126351.00,41.4577
14181,640,0.4000,126745.00,41.6802
14214,648,0.4050,127673.00,41.9316
14248,656,0.4100,128162.00,42.1144
14282,664,0.4150,129012.00,42.3536
14315,672,0.4200,129436.00,42.5042
14349,680,0.4250,130232.00,42.7668
14382,688,0.4300,130730.00,42.9138
14416,696,0.4350,131223.00,43.1386
14449,704,0.4400,132195.00,43.3722
14483,712,0.4450,132471.00,43.5839
14517,720,0.4500,133394.00,43.8100
14550,728,0.4550,134006.00,44.0233
14584,736,0.4600,134497.00,44.2209
14617,744,0.4650,134966.00,44.3525
14651,752,0.4700,135866.00,44.5865
14684,760,0.4750,135966.00,44.6761
14718,768,0.4800,137121.00,44.9750
14752,776,0.4850,137249.00,45.2146
14785,784,0.4900,138018.00,45.3377
