Millis,Steps,Travel (mm),Scale raw,Scale (grams)
298140,8,0.0050,29435.00,10.9862
298174,16,0.0100,52262.00,17.9993
298208,24,0.0150,58271.00,19.4009
298242,32,0.0200,60878.00,20.2876
298275,40,0.0250,63814.00,21.2479
298309,48,0.0300,66384.00,22.1237
298343,56,0.0350,68735.00,22.8582
298376,64,0.0400,71006.00,23.6688
298410,72,0.0450,73483.00,24.3931
298444,80,0.0500,75873.00,25.2217
298478,88,0.0550,80467.00,26.9748
298511,96,0.0600,86202.00,28.8011
298545,104,0.0650,91235.00,30.3028
298579,112,0.0700,95074.00,31.5361
298612,120,0.0750,98394.00,32.3713
298646,128,0.0800,101888.00,33.5543
298680,136,0.0850,102683.00,33.9826
298714,144,0.0900,105556.00,35.0695
298747,152,0.0950,108504.00,35.9923
298781,160,0.1000,110900.00,36.7743
298815,168,0.1050,116934.00,39.1946
298849,176,0.1100,124758.00,41.3120
298882,184,0.1150,127830.00,42.1895
298916,192,0.1200,130277.00,43.0191
298950,200,0.1250,133008.00,43.7375
298983,208,0.1300,135177.00,44.5487
299017,216,0.1350,137407.00,45.4187
299051,224,0.1400,140272.00,46.2976
299085,232,0.1450,142490.00,46.9313
299118,240,0.1500,144476.00,47.7176
299152,248,0.1550,147194.00,48.5797
299186,256,0.1600,149569.00,49.3417
299219,264,0.1650,151697.00,50.0709
299253,272,0.1700,154001.00,50.7761
299287,280,0.1750,156030.00,51.4646
299321,288,0.1800,157990.00,52.1338
299354,296,0.1850,160520.00,52.9526
299388,304,0.1900,162430.00,53.5443
299422,312,0.1950,164125.00,54.1908
299456,320,0.2000,166684.00,54.8901
299489,328,0.2050,168287.00,55.4569
299523,336,0.2100,169980.00,55.9311
299557,344,0.2150,172073.00,56.7082
299590,352,0.2200,174449.00,57.3324
299624,360,0.2250,176272.00,58.1000
299658,368,0.2300,177948.00,58.6812
299691,376,0.2350,179442.00,59.1587
299725,384,0.2400,181579.00,59.8255
299759,392,0.2450,183332.00,60.3502
299793,400,0.2500,185005.00,60.9091
299826,408,0.2550,186532.00,61.3984
299860,416,0.2600,188274.00,61.9829
299894,424,0.2650,189644.00,62.4341
299927,432,0.2700,191385.00,62.9300
299961,440,0.2750,193402.00,63.6051
299995,448,0.2800,195042.00,64.1104
300029,456,0.2850,196417.00,64.6677
300062,464,0.2900,197902.00,65.1734
300096,472,0.2950,199642.00,65.7063
300130,480,0.3000,201184.00,66.2882
300164,488,0.3050,202935.00,66.7437
300197,496,0.3100,204025.00,67.1349
300231,504,0.3150,205571.00,67.6800
300265,512,0.3200,207130.00,68.2421
300298,520,0.3250,208410.00,68.5831
300332,528,0.3300,209901.00,69.0901
300366,536,0.3350,211065.00,69.4455
300400,544,0.3400,212546.00,69.9759
300433,552,0.3450,213643.00,70.3152
300467,560,0.3500,214852.00,70.6053
300501,568,0.3550,216303.00,71.1340
300534,576,0.3600,217634.00,71.5728
300568,584,0.3650,218867.00,71.8927
300602,592,0.3700,220299.00,72.4024
300636,600,0.3750,221411.00,72.7913
300669,608,0.3800,222577.00,73.1982
300703,616,0.3850,223854.00,73.6517
300737,624,0.3900,225052.00,74.0839
300770,632,0.3950,226246.00,74.3895
300804,640,0.4000,227391.00,74.7839
300838,648,0.4050,228697.00,75.2023
300872,656,0.4100,229686.00,75.5115
300905,664,0.4150,230826.00,75.8075
300939,672,0.4200,232078.00,76.2371
300973,680,0.4250,233178.00,76.6466
301006,688,0.4300,234404.00,77.0943
301040,696,0.4350,235218.00,77.3624
301074,704,0.4400,236649.00,77.7099
301108,712,0.4450,237599.00,78.0985
301141,720,0.4500,238539.00,78.4106
301175,728,0.4550,239523.00,78.7542
301209,736,0.4600,240661.00,79.1279
301242,744,0.4650,241718.00,79.4709
301276,752,0.4700,242948.00,79.8155
301310,760,0.4750,243688.00,80.1394
301344,768,0.4800,244719.00,80.4876
301377,776,0.4850,245558.00,80.7754
301411,784,0.4900,246392.00,80.9742
301445,792,0.4950,247496.00,81.3349
301478,800,0.5000,248229.00,81.6404
301512,808,0.5050,249382.00,81.9633
301546,816,0.5100,249992.00,82.0982
301580,824,0.5150,250950.00,82.4812
301613,832,0.5200,251799.00,82.7493
301647,840,0.5250,252596.00,82.9692
301681,848,0.5300,253727.00,83.4280
301714,856,0.5350,254665.00,83.6111
301748,864,0.5400,255349.00,83.9330
301782,872,0.5450,256243.00,84.1815
301816,880,0.5500,257004.00,84.3685
301849,888,0.5550,257575.00,84.6494
301883,896,0.5600,258605.00,84.7525
301917,904,0.5650,259504.00,85.2415
301950,912,0.5700,259952.00,85.3540
301984,920,0.5750,260827.00,85.6783
302018,928,0.5800,261671.00,85.9080
302051,936,0.5850,262375.00,86.1131
302085,944,0.5900,263015.00,86.3625
302119,952,0.5950,263974.00,86.6733
302153,960,0.6000,264702.00,86.9768
302186,968,0.6050,265454.00,87.1462
302220,976,0.6100,265944.00,87.3493
302254,984,0.6150,266872.00,87.6322
302288,992,0.6200,267635.00,87.8931
302321,1000,0.6250,268382.00,88.1117
302355,1008,0.6300,269191.00,88.4221
302389,1016,0.6350,269750.00,88.6331
302422,1024,0.6400,270332.00,88.7572
302456,1032,0.6450,271180.00,89.0079
302490,1040,0.6500,271726.00,89.2314
302524,1048,0.6550,272300.00,89.3909
302557,1056,0.6600,272926.00,89.6935
302591,1064,0.6650,273772.00,89.8667
302625,1072,0.6700,274237.00,90.1181
302658,1080,0.6750,275061.00,90.3321
302692,1088,0.6800,275488.00,90.5218
302726,1096,0.6850,276233.00,90.6625
302760,1104,0.6900,276944.00,90.9563
302793,1112,0.6950,277616.00,91.1016
302827,1120,0.7000,277840.00,91.3156
302861,1128,0.7050,278523.00,91.5785
302894,1136,0.7100,279370.00,91.7143
302928,1144,0.7150,279845.00,91.8397
302962,1152,0.7200,280358.00,92.0533
302996,1160,0.7250,280761.00,92.2384
303029,1168,0.7300,281173.00,92.4019
303063,1176,0.7350,281917.00,92.5594
303097,1184,0.7400,282377.00,92.7773
303130,1192,0.7450,282789.00,92.8764
303164,1200,0.7500,283309.00,93.0536
303198,1208,0.7550,283825.00,93.2111
303232,1216,0.7600,284338.00,93.3408
303265,1224,0.7650,284850.00,93.5994
303299,1232,0.7700,285359.00,93.7451
303333,1240,0.7750,285841.00,93.8255
303366,1248,0.7800,286313.00,93.9984
303400,1256,0.7850,286389.00,94.0647
303434,1264,0.7900,287178.00,94.3345
303468,1272,0.7950,287770.00,94.4828
303501,1280,0.8000,288096.00,94.5819
303535,1288,0.8050,288672.00,94.7174
303569,1296,0.8100,288556.00,94.8011
303602,1304,0.8150,289539.00,95.0276
303636,1312,0.8200,289806.00,95.1664
303670,1320,0.8250,290082.00,95.3049
303703,1328,0.8300,290699.00,95.3443
303737,1336,0.8350,290820.00,95.4906
303771,1344,0.8400,291288.00,95.6905
303805,1352,0.8450,291712.00,95.7584
303838,1360,0.8500,291502.00,95.8011
303872,1368,0.8550,292262.00,96.0101
303906,1376,0.8600,292833.00,96.0790
303939,1384,0.8650,292964.00,96.2352
303973,1392,0.8700,293152.00,96.2838
304007,1400,0.8750,293838.00,96.4518
304041,1408,0.8800,294067.00,96.5893
304074,1416,0.8850,294135.00,96.6071
304108,1424,0.8900,294481.00,96.7531
304142,1432,0.8950,294894.00,96.7738
304176,1440,0.9000,295554.00,96.9408
304209,1448,0.9050,295362.00,97.0498
304243,1456,0.9100,295511.00,97.1118
304277,1464,0.9150,296078.00,97.2470
304310,1472,0.9200,296098.00,97.1909
304344,1480,0.9250,296576.00,97.3619
304378,1488,0.9300,296739.00,97.4157
304412,1496,0.9350,296963.00,97.5269
304445,1504,0.9400,297275.00,97.5968
304479,1512,0.9450,297547.00,97.5689
304513,1520,0.9500,297494.00,97.6989
304546,1528,0.9550,297832.00,97.7744
