Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6780,8,0.0050,41423.00,14.0228
6814,16,0.0100,52748.00,17.7036
6847,24,0.0150,56937.00,19.0353
6881,32,0.0200,60898.00,20.2778
6915,40,0.0250,64263.00,21.2275
6948,48,0.0300,65457.00,21.4805
6982,56,0.0350,65159.00,21.5074
7015,64,0.0400,65911.00,21.6577
7049,72,0.0450,66494.00,21.9222
7082,80,0.0500,66912.00,22.1280
7116,88,0.0550,67736.00,22.2672
7149,96,0.0600,68487.00,22.6101
7183,104,0.0650,69746.00,23.0141
7216,112,0.0700,71143.00,23.5385
7250,120,0.0750,73039.00,24.0596
7284,128,0.0800,74123.00,24.5050
7317,136,0.0850,75671.00,25.0008
7351,144,0.0900,76908.00,25.3825
7384,152,0.0950,78512.00,25.9978
7418,160,0.1000,81135.00,27.0227
7451,168,0.1050,85248.00,28.3370
7485,176,0.1100,89026.00,29.3980
7518,184,0.1150,93136.00,30.9798
7552,192,0.1200,99517.00,33.3213
7585,200,0.1250,108376.00,36.0714
7619,208,0.1300,112173.00,36.9306
7653,216,0.1350,113922.00,37.5754
7686,224,0.1400,115806.00,38.1264
7720,232,0.1450,117665.00,38.7768
7753,240,0.1500,119240.00,39.2028
7787,248,0.1550,120847.00,39.8352
7820,256,0.1600,122796.00,40.4269
7854,264,0.1650,124436.00,40.8837
7887,272,0.1700,125855.00,41.4784
7921,280,0.1750,127839.00,42.0038
7954,288,0.1800,129419.00,42.5686
7988,296,0.1850,130853.00,43.0539
8022,304,0.1900,132525.00,43.5432
8055,312,0.1950,133893.00,44.0568
8089,320,0.2000,135617.00,44.5520
8122,328,0.2050,136839.00,45.0243
8156,336,0.2100,138324.00,45.3410
8189,344,0.2150,140096.00,46.0524
8368,352,0.2200,139645.00,46.0281
8402,360,0.2250,141535.00,46.6087
8435,368,0.2300,143454.00,47.1617
8469,376,0.2350,144997.00,47.6943
8502,384,0.2400,146535.00,48.1744
8536,392,0.2450,147532.00,48.5672
8569,400,0.2500,149583.00,49.0775
8603,408,0.2550,150348.00,49.5334
8636,416,0.2600,151998.00,50.0250
8670,424,0.2650,153351.00,50.4713
8704,432,0.2700,154386.00,50.6915
8737,440,0.2750,155735.00,51.2307
8771,448,0.2800,157198.00,51.7459
8804,456,0.2850,158268.00,51.9894
8838,464,0.2900,159618.00,52.4997
8871,472,0.2950,160936.00,52.9099
8905,480,0.3000,162019.00,53.2588
8938,488,0.3050,163452.00,53.7271
8972,496,0.3100,164112.00,53.9807
9005,504,0.3150,165290.00,54.4107
9039,512,0.3200,166849.00,54.8970
9073,520,0.3250,167862.00,55.1743
9106,528,0.3300,168708.00,55.4300
9140,536,0.3350,169763.00,55.8021
9173,544,0.3400,170777.00,56.1647
9207,552,0.3450,172050.00,56.5838
9240,560,0.3500,172949.00,56.8332
9274,568,0.3550,173887.00,57.1801
9307,576,0.3600,175149.00,57.5952
9341,584,0.3650,176057.00,57.8279
9374,592,0.3700,177067.00,58.1495
9408,600,0.3750,177780.00,58.4944
9441,608,0.3800,178840.00,58.7937
9475,616,0.3850,179765.00,59.1107
9509,624,0.3900,180728.00,59.3733
9542,632,0.3950,181693.00,59.7431
9576,640,0.4000,182514.00,60.0427
9609,648,0.4050,183375.00,60.3128
9643,656,0.4100,184629.00,60.6085
9676,664,0.4150,185015.00,60.7395
9710,672,0.4200,186045.00,61.2045
9743,680,0.4250,186778.00,61.3732
9777,688,0.4300,187943.00,61.7581
9810,696,0.4350,188235.00,61.9038
9844,704,0.4400,189291.00,62.1926
9878,712,0.4450,189957.00,62.4945
9911,720,0.4500,190787.00,62.6553
9945,728,0.4550,191856.00,62.9783
9978,736,0.4600,192113.00,63.1683
10012,744,0.4650,192958.00,63.4738
10045,752,0.4700,193872.00,63.6221
10079,760,0.4750,194456.00,63.8312
10112,768,0.4800,195120.00,64.1508
10146,776,0.4850,195919.00,64.3290
10180,784,0.4900,196543.00,64.6083
10213,792,0.4950,197311.00,64.7757
10247,800,0.5000,197921.00,65.0149
10280,808,0.5050,198443.00,65.2522
10314,816,0.5100,199218.00,65.3979
10347,824,0.5150,199678.00,65.6102
10381,832,0.5200,200532.00,65.7999
10414,840,0.5250,200988.00,65.9820
10448,848,0.5300,201375.00,66.2308
10481,856,0.5350,201999.00,66.3039
10515,864,0.5400,202643.00,66.5156
10549,872,0.5450,203276.00,66.7138
10582,880,0.5500,203580.00,66.8202
10616,888,0.5550,203758.00,66.9534
10649,896,0.5600,204543.00,67.1565
10683,904,0.5650,205351.00,67.4014
10716,912,0.5700,205707.00,67.6557
10750,920,0.5750,206322.00,67.7646
10783,928,0.5800,206842.00,67.9399
10817,936,0.5850,207528.00,68.1302
10851,944,0.5900,207812.00,68.1890
10884,952,0.5950,208117.00,68.3672
10918,960,0.6000,209077.00,68.5585
10951,968,0.6050,209191.00,68.7958
10985,976,0.6100,210139.00,69.0455
11018,984,0.6150,209878.00,68.8643
11052,992,0.6200,210819.00,69.2152
11085,1000,0.6250,211210.00,69.2959
11119,1008,0.6300,211764.00,69.5893
11152,1016,0.6350,212315.00,69.7196
11186,1024,0.6400,212612.00,69.7901
11220,1032,0.6450,213077.00,70.0034
11253,1040,0.6500,213455.00,70.1150
11287,1048,0.6550,213838.00,70.2325
11320,1056,0.6600,214382.00,70.4009
11354,1064,0.6650,214752.00,70.5649
11387,1072,0.6700,215306.00,70.7612
11421,1080,0.6750,215528.00,70.8258
11454,1088,0.6800,215891.00,70.9289
11488,1096,0.6850,216554.00,71.1012
11521,1104,0.6900,217002.00,71.2374
11555,1112,0.6950,217356.00,71.4103
11589,1120,0.7000,217601.00,71.4543
11622,1128,0.7050,218040.00,71.6315
11656,1136,0.7100,218519.00,71.7428
11689,1144,0.7150,219029.00,71.9534
11723,1152,0.7200,219428.00,72.0365
11756,1160,0.7250,219533.00,72.1172
11790,1168,0.7300,220086.00,72.1969
11823,1176,0.7350,220186.00,72.4116
11857,1184,0.7400,220568.00,72.5304
11890,1192,0.7450,221013.00,72.5448
11924,1200,0.7500,221243.00,72.6830
11958,1208,0.7550,221837.00,72.9265
11991,1216,0.7600,221741.00,72.8595
12025,1224,0.7650,222303.00,73.0239
12058,1232,0.7700,222640.00,73.1152
12092,1240,0.7750,222689.00,73.1674
12125,1248,0.7800,223366.00,73.3357
12159,1256,0.7850,223509.00,73.4145
12192,1264,0.7900,223764.00,73.5129
12226,1272,0.7950,223960.00,73.5700
12260,1280,0.8000,224126.00,73.5464
12293,1288,0.8050,224538.00,73.6931
12327,1296,0.8100,224738.00,73.8230
12360,1304,0.8150,225021.00,73.9605
12394,1312,0.8200,225243.00,73.9336
12427,1320,0.8250,225558.00,74.0823
12461,1328,0.8300,225689.00,74.2086
12494,1336,0.8350,226053.00,74.1778
12528,1344,0.8400,226307.00,74.2838
12561,1352,0.8450,226487.00,74.3514
12595,1360,0.8500,226999.00,74.4426
12629,1368,0.8550,226701.00,74.4505
12662,1376,0.8600,227059.00,74.5956
12696,1384,0.8650,227167.00,74.5949
12729,1392,0.8700,227579.00,74.7170
12763,1400,0.8750,227836.00,74.8538
12796,1408,0.8800,228189.00,74.8341
12830,1416,0.8850,228118.00,74.8939
12863,1424,0.8900,228371.00,74.9520
12897,1432,0.8950,228392.00,75.0199
12931,1440,0.9000,228812.00,75.0927
12964,1448,0.9050,228846.00,75.1249
12998,1456,0.9100,229022.00,75.1656
13031,1464,0.9150,229050.00,75.2637
13065,1472,0.9200,229429.00,75.2955
13098,1480,0.9250,229304.00,75.3359
13132,1488,0.9300,229576.00,75.3654
13165,1496,0.9350,229767.00,75.3947
13199,1504,0.9400,229985.00,75.4642
13232,1512,0.9450,230050.00,75.4606
13266,1520,0.9500,229923.00,75.4498
13300,1528,0.9550,230055.00,75.5975
13333,1536,0.9600,229963.00,75.4905
13367,1544,0.9650,230509.00,75.6693
13400,1552,0.9700,230319.00,75.5991
13434,1560,0.9750,230646.00,75.6569
13467,1568,0.9800,230579.00,75.7307
13501,1576,0.9850,230895.00,75.7468
13534,1584,0.9900,230816.00,75.6680
13568,1592,0.9950,231088.00,75.8003
13602,1600,1.0000,231036.00,75.8150
13635,1608,1.0050,231061.00,75.8278
13669,1616,1.0100,231382.00,75.9571
13702,1624,1.0150,231482.00,75.9959
13736,1632,1.0200,231352.00,75.9624
13769,1640,1.0250,231498.00,76.0415
13803,1648,1.0300,231771.00,76.0710
13836,1656,1.0350,231698.00,76.0510
13870,1664,1.0400,231858.00,76.1009
13904,1672,1.0450,231713.00,76.0618
13937,1680,1.0500,231899.00,76.1993
13971,1688,1.0550,231920.00,76.1721
14004,1696,1.0600,231921.00,76.1577
14038,1704,1.0650,232176.00,76.2390
14071,1712,1.0700,232058.00,76.1882
14105,1720,1.0750,232166.00,76.2164
14138,1728,1.0800,232318.00,76.2207
14172,1736,1.0850,232075.00,76.1685
14205,1744,1.0900,232400.00,76.2643
14239,1752,1.0950,232219.00,76.1800
14273,1760,1.1000,232279.00,76.3578
14306,1768,1.1050,232377.00,76.2692
14340,1776,1.1100,232210.00,76.2860
14373,1784,1.1150,232353.00,76.3083
14407,1792,1.1200,232362.00,76.3336
14440,1800,1.1250,232385.00,76.2328
14474,1808,1.1300,232367.00,76.2745
14508,1816,1.1350,232451.00,76.3004
14541,1824,1.1400,232458.00,76.3588
14575,1832,1.1450,232458.00,76.3322
14608,1840,1.1500,232350.00,76.3395
14642,1848,1.1550,232418.00,76.2889
14675,1856,1.1600,232304.00,76.2377
14709,1864,1.1650,232372.00,76.2899
14742,1872,1.1700,232165.00,76.2417
14776,1880,1.1750,232237.00,76.2325
14809,1888,1.1800,231980.00,76.2036
14843,1896,1.1850,232197.00,76.2755
14877,1904,1.1900,231915.00,76.1632
14910,1912,1.1950,232262.00,76.1997
14944,1920,1.2000,232181.00,76.1695
14977,1928,1.2050,232040.00,76.2384
15011,1936,1.2100,231851.00,76.0910
15044,1944,1.2150,231690.00,76.0336
15078,1952,1.2200,231694.00,76.0438
15111,1960,1.2250,231861.00,76.0828
15145,1968,1.2300,231857.00,76.1668
15179,1976,1.2350,231421.00,76.0080
